;name;number of reactions;number of correct answers;total trials;rt_incongruent;rt_congruent;rt_happy_happy;rt_happy_sad;rt_sad_happy;rt_sad_sad;slider_incongruent;slider_congruent;slider_happy_happy;slider_happy_sad;slider_sad_happy;slider_sad_sad
0;07_Vide;45;0;0.64;0.69;0.58;0.57;0.69;0.7;0.7;4.73;4.8;5.07;4.47;5.0;5.0
1;08_Vide;55;0;0.88;0.92;0.85;0.82;0.91;0.94;0.94;4.8;4.97;6.13;4.13;5.47;5.47
2;09_Vide;47;0;0.81;0.86;0.76;0.65;0.89;0.83;0.83;5.2;5.13;6.0;4.8;5.6;5.6
3;10_Vide;51;0;0.73;0.86;0.62;0.6;0.96;0.76;0.76;5.1;5.17;7.73;3.2;7.0;7.0
4;11_Vide;57;0;0.56;0.58;0.55;0.54;0.57;0.59;0.59;5.23;5.2;5.6;5.0;5.47;5.47
5;11_Vide;57;0;0.56;0.58;0.55;0.54;0.57;0.59;0.59;5.23;5.2;5.6;5.0;5.47;5.47
6;12_Vide;1;0;1.01;0.0;1.01;0.0;0.0;0.0;0.0;4.9;4.23;5.27;3.47;6.33;6.33
7;13_Vide;28;0;0.66;0.69;0.63;0.68;0.87;0.6;0.6;4.97;5.57;6.6;3.33;6.6;6.6
8;14_Vide;46;0;0.67;0.65;0.68;0.59;0.62;0.7;0.7;4.53;5.37;6.6;3.07;6.0;6.0
9;15_Vide;51;0;0.68;0.74;0.61;0.49;0.77;0.73;0.73;5.27;4.97;7.47;2.93;7.6;7.6
