primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.rt;slider_resp_response.started;slider_resp_response.stopped;text_start.started;text_start.stopped;key_resp.rt;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
1111;m;1111_m_m_h_a.jpg;happy;9;example_30.4ns.avi;neutral;7;incongruent;120.0;170.0;189.5874364012288;0;0;0;0;;;;;20.5119480000576;1;20.601130499970168;22.601278600050136;22.601278600050136;None;24.6092022000812;None;26.55926010000985;26.85958649998065;28.017815200029872;28.03500020003412;32.334364100010134;None;None;0;32.334364100010134;None;33.850970300030895;None;None;None;[];33.850970300030895;None;6;['9'];[1.0315200999611989];33.850970300030895;None;;;;;;;;;;;;;;;;;EmoCon006;2021_Jun_16_1629;VideoMask;2021.1.2;120.06877530315825;
1113;f;1113_y_f_s_a.jpg;sad;7;example_30.3ns.avi;neutral;7;incongruent;130.0;170.0;229.02432995836998;0;1;1;1;;;;;;;;;;;35.842553499969654;None;37.984019899973646;38.28433719999157;39.48413090000395;39.50070570001844;41.425735200056806;None;None;0;41.425735200056806;None;42.9340191000374;None;None;None;[];42.9340191000374;None;7;"['9', '9']";"[0.32417119992896914, 0.5724693000083789]";42.9340191000374;None;;;;;;;;;;;;;;;;;EmoCon006;2021_Jun_16_1629;VideoMask;2021.1.2;120.06877530315825;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_94.2ns.avi;sad;7.0;congruent;130.0;160.0;228.63582583242618;;;;;0;0;0;0;;;;;;;45.96717299998272;None;48.11711930006277;48.41723869997077;49.57536210003309;49.59220269997604;52.242086000042036;None;7;0;52.242086000042036;None;;;;;;;;2;;;;;44.942302000010386;None;0.3841010000323877;53.75026200001594;None;None;None;[];53.75026200001594;None;"['7', '7', '7']";"[0.34825180005282164, 0.5320776000153273, 1.0438585999654606]";53.75026200001594;None;;;EmoCon006;2021_Jun_16_1629;VideoMask;2021.1.2;120.06877530315825;
0.0;f;030_o_f_s_a.jpg;sad;7.0;sad_68.1ns.avi;sad;7.0;congruent;130.0;160.0;163.14738846961149;;;;;0;1;1;1;;;;;;;55.75035019998904;None;57.37502849998418;57.67529510008171;58.784105099970475;58.82521550008096;66.23334480007179;None;None;0;66.23334480007179;None;;;;;;;;1;;;;;;;;67.74158590007573;None;None;None;[];67.74158590007573;None;"['7', '7', '7', '7', '7']";"[0.24493159994017333, 0.4286216999171302, 0.5805455999216065, 0.7325060999719426, 0.8846290999790654]";67.74158590007573;None;;;EmoCon006;2021_Jun_16_1629;VideoMask;2021.1.2;120.06877530315825;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_26.1ns.avi;happy;9.0;congruent;140.0;150.0;184.58211837191982;;;;;0;2;2;2;;;;;;;69.74993010004982;None;71.51631289999932;71.81662950001191;72.9830951000331;72.99973240005784;74.94136729999445;None;None;0;74.94136729999445;None;;;;;;;;8;;;;;;;;76.44961120001972;None;None;None;[];76.44961120001972;None;"['9', '9', '9']";"[0.4247019999893382, 0.6166411000303924, 1.1688983000349253]";76.44961120001972;None;;;EmoCon006;2021_Jun_16_1629;VideoMask;2021.1.2;120.06877530315825;
0.0;f;030_o_f_s_a.jpg;sad;7.0;happy_125.3.wmv;happy;9.0;incongruent;130.0;150.0;189.50417957278896;;;;;0;3;3;3;;;;;;;78.44953079998959;None;80.28274010005407;80.58284930000082;81.691126300022;81.70782310003415;83.71614699997008;None;None;0;83.71614699997008;None;;;;;;;;7;;;;;;;;85.22441490006167;None;None;None;[];85.22441490006167;None;"['9', '9']";"[0.34610930003691465, 1.2102582999505103]";85.22441490006167;None;;;EmoCon006;2021_Jun_16_1629;VideoMask;2021.1.2;120.06877530315825;
1.0;f;021_o_f_s_a.jpg;sad;7.0;sad_9.5ns.avi;sad;7.0;congruent;130.0;160.0;156.55128602613038;;;;;0;4;4;4;;;;;;;87.22430050000548;None;88.74915360007435;89.04926040000282;90.24086350004654;90.2582764000399;95.9243051999947;None;None;0;95.9243051999947;None;;;;;;;;3;;;;;;;;97.4323529000394;None;None;None;[];97.4323529000394;None;"['7', '7', '7', '7', '7', '7']";"[0.410105700022541, 0.5937725999392569, 0.7857820999342948, 0.9939064999343827, 1.3457611999474466, 1.770323499920778]";97.4323529000394;None;;;EmoCon006;2021_Jun_16_1629;VideoMask;2021.1.2;120.06877530315825;
4.0;m;004_o_m_s_a.jpg;sad;7.0;happy_28.1ns.avi;happy;9.0;incongruent;130.0;150.0;219.83540383939274;;;;;0;5;5;5;;;;;;;99.43232760007959;None;101.50698569999076;101.80739129998256;103.01563779998105;103.03248150006402;107.33201610005926;None;None;0;107.33201610005926;None;;;;;;;;7;;;;;;;;108.84039530006703;None;None;None;[];108.84039530006703;None;"['9', '9']";"[0.28207270009443164, 0.4578156000934541]";108.84039530006703;None;;;EmoCon006;2021_Jun_16_1629;VideoMask;2021.1.2;120.06877530315825;
2.0;f;012_o_f_s_a.jpg;sad;7.0;sad_7.5ns.avi;sad;7.0;congruent;130.0;160.0;147.95125229894379;;;;;0;6;6;6;;;;;;;110.84029179997742;None;112.29009160003625;112.59022640006151;113.7318981999997;113.74849200004246;116.50690450007096;None;None;0;116.50690450007096;None;;;;;;;;4;;;;;;;;118.0323990000179;None;None;None;[];118.0323990000179;None;"['7', '7']";"[0.34582020004745573, 0.7858899000566453]";118.0323990000179;None;;;EmoCon006;2021_Jun_16_1629;VideoMask;2021.1.2;120.06877530315825;
2.0;f;012_o_f_s_a.jpg;sad;7.0;happy_52.2ns.avi;happy;9.0;incongruent;130.0;150.0;144.3898903070799;;;;;0;7;7;7;;;;;;;120.02340269996785;None;121.4397362000309;121.74014040001202;122.90653350006323;122.92325160000473;126.42315190006047;None;None;0;126.42315190006047;None;;;;;;;;7;;;;;;;;127.93144800001755;None;None;None;[];127.93144800001755;None;"['9', '9']";"[0.28674380003940314, 0.4466673999559134]";127.93144800001755;None;;;EmoCon006;2021_Jun_16_1629;VideoMask;2021.1.2;120.06877530315825;
