primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.started;slider_resp_response.stopped;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.started;slider_resp_study.stopped;key_resp.rt;slider_resp_study.rt;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
1111;m;1111_m_m_h_a.jpg;happy;9;example_30.4ns.avi;neutral;7;incongruent;120.0;170.0;189.5874364012288;0;0;0;0;;;;;92.30959350001649;1;92.40380020000157;94.40375870000571;94.40375870000571;None;96.43709369999124;None;98.72922870001639;99.05368529999396;100.19513030000962;100.21183280000696;104.52851910001482;None;None;0;104.52851910001482;None;106.07820660001016;None;None;None;[];106.07820660001016;None;5;None;106.07820660001016;None;;;;;;;;;;;;;;;;;S10736a;2021_Jul_08_1745;VideoMask;2021.1.2;120.05450475487541;
1113;f;1113_y_f_s_a.jpg;sad;7;example_30.3ns.avi;neutral;7;incongruent;130.0;170.0;229.02432995836998;0;1;1;1;;;;;;;;;;;109.11164489999646;None;111.23647699999856;111.55322450000676;112.72824050000054;112.74493449999136;114.68652809999185;None;None;0;114.68652809999185;None;116.23629040000378;None;None;None;[];116.23629040000378;None;5;None;116.23629040000378;None;;;;;;;;;;;;;;;;;S10736a;2021_Jul_08_1745;VideoMask;2021.1.2;120.05450475487541;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_94.2ns.avi;sad;7.0;congruent;130.0;160.0;228.63582583242618;;;;;0;0;0;0;;;;;;;120.26965540001402;None;122.3860735000053;122.70291680001537;123.84435460000532;123.86106170000858;126.52797550000832;None;None;0;126.52797550000832;None;;;;;;;;5;;;;119.2614000000176;None;128.0776174000057;None;None;None;[];128.0776174000057;None;None;128.0776174000057;None;;;;;S10736a;2021_Jul_08_1745;VideoMask;2021.1.2;120.05450475487541;
0.0;f;030_o_f_s_a.jpg;sad;7.0;sad_68.1ns.avi;sad;7.0;congruent;130.0;160.0;163.14738846961149;;;;;0;1;1;1;;;;;;;131.11105010000756;None;132.71935040000244;133.03588720000698;134.26929779999773;134.28592379999463;141.59404460000223;None;None;0;141.59404460000223;None;;;;;;;;5;;;;;;143.33580240001902;None;None;None;[];143.33580240001902;None;None;143.33580240001902;None;;;;;S10736a;2021_Jul_08_1745;VideoMask;2021.1.2;120.05450475487541;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_26.1ns.avi;happy;9.0;congruent;140.0;150.0;184.58211837191982;;;;;0;2;2;2;;;;;;;146.3605773000163;None;148.10223859999678;148.41877789999126;149.5687797999999;149.5855347000179;151.54397739999695;None;None;0;151.54397739999695;None;;;;;;;;5;;;;;;153.10216130001936;None;None;None;[];153.10216130001936;None;None;153.10216130001936;None;;;;;S10736a;2021_Jul_08_1745;VideoMask;2021.1.2;120.05450475487541;
0.0;f;030_o_f_s_a.jpg;sad;7.0;happy_125.3.wmv;happy;9.0;incongruent;130.0;150.0;189.50417957278896;;;;;0;3;3;3;;;;;;;156.12708390000626;None;157.9351394000114;158.25192169999355;159.38593140000012;159.41025370001444;161.3852549000003;None;None;0;161.3852549000003;None;;;;;;;;5;;;;;;163.57663280001725;None;None;None;[];163.57663280001725;None;None;163.57663280001725;None;;;;;S10736a;2021_Jul_08_1745;VideoMask;2021.1.2;120.05450475487541;
1.0;f;021_o_f_s_a.jpg;sad;7.0;sad_9.5ns.avi;sad;7.0;congruent;130.0;160.0;156.55128602613038;;;;;0;4;4;4;;;;;;;166.6017545000068;None;168.12666460001492;168.44327489999705;169.64313199999742;169.65992460001144;175.31818560001557;None;None;0;175.31818560001557;None;;;;;;;;5;;;;;;177.28457190000336;None;None;None;[];177.28457190000336;None;None;177.28457190000336;None;;;;;S10736a;2021_Jul_08_1745;VideoMask;2021.1.2;120.05450475487541;
4.0;m;004_o_m_s_a.jpg;sad;7.0;happy_28.1ns.avi;happy;9.0;incongruent;130.0;150.0;219.83540383939274;;;;;0;5;5;5;;;;;;;180.3181273000082;None;182.37664050000603;182.69299139999202;183.90102389999083;183.91791250000824;188.21784200001275;None;None;0;188.21784200001275;None;;;;;;;;5;;;;;;189.76759279999533;None;None;None;[];189.76759279999533;None;None;189.76759279999533;None;;;;;S10736a;2021_Jul_08_1745;VideoMask;2021.1.2;120.05450475487541;
2.0;f;012_o_f_s_a.jpg;sad;7.0;sad_7.5ns.avi;sad;7.0;congruent;130.0;160.0;147.95125229894379;;;;;0;6;6;6;;;;;;;192.80104839999694;None;194.24250009999378;194.55920010001864;195.76759530001436;195.78427329999977;198.4842819000187;None;None;0;198.4842819000187;None;;;;;;;;5;;;;;;200.0423900000169;None;None;None;[];200.0423900000169;None;None;200.0423900000169;None;;;;;S10736a;2021_Jul_08_1745;VideoMask;2021.1.2;120.05450475487541;
2.0;f;012_o_f_s_a.jpg;sad;7.0;happy_52.2ns.avi;happy;9.0;incongruent;130.0;150.0;144.3898903070799;;;;;0;7;7;7;;;;;;;203.06738729999051;None;204.48426830000244;204.8006027000083;206.00073850000626;206.01731970001129;209.4841568999982;None;None;0;209.4841568999982;None;;;;;;;;5;;;;;;211.0338613000058;None;None;None;[];211.0338613000058;None;None;211.0338613000058;None;;;;;S10736a;2021_Jul_08_1745;VideoMask;2021.1.2;120.05450475487541;
0.0;f;040_y_f_s_a.jpg;sad;7.0;sad_67.2ns.avi;sad;7.0;congruent;130.0;160.0;192.80086779892653;;;;;0;8;8;8;;;;;;;214.05876929999795;None;215.9253863999911;216.24195920000784;217.4501009999949;217.4668742000067;226.60016400000313;None;None;0;226.60016400000313;None;;;;;;;;5;;;;;;228.14983700000448;None;None;None;[];228.14983700000448;None;None;228.14983700000448;None;;;;;S10736a;2021_Jul_08_1745;VideoMask;2021.1.2;120.05450475487541;
3.0;m;013_y_m_s_a.jpg;sad;7.0;happy_56.2ns.avi;happy;9.0;incongruent;130.0;150.0;134.62621969351147;;;;;0;9;9;9;;;;;;;231.18329509999603;None;232.52478169999085;232.84147559999838;234.0082362999965;234.0248583999928;238.999727300019;None;None;0;238.999727300019;None;;;;;;;;5;;;;;;240.5497791999951;None;None;None;[];240.5497791999951;None;None;240.5497791999951;None;;;;;S10736a;2021_Jul_08_1745;VideoMask;2021.1.2;120.05450475487541;
0.0;f;030_o_f_h_a.jpg;happy;9.0;sad_133.1.wmv;sad;7.0;incongruent;120.0;160.0;238.4103736452693;;;;;0;10;10;10;;;;;;;243.5746921999962;None;245.77429790000315;246.09114820000832;247.22460790001787;247.24117880000267;249.22443709999789;None;None;0;249.22443709999789;None;;;;;;;;5;;;;;;250.77422670001397;None;None;None;[];250.77422670001397;None;None;250.77422670001397;None;;;;;S10736a;2021_Jul_08_1745;VideoMask;2021.1.2;120.05450475487541;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_2.2ns.avi;happy;9.0;congruent;140.0;150.0;120.08648649110712;;;;;0;11;11;11;;;;;;;253.80749810000998;None;255.08249240001896;255.39930389999063;256.5574111000169;256.57424610000453;268.7323839000019;None;None;0;268.7323839000019;None;;;;;;;;5;;;;;;270.29045279999264;None;None;None;[];270.29045279999264;None;None;270.29045279999264;None;;;;;S10736a;2021_Jul_08_1745;VideoMask;2021.1.2;120.05450475487541;
9.0;f;019_m_f_s_a.jpg;sad;7.0;sad_8.4ns.avi;sad;7.0;congruent;130.0;160.0;169.3395974323834;;;;;0;12;12;12;;;;;;;273.30716080000275;None;274.9651024999912;275.2820053000178;276.48296270001447;276.50686749999295;284.5485392000119;None;7;0;284.5485392000119;None;;;;;;;;5;;;;;;286.09842950000893;None;None;None;[];286.09842950000893;None;None;286.09842950000893;None;0.453699300007429;;;;S10736a;2021_Jul_08_1745;VideoMask;2021.1.2;120.05450475487541;
8.0;m;008_y_m_s_a.jpg;sad;7.0;sad_6.5ns.avi;sad;7.0;congruent;130.0;160.0;124.24628091899196;;;;;0;13;13;13;;;;;;;289.1233918000071;None;290.3900020000001;290.7064978000126;291.8482893000182;291.8649348000181;296.8397995000123;None;7;0;296.8397995000123;None;;;;;;;;4;;;;;;298.3812858000165;None;None;None;[];298.3812858000165;None;['7'];298.3812858000165;None;0.37065689999144524;[0.557109000015771];;;S10736a;2021_Jul_08_1745;VideoMask;2021.1.2;120.05450475487541;
1.0;f;021_o_f_h_a.jpg;happy;9.0;happy_12.1ns.avi;happy;9.0;congruent;140.0;150.0;236.6487020138435;;;;;0;14;14;14;;;;;;;301.38142270001117;None;303.6146368999907;303.93119500001194;305.0812705999997;305.0978774999967;312.6812699000002;None;8;0;312.6812699000002;None;;;;;;;;5;;;;;;314.239310200006;None;None;None;[];314.239310200006;None;None;314.239310200006;None;0.769351099996129;;;;S10736a;2021_Jul_08_1745;VideoMask;2021.1.2;120.05450475487541;
8.0;f;028_y_f_s_a.jpg;sad;7.0;sad_64.2ns.avi;sad;7.0;congruent;130.0;160.0;238.8507440172915;;;;;0;15;15;15;;;;;;;317.2642476000183;None;319.54751629999373;319.8640210000158;321.07229060001555;321.08912670001155;332.01376669999445;None;7;0;332.01376669999445;None;;;;;;;;5;;;;;;333.56372569999075;None;None;None;[];333.56372569999075;None;None;333.56372569999075;None;1.0287571999942884;;;;S10736a;2021_Jul_08_1745;VideoMask;2021.1.2;120.05450475487541;
2.0;f;012_o_f_s_a.jpg;sad;7.0;happy_139.1.wmv;happy;9.0;incongruent;130.0;150.0;185.59030554143408;;;;;0;16;16;16;;;;;;;336.5802873999928;None;338.33851200001664;338.65533790001064;339.78931130000274;339.81359400000656;341.78868930001045;None;9;0;341.78868930001045;None;;;;;;;;5;;;;;;343.37188350001816;None;None;None;[];343.37188350001816;None;None;343.37188350001816;None;0.477839800005313;;;;S10736a;2021_Jul_08_1745;VideoMask;2021.1.2;120.05450475487541;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_64.5ns.avi;sad;7.0;congruent;130.0;160.0;159.52646627166388;;;;;0;17;17;17;;;;;;;346.3883378000173;None;347.971909600019;348.2881869999983;349.4379820000031;349.4550356999971;356.0131345000118;None;7;0;356.0131345000118;None;;;;;;;;4;;;;;;357.56304790001013;None;None;None;[];357.56304790001013;None;['7'];357.56304790001013;None;0.7175322000111919;[0.44748219999019057];;;S10736a;2021_Jul_08_1745;VideoMask;2021.1.2;120.05450475487541;
0.0;f;040_y_f_s_a.jpg;sad;7.0;happy_127.3.wmv;happy;9.0;incongruent;130.0;150.0;131.0431594605889;;;;;0;18;18;18;;;;;;;360.5628926999925;None;361.8712127000035;362.1878288000007;363.32132580000325;363.3379075000121;365.387857099995;None;9;0;365.387857099995;None;;;;;;;;5;;;;;;366.9379159999953;None;None;None;[];366.9379159999953;None;None;366.9379159999953;None;1.062616999988677;;;;S10736a;2021_Jul_08_1745;VideoMask;2021.1.2;120.05450475487541;
3.0;m;033_o_m_h_a.jpg;happy;9.0;sad_128.1.wmv;sad;7.0;incongruent;120.0;160.0;168.97426303437265;;;;;0;19;19;19;;;;;;;369.9711670000106;None;371.59589419999975;371.9127218000067;373.0376709999982;373.05437200001325;375.0543481000059;None;7;0;375.0543481000059;None;;;;;;;;4;;;;;;376.6042674999917;None;None;None;[];376.6042674999917;None;['7'];376.6042674999917;None;0.7723409000027459;[1.878175799996825];;;S10736a;2021_Jul_08_1745;VideoMask;2021.1.2;120.05450475487541;
9.0;f;019_m_f_h_a.jpg;happy;9.0;sad_115.1.wmv;sad;7.0;incongruent;120.0;160.0;202.13700247699333;;;;;0;20;20;20;;;;;;;379.6043210999924;None;381.49553270000615;381.81235089999973;382.9374805999978;382.9539985000156;384.94582150000497;None;None;0;384.94582150000497;None;;;;;;;;4;;;;;;386.4956968000042;None;None;None;[];386.4956968000042;None;['7'];386.4956968000042;None;;[0.16301280001061969];;;S10736a;2021_Jul_08_1745;VideoMask;2021.1.2;120.05450475487541;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_1.2ns.avi;happy;9.0;congruent;140.0;150.0;155.22310421045015;;;;;0;21;21;21;;;;;;;389.50400829999126;None;391.07874190001166;391.39545219999854;392.57085000001825;392.58717849999084;405.3202517000027;None;9;0;405.3202517000027;None;;;;;;;;5;;;;;;406.8700182000175;None;None;None;[];406.8700182000175;None;None;406.8700182000175;None;0.3383157999778632;;;;S10736a;2021_Jul_08_1745;VideoMask;2021.1.2;120.05450475487541;
0.0;f;040_y_f_s_a.jpg;sad;7.0;sad_94.3ns.avi;sad;7.0;congruent;130.0;160.0;157.18644691248227;;;;;0;22;22;22;;;;;;;409.89511710000806;None;411.4114444000006;411.7282705999969;412.9203195000009;412.93664140001056;415.51207409999915;None;7;0;415.51207409999915;None;;;;;;;;5;;;;;;417.31145460001426;None;None;None;[];417.31145460001426;None;None;417.31145460001426;None;0.5146443000121508;;;;S10736a;2021_Jul_08_1745;VideoMask;2021.1.2;120.05450475487541;
6.0;m;016_y_m_s_a.jpg;sad;7.0;happy_60.4ns.avi;happy;9.0;incongruent;130.0;150.0;135.96622391936876;;;;;0;23;23;23;;;;;;;420.3279596999928;None;421.7113124000025;422.0369573000062;423.18637830001535;423.2029065999959;428.95269999999437;None;9;0;428.95269999999437;None;;;;;;;;5;;;;;;430.5028280999977;None;None;None;[];430.5028280999977;None;None;430.5028280999977;None;0.7304459000006318;;;;S10736a;2021_Jul_08_1745;VideoMask;2021.1.2;120.05450475487541;
0.0;f;030_o_f_h_a.jpg;happy;9.0;happy_24.1ns.avi;happy;9.0;congruent;140.0;150.0;187.2363405679046;;;;;0;24;24;24;;;;;;;433.5192629999947;None;435.30244840000523;435.6192922000191;436.7943237000145;436.81094290001784;440.0774611000088;None;9;0;440.0774611000088;None;;;;;;;;5;;;;;;441.6274537999998;None;None;None;[];441.6274537999998;None;None;441.6274537999998;None;0.4692046999989543;;;;S10736a;2021_Jul_08_1745;VideoMask;2021.1.2;120.05450475487541;
8.0;m;008_y_m_s_a.jpg;sad;7.0;happy_133.3.wmv;happy;9.0;incongruent;130.0;150.0;151.65964880545846;;;;;0;25;25;25;;;;;;;444.6607162000146;None;446.13549330001115;446.45226330001606;447.57738649999374;447.59393800000544;449.5861729000171;None;9;0;449.5861729000171;None;;;;;;;;5;;;;;;451.1355273000081;None;None;None;[];451.1355273000081;None;None;451.1355273000081;None;0.48852750001242384;;;;S10736a;2021_Jul_08_1745;VideoMask;2021.1.2;120.05450475487541;
