primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.rt;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.rt;slider_resp_response.started;slider_resp_response.stopped;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
1111;m;1111_m_m_h_a.jpg;happy;9;example_30.4ns.avi;neutral;7;incongruent;120.0;170.0;189.5874364012288;0;0;0;0;;;;;46.05903940007556;1;46.13654810003936;48.1367278000107;48.1367278000107;None;50.16979569999967;None;52.427986600087024;52.75322210008744;53.92827940010466;53.94482970004901;58.219790300005116;None;9;0;0.9481004999252036;58.219790300005116;None;59.78622310003266;None;None;None;[];59.78622310003266;None;5;['7'];[1.6857578000053763];59.78622310003266;None;;;;;;;;;;;;;;;;S10752;2021_Jul_14_1745;VideoMask;2021.1.2;120.05191039409793;
1113;f;1113_y_f_s_a.jpg;sad;7;example_30.3ns.avi;neutral;7;incongruent;130.0;170.0;229.02432995836998;0;1;1;1;;;;;;;;;;;61.76966790005099;None;63.902738100034185;64.21948100009467;65.41123230010271;65.42786940000951;67.35286189999897;None;8;0;0.6150523999240249;67.35286189999897;None;68.90278010000475;None;None;None;[];68.90278010000475;None;5;None;;68.90278010000475;None;;;;;;;;;;;;;;;;S10752;2021_Jul_14_1745;VideoMask;2021.1.2;120.05191039409793;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_94.2ns.avi;sad;7.0;congruent;130.0;160.0;228.63582583242618;;;;;0;0;0;0;;;;;;;71.95268340001348;None;74.0691873000469;74.38583889999427;75.55234390008263;75.56922040006611;78.21084549999796;None;7;0;1.269061499973759;78.21084549999796;None;;;;;;;;3;;;;;70.92781080002896;None;79.76918280008249;None;None;None;[];79.76918280008249;None;"['7', '7']";"[0.5427645000163466, 1.4946922999806702]";79.76918280008249;None;;;S10752;2021_Jul_14_1745;VideoMask;2021.1.2;120.05191039409793;
0.0;f;030_o_f_s_a.jpg;sad;7.0;sad_68.1ns.avi;sad;7.0;congruent;130.0;160.0;163.14738846961149;;;;;0;1;1;1;;;;;;;82.26072820008267;None;83.86882170010358;84.18566040007863;85.32728520000819;85.34390610002447;92.74387750006281;None;7;0;0.59229930001311;92.74387750006281;None;;;;;;;;4;;;;;;;94.29371500003617;None;None;None;[];94.29371500003617;None;['7'];[0.29045950004365295];94.29371500003617;None;;;S10752;2021_Jul_14_1745;VideoMask;2021.1.2;120.05191039409793;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_26.1ns.avi;happy;9.0;congruent;140.0;150.0;184.58211837191982;;;;;0;2;2;2;;;;;;;96.79369020008016;None;98.53530330001377;98.8518448000541;99.99352820008062;100.0102792000398;101.97696320002433;None;9;0;0.5749642999144271;101.97696320002433;None;;;;;;;;6;;;;;;;103.52681180008221;None;None;None;[];103.52681180008221;None;['9'];[0.46522180002648383];103.52681180008221;None;;;S10752;2021_Jul_14_1745;VideoMask;2021.1.2;120.05191039409793;
0.0;f;030_o_f_s_a.jpg;sad;7.0;happy_125.3.wmv;happy;9.0;incongruent;130.0;150.0;189.50417957278896;;;;;0;3;3;3;;;;;;;106.02687490009703;None;107.83492880000267;108.16024480003398;109.29308070009574;109.31000440008938;111.28488930000458;None;9;0;0.4669166000094265;111.28488930000458;None;;;;;;;;7;;;;;;;112.8348105000332;None;None;None;[];112.8348105000332;None;"['9', '9', '9']";"[0.2852307000430301, 0.5888189000543207, 1.1734804000006989]";112.8348105000332;None;;;S10752;2021_Jul_14_1745;VideoMask;2021.1.2;120.05191039409793;
1.0;f;021_o_f_s_a.jpg;sad;7.0;sad_9.5ns.avi;sad;7.0;congruent;130.0;160.0;156.55128602613038;;;;;0;4;4;4;;;;;;;115.33481920009945;None;116.85973350005224;117.1763678001007;118.35122800001409;118.36805330007337;124.03457660006825;None;7;0;0.9734305000165477;124.03457660006825;None;;;;;;;;1;;;;;;;125.58453120000195;None;None;None;[];125.58453120000195;None;"['7', '7', '7', '7', '7']";"[0.2392944999737665, 0.4153934000059962, 0.591127899941057, 0.9516453000251204, 1.2875970000168309]";125.58453120000195;None;;;S10752;2021_Jul_14_1745;VideoMask;2021.1.2;120.05191039409793;
4.0;m;004_o_m_s_a.jpg;sad;7.0;happy_28.1ns.avi;happy;9.0;incongruent;130.0;150.0;219.83540383939274;;;;;0;5;5;5;;;;;;;128.0845634000143;None;130.15167620009743;130.467638000031;131.60103050002363;131.6176871000789;135.9926509000361;None;9;0;0.5592670000623912;135.9926509000361;None;;;;;;;;7;;;;;;;137.55088220001198;None;None;None;[];137.55088220001198;None;"['9', '9']";"[0.37716559995897114, 0.6410564999096096]";137.55088220001198;None;;;S10752;2021_Jul_14_1745;VideoMask;2021.1.2;120.05191039409793;
2.0;f;012_o_f_s_a.jpg;sad;7.0;sad_7.5ns.avi;sad;7.0;congruent;130.0;160.0;147.95125229894379;;;;;0;6;6;6;;;;;;;140.0506925000809;None;141.48400980001315;141.80066629999783;142.9341009000782;142.950773700024;145.72583100001793;None;7;0;1.002165999962017;145.72583100001793;None;;;;;;;;2;;;;;;;147.29224530002102;None;None;None;[];147.29224530002102;None;"['7', '7', '7', '7']";"[0.21158459992147982, 0.37960579991340637, 0.5555393999675289, 0.9077425999566913]";147.29224530002102;None;;;S10752;2021_Jul_14_1745;VideoMask;2021.1.2;120.05191039409793;
2.0;f;012_o_f_s_a.jpg;sad;7.0;happy_52.2ns.avi;happy;9.0;incongruent;130.0;150.0;144.3898903070799;;;;;0;7;7;7;;;;;;;149.8006855000276;None;151.217169700074;151.5338186000008;152.6588104000548;152.6754033000907;156.2170243000146;None;9;0;0.799017799901776;156.2170243000146;None;;;;;;;;5;;;;;;;157.76696660008747;None;None;None;[];157.76696660008747;None;None;;157.76696660008747;None;;;S10752;2021_Jul_14_1745;VideoMask;2021.1.2;120.05191039409793;
