primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.rt;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.rt;slider_resp_response.started;slider_resp_response.stopped;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
1111;m;1111_m_m_h_a.jpg;happy;9;example_30.4ns.avi;neutral;7;incongruent;120.0;170.0;189.5874364012288;;0;0;0;0;;;;;50.03105290001258;1;50.10863279993646;52.108761699986644;52.108761699986644;None;54.12533099995926;None;56.36714719992597;56.683561499929056;57.81694009993225;57.83357519994024;62.17549269995652;None;9;0;0.6629317998886108;62.17549269995652;None;63.74241659999825;None;None;None;[];63.74241659999825;None;7;"['9', '9']";"[2.184316399972886, 2.4961586999706924]";63.74241659999825;None;;;;;;;;;;;;;;;;S11005;2021_Oct_22_1141;VideoMask;2021.1.2;120.13296322514311;
1113;f;1113_y_f_s_a.jpg;sad;7;example_30.3ns.avi;neutral;7;incongruent;130.0;170.0;229.02432995836998;;0;1;1;1;;;;;;;;;;;66.73341310000978;None;68.85807680001017;69.17479429999366;70.32483129994944;70.34151469997596;72.30816689995117;None;7;1;1.2022750000469387;72.30816689995117;None;73.97462160000578;None;None;None;[];73.97462160000578;None;5;None;;73.97462160000578;None;;;;;;;;;;;;;;;;S11005;2021_Oct_22_1141;VideoMask;2021.1.2;120.13296322514311;
9.0;f;019_m_f_h_a.jpg;happy;9.0;sad_115.1.wmv;sad;7.0;incongruent;120.0;160.0;128.09063432376465;h_s;;;;;0;0;0;0;;;;;;;78.00797039992176;None;79.2827660999028;79.59954229998402;80.73256729997229;80.74932559998706;82.7329141999362;None;7;0;0.9535091000143439;82.7329141999362;None;;;;;;;;3;;;;;76.99133829993661;None;84.28261749993544;None;None;None;[];84.28261749993544;None;"['7', '7', '7']";"[1.6200872000772506, 1.851713600102812, 2.267986800055951]";84.28261749993544;None;;;S11005;2021_Oct_22_1141;VideoMask;2021.1.2;120.13296322514311;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_94.2ns.avi;sad;7.0;congruent;130.0;160.0;182.29120173647655;s_s;;;;;0;1;1;1;;;;;;;87.29115999990609;None;89.01579999993555;89.33252189995255;90.46607919991948;90.48257849994116;93.15763789997436;None;8;0;1.0969378999434412;93.15763789997436;None;;;;;;;;3;;;;;;;94.69913249998353;None;None;None;[];94.69913249998353;None;"['7', '7']";"[0.9474994000047445, 1.211515299975872]";94.69913249998353;None;;;S11005;2021_Oct_22_1141;VideoMask;2021.1.2;120.13296322514311;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_26.1ns.avi;happy;9.0;congruent;120.0;150.0;155.9437854594882;h_h;;;;;0;2;2;2;;;;;;;97.69908659998327;None;99.19053409993649;99.507243799977;100.67399019992445;100.69061019993387;102.63232919992879;None;9;0;0.4063211999600753;102.63232919992879;None;;;;;;;;9;;;;;;;104.18218020000495;None;None;None;[];104.18218020000495;None;"['9', '9', '9', '9', '9', '9']";"[0.3602557999547571, 0.6641418000217527, 0.7764742999570444, 1.0321817999938503, 1.2881585999857634, 1.6403811000054702]";104.18218020000495;None;;;S11005;2021_Oct_22_1141;VideoMask;2021.1.2;120.13296322514311;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_138.1.wmv;sad;7.0;incongruent;120.0;160.0;133.99071306426532;h_s;;;;;0;3;3;3;;;;;;;107.1904355000006;None;108.51524939993396;108.8319685999304;109.95699579990469;109.97373189998325;111.96519109990913;None;9;0;0.8173155999975279;111.96519109990913;None;;;;;;;;4;;;;;;;113.51516479998827;None;None;None;[];113.51516479998827;None;['7'];[0.9798215000191703];113.51516479998827;None;;;S11005;2021_Oct_22_1141;VideoMask;2021.1.2;120.13296322514311;
8.0;f;028_y_f_s_a.jpg;sad;7.0;sad_64.2ns.avi;sad;7.0;congruent;130.0;160.0;229.88540597086478;s_s;;;;;0;4;4;4;;;;;;;116.51533979992382;None;118.68990999995731;119.00656779995188;120.16486489993986;120.18153599998914;131.1397680999944;None;7;0;0.6347339999629185;131.1397680999944;None;;;;;;;;3;;;;;;;132.68965199997183;None;None;None;[];132.68965199997183;None;"['7', '7']";"[0.7168818999780342, 0.9327370000537485]";132.68965199997183;None;;;S11005;2021_Oct_22_1141;VideoMask;2021.1.2;120.13296322514311;
7.0;m;027_o_m_s_a.jpg;sad;7.0;sad_10.4ns.avi;sad;7.0;congruent;130.0;160.0;185.20129417468752;s_s;;;;;0;5;5;5;;;;;;;135.68967449991032;None;137.43979959993158;137.75640849990305;138.89832119992934;138.92287589993794;142.05601029994432;None;7;0;0.6226254999637604;142.05601029994432;None;;;;;;;;3;;;;;;;143.6059976000106;None;None;None;[];143.6059976000106;None;"['7', '7', '7']";"[0.3927551000379026, 0.5763704000273719, 1.4404773999704048]";143.6059976000106;None;;;S11005;2021_Oct_22_1141;VideoMask;2021.1.2;120.13296322514311;
2.0;f;012_o_f_s_a.jpg;sad;7.0;sad_7.5ns.avi;sad;7.0;congruent;130.0;160.0;220.27842655424388;s_s;;;;;0;6;6;6;;;;;;;146.61436989996582;None;148.6474436999997;148.96410099999048;150.18149129999802;150.20579569996335;152.88919659995008;None;7;0;0.5812859999714419;152.88919659995008;None;;;;;;;;1;;;;;;;154.49733519996516;None;None;None;[];154.49733519996516;None;"['7', '7', '7', '7']";"[0.5492187000345439, 0.7411321999970824, 1.5330547000048682, 2.8290271000005305]";154.49733519996516;None;;;S11005;2021_Oct_22_1141;VideoMask;2021.1.2;120.13296322514311;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_27.1ns.avi;happy;9.0;congruent;120.0;150.0;146.44967055810616;h_h;;;;;0;7;7;7;;;;;;;157.49724990001414;None;158.91373799997382;159.23046369990334;160.3884958999697;160.40531709999777;162.85543809994124;None;9;0;1.1909140000352636;162.85543809994124;None;;;;;;;;9;;;;;;;164.730375599931;None;None;None;[];164.730375599931;None;"['9', '9', '9', '9']";"[0.5401223000371829, 0.8759567000670359, 1.0120766001055017, 1.4841403000755236]";164.730375599931;None;;;S11005;2021_Oct_22_1141;VideoMask;2021.1.2;120.13296322514311;
