primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.started;slider_resp_response.stopped;slider_resp_response.rt;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;key_resp.rt;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
1111;m;1111_m_m_h_a.jpg;happy;9;example_30.4ns.avi;neutral;7;incongruent;120.0;170.0;189.5874364012288;;0;0;0;0;;;;;97.4749812000664;1;97.55259630002547;99.5777831999585;99.5777831999585;None;101.57765340001788;None;103.7775572000537;104.11087410000619;105.27735960006248;105.29413509997539;109.57734750001691;None;None;0;109.57734750001691;None;111.14386790001299;None;None;None;[];111.14386790001299;None;5;None;111.14386790001299;None;;;;;;;;;;;;;;;;;;S11084;2021_Dec_07_1445;VideoMask;2021.1.2;119.98521776448509;
1113;f;1113_y_f_s_a.jpg;sad;7;example_30.3ns.avi;neutral;7;incongruent;130.0;170.0;229.02432995836998;;0;1;1;1;;;;;;;;;;;114.16066040005535;None;116.2770351000363;116.59374439995736;117.73550930002239;117.75252350000665;119.72722450003494;None;None;0;119.72722450003494;None;121.27687629999127;None;None;None;[];121.27687629999127;None;6;['9'];121.27687629999127;None;[0.8235048999777064];;;;;;;;;;;;;;;;;S11084;2021_Dec_07_1445;VideoMask;2021.1.2;119.98521776448509;
9.0;f;019_m_f_h_a.jpg;happy;9.0;sad_115.1.wmv;sad;7.0;incongruent;120.0;160.0;128.09063432376465;h_s;;;;;0;0;0;0;;;;;;;125.31004090001807;None;126.59341279999353;126.9101274999557;128.04320219997317;128.05992829997558;130.04332609998528;None;None;0;130.04332609998528;None;;;;;;;;4;;;;;124.27704009995796;None;131.59330139996018;None;None;None;[];131.59330139996018;None;['7'];[0.15505240007769316];131.59330139996018;None;;;;S11084;2021_Dec_07_1445;VideoMask;2021.1.2;119.98521776448509;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_94.2ns.avi;sad;7.0;congruent;130.0;160.0;182.29120173647655;s_s;;;;;0;1;1;1;;;;;;;134.59324219997507;None;136.30982439999934;136.62652170006186;137.78487099998165;137.80154420004692;140.45141400001012;None;7;0;140.45141400001012;None;;;;;;;;3;;;;;;;141.99295600003097;None;None;None;[];141.99295600003097;None;"['7', '7']";"[1.8836084000067785, 2.9076410999987274]";141.99295600003097;None;0.7290833999868482;;;S11084;2021_Dec_07_1445;VideoMask;2021.1.2;119.98521776448509;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_26.1ns.avi;happy;9.0;congruent;120.0;150.0;155.9437854594882;h_h;;;;;0;2;2;2;;;;;;;144.9930033000419;None;146.48447839997243;146.80114710005;148.0012261000229;148.01811800000723;149.92615800001658;None;9;0;149.92615800001658;None;;;;;;;;6;;;;;;;151.47611629997846;None;None;None;[];151.47611629997846;None;"['9', '9']";"[1.7363682000432163, 2.65655160008464]";151.47611629997846;None;1.3822609999915585;;;S11084;2021_Dec_07_1445;VideoMask;2021.1.2;119.98521776448509;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_138.1.wmv;sad;7.0;incongruent;120.0;160.0;133.99071306426532;h_s;;;;;0;3;3;3;;;;;;;154.4759953999892;None;155.80080590001307;156.1175704000052;157.24265470006503;157.25929519999772;159.25919610005803;None;None;0;159.25919610005803;None;;;;;;;;4;;;;;;;160.80922649998683;None;None;None;[];160.80922649998683;None;['7'];[1.475298500037752];160.80922649998683;None;;;;S11084;2021_Dec_07_1445;VideoMask;2021.1.2;119.98521776448509;
8.0;f;028_y_f_s_a.jpg;sad;7.0;sad_64.2ns.avi;sad;7.0;congruent;130.0;160.0;229.88540597086478;s_s;;;;;0;4;4;4;;;;;;;163.8174012999516;None;165.98444130003918;166.30079230002593;167.44270020001568;167.46731219999492;178.43388639995828;None;7;0;178.43388639995828;None;;;;;;;;3;;;;;;;179.9836409999989;None;None;None;[];179.9836409999989;None;"['7', '7']";"[1.2207054999889806, 1.5089022000320256]";179.9836409999989;None;0.7464542000088841;;;S11084;2021_Dec_07_1445;VideoMask;2021.1.2;119.98521776448509;
7.0;m;027_o_m_s_a.jpg;sad;7.0;sad_10.4ns.avi;sad;7.0;congruent;130.0;160.0;185.20129417468752;s_s;;;;;0;5;5;5;;;;;;;182.98350920004304;None;184.73334929998964;185.05008590000216;186.2167819000315;186.23331969999708;189.3500417000614;None;7;0;189.3500417000614;None;;;;;;;;2;;;;;;;190.89974080002867;None;None;None;[];190.89974080002867;None;"['7', '7', '7']";"[0.9769046000437811, 1.4725593000184745, 2.5686572999693453]";190.89974080002867;None;1.1823339000111446;;;S11084;2021_Dec_07_1445;VideoMask;2021.1.2;119.98521776448509;
2.0;f;012_o_f_s_a.jpg;sad;7.0;sad_7.5ns.avi;sad;7.0;congruent;130.0;160.0;220.27842655424388;s_s;;;;;0;6;6;6;;;;;;;193.8999125000555;None;195.93306039995514;196.24969870003406;197.4413610000629;197.458629700006;200.174845200032;None;7;0;200.174845200032;None;;;;;;;;2;;;;;;;201.73293050006032;None;None;None;[];201.73293050006032;None;"['7', '7', '7']";"[0.9834736000047997, 1.215468099922873, 1.7993173999711871]";201.73293050006032;None;0.7816999999340624;;;S11084;2021_Dec_07_1445;VideoMask;2021.1.2;119.98521776448509;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_27.1ns.avi;happy;9.0;congruent;120.0;150.0;146.44967055810616;h_h;;;;;0;7;7;7;;;;;;;204.7328167000087;None;206.14934080000967;206.465965099982;207.60780850006267;207.62442789995112;210.09112190001179;None;9;0;210.09112190001179;None;;;;;;;;6;;;;;;;211.64095559995621;None;None;None;[];211.64095559995621;None;['9'];[1.6199150999309495];211.64095559995621;None;1.3212823000503704;;;S11084;2021_Dec_07_1445;VideoMask;2021.1.2;119.98521776448509;
