primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.started;slider_resp_response.stopped;key_resp.rt;slider_resp_response.rt;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
1111;m;1111_m_m_h_a.jpg;happy;9;example_30.4ns.avi;neutral;7;incongruent;120.0;170.0;189.5874364012288;;0;0;0;0;;;;;22.611731999961194;1;22.68925739999395;24.689443500014022;24.689443500014022;None;26.705925299960654;None;28.914880299998913;29.230883300013375;30.38917089998722;30.405870599963237;34.72244679997675;None;None;0;34.72244679997675;None;36.27218269999139;None;None;None;[];36.27218269999139;None;5;None;36.27218269999139;None;;;;;;;;;;;;;;;;;;S11155;2022_Jan_17_1216;VideoMask;2021.1.2;120.0493162712775;
1113;f;1113_y_f_s_a.jpg;sad;7;example_30.3ns.avi;neutral;7;incongruent;130.0;170.0;229.02432995836998;;0;1;1;1;;;;;;;;;;;39.297111799998675;None;41.41389749996597;41.73048849997576;42.855460899998434;42.87220609997166;44.86399230000097;None;9;0;44.86399230000097;None;46.41371359996265;None;None;None;[];46.41371359996265;None;6;['9'];46.41371359996265;None;1.1958795000100508;[0.742216799990274];;;;;;;;;;;;;;;;S11155;2022_Jan_17_1216;VideoMask;2021.1.2;120.0493162712775;
9.0;f;019_m_f_h_a.jpg;happy;9.0;sad_115.1.wmv;sad;7.0;incongruent;120.0;160.0;128.09063432376465;h_s;;;;;0;0;0;0;;;;;;;50.446966199961025;None;51.721792399999686;52.03857859998243;53.171704399981536;53.19684910000069;55.17194719996769;None;7;0;55.17194719996769;None;;;;;;;;3;;;;0.7118632000056095;;49.41363570000976;None;56.721693700004835;None;None;None;[];56.721693700004835;None;"['7', '7']";"[0.8263615000178106, 1.4262155999895185]";56.721693700004835;None;;;S11155;2022_Jan_17_1216;VideoMask;2021.1.2;120.0493162712775;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_94.2ns.avi;sad;7.0;congruent;130.0;160.0;182.29120173647655;s_s;;;;;0;1;1;1;;;;;;;59.7302495999611;None;61.43811310001183;61.75488859997131;62.95502729999134;62.97159129998181;65.57981560000917;None;7;0;65.57981560000917;None;;;;;;;;2;;;;0.6400805999874137;;;;67.12978109996766;None;None;None;[];67.12978109996766;None;"['7', '7', '7', '7']";"[0.5700323000201024, 1.0022593999747187, 1.5540442999918014, 2.1139971999800764]";67.12978109996766;None;;;S11155;2022_Jan_17_1216;VideoMask;2021.1.2;120.0493162712775;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_26.1ns.avi;happy;9.0;congruent;120.0;150.0;155.9437854594882;h_h;;;;;0;2;2;2;;;;;;;70.13807639997685;None;71.62113280000631;71.93798980000429;73.10438500001328;73.12128859997028;75.06304859998636;None;9;0;75.06304859998636;None;;;;;;;;6;;;;1.1653003999963403;;;;76.64615970000159;None;None;None;[];76.64615970000159;None;['9'];[0.6216516999993473];76.64615970000159;None;;;S11155;2022_Jan_17_1216;VideoMask;2021.1.2;120.0493162712775;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_138.1.wmv;sad;7.0;incongruent;120.0;160.0;133.99071306426532;h_s;;;;;0;3;3;3;;;;;;;79.64619980001589;None;80.96257739997236;81.27928839996457;82.41257889999542;82.4293477999745;84.41273470001761;None;7;0;84.41273470001761;None;;;;;;;;4;;;;1.1030812000390142;;;;85.96256399998674;None;None;None;[];85.96256399998674;None;['7'];[0.8335008999565616];85.96256399998674;None;;;S11155;2022_Jan_17_1216;VideoMask;2021.1.2;120.0493162712775;
8.0;f;028_y_f_s_a.jpg;sad;7.0;sad_64.2ns.avi;sad;7.0;congruent;130.0;160.0;229.88540597086478;s_s;;;;;0;4;4;4;;;;;;;88.96262189996196;None;91.12056479998864;91.43732650001766;92.62904490000801;92.64559739996912;103.57044300000416;None;7;0;103.57044300000416;None;;;;;;;;1;;;;0.5535002999822609;;;;105.12034839997068;None;None;None;[];105.12034839997068;None;"['7', '7', '7', '7']";"[0.4674739000038244, 0.7552820999990217, 1.0115297000156716, 1.2994912000140175]";105.12034839997068;None;;;S11155;2022_Jan_17_1216;VideoMask;2021.1.2;120.0493162712775;
7.0;m;027_o_m_s_a.jpg;sad;7.0;sad_10.4ns.avi;sad;7.0;congruent;130.0;160.0;185.20129417468752;s_s;;;;;0;5;5;5;;;;;;;108.12040369998431;None;109.8616421999759;110.1783547999803;111.33685690001585;111.35346139996545;114.47838039998896;None;7;0;114.47838039998896;None;;;;;;;;1;;;;0.6135276000131853;;;;116.02833499998087;None;None;None;[];116.02833499998087;None;"['7', '7', '7', '7']";"[0.4155216999934055, 0.7752940999926068, 1.0473589999601245, 1.5676204999908805]";116.02833499998087;None;;;S11155;2022_Jan_17_1216;VideoMask;2021.1.2;120.0493162712775;
2.0;f;012_o_f_s_a.jpg;sad;7.0;sad_7.5ns.avi;sad;7.0;congruent;130.0;160.0;220.27842655424388;s_s;;;;;0;6;6;6;;;;;;;119.03665620001266;None;121.07030769996345;121.38656630000332;122.56152409996139;122.57819440000458;125.31156100000953;None;7;0;125.31156100000953;None;;;;;;;;3;;;;0.5963114000041969;;;;126.86963689996628;None;None;None;[];126.86963689996628;None;"['7', '7']";"[0.5744997999863699, 0.9584095000172965]";126.86963689996628;None;;;S11155;2022_Jan_17_1216;VideoMask;2021.1.2;120.0493162712775;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_27.1ns.avi;happy;9.0;congruent;120.0;150.0;146.44967055810616;h_h;;;;;0;7;7;7;;;;;;;129.878063799988;None;131.29444019997027;131.61124339996604;132.78661349997856;132.81119849998504;135.23620350001147;None;9;0;135.23620350001147;None;;;;;;;;7;;;;0.5916295999777503;;;;136.80273319996195;None;None;None;[];136.80273319996195;None;"['9', '9']";"[0.4172763000242412, 0.8811576999723911]";136.80273319996195;None;;;S11155;2022_Jan_17_1216;VideoMask;2021.1.2;120.0493162712775;
