primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.rt;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.started;slider_resp_response.stopped;slider_resp_response.rt;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
1111;m;1111_m_m_h_a.jpg;happy;9;example_30.4ns.avi;neutral;7;incongruent;120.0;170.0;189.5874364012288;;0;0;0;0;;;;;31.788709800006473;1;31.867266600005678;33.86756779999996;33.86756779999996;None;35.884679200011306;None;38.108799300011015;38.44226239999989;39.617175100007444;39.6339033000113;43.90044090000447;None;9;0;1.2850709000049392;43.90044090000447;None;45.45880130000296;None;None;None;[];45.45880130000296;None;5;None;45.45880130000296;None;;;;;;;;;;;;;;;;;S11267;2022_Mar_08_1123;VideoMask;2021.1.2;120.02266029711339;
1113;f;1113_y_f_s_a.jpg;sad;7;example_30.3ns.avi;neutral;7;incongruent;130.0;170.0;229.02432995836998;;0;1;1;1;;;;;;;;;;;48.47533210000256;None;50.58342960001028;50.900157600000966;52.083475400009775;52.10018240001227;54.04184250000981;None;None;0;;54.04184250000981;None;55.591826200005016;None;None;None;[];55.591826200005016;None;5;"['7', '9']";55.591826200005016;None;"[0.15373760000511538, 2.7218339999963064]";;;;;;;;;;;;;;;;S11267;2022_Mar_08_1123;VideoMask;2021.1.2;120.02266029711339;
9.0;f;019_m_f_h_a.jpg;happy;9.0;sad_115.1.wmv;sad;7.0;incongruent;120.0;160.0;128.09063432376465;h_s;;;;;0;0;0;0;;;;;;;59.624888300008024;None;60.89967060000345;61.216428900006576;62.34975180000765;62.36653970000043;64.34979079999903;None;None;0;;64.34979079999903;None;;;;;;;;4;;;;;58.591640200000256;None;65.89975840000261;None;None;None;[];65.89975840000261;None;"['7', '7']";"[0.30185410000558477, 2.0939441999944393]";65.89975840000261;None;;;S11267;2022_Mar_08_1123;VideoMask;2021.1.2;120.02266029711339;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_94.2ns.avi;sad;7.0;congruent;130.0;160.0;182.29120173647655;s_s;;;;;0;1;1;1;;;;;;;68.89965450001182;None;70.61613510000461;70.93281650000426;72.06624890000967;72.08285170000454;74.75783180000144;None;None;0;;74.75783180000144;None;;;;;;;;5;;;;;;;76.30784970000968;None;None;None;[];76.30784970000968;None;['7'];[2.269870499992976];76.30784970000968;None;;;S11267;2022_Mar_08_1123;VideoMask;2021.1.2;120.02266029711339;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_26.1ns.avi;happy;9.0;congruent;120.0;150.0;155.9437854594882;h_h;;;;;0;2;2;2;;;;;;;79.31598460000532;None;80.82414060000156;81.14074650000839;82.2741248000093;82.29090210000868;84.26587410000502;None;9;0;0.9597027999989223;84.26587410000502;None;;;;;;;;6;;;;;;;85.8158170000097;None;None;None;[];85.8158170000097;None;['9'];[0.9214810999983456];85.8158170000097;None;;;S11267;2022_Mar_08_1123;VideoMask;2021.1.2;120.02266029711339;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_138.1.wmv;sad;7.0;incongruent;120.0;160.0;133.99071306426532;h_s;;;;;0;3;3;3;;;;;;;88.8157879000064;None;90.14050760000828;90.45731310000701;91.59058530000038;91.60727430001134;93.59059300000081;None;None;0;;93.59059300000081;None;;;;;;;;4;;;;;;;95.14030440000352;None;None;None;[];95.14030440000352;None;['7'];[0.24535859999014065];95.14030440000352;None;;;S11267;2022_Mar_08_1123;VideoMask;2021.1.2;120.02266029711339;
8.0;f;028_y_f_s_a.jpg;sad;7.0;sad_64.2ns.avi;sad;7.0;congruent;130.0;160.0;229.88540597086478;s_s;;;;;0;4;4;4;;;;;;;98.14044699999795;None;100.28177200000209;100.59859280000092;101.74866610000026;101.76528060001147;112.74829690001206;None;7;0;0.46120459999656305;112.74829690001206;None;;;;;;;;4;;;;;;;114.29825469999923;None;None;None;[];114.29825469999923;None;"['7', '7']";"[0.49537119999877177, 1.1272234000061871]";114.29825469999923;None;;;S11267;2022_Mar_08_1123;VideoMask;2021.1.2;120.02266029711339;
7.0;m;027_o_m_s_a.jpg;sad;7.0;sad_10.4ns.avi;sad;7.0;congruent;130.0;160.0;185.20129417468752;s_s;;;;;0;5;5;5;;;;;;;117.29823790000228;None;119.0396502000076;119.35618300001079;120.50635979999788;120.52298610001162;123.65629450000415;None;None;0;;123.65629450000415;None;;;;;;;;4;;;;;;;125.20603980000305;None;None;None;[];125.20603980000305;None;['7'];[1.9955052000004798];125.20603980000305;None;;;S11267;2022_Mar_08_1123;VideoMask;2021.1.2;120.02266029711339;
2.0;f;012_o_f_s_a.jpg;sad;7.0;sad_7.5ns.avi;sad;7.0;congruent;130.0;160.0;220.27842655424388;s_s;;;;;0;6;6;6;;;;;;;128.20627540000714;None;130.2392361000093;130.55598410000675;131.73938660000567;131.75608459999785;134.48110309999902;None;7;0;0.4647619000024861;134.48110309999902;None;;;;;;;;4;;;;;;;136.0474957000115;None;None;None;[];136.0474957000115;None;['7'];[0.5060280999896349];136.0474957000115;None;;;S11267;2022_Mar_08_1123;VideoMask;2021.1.2;120.02266029711339;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_27.1ns.avi;happy;9.0;congruent;120.0;150.0;146.44967055810616;h_h;;;;;0;7;7;7;;;;;;;139.04755000000296;None;140.45549100000062;140.77231369999936;141.93953540000075;141.96399800000654;144.3972730000096;None;9;0;0.5483018000086304;144.3972730000096;None;;;;;;;;7;;;;;;;145.94725350000954;None;None;None;[];145.94725350000954;None;"['9', '9']";"[0.4383856999920681, 2.4544049999967683]";145.94725350000954;None;;;S11267;2022_Mar_08_1123;VideoMask;2021.1.2;120.02266029711339;
