primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.started;slider_resp_response.stopped;slider_resp_response.rt;text_start.started;text_start.stopped;key_resp.rt;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
1111;m;1111_m_m_h_a.jpg;happy;9;example_30.4ns.avi;neutral;7;incongruent;120.0;170.0;189.5874364012288;;0;0;0;0;;;;;49.892371500027366;1;49.986979299923405;51.98711739992723;51.98711739992723;None;54.012081300024875;None;56.270513999974355;56.60352300002705;57.753997699939646;57.77929109998513;62.07844740001019;None;None;0;62.07844740001019;None;63.64490720001049;None;None;None;[];63.64490720001049;None;5;None;63.64490720001049;None;;;;;;;;;;;;;;;;;;S11293;2022_Mar_17_1936;VideoMask;2021.1.2;119.92205063197511;
1113;f;1113_y_f_s_a.jpg;sad;7;example_30.3ns.avi;neutral;7;incongruent;130.0;170.0;229.02432995836998;;0;1;1;1;;;;;;;;;;;66.6614671999123;None;68.77818399993703;69.09490879997611;70.27822630002629;70.29494209995028;72.2365633000154;None;None;0;72.2365633000154;None;73.78623039997183;None;None;None;[];73.78623039997183;None;6;['9'];73.78623039997183;None;[1.5485370999667794];;;;;;;;;;;;;;;;;S11293;2022_Mar_17_1936;VideoMask;2021.1.2;119.92205063197511;
9.0;f;019_m_f_h_a.jpg;happy;9.0;sad_115.1.wmv;sad;7.0;incongruent;120.0;160.0;128.09063432376465;h_s;;;;;0;0;0;0;;;;;;;77.81964739994146;None;79.11110769992229;79.42790000000969;80.56935889995657;80.58598099998198;82.5862243999727;None;7;0;82.5862243999727;None;;;;;;;;4;;;;;76.79476540000178;None;1.4122843999648467;84.14430759998504;None;None;None;[];84.14430759998504;None;['7'];[2.7181512999814004];84.14430759998504;None;;;S11293;2022_Mar_17_1936;VideoMask;2021.1.2;119.92205063197511;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_94.2ns.avi;sad;7.0;congruent;130.0;160.0;182.29120173647655;s_s;;;;;0;1;1;1;;;;;;;87.14435710001271;None;88.87754979997408;89.19420989998616;90.32756100001279;90.34455789998174;93.01921910000965;None;None;0;93.01921910000965;None;;;;;;;;4;;;;;;;;94.56914159993175;None;None;None;[];94.56914159993175;None;['7'];[1.5097544000018388];94.56914159993175;None;;;S11293;2022_Mar_17_1936;VideoMask;2021.1.2;119.92205063197511;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_26.1ns.avi;happy;9.0;congruent;120.0;150.0;155.9437854594882;h_h;;;;;0;2;2;2;;;;;;;97.57744589995127;None;99.07724110002164;99.39389770000707;100.52723439992405;100.54388919996563;102.51892159995623;None;9;0;102.51892159995623;None;;;;;;;;7;;;;;;;1.1756205999990925;104.07715119991917;None;None;None;[];104.07715119991917;None;"['9', '9']";"[0.8974373999517411, 1.2653960000025108]";104.07715119991917;None;;;S11293;2022_Mar_17_1936;VideoMask;2021.1.2;119.92205063197511;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_138.1.wmv;sad;7.0;incongruent;120.0;160.0;133.99071306426532;h_s;;;;;0;3;3;3;;;;;;;107.07716270000674;None;108.41859409993049;108.73533299996052;109.86036069993861;109.87689590000082;111.8686197999632;None;None;0;111.8686197999632;None;;;;;;;;3;;;;;;;;113.41835209995043;None;None;None;[];113.41835209995043;None;"['7', '7']";"[1.028366700047627, 1.4921694999793544]";113.41835209995043;None;;;S11293;2022_Mar_17_1936;VideoMask;2021.1.2;119.92205063197511;
8.0;f;028_y_f_s_a.jpg;sad;7.0;sad_64.2ns.avi;sad;7.0;congruent;130.0;160.0;229.88540597086478;s_s;;;;;0;4;4;4;;;;;;;116.4184884999413;None;118.63504369999282;118.95161320001353;120.16830459993798;120.18497850000858;131.08464969997294;None;7;0;131.08464969997294;None;;;;;;;;3;;;;;;;1.1698936000466347;132.63460939994548;None;None;None;[];132.63460939994548;None;"['7', '7']";"[1.4839099999517202, 1.916175999911502]";132.63460939994548;None;;;S11293;2022_Mar_17_1936;VideoMask;2021.1.2;119.92205063197511;
7.0;m;027_o_m_s_a.jpg;sad;7.0;sad_10.4ns.avi;sad;7.0;congruent;130.0;160.0;185.20129417468752;s_s;;;;;0;5;5;5;;;;;;;135.63460899994243;None;137.40101859997958;137.71775940002408;138.85938289994374;138.87604929995723;142.0176301000174;None;7;0;142.0176301000174;None;;;;;;;;2;;;;;;;1.1007499999832362;143.56757219997235;None;None;None;[];143.56757219997235;None;"['7', '7', '7']";"[0.806970400037244, 1.2788980000186712, 1.5908288999926299]";143.56757219997235;None;;;S11293;2022_Mar_17_1936;VideoMask;2021.1.2;119.92205063197511;
2.0;f;012_o_f_s_a.jpg;sad;7.0;sad_7.5ns.avi;sad;7.0;congruent;130.0;160.0;220.27842655424388;s_s;;;;;0;6;6;6;;;;;;;146.5674809999764;None;148.6089949000161;148.92567819997203;150.17638710001484;150.20892879995517;152.8506619000109;None;7;0;152.8506619000109;None;;;;;;;;4;;;;;;;0.803851900040172;154.40054589998908;None;None;None;[];154.40054589998908;None;['7'];[0.606344599975273];154.40054589998908;None;;;S11293;2022_Mar_17_1936;VideoMask;2021.1.2;119.92205063197511;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_27.1ns.avi;happy;9.0;congruent;120.0;150.0;146.44967055810616;h_h;;;;;0;7;7;7;;;;;;;157.4088907999685;None;158.82533070002683;159.1419783999445;160.30948029994033;160.34201529994607;162.7670943000121;None;9;0;162.7670943000121;None;;;;;;;;7;;;;;;;0.9753223999869078;164.31693209998775;None;None;None;[];164.31693209998775;None;"['9', '9']";"[1.0256443000398576, 1.3694759999634698]";164.31693209998775;None;;;S11293;2022_Mar_17_1936;VideoMask;2021.1.2;119.92205063197511;
