primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.rt;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.rt;slider_resp_response.started;slider_resp_response.stopped;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
1111;m;1111_m_m_h_a.jpg;happy;9;example_30.4ns.avi;neutral;7;incongruent;120.0;170.0;189.5874364012288;;0;0;0;0;;;;;30.010188999818638;1;30.0876372999046;32.08788839983754;32.08788839983754;None;34.112835499923676;None;36.33744479995221;36.654285199940205;37.78773669991642;37.80498759984039;42.1292624999769;None;9;0;0.8175641000270844;42.1292624999769;None;43.67894779983908;None;None;None;[];43.67894779983908;None;7;"['9', '9', '9']";"[1.2921216001268476, 2.03587570018135, 2.547774000093341]";43.67894779983908;None;;;;;;;;;;;;;;;;S11344;2022_Apr_01_1751;VideoMask;2021.1.2;120.83496963977872;
1113;f;1113_y_f_s_a.jpg;sad;7;example_30.3ns.avi;neutral;7;incongruent;130.0;170.0;229.02432995836998;;0;1;1;1;;;;;;;;;;;46.679065899923444;None;48.78719129995443;49.10388439986855;50.237321599852294;50.25458680000156;52.237220800016075;None;8;0;0.9578481998760253;52.237220800016075;None;53.787195099983364;None;None;None;[];53.787195099983364;None;5;None;;53.787195099983364;None;;;;;;;;;;;;;;;;S11344;2022_Apr_01_1751;VideoMask;2021.1.2;120.83496963977872;
9.0;f;019_m_f_h_a.jpg;happy;9.0;sad_115.1.wmv;sad;7.0;incongruent;120.0;160.0;128.09063432376465;h_s;;;;;0;0;0;0;;;;;;;57.820227599935606;None;59.09515319997445;59.41192610003054;60.5533402999863;60.570310099981725;62.54523489996791;None;7;0;0.7216171000618488;62.54523489996791;None;;;;;;;;3;;;;;56.820479799993336;None;64.10428149998188;None;None;None;[];64.10428149998188;None;"['7', '7']";"[0.8185998001135886, 1.6105754000600427]";64.10428149998188;None;;;S11344;2022_Apr_01_1751;VideoMask;2021.1.2;120.83496963977872;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_94.2ns.avi;sad;7.0;congruent;130.0;160.0;182.29120173647655;s_s;;;;;0;1;1;1;;;;;;;67.09510409994982;None;68.81165279983543;69.12834009993821;70.31174349994399;70.32832670002244;72.95340899983421;None;7;0;1.3453589999116957;72.95340899983421;None;;;;;;;;4;;;;;;;74.51152679999359;None;None;None;[];74.51152679999359;None;['7'];[1.0034934000577778];74.51152679999359;None;;;S11344;2022_Apr_01_1751;VideoMask;2021.1.2;120.83496963977872;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_26.1ns.avi;happy;9.0;congruent;120.0;150.0;155.9437854594882;h_h;;;;;0;2;2;2;;;;;;;77.51157059986144;None;78.99457849981263;79.31140959984623;80.46138729993254;80.47792839980684;82.43649639980868;None;9;0;0.5906646000221372;82.43649639980868;None;;;;;;;;8;;;;;;;83.99464869988151;None;None;None;[];83.99464869988151;None;"['9', '9', '9']";"[0.5044210001360625, 0.9922005999833345, 1.5443709001410753]";83.99464869988151;None;;;S11344;2022_Apr_01_1751;VideoMask;2021.1.2;120.83496963977872;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_138.1.wmv;sad;7.0;incongruent;120.0;160.0;133.99071306426532;h_s;;;;;0;3;3;3;;;;;;;87.00294469995424;None;88.3192741998937;88.6360224999953;89.76946310000494;89.78600179986097;91.76931310002692;None;7;0;1.2661132998764515;91.76931310002692;None;;;;;;;;1;;;;;;;94.07757409987971;None;None;None;[];94.07757409987971;None;"['7', '7', '7', '7']";"[0.3732386000920087, 0.5891800001263618, 0.7491206999402493, 0.8931716999504715]";94.07757409987971;None;;;S11344;2022_Apr_01_1751;VideoMask;2021.1.2;120.83496963977872;
8.0;f;028_y_f_s_a.jpg;sad;7.0;sad_64.2ns.avi;sad;7.0;congruent;130.0;160.0;229.88540597086478;s_s;;;;;0;4;4;4;;;;;;;97.08589520002715;None;99.23557080002502;99.55232439981773;100.71949129994027;100.74405989982188;111.68540790001862;None;7;0;0.43728569988161325;111.68540790001862;None;;;;;;;;2;;;;;;;113.25199649995193;None;None;None;[];113.25199649995193;None;"['7', '7', '7', '7', '7', '7']";"[0.49500090000219643, 0.7668077000416815, 1.1027983000967652, 1.510909599950537, 2.3671883998904377, 2.7188885000068694]";113.25199649995193;None;;;S11344;2022_Apr_01_1751;VideoMask;2021.1.2;120.83496963977872;
7.0;m;027_o_m_s_a.jpg;sad;7.0;sad_10.4ns.avi;sad;7.0;congruent;130.0;160.0;185.20129417468752;s_s;;;;;0;5;5;5;;;;;;;116.26032239990309;None;118.00173449981958;118.318481199909;119.47677429998294;119.4934739000164;122.63502989988774;None;7;0;0.7117824000306427;122.63502989988774;None;;;;;;;;1;;;;;;;124.1849268998485;None;None;None;[];124.1849268998485;None;"['7', '7', '7', '7']";"[0.44207299989648163, 1.233942899852991, 1.8097715999465436, 2.122005800018087]";124.1849268998485;None;;;S11344;2022_Apr_01_1751;VideoMask;2021.1.2;120.83496963977872;
2.0;f;012_o_f_s_a.jpg;sad;7.0;sad_7.5ns.avi;sad;7.0;congruent;130.0;160.0;220.27842655424388;s_s;;;;;0;6;6;6;;;;;;;127.18495299993083;None;129.20970100001432;129.52640519989654;130.76812199992128;130.78468829998747;133.45139189995825;None;7;0;0.6873110001906753;133.45139189995825;None;;;;;;;;2;;;;;;;135.2096243998967;None;None;None;[];135.2096243998967;None;"['7', '7', '7', '7']";"[0.3771361999679357, 0.6650967998430133, 1.0331908999942243, 1.4331961998250335]";135.2096243998967;None;;;S11344;2022_Apr_01_1751;VideoMask;2021.1.2;120.83496963977872;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_27.1ns.avi;happy;9.0;congruent;120.0;150.0;146.44967055810616;h_h;;;;;0;7;7;7;;;;;;;138.20968770002946;None;139.6176238998305;139.93452369980514;141.09260530001484;141.1092507999856;143.55936279986054;None;9;0;0.5633549001067877;143.55936279986054;None;;;;;;;;9;;;;;;;145.10932149994187;None;None;None;[];145.10932149994187;None;"['9', '9', '9', '9', '9']";"[0.4615020998753607, 0.8375101999845356, 1.1654509999789298, 1.589763999916613, 1.9658748998772353]";145.10932149994187;None;;;S11344;2022_Apr_01_1751;VideoMask;2021.1.2;120.83496963977872;
8.0;f;028_y_f_h_a.jpg;happy;9.0;sad_119.1.wmv;sad;7.0;incongruent;120.0;160.0;148.71526953572538;h_s;;;;;0;8;8;8;;;;;;;148.10923519986682;None;149.55063680000603;149.86748569994234;151.00123689998873;151.02577109984122;153.06739520002156;None;7;0;0.7032782998867333;153.06739520002156;None;;;;;;;;3;;;;;;;154.617363399826;None;None;None;[];154.617363399826;None;"['7', '7']";"[0.4892716999165714, 1.1134409999940544]";154.617363399826;None;;;S11344;2022_Apr_01_1751;VideoMask;2021.1.2;120.83496963977872;
6.0;m;016_y_m_s_a.jpg;sad;7.0;happy_60.4ns.avi;happy;9.0;incongruent;130.0;150.0;126.02367393611817;s_h;;;;;0;9;9;9;;;;;;;157.61727809999138;None;158.87538049998693;159.1921406998299;160.3508514999412;160.36744969990104;166.1169814998284;None;9;0;0.4698202998843044;166.1169814998284;None;;;;;;;;6;;;;;;;167.66696759988554;None;None;None;[];167.66696759988554;None;['9'];[0.39166379999369383];167.66696759988554;None;;;S11344;2022_Apr_01_1751;VideoMask;2021.1.2;120.83496963977872;
9.0;f;019_m_f_s_a.jpg;sad;7.0;sad_8.4ns.avi;sad;7.0;congruent;130.0;160.0;171.6633093155257;s_s;;;;;0;10;10;10;;;;;;;170.66691169980913;None;172.33325789985247;172.65000319993123;173.82511819992214;173.84229499986395;181.91648979997262;None;7;0;0.534294200129807;181.91648979997262;None;;;;;;;;3;;;;;;;183.46645920001902;None;None;None;[];183.46645920001902;None;"['7', '7']";"[0.6321773999370635, 0.872325100004673]";183.46645920001902;None;;;S11344;2022_Apr_01_1751;VideoMask;2021.1.2;120.83496963977872;
