primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.rt;slider_resp_response.started;slider_resp_response.stopped;key_resp.rt;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
1111;m;1111_m_m_h_a.jpg;happy;9;example_30.4ns.avi;neutral;7;incongruent;120.0;170.0;189.5874364012288;;0;0;0;0;;;;;115.61660990002565;1;115.69470380002167;117.6949045000365;117.6949045000365;None;119.712076399941;None;121.69456989993341;122.0114043999929;123.17787180002779;123.19464639993384;127.4946106999414;None;None;0;127.4946106999414;None;129.1860932999989;None;None;None;[];129.1860932999989;None;8;"['9', '9', '9', '9', '9', '9']";"[0.027734700008295476, 1.1477369999047369, 1.4276941999560222, 1.8036721999524161, 2.195763799943961, 2.6676263998961076]";129.1860932999989;None;;;;;;;;;;;;;;;;;S11401;2022_Apr_27_1016;VideoMask;2021.1.2;120.03591473968231;
1113;f;1113_y_f_s_a.jpg;sad;7;example_30.3ns.avi;neutral;7;incongruent;130.0;170.0;229.02432995836998;;0;1;1;1;;;;;;;;;;;132.18620979995467;None;134.302752199932;134.61936409992632;135.78598399995826;135.80265710002277;137.75260619993787;None;9;0;137.75260619993787;None;139.30257409997284;None;None;None;[];139.30257409997284;None;6;['9'];[1.4551964000565931];139.30257409997284;None;1.0532404999248683;;;;;;;;;;;;;;;;S11401;2022_Apr_27_1016;VideoMask;2021.1.2;120.03591473968231;
9.0;f;019_m_f_h_a.jpg;happy;9.0;sad_115.1.wmv;sad;7.0;incongruent;120.0;160.0;128.09063432376465;h_s;;;;;0;0;0;0;;;;;;;143.33579539996572;None;144.61064440000337;144.92732369992882;146.0605743000051;146.0774281999329;148.06063049996737;None;7;0;148.06063049996737;None;;;;;;;;4;;;;;0.6492320001125336;142.3108761999756;None;149.61897900002077;None;None;None;[];149.61897900002077;None;"['7', '7']";"[0.77884299994912, 1.954677699948661]";149.61897900002077;None;;;S11401;2022_Apr_27_1016;VideoMask;2021.1.2;120.03591473968231;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_94.2ns.avi;sad;7.0;congruent;130.0;160.0;182.29120173647655;s_s;;;;;0;1;1;1;;;;;;;152.61887559993193;None;154.32697329996154;154.6436676000012;155.86044279998168;155.87706159998197;158.4685992000159;None;7;0;158.4685992000159;None;;;;;;;;4;;;;;0.7134644999168813;;;160.02696719998494;None;None;None;[];160.02696719998494;None;"['7', '7']";"[0.6348431999795139, 1.7869437000481412]";160.02696719998494;None;;;S11401;2022_Apr_27_1016;VideoMask;2021.1.2;120.03591473968231;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_26.1ns.avi;happy;9.0;congruent;120.0;150.0;155.9437854594882;h_h;;;;;0;2;2;2;;;;;;;163.02697489992715;None;164.51007590000518;164.8268020999385;165.9600061000092;165.97705849993508;167.95175280002877;None;9;0;167.95175280002877;None;;;;;;;;9;;;;;0.6224046999122947;;;169.50167769996915;None;None;None;[];169.50167769996915;None;"['9', '9', '9', '9']";"[0.4083403000840917, 0.6080320000182837, 0.7920243000844494, 1.4643486000131816]";169.50167769996915;None;;;S11401;2022_Apr_27_1016;VideoMask;2021.1.2;120.03591473968231;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_138.1.wmv;sad;7.0;incongruent;120.0;160.0;133.99071306426532;h_s;;;;;0;3;3;3;;;;;;;172.51001149998046;None;173.8264393999707;174.14303199993446;175.26820739998948;175.28474609996192;177.28488059993833;None;7;0;177.28488059993833;None;;;;;;;;2;;;;;0.8649930000538006;;;178.83461449993774;None;None;None;[];178.83461449993774;None;"['7', '7', '7']";"[0.7074964001076296, 0.9713012001011521, 1.3633110000519082]";178.83461449993774;None;;;S11401;2022_Apr_27_1016;VideoMask;2021.1.2;120.03591473968231;
8.0;f;028_y_f_s_a.jpg;sad;7.0;sad_64.2ns.avi;sad;7.0;congruent;130.0;160.0;229.88540597086478;s_s;;;;;0;4;4;4;;;;;;;181.84294619993307;None;183.99288309994154;184.3095411999384;185.48487990000285;185.5095231999876;196.44266489997972;None;7;0;196.44266489997972;None;;;;;;;;5;;;;;0.7312098999973387;;;197.99249299999792;None;None;None;[];197.99249299999792;None;None;;197.99249299999792;None;;;S11401;2022_Apr_27_1016;VideoMask;2021.1.2;120.03591473968231;
7.0;m;027_o_m_s_a.jpg;sad;7.0;sad_10.4ns.avi;sad;7.0;congruent;130.0;160.0;185.20129417468752;s_s;;;;;0;5;5;5;;;;;;;201.00888640002813;None;202.750647299923;203.067250699969;204.2839233999839;204.30063149996568;207.36723259999417;None;7;0;207.36723259999417;None;;;;;;;;5;;;;;0.9506969000212848;;;208.91713339998387;None;None;None;[];208.91713339998387;None;None;;208.91713339998387;None;;;S11401;2022_Apr_27_1016;VideoMask;2021.1.2;120.03591473968231;
2.0;f;012_o_f_s_a.jpg;sad;7.0;sad_7.5ns.avi;sad;7.0;congruent;130.0;160.0;220.27842655424388;s_s;;;;;0;6;6;6;;;;;;;211.950415099971;None;213.97526209999342;214.29195799992885;215.45032409997657;215.46696470002644;218.21713689994067;None;7;0;218.21713689994067;None;;;;;;;;4;;;;;1.0769261999521405;;;219.77507840003818;None;None;None;[];219.77507840003818;None;"['7', '7']";"[1.302868300001137, 1.9747223999584094]";219.77507840003818;None;;;S11401;2022_Apr_27_1016;VideoMask;2021.1.2;120.03591473968231;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_27.1ns.avi;happy;9.0;congruent;120.0;150.0;146.44967055810616;h_h;;;;;0;7;7;7;;;;;;;222.7834206999978;None;224.19155410001986;224.5082725000102;225.66667810000945;225.68333020003047;228.13321979995817;None;9;0;228.13321979995817;None;;;;;;;;8;;;;;0.5527583999792114;;;229.68310779996682;None;None;None;[];229.68310779996682;None;"['9', '9', '9', '9', '9']";"[0.40289989998564124, 0.626803099992685, 0.850993899977766, 1.0506811999948695, 1.4507746000308543]";229.68310779996682;None;;;S11401;2022_Apr_27_1016;VideoMask;2021.1.2;120.03591473968231;
