primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.rt;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.started;slider_resp_response.stopped;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
1111;m;1111_m_m_h_a.jpg;happy;9;example_30.4ns.avi;neutral;7;incongruent;120.0;170.0;189.5874364012288;;0;0;0;0;;;;;20.95231610001065;1;21.02976799989119;23.029970899922773;23.029970899922773;None;25.04718940006569;None;27.304708400042728;27.62123030005023;28.779721499886364;28.796451499918476;33.09635789995082;None;8;0;0.8540382999926805;33.09635789995082;None;34.654585199896246;None;None;None;[];34.654585199896246;None;5;None;34.654585199896246;None;;;;;;;;;;;;;;;;S11426;2022_May_04_1808;VideoMask;2021.1.2;120.18710725817817;
1113;f;1113_y_f_s_a.jpg;sad;7;example_30.3ns.avi;neutral;7;incongruent;130.0;170.0;229.02432995836998;;0;1;1;1;;;;;;;;;;;37.67950399988331;None;39.795988499885425;40.11265160003677;41.31273670005612;41.329371500061825;43.24614219996147;None;8;0;0.6081523001194;43.24614219996147;None;44.79589509987272;None;None;None;[];44.79589509987272;None;5;None;44.79589509987272;None;;;;;;;;;;;;;;;;S11426;2022_May_04_1808;VideoMask;2021.1.2;120.18710725817817;
9.0;f;019_m_f_h_a.jpg;happy;9.0;sad_115.1.wmv;sad;7.0;incongruent;120.0;160.0;128.09063432376465;h_s;;;;;0;0;0;0;;;;;;;48.829157599946484;None;50.104030600050464;50.42067810008302;51.55388269992545;51.570740999886766;53.56296100001782;None;7;0;0.6673877998255193;53.56296100001782;None;;;;;;;;3;;;;47.82905389997177;None;55.26219339994714;None;None;None;[];55.26219339994714;None;"['7', '7', '7', '9']";"[0.48806419991888106, 1.0722050999756902, 2.048224400030449, 2.6402380999643356]";55.26219339994714;None;;;S11426;2022_May_04_1808;VideoMask;2021.1.2;120.18710725817817;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_94.2ns.avi;sad;7.0;congruent;130.0;160.0;182.29120173647655;s_s;;;;;0;1;1;1;;;;;;;58.262160500045866;None;59.97870610002428;60.295438200002536;61.44534279988147;61.46209360007197;64.12041800003499;None;7;0;0.45390810002572834;64.12041800003499;None;;;;;;;;3;;;;;;65.67031010007486;None;None;None;[];65.67031010007486;None;"['7', '7', '7']";"[0.3120621000416577, 0.9600625999737531, 1.4802970001474023]";65.67031010007486;None;;;S11426;2022_May_04_1808;VideoMask;2021.1.2;120.18710725817817;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_26.1ns.avi;happy;9.0;congruent;120.0;150.0;155.9437854594882;h_h;;;;;0;2;2;2;;;;;;;68.6787213999778;None;70.16172689991072;70.47818879992701;71.636752899969;71.65341020002961;73.60348409996368;None;9;0;0.4269540999084711;73.60348409996368;None;;;;;;;;8;;;;;;75.1533550999593;None;None;None;[];75.1533550999593;None;"['9', '9', '9', '9']";"[0.34109189989976585, 0.6450398999731988, 1.0772332998458296, 1.7730711000040174]";75.1533550999593;None;;;S11426;2022_May_04_1808;VideoMask;2021.1.2;120.18710725817817;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_138.1.wmv;sad;7.0;incongruent;120.0;160.0;133.99071306426532;h_s;;;;;0;3;3;3;;;;;;;78.16168439993635;None;79.47799680009484;79.79480089992285;80.91973509988748;80.93638499989174;82.92814640002325;None;None;0;;82.92814640002325;None;;;;;;;;5;;;;;;84.47793859988451;None;None;None;[];84.47793859988451;None;None;;84.47793859988451;None;;;S11426;2022_May_04_1808;VideoMask;2021.1.2;120.18710725817817;
8.0;f;028_y_f_s_a.jpg;sad;7.0;sad_64.2ns.avi;sad;7.0;congruent;130.0;160.0;229.88540597086478;s_s;;;;;0;4;4;4;;;;;;;87.49452909990214;None;89.6527285000775;89.9695425000973;91.13626979989931;91.15352010005154;102.11938020004891;None;7;0;0.46308339992538095;102.11938020004891;None;;;;;;;;2;;;;;;103.66917030001059;None;None;None;[];103.66917030001059;None;"['7', '7', '7', '7', '9']";"[0.3532833999488503, 0.6173739999067038, 0.953293499769643, 1.6892504999414086, 2.0415993998758495]";103.66917030001059;None;;;S11426;2022_May_04_1808;VideoMask;2021.1.2;120.18710725817817;
7.0;m;027_o_m_s_a.jpg;sad;7.0;sad_10.4ns.avi;sad;7.0;congruent;130.0;160.0;185.20129417468752;s_s;;;;;0;5;5;5;;;;;;;106.669073499972;None;108.41904649999924;108.73560360004194;109.91045209998265;109.92713139997795;113.03617920004763;None;7;0;0.8022641001734883;113.03617920004763;None;;;;;;;;4;;;;;;114.70216550002806;None;None;None;[];114.70216550002806;None;['7'];[0.3282073000445962];114.70216550002806;None;;;S11426;2022_May_04_1808;VideoMask;2021.1.2;120.18710725817817;
2.0;f;012_o_f_s_a.jpg;sad;7.0;sad_7.5ns.avi;sad;7.0;congruent;130.0;160.0;220.27842655424388;s_s;;;;;0;6;6;6;;;;;;;117.71055529988371;None;119.74356269999407;120.06022599991411;121.19365640007891;121.21032149996608;123.98538629990071;None;7;0;0.32511820015497506;123.98538629990071;None;;;;;;;;2;;;;;;125.54350259993225;None;None;None;[];125.54350259993225;None;"['7', '7', '7']";"[0.39914099988527596, 0.694969299947843, 1.2711724999826401]";125.54350259993225;None;;;S11426;2022_May_04_1808;VideoMask;2021.1.2;120.18710725817817;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_27.1ns.avi;happy;9.0;congruent;120.0;150.0;146.44967055810616;h_h;;;;;0;7;7;7;;;;;;;128.54355719988234;None;129.95156529988162;130.26829140004702;131.42638189997524;131.44400450005196;133.89342710003257;None;9;0;0.4252845000009984;133.89342710003257;None;;;;;;;;8;;;;;;135.45153319998644;None;None;None;[];135.45153319998644;None;"['9', '9', '9']";"[0.29901299998164177, 0.5789475000929087, 0.8829731999430805]";135.45153319998644;None;;;S11426;2022_May_04_1808;VideoMask;2021.1.2;120.18710725817817;
