primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.rt;slider_resp_response.started;slider_resp_response.stopped;key_resp.rt;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.started;slider_resp_study.stopped;slider_resp_study.rt;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
1111;m;1111_m_m_h_a.jpg;happy;9;example_30.4ns.avi;neutral;7;incongruent;120.0;170.0;189.5874364012288;;0;0;0;0;;;;;19.714408300002106;1;19.80027730000438;21.80039960000431;21.80039960000431;None;23.817685100017115;None;25.800141200015787;26.116887900047004;27.27513560000807;27.29184710001573;31.59188180003548;None;None;0;31.59188180003548;None;33.14175830001477;None;None;None;[];33.14175830001477;None;8;"['9', '9', '9']";"[1.1128298999974504, 1.7047178999637254, 2.953022299974691]";33.14175830001477;None;;;;;;;;;;;;;;;;;S11455_2;2022_May_16_1157;VideoMask;2021.1.2;121.12168365599925;
1113;f;1113_y_f_s_a.jpg;sad;7;example_30.3ns.avi;neutral;7;incongruent;130.0;170.0;229.02432995836998;;0;1;1;1;;;;;;;;;;;36.14162790001137;None;38.266428000002634;38.58314910001354;39.724856900051236;39.74155600002268;41.71661800000584;None;8;0;41.71661800000584;None;43.266325400036294;None;None;None;[];43.266325400036294;None;5;None;;43.266325400036294;None;0.6179448000038974;;;;;;;;;;;;;;;;S11455_2;2022_May_16_1157;VideoMask;2021.1.2;121.12168365599925;
9.0;f;019_m_f_h_a.jpg;happy;9.0;sad_115.1.wmv;sad;7.0;incongruent;120.0;160.0;128.09063432376465;h_s;;;;;0;0;0;0;;;;;;;47.299635600007605;None;48.5744560000021;48.891164700035006;50.024373100022785;50.04119440005161;52.02459960000124;None;7;0;52.02459960000124;None;;;;;;;;5;;;;;0.8539249000023119;46.291338700044435;None;53.72445640002843;None;None;None;[];53.72445640002843;None;None;53.72445640002843;None;;;;S11455_2;2022_May_16_1157;VideoMask;2021.1.2;121.12168365599925;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_94.2ns.avi;sad;7.0;congruent;130.0;160.0;182.29120173647655;s_s;;;;;0;1;1;1;;;;;;;56.741029700031504;None;58.457463500031736;58.77413960004924;59.90752990002511;59.924481499998365;62.59923350001918;None;None;0;62.59923350001918;None;;;;;;;;5;;;;;;;;64.14913070003968;None;None;None;[];64.14913070003968;None;None;64.14913070003968;None;;;;S11455_2;2022_May_16_1157;VideoMask;2021.1.2;121.12168365599925;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_26.1ns.avi;happy;9.0;congruent;120.0;150.0;155.9437854594882;h_h;;;;;0;2;2;2;;;;;;;67.16553300002124;None;68.64875390002271;68.96553490002407;70.15730910003185;70.17385280004237;72.0995240000193;None;9;0;72.0995240000193;None;;;;;;;;7;;;;;0.8991019000532106;;;73.71547430002829;None;None;None;[];73.71547430002829;None;"['9', '9', '9', '7']";73.71547430002829;None;"[1.0351287000230514, 1.5151185999857262, 2.162989100033883, 2.9471086999983527]";;;S11455_2;2022_May_16_1157;VideoMask;2021.1.2;121.12168365599925;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_138.1.wmv;sad;7.0;incongruent;120.0;160.0;133.99071306426532;h_s;;;;;0;3;3;3;;;;;;;76.71535440004664;None;78.04021120001562;78.35687540000072;79.49036740005249;79.506964900007;81.49014450004324;None;8;0;81.49014450004324;None;;;;;;;;5;;;;;0.6844650999992155;;;83.04016670002602;None;None;None;[];83.04016670002602;None;None;83.04016670002602;None;;;;S11455_2;2022_May_16_1157;VideoMask;2021.1.2;121.12168365599925;
8.0;f;028_y_f_s_a.jpg;sad;7.0;sad_64.2ns.avi;sad;7.0;congruent;130.0;160.0;229.88540597086478;s_s;;;;;0;4;4;4;;;;;;;86.07341170002474;None;88.22310830000788;88.54001870000502;89.78229620005004;89.8065964000416;100.6729891000432;None;7;0;100.6729891000432;None;;;;;;;;4;;;;;0.493591699982062;;;102.2229393000016;None;None;None;[];102.2229393000016;None;['7'];102.2229393000016;None;[2.0557904999586754];;;S11455_2;2022_May_16_1157;VideoMask;2021.1.2;121.12168365599925;
7.0;m;027_o_m_s_a.jpg;sad;7.0;sad_10.4ns.avi;sad;7.0;congruent;130.0;160.0;185.20129417468752;s_s;;;;;0;5;5;5;;;;;;;105.23972860001959;None;106.98947369999951;107.30601540004136;108.48939830000745;108.50602740002796;111.60610220005037;None;7;0;111.60610220005037;None;;;;;;;;5;;;;;1.1764691999997012;;;113.1559297000058;None;None;None;[];113.1559297000058;None;None;113.1559297000058;None;;;;S11455_2;2022_May_16_1157;VideoMask;2021.1.2;121.12168365599925;
2.0;f;012_o_f_s_a.jpg;sad;7.0;sad_7.5ns.avi;sad;7.0;congruent;130.0;160.0;220.27842655424388;s_s;;;;;0;6;6;6;;;;;;;116.18085810000775;None;118.2055296000326;118.52234480000334;119.7230472000083;119.74732160003623;122.44754100003047;None;7;0;122.44754100003047;None;;;;;;;;5;;;;;1.206986400007736;;;124.00552520004567;None;None;None;[];124.00552520004567;None;None;124.00552520004567;None;;;;S11455_2;2022_May_16_1157;VideoMask;2021.1.2;121.12168365599925;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_27.1ns.avi;happy;9.0;congruent;120.0;150.0;146.44967055810616;h_h;;;;;0;7;7;7;;;;;;;127.03885420004372;None;128.45530050003435;128.7720401000115;129.96444810001412;129.99735000001965;132.39709670003504;None;9;0;132.39709670003504;None;;;;;;;;8;;;;;0.3134114000131376;;;133.94694900000468;None;None;None;[];133.94694900000468;None;"['9', '9', '9']";133.94694900000468;None;"[0.26784799998858944, 0.5878639000002295, 0.8916501000057906]";;;S11455_2;2022_May_16_1157;VideoMask;2021.1.2;121.12168365599925;
