primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.rt;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.rt;slider_resp_response.started;slider_resp_response.stopped;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
1111;m;1111_m_m_h_a.jpg;happy;9;example_30.4ns.avi;neutral;7;incongruent;120.0;170.0;189.5874364012288;;0;0;0;0;;;;;65.09821309987456;1;65.1757475999184;67.17594829993322;67.17594829993322;None;69.19251520000398;None;71.14234120002948;71.46035229996778;72.6756885999348;72.6924131999258;76.9340593998786;None;9;0;1.1394116999581456;76.9340593998786;None;78.51725479983725;None;None;None;[];78.51725479983725;None;9;"['9', '9', '9', '9', '9']";"[0.7319126999936998, 1.1319778999313712, 1.4439934000838548, 1.7962080999277532, 2.396023999899626]";78.51725479983725;None;;;;;;;;;;;;;;;;S11486;2022_May_27_1649;VideoMask;2021.1.2;120.780531865776;
1113;f;1113_y_f_s_a.jpg;sad;7;example_30.3ns.avi;neutral;7;incongruent;130.0;170.0;229.02432995836998;;0;1;1;1;;;;;;;;;;;81.50876759993844;None;83.62520259991288;83.94191999989562;85.08367779990658;85.1003580999095;87.07536649983376;None;None;0;;87.07536649983376;None;88.76681239996105;None;None;None;[];88.76681239996105;None;7;"['9', '9', '9']";"[0.42642119992524385, 1.018928000004962, 1.4587083999067545]";88.76681239996105;None;;;;;;;;;;;;;;;;S11486;2022_May_27_1649;VideoMask;2021.1.2;120.780531865776;
9.0;f;019_m_f_h_a.jpg;happy;9.0;sad_115.1.wmv;sad;7.0;incongruent;120.0;160.0;128.09063432376465;h_s;;;;;0;0;0;0;;;;;;;92.80827569984831;None;94.08323929994367;94.39998989994638;95.53323840000667;95.55000559985638;97.53325339988805;None;7;0;1.0680863000452518;97.53325339988805;None;;;;;;;;1;;;;;91.76688460004516;None;99.09159759990871;None;None;None;[];99.09159759990871;None;"['7', '7', '7', '7']";"[0.4459077001083642, 0.8138153001200408, 1.1257279000710696, 1.4778390999417752]";99.09159759990871;None;;;S11486;2022_May_27_1649;VideoMask;2021.1.2;120.780531865776;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_94.2ns.avi;sad;7.0;congruent;130.0;160.0;182.29120173647655;s_s;;;;;0;1;1;1;;;;;;;102.08289820002392;None;103.79959009983577;104.11630399990827;105.274692799896;105.2913917999249;107.94116989988834;None;None;0;;107.94116989988834;None;;;;;;;;3;;;;;;;109.4910526999738;None;None;None;[];109.4910526999738;None;"['7', '7']";"[0.5264636001084, 1.102740100119263]";109.4910526999738;None;;;S11486;2022_May_27_1649;VideoMask;2021.1.2;120.780531865776;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_26.1ns.avi;happy;9.0;congruent;120.0;150.0;155.9437854594882;h_h;;;;;0;2;2;2;;;;;;;112.49123759986833;None;113.97425139998086;114.29101160005666;115.51608389988542;115.532774399966;117.41587969986722;None;9;0;0.978021299932152;117.41587969986722;None;;;;;;;;7;;;;;;;119.08261629985645;None;None;None;[];119.08261629985645;None;"['9', '9', '9']";"[0.35105789988301694, 0.7107291999273002, 1.1666731999721378]";119.08261629985645;None;;;S11486;2022_May_27_1649;VideoMask;2021.1.2;120.780531865776;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_138.1.wmv;sad;7.0;incongruent;120.0;160.0;133.99071306426532;h_s;;;;;0;3;3;3;;;;;;;122.08257890003733;None;123.39901109994389;123.71571749984287;124.84069240000099;124.85741989989765;126.84904509992339;None;7;0;1.088434400036931;126.84904509992339;None;;;;;;;;2;;;;;;;128.39898339984939;None;None;None;[];128.39898339984939;None;"['7', '7', '7']";"[0.46649179980158806, 1.0664565998595208, 1.5863087999168783]";128.39898339984939;None;;;S11486;2022_May_27_1649;VideoMask;2021.1.2;120.780531865776;
8.0;f;028_y_f_s_a.jpg;sad;7.0;sad_64.2ns.avi;sad;7.0;congruent;130.0;160.0;229.88540597086478;s_s;;;;;0;4;4;4;;;;;;;131.4073101999238;None;133.55708449985832;133.87373259989545;135.0325056000147;135.04914989997633;146.0067441998981;None;7;0;0.570744400145486;146.0067441998981;None;;;;;;;;2;;;;;;;147.5733769000508;None;None;None;[];147.5733769000508;None;"['7', '7', '7']";"[0.4762061000801623, 0.8918204000219703, 1.3082902999594808]";147.5733769000508;None;;;S11486;2022_May_27_1649;VideoMask;2021.1.2;120.780531865776;
7.0;m;027_o_m_s_a.jpg;sad;7.0;sad_10.4ns.avi;sad;7.0;congruent;130.0;160.0;185.20129417468752;s_s;;;;;0;5;5;5;;;;;;;150.57331550004892;None;152.31477799988352;152.63149329996668;153.7648725998588;153.78153459983878;156.9314120998606;None;7;0;0.6859832000918686;156.9314120998606;None;;;;;;;;1;;;;;;;158.48138660006225;None;None;None;[];158.48138660006225;None;"['7', '7', '7', '7']";"[0.12000459991395473, 0.576086699962616, 0.7999203999061137, 1.0558823999017477]";158.48138660006225;None;;;S11486;2022_May_27_1649;VideoMask;2021.1.2;120.780531865776;
2.0;f;012_o_f_s_a.jpg;sad;7.0;sad_7.5ns.avi;sad;7.0;congruent;130.0;160.0;220.27842655424388;s_s;;;;;0;6;6;6;;;;;;;161.4898011998739;None;163.5144117998425;163.8311468998436;165.0145527999848;165.0317839998752;167.75631910003722;None;7;0;0.3571968001779169;167.75631910003722;None;;;;;;;;1;;;;;;;169.33939279988408;None;None;None;[];169.33939279988408;None;"['7', '7', '7', '7']";"[0.4379984000697732, 0.8140022000297904, 1.134072900051251, 1.478033399907872]";169.33939279988408;None;;;S11486;2022_May_27_1649;VideoMask;2021.1.2;120.780531865776;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_27.1ns.avi;happy;9.0;congruent;120.0;150.0;146.44967055810616;h_h;;;;;0;7;7;7;;;;;;;172.33929529995658;None;173.74745450005867;174.06417699996382;175.26425589993596;175.28091019997373;177.6891890000552;None;9;0;0.6005576997995377;177.6891890000552;None;;;;;;;;9;;;;;;;179.23908500000834;None;None;None;[];179.23908500000834;None;"['9', '9', '9', '9']";"[0.22644230001606047, 0.6982605999801308, 1.122258000075817, 1.4827297001611441]";179.23908500000834;None;;;S11486;2022_May_27_1649;VideoMask;2021.1.2;120.780531865776;
