primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.rt;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.started;slider_resp_response.stopped;slider_resp_response.rt;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
1111;m;1111_m_m_h_a.jpg;happy;9;example_30.4ns.avi;neutral;7;incongruent;120.0;170.0;189.5874364012288;;0;0;0;0;;;;;30.346347600221634;1;30.43210310023278;32.43221040023491;32.43221040023491;None;34.44953450001776;None;38.14027750026435;38.456906700041145;39.63196239992976;39.648627100046724;43.93179470021278;None;8;0;1.4768785000778735;43.93179470021278;None;45.490210300311446;None;None;None;[];45.490210300311446;None;5;None;45.490210300311446;None;;;;;;;;;;;;;;;;;S11504;2022_Jun_08_1017;VideoMask;2021.1.2;120.12488182712171;
1113;f;1113_y_f_s_a.jpg;sad;7;example_30.3ns.avi;neutral;7;incongruent;130.0;170.0;229.02432995836998;;0;1;1;1;;;;;;;;;;;48.515053200069815;None;50.63152140006423;50.94806140009314;52.18997830012813;52.206576799973845;54.08156040031463;None;8;0;1.0471367998979986;54.08156040031463;None;55.63126590009779;None;None;None;[];55.63126590009779;None;6;['9'];55.63126590009779;None;[0.8334375000558794];;;;;;;;;;;;;;;;S11504;2022_Jun_08_1017;VideoMask;2021.1.2;120.12488182712171;
9.0;f;019_m_f_h_a.jpg;happy;9.0;sad_115.1.wmv;sad;7.0;incongruent;120.0;160.0;128.09063432376465;h_s;;;;;0;0;0;0;;;;;;;59.6647594999522;None;60.9401290002279;61.25625179987401;62.39776149997488;62.41464320011437;64.38957099989057;None;7;0;0.9632498002611101;64.38957099989057;None;;;;;;;;4;;;;;58.6314400001429;None;65.9478815998882;None;None;None;[];65.9478815998882;None;"['7', '7']";"[1.484854199923575, 2.3730037002824247]";65.9478815998882;None;;;S11504;2022_Jun_08_1017;VideoMask;2021.1.2;120.12488182712171;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_94.2ns.avi;sad;7.0;congruent;130.0;160.0;182.29120173647655;s_s;;;;;0;1;1;1;;;;;;;68.93940620031208;None;70.65588450012729;70.97260680003092;72.13930490007624;72.15596040012315;74.79752420028672;None;7;0;0.4671865999698639;74.79752420028672;None;;;;;;;;2;;;;;;;76.36409160029143;None;None;None;[];76.36409160029143;None;"['7', '7', '7']";"[0.42070440016686916, 0.724779300391674, 1.1407408001832664]";76.36409160029143;None;;;S11504;2022_Jun_08_1017;VideoMask;2021.1.2;120.12488182712171;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_26.1ns.avi;happy;9.0;congruent;120.0;150.0;155.9437854594882;h_h;;;;;0;2;2;2;;;;;;;79.36413899995387;None;80.8472970998846;81.16418329998851;82.32229730021209;82.33891190029681;84.28896850021556;None;9;0;0.5597747000865638;84.28896850021556;None;;;;;;;;7;;;;;;;86.03049750020728;None;None;None;[];86.03049750020728;None;"['9', '9']";"[0.4580851001664996, 0.8022064003162086]";86.03049750020728;None;;;S11504;2022_Jun_08_1017;VideoMask;2021.1.2;120.12488182712171;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_138.1.wmv;sad;7.0;incongruent;120.0;160.0;133.99071306426532;h_s;;;;;0;3;3;3;;;;;;;89.03046730021015;None;90.34684750018641;90.66367170028389;91.78878180030733;91.80541360005736;93.79699110006914;None;7;0;0.6356085003353655;93.79699110006914;None;;;;;;;;5;;;;;;;95.34694149997085;None;None;None;[];95.34694149997085;None;None;;95.34694149997085;None;;;S11504;2022_Jun_08_1017;VideoMask;2021.1.2;120.12488182712171;
8.0;f;028_y_f_s_a.jpg;sad;7.0;sad_64.2ns.avi;sad;7.0;congruent;130.0;160.0;229.88540597086478;s_s;;;;;0;4;4;4;;;;;;;98.3716887999326;None;100.51321480004117;100.8300259001553;102.00508349994197;102.02166659990326;112.9799077003263;None;7;0;0.6291141998954117;112.9799077003263;None;;;;;;;;3;;;;;;;114.61288750031963;None;None;None;[];114.61288750031963;None;"['7', '7']";"[0.371777500025928, 0.6117545003071427]";114.61288750031963;None;;;S11504;2022_Jun_08_1017;VideoMask;2021.1.2;120.12488182712171;
7.0;m;027_o_m_s_a.jpg;sad;7.0;sad_10.4ns.avi;sad;7.0;congruent;130.0;160.0;185.20129417468752;s_s;;;;;0;5;5;5;;;;;;;117.62140750000253;None;119.36276199994609;119.6794591001235;120.81260350020602;120.82937090005726;123.98787719989195;None;7;0;0.7088751001283526;123.98787719989195;None;;;;;;;;2;;;;;;;125.53763400018215;None;None;None;[];125.53763400018215;None;"['7', '7', '7', '7']";"[0.3351189000532031, 0.5989378998056054, 0.9669975000433624, 1.7914212001487613]";125.53763400018215;None;;;S11504;2022_Jun_08_1017;VideoMask;2021.1.2;120.12488182712171;
2.0;f;012_o_f_s_a.jpg;sad;7.0;sad_7.5ns.avi;sad;7.0;congruent;130.0;160.0;220.27842655424388;s_s;;;;;0;6;6;6;;;;;;;128.53758860006928;None;130.5540571999736;130.8707842999138;132.0381742999889;132.0626520998776;134.79593669995666;None;7;0;0.5408071000128984;134.79593669995666;None;;;;;;;;4;;;;;;;136.37070530001074;None;None;None;[];136.37070530001074;None;['7'];[0.686251999810338];136.37070530001074;None;;;S11504;2022_Jun_08_1017;VideoMask;2021.1.2;120.12488182712171;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_27.1ns.avi;happy;9.0;congruent;120.0;150.0;146.44967055810616;h_h;;;;;0;7;7;7;;;;;;;139.3789273002185;None;140.7870575003326;141.1037155999802;142.24532129988074;142.26224520010874;144.7287453999743;None;9;0;0.760009499732405;144.7287453999743;None;;;;;;;;7;;;;;;;146.27872489998117;None;None;None;[];146.27872489998117;None;"['9', '9']";"[0.41017309995368123, 0.6579852001741529]";146.27872489998117;None;;;S11504;2022_Jun_08_1017;VideoMask;2021.1.2;120.12488182712171;
