primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.rt;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.rt;slider_resp_response.started;slider_resp_response.stopped;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
1111;m;1111_m_m_h_a.jpg;happy;9;example_30.4ns.avi;neutral;7;incongruent;120.0;170.0;189.5874364012288;;0;0;0;0;;;;;30.147167899878696;1;30.22530149994418;32.22547259996645;32.22547259996645;None;34.24196009989828;None;36.20866769994609;36.52529039978981;37.666921800002456;37.68337979982607;42.01691489992663;None;9;0;0.6417962000705302;42.01691489992663;None;43.575129999779165;None;None;None;[];43.575129999779165;None;6;"['9', '9']";"[2.1874712998978794, 2.6435539999511093]";43.575129999779165;None;;;;;;;;;;;;;;;;S11554;2022_Jul_01_1233;VideoMask;2021.1.2;119.97039147298824;
1113;f;1113_y_f_s_a.jpg;sad;7;example_30.3ns.avi;neutral;7;incongruent;130.0;170.0;229.02432995836998;;0;1;1;1;;;;;;;;;;;46.566773699829355;None;48.68317430000752;48.999803899787366;50.208223399939016;50.22483309987001;52.1332147999201;None;None;0;;52.1332147999201;None;53.68292439985089;None;None;None;[];53.68292439985089;None;8;"['9', '9', '9', '7']";"[1.3038929000031203, 1.6080936000216752, 1.9039098999928683, 2.7358425001148134]";53.68292439985089;None;;;;;;;;;;;;;;;;S11554;2022_Jul_01_1233;VideoMask;2021.1.2;119.97039147298824;
9.0;f;019_m_f_h_a.jpg;happy;9.0;sad_115.1.wmv;sad;7.0;incongruent;120.0;160.0;128.09063432376465;h_s;;;;;0;0;0;0;;;;;;;57.71633769990876;None;58.99119529989548;59.30784619995393;60.4410211998038;60.45786859979853;62.441203999798745;None;7;0;0.4894977998919785;62.441203999798745;None;;;;;;;;2;;;;;56.691441899864;None;63.99108329997398;None;None;None;[];63.99108329997398;None;"['7', '7', '7']";"[0.4037159997969866, 0.6595654999837279, 1.37171719991602]";63.99108329997398;None;;;S11554;2022_Jul_01_1233;VideoMask;2021.1.2;119.97039147298824;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_94.2ns.avi;sad;7.0;congruent;130.0;160.0;182.29120173647655;s_s;;;;;0;1;1;1;;;;;;;66.98274439992383;None;68.69918499980122;69.01587169989944;70.2076678997837;70.22425869992003;72.84088849998079;None;7;0;0.737884699832648;72.84088849998079;None;;;;;;;;4;;;;;;;74.39078069990501;None;None;None;[];74.39078069990501;None;['7'];[0.9800005001015961];74.39078069990501;None;;;S11554;2022_Jul_01_1233;VideoMask;2021.1.2;119.97039147298824;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_26.1ns.avi;happy;9.0;congruent;120.0;150.0;155.9437854594882;h_h;;;;;0;2;2;2;;;;;;;77.39911509980448;None;78.8905175998807;79.20724449981935;80.40728299994953;80.4239046999719;82.33220759988762;None;9;0;0.43080319999717176;82.33220759988762;None;;;;;;;;9;;;;;;;83.88215029984713;None;None;None;[];83.88215029984713;None;"['9', '9', '9', '9']";"[0.4485948998481035, 0.6565254998859018, 0.8564949999563396, 1.1126836000476032]";83.88215029984713;None;;;S11554;2022_Jul_01_1233;VideoMask;2021.1.2;119.97039147298824;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_138.1.wmv;sad;7.0;incongruent;120.0;160.0;133.99071306426532;h_s;;;;;0;3;3;3;;;;;;;86.89045259985141;None;88.20675479993224;88.5235864999704;89.65700609982014;89.67365899984725;91.65686719981022;None;7;0;1.2178615999873728;91.65686719981022;None;;;;;;;;5;;;;;;;93.2068358999677;None;None;None;[];93.2068358999677;None;None;;93.2068358999677;None;;;S11554;2022_Jul_01_1233;VideoMask;2021.1.2;119.97039147298824;
8.0;f;028_y_f_s_a.jpg;sad;7.0;sad_64.2ns.avi;sad;7.0;congruent;130.0;160.0;229.88540597086478;s_s;;;;;0;4;4;4;;;;;;;96.22323459992185;None;98.37325109983794;98.69002179987729;99.83992699999362;99.85666069993749;110.82294949982315;None;7;0;0.41978500015102327;110.82294949982315;None;;;;;;;;2;;;;;;;112.37292609992437;None;None;None;[];112.37292609992437;None;"['7', '7', '7']";"[0.5100881000980735, 0.8299151000101119, 1.1497418000362813]";112.37292609992437;None;;;S11554;2022_Jul_01_1233;VideoMask;2021.1.2;119.97039147298824;
7.0;m;027_o_m_s_a.jpg;sad;7.0;sad_10.4ns.avi;sad;7.0;congruent;130.0;160.0;185.20129417468752;s_s;;;;;0;5;5;5;;;;;;;115.38117259996943;None;117.13100029993802;117.44771049986593;118.60670399991795;118.62328689987771;121.747675599996;None;7;0;0.6389031000435352;121.747675599996;None;;;;;;;;1;;;;;;;123.29754129983485;None;None;None;[];123.29754129983485;None;"['7', '7', '7', '7', '7']";"[0.32125310017727315, 0.5530481000896543, 0.7610182000789791, 0.9851316001731902, 1.4012321999762207]";123.29754129983485;None;;;S11554;2022_Jul_01_1233;VideoMask;2021.1.2;119.97039147298824;
2.0;f;012_o_f_s_a.jpg;sad;7.0;sad_7.5ns.avi;sad;7.0;congruent;130.0;160.0;220.27842655424388;s_s;;;;;0;6;6;6;;;;;;;126.29744419991039;None;128.31395949982107;128.63059329986572;129.83061499986798;129.8473125998862;132.5556537997909;None;7;0;0.40717300004325807;132.5556537997909;None;;;;;;;;3;;;;;;;134.10554939997382;None;None;None;[];134.10554939997382;None;"['7', '7']";"[0.4574088999070227, 0.7452540998347104]";134.10554939997382;None;;;S11554;2022_Jul_01_1233;VideoMask;2021.1.2;119.97039147298824;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_27.1ns.avi;happy;9.0;congruent;120.0;150.0;146.44967055810616;h_h;;;;;0;7;7;7;;;;;;;137.11393489991315;None;138.52197139989585;138.8386418998707;139.97197389998473;139.9886646999512;142.46366759994999;None;9;0;0.3311306000687182;142.46366759994999;None;;;;;;;;9;;;;;;;144.01357589988038;None;None;None;[];144.01357589988038;None;"['9', '9', '9', '9', '9']";"[0.4290658999234438, 0.6450114999897778, 0.8449887000024319, 1.0690846000798047, 1.5814374000765383]";144.01357589988038;None;;;S11554;2022_Jul_01_1233;VideoMask;2021.1.2;119.97039147298824;
