primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.rt;slider_resp_response.started;slider_resp_response.stopped;key_resp.rt;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
1111;m;1111_m_m_h_a.jpg;happy;9;example_30.4ns.avi;neutral;7;incongruent;120.0;170.0;189.5874364012288;;0;0;0;0;;;;;30.43697099998826;1;30.51554130000295;32.515748300007544;32.515748300007544;None;34.53233399998862;None;36.749217899981886;37.06550440000137;38.2404072000063;38.25721940002404;42.54038259998197;None;None;0;42.54038259998197;None;44.09068780002417;None;None;None;[];44.09068780002417;None;7;"['9', '9']";"[1.2075884999940172, 2.5751976000028662]";44.09068780002417;None;;;;;;;;;;;;;;;;;S11590;2022_Jul_18_1706;VideoMask;2021.1.2;120.01733052271562;
1113;f;1113_y_f_s_a.jpg;sad;7;example_30.3ns.avi;neutral;7;incongruent;130.0;170.0;229.02432995836998;;0;1;1;1;;;;;;;;;;;47.09024829999544;None;49.206672100001015;49.52345769997919;50.68181949999416;50.698398699983954;52.65685879997909;None;9;0;52.65685879997909;None;54.20666279998841;None;None;None;[];54.20666279998841;None;6;['9'];[0.5313108999980614];54.20666279998841;None;1.0811075000092387;;;;;;;;;;;;;;;;S11590;2022_Jul_18_1706;VideoMask;2021.1.2;120.01733052271562;
9.0;f;019_m_f_h_a.jpg;happy;9.0;sad_115.1.wmv;sad;7.0;incongruent;120.0;160.0;128.09063432376465;h_s;;;;;0;0;0;0;;;;;;;58.23994220001623;None;59.52306580002187;59.8398496999871;60.997813099995255;61.01464469998609;62.97307190002175;None;None;0;62.97307190002175;None;;;;;;;;3;;;;;;57.21499599999515;None;64.52281649998622;None;None;None;[];64.52281649998622;None;"['7', '7']";"[0.11120420001680031, 0.751286800019443]";64.52281649998622;None;;;S11590;2022_Jul_18_1706;VideoMask;2021.1.2;120.01733052271562;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_94.2ns.avi;sad;7.0;congruent;130.0;160.0;182.29120173647655;s_s;;;;;0;1;1;1;;;;;;;67.5312085999758;None;69.25604609999573;69.57285639998736;70.70612579997396;70.72284619999118;73.39776139997412;None;7;0;73.39776139997412;None;;;;;;;;5;;;;;1.236180100007914;;;74.95602089999011;None;None;None;[];74.95602089999011;None;None;;74.95602089999011;None;;;S11590;2022_Jul_18_1706;VideoMask;2021.1.2;120.01733052271562;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_26.1ns.avi;happy;9.0;congruent;120.0;150.0;155.9437854594882;h_h;;;;;0;2;2;2;;;;;;;77.9890607999987;None;79.48071309999796;79.79748269997071;80.92249510000693;80.93915519997245;82.92248030001065;None;9;0;82.92248030001065;None;;;;;;;;6;;;;;0.8795171000529081;;;84.47234300000127;None;None;None;[];84.47234300000127;None;"['9', '7']";"[0.9056543000042439, 2.38576470001135]";84.47234300000127;None;;;S11590;2022_Jul_18_1706;VideoMask;2021.1.2;120.01733052271562;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_138.1.wmv;sad;7.0;incongruent;120.0;160.0;133.99071306426532;h_s;;;;;0;3;3;3;;;;;;;87.48061209998559;None;88.79703090002295;89.11379530001432;90.23892520001391;90.25549760001013;92.24718090001261;None;7;0;92.24718090001261;None;;;;;;;;5;;;;;1.2828417000127956;;;93.79707460000645;None;None;None;[];93.79707460000645;None;None;;93.79707460000645;None;;;S11590;2022_Jul_18_1706;VideoMask;2021.1.2;120.01733052271562;
8.0;f;028_y_f_s_a.jpg;sad;7.0;sad_64.2ns.avi;sad;7.0;congruent;130.0;160.0;229.88540597086478;s_s;;;;;0;4;4;4;;;;;;;96.83037649997277;None;98.98828210000647;99.30526019999525;100.46357289998559;100.48017360002268;111.43832090002252;None;7;0;111.43832090002252;None;;;;;;;;4;;;;;1.123586500005331;;;112.98809970001457;None;None;None;[];112.98809970001457;None;['7'];[0.613903500023298];112.98809970001457;None;;;S11590;2022_Jul_18_1706;VideoMask;2021.1.2;120.01733052271562;
7.0;m;027_o_m_s_a.jpg;sad;7.0;sad_10.4ns.avi;sad;7.0;congruent;130.0;160.0;185.20129417468752;s_s;;;;;0;5;5;5;;;;;;;115.98813569999766;None;117.73788909998257;118.0546328999917;119.21294860000489;119.229578199971;122.35461460001534;None;7;0;122.35461460001534;None;;;;;;;;4;;;;;0.8794001000351273;;;123.90447010000935;None;None;None;[];123.90447010000935;None;['7'];[0.67338460002793];123.90447010000935;None;;;S11590;2022_Jul_18_1706;VideoMask;2021.1.2;120.01733052271562;
2.0;f;012_o_f_s_a.jpg;sad;7.0;sad_7.5ns.avi;sad;7.0;congruent;130.0;160.0;220.27842655424388;s_s;;;;;0;6;6;6;;;;;;;126.91280599997845;None;128.93748820002656;129.25429229997098;130.4209106999915;130.43755139998393;133.17957009997917;None;7;0;133.17957009997917;None;;;;;;;;5;;;;;0.814359100011643;;;134.74578180001117;None;None;None;[];134.74578180001117;None;None;;134.74578180001117;None;;;S11590;2022_Jul_18_1706;VideoMask;2021.1.2;120.01733052271562;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_27.1ns.avi;happy;9.0;congruent;120.0;150.0;146.44967055810616;h_h;;;;;0;7;7;7;;;;;;;137.7705646000104;None;139.18719249998685;139.50392170000123;140.64559650002047;140.66228069999488;143.12886040000012;None;9;0;143.12886040000012;None;;;;;;;;6;;;;;0.969074200023897;;;144.68715790001443;None;None;None;[];144.68715790001443;None;['9'];[0.5147266000276431];144.68715790001443;None;;;S11590;2022_Jul_18_1706;VideoMask;2021.1.2;120.01733052271562;
