primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.started;slider_resp_response.stopped;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.started;slider_resp_study.stopped;slider_resp_study.rt;key_resp.rt;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
1111;m;1111_m_m_h_a.jpg;happy;9;example_30.4ns.avi;neutral;7;incongruent;120.0;170.0;189.5874364012288;;0;0;0;0;;;;;64.93803339987062;1;65.01537090004422;67.01561339991167;67.01561339991167;None;69.04115019994788;None;71.27354439999908;71.59038099995814;72.77364909998141;72.79029159992933;77.06515759998001;None;None;0;77.06515759998001;None;78.61511970008723;None;None;None;[];78.61511970008723;None;5;None;78.61511970008723;None;;;;;;;;;;;;;;;;;S11633;2022_Aug_02_1907;VideoMask;2021.1.2;120.14624216841948;
1113;f;1113_y_f_s_a.jpg;sad;7;example_30.3ns.avi;neutral;7;incongruent;130.0;170.0;229.02432995836998;;0;1;1;1;;;;;;;;;;;81.64843469997868;None;83.75651660002768;84.07319419994019;85.2648416000884;85.2814050000161;87.20651199994609;None;None;0;87.20651199994609;None;88.75648329989053;None;None;None;[];88.75648329989053;None;5;None;88.75648329989053;None;;;;;;;;;;;;;;;;;S11633;2022_Aug_02_1907;VideoMask;2021.1.2;120.14624216841948;
9.0;f;019_m_f_h_a.jpg;happy;9.0;sad_115.1.wmv;sad;7.0;incongruent;120.0;160.0;128.09063432376465;h_s;;;;;0;0;0;0;;;;;;;92.78963780007325;None;94.06448739999905;94.3811591998674;95.53164719999768;95.55603799992241;97.51440449990332;None;None;0;97.51440449990332;None;;;;;;;;5;;;;91.78138200007379;None;99.0643124000635;None;None;None;[];99.0643124000635;None;None;99.0643124000635;None;;;;;S11633;2022_Aug_02_1907;VideoMask;2021.1.2;120.14624216841948;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_94.2ns.avi;sad;7.0;congruent;130.0;160.0;182.29120173647655;s_s;;;;;0;1;1;1;;;;;;;102.09774539992213;None;103.80572149995714;104.12247109995224;105.24760879995301;105.2640632998664;107.94754140009172;None;None;0;107.94754140009172;None;;;;;;;;5;;;;;;109.49739639996551;None;None;None;[];109.49739639996551;None;None;109.49739639996551;None;;;;;S11633;2022_Aug_02_1907;VideoMask;2021.1.2;120.14624216841948;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_26.1ns.avi;happy;9.0;congruent;120.0;150.0;155.9437854594882;h_h;;;;;0;2;2;2;;;;;;;112.52236509998329;None;114.0138266000431;114.33054740005173;115.46391379996203;115.48043089988641;117.45560389989987;None;None;0;117.45560389989987;None;;;;;;;;5;;;;;;119.01367140002549;None;None;None;[];119.01367140002549;None;None;119.01367140002549;None;;;;;S11633;2022_Aug_02_1907;VideoMask;2021.1.2;120.14624216841948;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_138.1.wmv;sad;7.0;incongruent;120.0;160.0;133.99071306426532;h_s;;;;;0;3;3;3;;;;;;;122.03020789986476;None;123.35522240004502;123.67192310001701;124.79694969998673;124.81345540005714;126.80520349997096;None;None;0;126.80520349997096;None;;;;;;;;5;;;;;;128.35498369997367;None;None;None;[];128.35498369997367;None;None;128.35498369997367;None;;;;;S11633;2022_Aug_02_1907;VideoMask;2021.1.2;120.14624216841948;
8.0;f;028_y_f_s_a.jpg;sad;7.0;sad_64.2ns.avi;sad;7.0;congruent;130.0;160.0;229.88540597086478;s_s;;;;;0;4;4;4;;;;;;;131.3715542999562;None;133.5214845999144;133.83826319989748;135.0053379999008;135.02990529988892;145.97125900001265;None;None;0;145.97125900001265;None;;;;;;;;5;;;;;;147.5209880999755;None;None;None;[];147.5209880999755;None;None;147.5209880999755;None;;;;;S11633;2022_Aug_02_1907;VideoMask;2021.1.2;120.14624216841948;
7.0;m;027_o_m_s_a.jpg;sad;7.0;sad_10.4ns.avi;sad;7.0;congruent;130.0;160.0;185.20129417468752;s_s;;;;;0;5;5;5;;;;;;;150.54589419998229;None;152.2875693999231;152.6041931998916;153.7550009000115;153.77919479995035;156.90413379995152;None;None;0;156.90413379995152;None;;;;;;;;5;;;;;;158.4627618000377;None;None;None;[];158.4627618000377;None;None;158.4627618000377;None;;;;;S11633;2022_Aug_02_1907;VideoMask;2021.1.2;120.14624216841948;
2.0;f;012_o_f_s_a.jpg;sad;7.0;sad_7.5ns.avi;sad;7.0;congruent;130.0;160.0;220.27842655424388;s_s;;;;;0;6;6;6;;;;;;;161.48719289992005;None;163.5121605999302;163.82896109996364;165.03706909995526;165.05373220006004;167.75406769989058;None;None;0;167.75406769989058;None;;;;;;;;5;;;;;;169.32884919992648;None;None;None;[];169.32884919992648;None;None;169.32884919992648;None;;;;;S11633;2022_Aug_02_1907;VideoMask;2021.1.2;120.14624216841948;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_27.1ns.avi;happy;9.0;congruent;120.0;150.0;146.44967055810616;h_h;;;;;0;7;7;7;;;;;;;172.3620553999208;None;173.7784599000588;174.09525009989738;175.3116303998977;175.32868600008078;177.7203945000656;None;None;0;177.7203945000656;None;;;;;;;;5;;;;;;179.27002030005679;None;None;None;[];179.27002030005679;None;None;179.27002030005679;None;;;;;S11633;2022_Aug_02_1907;VideoMask;2021.1.2;120.14624216841948;
