primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.rt;slider_resp_response.started;slider_resp_response.stopped;key_resp.rt;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
1111;m;1111_m_m_h_a.jpg;happy;9;example_30.4ns.avi;neutral;7;incongruent;120.0;170.0;189.5874364012288;;0;0;0;0;;;;;19.642883199999687;1;19.721518999999716;21.721620999999686;21.721620999999686;None;23.75486580000006;None;26.179710599999908;26.504838199999995;27.637916799999857;27.65459069999997;31.988202699999874;None;None;0;31.988202699999874;None;33.56275490000007;None;None;None;[];33.56275490000007;None;6;['9'];[0.037369699999999284];33.56275490000007;None;;;;;;;;;;;;;;;;;S11941;2022_Dec_20_1623;VideoMask;2021.1.2;120.06488306306387;
1113;f;1113_y_f_s_a.jpg;sad;7;example_30.3ns.avi;neutral;7;incongruent;130.0;170.0;229.02432995836998;;0;1;1;1;;;;;;;;;;;36.55479719999994;None;38.69593239999995;39.021075599999676;40.23763589999999;40.2543456999997;42.146040600000106;None;8;0;42.146040600000106;None;43.695853499999885;None;None;None;[];43.695853499999885;None;5;None;;43.695853499999885;None;0.7981602999998358;;;;;;;;;;;;;;;;S11941;2022_Dec_20_1623;VideoMask;2021.1.2;120.06488306306387;
9.0;f;019_m_f_h_a.jpg;happy;9.0;sad_115.1.wmv;sad;7.0;incongruent;120.0;160.0;128.09063432376465;h_s;;;;;0;0;0;0;;;;;;;47.745819299999766;None;49.0456494;49.37075259999983;50.5135250999997;50.537286199999926;52.51226039999983;None;7;0;52.51226039999983;None;;;;;;;;3;;;;;0.9278861999996479;46.72923270000001;None;54.06211949999988;None;None;None;[];54.06211949999988;None;"['7', '7']";"[0.8343328999999358, 1.849985199999992]";54.06211949999988;None;;;S11941;2022_Dec_20_1623;VideoMask;2021.1.2;120.06488306306387;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_94.2ns.avi;sad;7.0;congruent;130.0;160.0;182.29120173647655;s_s;;;;;0;1;1;1;;;;;;;57.06219460000011;None;58.81206799999973;59.12873809999974;60.287072499999795;60.30371209999976;62.95361099999991;None;None;0;62.95361099999991;None;;;;;;;;4;;;;;;;;64.50358150000011;None;None;None;[];64.50358150000011;None;['7'];[0.28874729999961346];64.50358150000011;None;;;S11941;2022_Dec_20_1623;VideoMask;2021.1.2;120.06488306306387;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_26.1ns.avi;happy;9.0;congruent;120.0;150.0;155.9437854594882;h_h;;;;;0;2;2;2;;;;;;;67.50363299999981;None;69.01167910000004;69.33663909999996;70.4950375999997;70.5116509999998;72.45331140000008;None;None;0;72.45331140000008;None;;;;;;;;5;;;;;;;;74.00308619999987;None;None;None;[];74.00308619999987;None;None;;74.00308619999987;None;;;S11941;2022_Dec_20_1623;VideoMask;2021.1.2;120.06488306306387;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_138.1.wmv;sad;7.0;incongruent;120.0;160.0;133.99071306426532;h_s;;;;;0;3;3;3;;;;;;;77.03658799999994;None;78.37803200000008;78.7031377999997;79.8281692999999;79.8448155000001;81.82801669999981;None;None;0;81.82801669999981;None;;;;;;;;4;;;;;;;;83.37783669999999;None;None;None;[];83.37783669999999;None;"['7', '7']";"[0.8862406999996892, 1.4381933999998182]";83.37783669999999;None;;;S11941;2022_Dec_20_1623;VideoMask;2021.1.2;120.06488306306387;
8.0;f;028_y_f_s_a.jpg;sad;7.0;sad_64.2ns.avi;sad;7.0;congruent;130.0;160.0;229.88540597086478;s_s;;;;;0;4;4;4;;;;;;;86.38676029999988;None;88.59441579999975;88.91944859999967;90.11936089999972;90.13606679999975;101.04405489999999;None;None;0;101.04405489999999;None;;;;;;;;5;;;;;;;;102.59388519999993;None;None;None;[];102.59388519999993;None;None;;102.59388519999993;None;;;S11941;2022_Dec_20_1623;VideoMask;2021.1.2;120.06488306306387;
7.0;m;027_o_m_s_a.jpg;sad;7.0;sad_10.4ns.avi;sad;7.0;congruent;130.0;160.0;185.20129417468752;s_s;;;;;0;5;5;5;;;;;;;105.61897150000004;None;107.37713799999983;107.70228859999997;108.86207569999988;108.88542139999981;111.99371909999991;None;7;0;111.99371909999991;None;;;;;;;;5;;;;;1.1342042999999649;;;113.54362880000008;None;None;None;[];113.54362880000008;None;None;;113.54362880000008;None;;;S11941;2022_Dec_20_1623;VideoMask;2021.1.2;120.06488306306387;
2.0;f;012_o_f_s_a.jpg;sad;7.0;sad_7.5ns.avi;sad;7.0;congruent;130.0;160.0;220.27842655424388;s_s;;;;;0;6;6;6;;;;;;;116.57687499999975;None;118.61005909999994;118.92677709999998;120.07668590000003;120.09343349999972;122.85168969999995;None;7;0;122.85168969999995;None;;;;;;;;4;;;;;0.596352300000035;;;124.40162539999983;None;None;None;[];124.40162539999983;None;['7'];[0.5505004999999983];124.40162539999983;None;;;S11941;2022_Dec_20_1623;VideoMask;2021.1.2;120.06488306306387;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_27.1ns.avi;happy;9.0;congruent;120.0;150.0;146.44967055810616;h_h;;;;;0;7;7;7;;;;;;;127.40197259999968;None;128.82644549999986;129.15153269999973;130.31814399999985;130.33455950000007;132.76804219999985;None;9;0;132.76804219999985;None;;;;;;;;7;;;;;0.9599382999999762;;;134.31797830000005;None;None;None;[];134.31797830000005;None;"['9', '9', '9']";"[0.5780294999999569, 0.9860143999999309, 1.5540648000001056]";134.31797830000005;None;;;S11941;2022_Dec_20_1623;VideoMask;2021.1.2;120.06488306306387;
