primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.rt;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.started;slider_resp_response.stopped;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
1111;m;1111_m_m_h_a.jpg;happy;9;example_30.4ns.avi;neutral;7;incongruent;120.0;170.0;189.5874364012288;;0;0;0;0;;;;;26.900434800016228;1;26.978814799978863;28.978895500011276;28.978895500011276;None;30.9954547000234;None;33.195414300018456;33.528701599978376;34.67040649999399;34.6869933999842;38.98699230002239;None;8;0;1.295601500023622;38.98699230002239;None;40.54521479998948;None;None;None;[];40.54521479998948;None;5;None;40.54521479998948;None;;;;;;;;;;;;;;;;S12078;2023_Mar_21_1755;VideoMask;2021.1.2;119.98363424735095;
1113;f;1113_y_f_s_a.jpg;sad;7;example_30.3ns.avi;neutral;7;incongruent;130.0;170.0;229.02432995836998;;0;1;1;1;;;;;;;;;;;43.56177019997267;None;45.66992219997337;45.99506330001168;47.14503379998496;47.16165690001799;49.119962900003884;None;None;0;;49.119962900003884;None;50.66993839998031;None;None;None;[];50.66993839998031;None;5;None;50.66993839998031;None;;;;;;;;;;;;;;;;S12078;2023_Mar_21_1755;VideoMask;2021.1.2;119.98363424735095;
9.0;f;019_m_f_h_a.jpg;happy;9.0;sad_115.1.wmv;sad;7.0;incongruent;120.0;160.0;128.09063432376465;h_s;;;;;0;0;0;0;;;;;;;54.719753100012895;None;56.01127499999711;56.33641559997341;57.46959340001922;57.48633739998331;59.477957600029185;None;None;0;;59.477957600029185;None;;;;;;;;4;;;;53.70317049999721;None;61.036073499999475;None;None;None;[];61.036073499999475;None;['7'];[0.26260469999397174];61.036073499999475;None;;;S12078;2023_Mar_21_1755;VideoMask;2021.1.2;119.98363424735095;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_94.2ns.avi;sad;7.0;congruent;130.0;160.0;182.29120173647655;s_s;;;;;0;1;1;1;;;;;;;64.03654180001467;None;65.76100240001688;66.08611009997549;67.31935840001097;67.33590210002149;69.90261819999432;None;7;0;1.4279308999539353;69.90261819999432;None;;;;;;;;3;;;;;;71.4525125999935;None;None;None;[];71.4525125999935;None;"['7', '7']";"[0.6221446000272408, 1.2382302000187337]";71.4525125999935;None;;;S12078;2023_Mar_21_1755;VideoMask;2021.1.2;119.98363424735095;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_26.1ns.avi;happy;9.0;congruent;120.0;150.0;155.9437854594882;h_h;;;;;0;2;2;2;;;;;;;74.46102559997234;None;75.95231010002317;76.27744550001808;77.42745439999271;77.44405799999367;79.39457140001468;None;None;0;;79.39457140001468;None;;;;;;;;4;;;;;;81.33545389998471;None;None;None;[];81.33545389998471;None;['7'];[1.299381099990569];81.33545389998471;None;;;S12078;2023_Mar_21_1755;VideoMask;2021.1.2;119.98363424735095;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_138.1.wmv;sad;7.0;incongruent;120.0;160.0;133.99071306426532;h_s;;;;;0;3;3;3;;;;;;;84.33565389999421;None;85.6520170000149;85.9772188999923;87.10213710000971;87.11860510002589;89.10195510002086;None;7;0;0.8447907000081614;89.10195510002086;None;;;;;;;;4;;;;;;90.67692420003004;None;None;None;[];90.67692420003004;None;['7'];[0.6457907999865711];90.67692420003004;None;;;S12078;2023_Mar_21_1755;VideoMask;2021.1.2;119.98363424735095;
8.0;f;028_y_f_s_a.jpg;sad;7.0;sad_64.2ns.avi;sad;7.0;congruent;130.0;160.0;229.88540597086478;s_s;;;;;0;4;4;4;;;;;;;93.68536880001193;None;95.8850942000281;96.21012000000337;97.3517638000194;97.36841840000125;108.33476200001314;None;7;0;0.7399346000165679;108.33476200001314;None;;;;;;;;2;;;;;;109.90966190001927;None;None;None;[];109.90966190001927;None;"['7', '7', '7']";"[0.412966099975165, 0.7649367999983951, 1.108872800017707]";109.90966190001927;None;;;S12078;2023_Mar_21_1755;VideoMask;2021.1.2;119.98363424735095;
7.0;m;027_o_m_s_a.jpg;sad;7.0;sad_10.4ns.avi;sad;7.0;congruent;130.0;160.0;185.20129417468752;s_s;;;;;0;5;5;5;;;;;;;112.90958099998534;None;114.66773039998952;114.99280599999474;116.15944000001764;116.17618930002209;119.29272490000585;None;7;0;1.1659805999952368;119.29272490000585;None;;;;;;;;3;;;;;;120.842652500025;None;None;None;[];120.842652500025;None;"['7', '7']";"[0.07996469998033717, 0.784041500010062]";120.842652500025;None;;;S12078;2023_Mar_21_1755;VideoMask;2021.1.2;119.98363424735095;
2.0;f;012_o_f_s_a.jpg;sad;7.0;sad_7.5ns.avi;sad;7.0;congruent;130.0;160.0;220.27842655424388;s_s;;;;;0;6;6;6;;;;;;;123.84296969999559;None;125.88411450001877;126.20919820002746;127.36744750000071;127.38413259998197;130.1260662000277;None;7;0;0.620562499971129;130.1260662000277;None;;;;;;;;2;;;;;;131.73395550000714;None;None;None;[];131.73395550000714;None;"['7', '7', '7', '7']";"[0.3966939999954775, 0.72461239999393, 1.0207072999910451, 1.4847994999727234]";131.73395550000714;None;;;S12078;2023_Mar_21_1755;VideoMask;2021.1.2;119.98363424735095;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_27.1ns.avi;happy;9.0;congruent;120.0;150.0;146.44967055810616;h_h;;;;;0;7;7;7;;;;;;;134.7421451000264;None;136.17542440001853;136.49216020002495;137.65227590000723;137.6841033999808;140.11706319998484;None;None;0;;140.11706319998484;None;;;;;;;;6;;;;;;141.73351609997917;None;None;None;[];141.73351609997917;None;['9'];[2.6931492000003345];141.73351609997917;None;;;S12078;2023_Mar_21_1755;VideoMask;2021.1.2;119.98363424735095;
8.0;f;028_y_f_h_a.jpg;happy;9.0;sad_119.1.wmv;sad;7.0;incongruent;120.0;160.0;148.71526953572538;h_s;;;;;0;8;8;8;;;;;;;144.742312700022;None;146.20006850000937;146.52518380002584;147.65847109997412;147.67500370001653;149.71672710002167;None;7;0;0.597941100015305;149.71672710002167;None;;;;;;;;2;;;;;;151.29170080000767;None;None;None;[];151.29170080000767;None;"['7', '7', '7', '7']";"[0.33532960002776235, 0.710974499990698, 1.0550317000015639, 2.623010199982673]";151.29170080000767;None;;;S12078;2023_Mar_21_1755;VideoMask;2021.1.2;119.98363424735095;
6.0;m;016_y_m_s_a.jpg;sad;7.0;happy_60.4ns.avi;happy;9.0;incongruent;130.0;150.0;126.02367393611817;s_h;;;;;0;9;9;9;;;;;;;154.29166669998085;None;155.59155150002334;155.9166112000239;157.09155000001192;157.10819840000477;162.83300969999982;None;9;0;1.3299952000379562;162.83300969999982;None;;;;;;;;7;;;;;;164.40796500002034;None;None;None;[];164.40796500002034;None;"['9', '9']";"[0.4506393999909051, 1.3307778000016697]";164.40796500002034;None;;;S12078;2023_Mar_21_1755;VideoMask;2021.1.2;119.98363424735095;
9.0;f;019_m_f_s_a.jpg;sad;7.0;sad_8.4ns.avi;sad;7.0;congruent;130.0;160.0;171.6633093155257;s_s;;;;;0;10;10;10;;;;;;;167.41619600000558;None;169.09946410002885;169.42439930001274;170.5993671999895;170.61607009998988;178.69082349998644;None;7;0;0.9519492999534123;178.69082349998644;None;;;;;;;;3;;;;;;180.24070869997377;None;None;None;[];180.24070869997377;None;"['7', '7', '7']";"[0.3939742000075057, 0.8578478000126779, 1.7698701999615878]";180.24070869997377;None;;;S12078;2023_Mar_21_1755;VideoMask;2021.1.2;119.98363424735095;
