primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.rt;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.started;slider_resp_response.stopped;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.started;slider_resp_study.stopped;slider_resp_study.rt;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
1111;m;1111_m_m_h_a.jpg;happy;9;example_30.4ns.avi;neutral;7;incongruent;120.0;170.0;189.5874364012288;0;0;0;0;;;;;58.42242809990421;1;58.50857989990618;60.5086680999957;60.5086680999957;None;62.52598059992306;None;64.7002939999802;65.01690039993264;66.1416787999915;66.15829960000701;70.49181939999107;None;8;0;0.6475159999681637;70.49181939999107;None;72.04999259999022;None;None;None;[];72.04999259999022;None;5;None;72.04999259999022;None;;;;;;;;;;;;;;;;S10781;2021_Jul_27_1728;VideoMask;2021.1.2;120.0114250628929;
1113;f;1113_y_f_s_a.jpg;sad;7;example_30.3ns.avi;neutral;7;incongruent;130.0;170.0;229.02432995836998;0;1;1;1;;;;;;;;;;;75.0664598000003;None;77.39140149997547;77.70812429999933;78.89161749999039;78.90814829990268;80.85825319995638;None;8;0;1.2570129999658093;80.85825319995638;None;82.41642649995629;None;None;None;[];82.41642649995629;None;5;None;82.41642649995629;None;;;;;;;;;;;;;;;;S10781;2021_Jul_27_1728;VideoMask;2021.1.2;120.0114250628929;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_94.2ns.avi;sad;7.0;congruent;130.0;160.0;228.63582583242618;;;;;0;0;0;0;;;;;;;86.44957979989704;None;88.5494267999893;88.86612259992398;90.0411019999301;90.05784489994403;92.69107749999966;None;7;0;0.8642437999369577;92.69107749999966;None;;;;;;;;5;;;;85.44140269991476;None;94.24954679992516;None;None;None;[];94.24954679992516;None;None;94.24954679992516;None;;;;S10781;2021_Jul_27_1728;VideoMask;2021.1.2;120.0114250628929;
0.0;f;030_o_f_s_a.jpg;sad;7.0;sad_68.1ns.avi;sad;7.0;congruent;130.0;160.0;163.14738846961149;;;;;0;1;1;1;;;;;;;97.27435809990857;None;98.85746289999224;99.17426669993438;100.39101499994285;100.40757099993061;107.73257180000655;None;7;0;0.4789566999534145;107.73257180000655;None;;;;;;;;5;;;;;;109.31576409994159;None;None;None;[];109.31576409994159;None;None;109.31576409994159;None;;;;S10781;2021_Jul_27_1728;VideoMask;2021.1.2;120.0114250628929;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_26.1ns.avi;happy;9.0;congruent;140.0;150.0;184.58211837191982;;;;;0;2;2;2;;;;;;;112.34896969993133;None;114.08207010000478;114.39907129993662;115.56534319999628;115.5908643999137;117.52385419991333;None;8;0;0.647588099935092;117.52385419991333;None;;;;;;;;5;;;;;;119.30711449997034;None;None;None;[];119.30711449997034;None;None;119.30711449997034;None;;;;S10781;2021_Jul_27_1728;VideoMask;2021.1.2;120.0114250628929;
0.0;f;030_o_f_s_a.jpg;sad;7.0;happy_125.3.wmv;happy;9.0;incongruent;130.0;150.0;189.50417957278896;;;;;0;3;3;3;;;;;;;122.3320037999656;None;124.14011459995527;124.45676609990187;125.59091209992766;125.6158024999313;127.5902175999945;None;9;0;0.7571099000051618;127.5902175999945;None;;;;;;;;5;;;;;;129.1401147999568;None;None;None;[];129.1401147999568;None;None;129.1401147999568;None;;;;S10781;2021_Jul_27_1728;VideoMask;2021.1.2;120.0114250628929;
1.0;f;021_o_f_s_a.jpg;sad;7.0;sad_9.5ns.avi;sad;7.0;congruent;130.0;160.0;156.55128602613038;;;;;0;4;4;4;;;;;;;132.17328389990143;None;133.681441099965;133.99826459994074;135.20653049997054;135.2315977999242;140.85634329996537;None;7;0;0.7070085000013933;140.85634329996537;None;;;;;;;;3;;;;;;142.40641629998572;None;None;None;[];142.40641629998572;None;"['7', '7']";142.40641629998572;None;"[0.30093040002975613, 1.0051075000083074]";;;S10781;2021_Jul_27_1728;VideoMask;2021.1.2;120.0114250628929;
4.0;m;004_o_m_s_a.jpg;sad;7.0;happy_28.1ns.avi;happy;9.0;incongruent;130.0;150.0;219.83540383939274;;;;;0;5;5;5;;;;;;;145.40626570000313;None;147.4394463999197;147.75630419992376;148.92290000000503;148.93952389992774;153.28114729991648;None;9;0;0.2983087000902742;153.28114729991648;None;;;;;;;;9;;;;;;154.88939459994435;None;None;None;[];154.88939459994435;None;"['9', '9', '9', '9']";154.88939459994435;None;"[0.10613040009047836, 0.490121400100179, 0.8422723000403494, 1.1619648000923917]";;;S10781;2021_Jul_27_1728;VideoMask;2021.1.2;120.0114250628929;
2.0;f;012_o_f_s_a.jpg;sad;7.0;sad_7.5ns.avi;sad;7.0;congruent;130.0;160.0;147.95125229894379;;;;;0;6;6;6;;;;;;;157.88928070000838;None;159.30570469994564;159.62251289992128;160.80630249995738;160.82283949991688;163.5478526999941;None;8;0;0.543747500050813;163.5478526999941;None;;;;;;;;5;;;;;;165.24742959998548;None;None;None;[];165.24742959998548;None;None;165.24742959998548;None;;;;S10781;2021_Jul_27_1728;VideoMask;2021.1.2;120.0114250628929;
2.0;f;012_o_f_s_a.jpg;sad;7.0;happy_52.2ns.avi;happy;9.0;incongruent;130.0;150.0;144.3898903070799;;;;;0;7;7;7;;;;;;;168.2727498000022;None;169.67256039998028;169.9889406999573;171.13057099992875;171.1472516999347;174.6721385999117;None;7;0;0.9072603000095114;174.6721385999117;None;;;;;;;;3;;;;;;176.2469143999042;None;None;None;[];176.2469143999042;None;"['7', '7']";176.2469143999042;None;"[0.01246190001256764, 0.7006142999744043]";;;S10781;2021_Jul_27_1728;VideoMask;2021.1.2;120.0114250628929;
