primePerson	primeGender	prime	primeEmotion	corrAnsPrime	target	targetEmotion	corrAnsTar	Cond	ID_Primer	ID_Target	JitterTime	Condition	example.thisRepN	example.thisTrialN	example.thisN	example.thisIndex	study.thisRepN	study.thisTrialN	study.thisN	study.thisIndex	MR_trigger_time	MR_trigger_number	text_intro.started	text_intro.stopped	text_probe.started	text_probe.stopped	polygon_ISI.started	polygon_ISI.stopped	polygon.started	polygon.stopped	primerImage.started	primerImage.stopped		response.started	response.stopped	key_resp.keys	key_resp.corr	key_resp.started	key_resp.stopped	slider_Text.started	slider_Text.stopped	slider_ex.response	slider_ex.rt	slider_ex.history	slider_ex.started	slider_ex.stopped	Rating	slider_resp_response.keys	slider_resp_response.rt	slider_resp_response.started	slider_resp_response.stopped	key_resp.rt	text_start.started	text_start.stopped	text_slider.started	text_slider.stopped	slider_stud.response	slider_stud.rt	slider_stud.history	slider_stud.started	slider_stud.stopped	slider_resp_study.keys	slider_resp_study.rt	slider_resp_study.started	slider_resp_study.stopped	text_ende.started	text_ende.stopped	participant	date	expName	psychopyVersion	frameRate
1111	m	1111_m_m_h_a.jpg	happy	9	example_30.4ns.avi	neutral	7	incongruent	120	170	189.5874364		0	0	0	0					25.5339406	1	25.6116975	27.6114428	27.6114428	None	29.6282986	None	31.803063	32.1196722	33.2448037	33.2614223	0.0166186	37.5947488	None	None	0	37.5947488	None	39.1444627	None	None	None	[]	39.1444627	None	7	['9', '9']	[2.3760673000942916, 2.7041422000620514]	39.1444627	None																	S10814	2021_Aug_10_1724	VideoMask	02.01.21	120.0859332
1113	f	1113_y_f_s_a.jpg	sad	7	example_30.3ns.avi	neutral	7	incongruent	130	170	229.02433		0	1	1	1											42.1446192	None	44.2610944	44.5778437	45.7447256	45.76103	0.0163044	47.7111383	None	9	0	47.7111383	None	49.2610723	None	None	None	[]	49.2610723	None	8	['9', '9', '9']	[0.3635244998149574, 0.5714069998357445, 0.7713364998344332]	49.2610723	None	0.7616343																S10814	2021_Aug_10_1724	VideoMask	02.01.21	120.0859332
3	m	033_o_m_s_a.jpg	sad	7	sad_94.2ns.avi	sad	7	congruent	130	160	220.5092851	s_s					0	0	0	0							53.3109898	None	55.3441072	55.6608112	56.8356251	56.8522815	0.0166564	59.4859045	None	7	0	59.4859045	None								3					0.7386996	52.2694728	None	61.044172	None	None	None	[]	61.044172	None	['7', '7', '7', '7', '9']	[0.3802469000220299, 0.6443900999147445, 1.0765351001173258, 1.436384700005874, 2.756403800100088]	61.044172	None			S10814	2021_Aug_10_1724	VideoMask	02.01.21	120.0859332
0	f	030_o_f_s_a.jpg	sad	7	sad_68.1ns.avi	sad	7	congruent	130	160	132.8985729	s_s					0	1	1	1							64.0356366	None	65.3693421	65.6857609	66.8522655	66.8689201	0.0166546	74.2437121	None	7	0	74.2437121	None								2					0.3808655			75.8186101	None	None	None	[]	75.8186101	None	['7', '7', '7']	[0.30992589984089136, 0.598004899919033, 1.150176899973303]	75.8186101	None			S10814	2021_Aug_10_1724	VideoMask	02.01.21	120.0859332
8	m	008_y_m_h_a.jpg	happy	9	happy_26.1ns.avi	happy	9	congruent	140	150	143.7633689	h_h					0	2	2	2							78.8187105	None	80.210249	80.5268888	81.7599145	81.7766038	0.0166893	83.6518251	None	9	0	83.6518251	None								9					0.7889924			85.2017278	None	None	None	[]	85.2017278	None	['9', '9', '9', '9', '9']	[0.4709050999954343, 0.7268653998617083, 0.9349255000706762, 1.1347797999624163, 1.5667675000149757]	85.2017278	None			S10814	2021_Aug_10_1724	VideoMask	02.01.21	120.0859332
1	f	021_o_f_s_a.jpg	sad	7	sad_9.5ns.avi	sad	7	congruent	130	160	236.8910099	s_s					0	3	3	3							88.2100534	None	90.3847861	90.7015094	91.8348383	91.851558	0.0167197	97.5598472	None	7	0	97.5598472	None								1					0.3532335			99.1430296	None	None	None	[]	99.1430296	None	['7', '7', '7', '7']	[0.3057067000772804, 0.5217051999643445, 0.7215269000735134, 0.9055743999779224]	99.1430296	None			S10814	2021_Aug_10_1724	VideoMask	02.01.21	120.0859332
2	f	012_o_f_s_a.jpg	sad	7	sad_7.5ns.avi	sad	7	congruent	130	160	136.3715645	s_s					0	4	4	4							102.142954	None	103.4676934	103.7844348	104.9512096	104.9678527	0.0166431	107.7097379	None	7	0	107.7097379	None								1					0.602947			109.3177845	None	None	None	[]	109.3177845	None	['7', '7', '7', '7']	[0.36282959999516606, 0.594780899817124, 0.7868064998183399, 0.9629967999644578]	109.3177845	None			S10814	2021_Aug_10_1724	VideoMask	02.01.21	120.0859332
0	f	040_y_f_s_a.jpg	sad	7	sad_67.2ns.avi	sad	7	congruent	130	160	200.0876613	s_s					0	5	5	5							112.325987	None	114.2175772	114.5341547	115.7423444	115.7592703	0.0169259	124.8923256	None	7	0	124.8923256	None								1					0.5563302			126.4422374	None	None	None	[]	126.4422374	None	['7', '7', '7', '7']	[0.2703021001070738, 0.478477300144732, 0.6945009001065046, 1.0543674000073224]	126.4422374	None			S10814	2021_Aug_10_1724	VideoMask	02.01.21	120.0859332
2	f	012_o_f_h_a.jpg	happy	9	happy_2.2ns.avi	happy	9	congruent	140	150	159.5261178	h_h					0	6	6	6							129.4504974	None	131.050282	131.3670979	132.5753053	132.5923543	0.017049	144.7002445	None	9	0	144.7002445	None								8					0.5405735			146.2582552	None	None	None	[]	146.2582552	None	['9', '9', '9']	[0.23844340001232922, 0.4543737000785768, 0.8224420000333339]	146.2582552	None			S10814	2021_Aug_10_1724	VideoMask	02.01.21	120.0859332
9	f	019_m_f_s_a.jpg	sad	7	sad_8.4ns.avi	sad	7	congruent	130	160	203.9234795	s_s					0	7	7	7							149.258374	None	151.1831907	151.5003401	152.6421363	152.6664962	0.0243599	160.7668982	None	7	0	160.7668982	None								4					0.5779253			162.3245489	None	None	None	[]	162.3245489	None	['7']	[0.6280723998788744]	162.3245489	None			S10814	2021_Aug_10_1724	VideoMask	02.01.21	120.0859332
8	m	008_y_m_s_a.jpg	sad	7	sad_6.5ns.avi	sad	7	congruent	130	160	182.8675044	s_s					0	8	8	8							165.3328852	None	167.0658793	167.3829192	168.5494629	168.5660108	0.0165479	173.516512	None	7	0	173.516512	None								2					0.6602493			175.2742067	None	None	None	[]	175.2742067	None	['7', '7', '7']	[0.2544850001577288, 0.4464539000764489, 1.4065026000607759]	175.2742067	None			S10814	2021_Aug_10_1724	VideoMask	02.01.21	120.0859332
1	f	021_o_f_h_a.jpg	happy	9	happy_12.1ns.avi	happy	9	congruent	140	150	233.3007736	h_h					0	9	9	9							178.2741869	None	180.4406292	180.7573509	181.9159719	181.9326898	0.0167179	189.5071525	None	9	0	189.5071525	None								8					0.4058453			191.1821103	None	None	None	[]	191.1821103	None	['9', '9', '9']	[0.2826119000092149, 0.8507979998830706, 2.8426534000318497]	191.1821103	None			S10814	2021_Aug_10_1724	VideoMask	02.01.21	120.0859332
8	f	028_y_f_s_a.jpg	sad	7	sad_64.2ns.avi	sad	7	congruent	130	160	179.3329474	s_s					0	10	10	10							194.1820198	None	195.9069646	196.2235425	197.398265	197.4153275	0.0170625	208.3567764	None	7	0	208.3567764	None								3					1.0919051			209.9065563	None	None	None	[]	209.9065563	None	['7', '7']	[0.49434580001980066, 1.2381809998769313]	209.9065563	None			S10814	2021_Aug_10_1724	VideoMask	02.01.21	120.0859332
3	m	033_o_m_s_a.jpg	sad	7	sad_64.5ns.avi	sad	7	congruent	130	160	122.5731995	s_s					0	11	11	11							212.9063933	None	214.1396485	214.4563472	215.5988198	215.6230453	0.0242255	222.1728681	None	7	0	222.1728681	None								1					0.6279185			223.7228639	None	None	None	[]	223.7228639	None	['7', '7', '7', '7', '7']	[0.3418656999710947, 0.5659493999555707, 0.766148499911651, 1.701852099969983, 2.3501313999295235]	223.7228639	None			S10814	2021_Aug_10_1724	VideoMask	02.01.21	120.0859332
8	m	008_y_m_h_a.jpg	happy	9	happy_1.2ns.avi	happy	9	congruent	140	150	136.0851269	h_h					0	12	12	12							226.7227453	None	228.097497	228.4142929	229.5977399	229.6144079	0.016668	242.3390941	None	9	0	242.3390941	None								8					0.3737456			243.888945	None	None	None	[]	243.888945	None	['9', '9', '9']	[0.25633520004339516, 0.4880280999932438, 1.9439632999710739]	243.888945	None			S10814	2021_Aug_10_1724	VideoMask	02.01.21	120.0859332
0	f	040_y_f_s_a.jpg	sad	7	sad_94.3ns.avi	sad	7	congruent	130	160	153.8530999	s_s					0	13	13	13							246.8890279	None	248.3555034	248.6720085	249.8388091	249.855365	0.0165559	252.43052	None	None	0	252.43052	None								3								253.9803506	None	None	None	[]	253.9803506	None	['7', '7']	[0.1965740998275578, 0.7404849999584258]	253.9803506	None			S10814	2021_Aug_10_1724	VideoMask	02.01.21	120.0859332
0	f	030_o_f_h_a.jpg	happy	9	happy_24.1ns.avi	happy	9	congruent	140	150	208.5777048	h_h					0	14	14	14							256.9886995	None	258.9389341	259.255145	260.4299384	260.4465926	0.0166542	263.7137268	None	9	0	263.7137268	None								7					1.1031211			265.2633416	None	None	None	[]	265.2633416	None	['9', '9']	[0.34566190000623465, 0.6175262001343071]	265.2633416	None			S10814	2021_Aug_10_1724	VideoMask	02.01.21	120.0859332
7	m	027_o_m_h_a.jpg	happy	9	happy_20.1ns.avi	happy	9	congruent	140	150	199.4062411	h_h					0	15	15	15							268.2717193	None	270.1295777	270.4463976	271.5798489	271.5964547	0.0166058	274.5964719	None	9	0	274.5964719	None								9					0.7403856			276.1463446	None	None	None	[]	276.1463446	None	['9', '9', '9', '9']	[0.27054739999584854, 0.47045010002329946, 0.6625181001145393, 0.8545244000852108]	276.1463446	None			S10814	2021_Aug_10_1724	VideoMask	02.01.21	120.0859332
4	m	004_o_m_s_a.jpg	sad	7	sad_2.4ns.avi	sad	7	congruent	130	160	144.2507179	s_s					0	16	16	16							279.1548025	None	280.571117	280.8877906	282.0877449	282.1045305	0.0167856	289.979433	None	7	0	289.979433	None								3					0.3814425			291.5292283	None	None	None	[]	291.5292283	None	['7', '7', '7']	[0.06370529998093843, 0.3035822999663651, 0.7436483998317271]	291.5292283	None			S10814	2021_Aug_10_1724	VideoMask	02.01.21	120.0859332
4	m	004_o_m_h_a.jpg	happy	9	happy_1.1ns.avi	happy	9	congruent	140	150	235.7124672	h_h					0	17	17	17							294.5292705	None	296.7456345	297.06239	298.2790747	298.2957382	0.0166635	312.678675	None	9	0	312.678675	None								7					0.9062657			314.3869493	None	None	None	[]	314.3869493	None	['9', '9']	[22.807981699937955, 0.6139859999530017]	314.3869493	None			S10814	2021_Aug_10_1724	VideoMask	02.01.21	120.0859332
2	f	012_o_f_h_a.jpg	happy	9	happy_27.1ns.avi	happy	9	congruent	140	150	230.4875036	h_h					0	18	18	18							317.3619719	None	319.4787472	319.7951372	321.0121818	321.0366097	0.0244279	323.420235	None	9	0	323.420235	None								8					1.4286679			324.9782332	None	None	None	[]	324.9782332	None	['9', '9', '9']	[0.6386957000941038, 1.0865048000123352, 1.3667260000947863]	324.9782332	None			S10814	2021_Aug_10_1724	VideoMask	02.01.21	120.0859332
8	f	028_y_f_h_a.jpg	happy	9	happy_23.1ns.avi	happy	9	congruent	140	150	180.6982356	h_h					0	19	19	19							327.9782964	None	329.6781111	329.9948337	331.1613008	331.1782838	0.016983	335.711394	None	9	0	335.711394	None								8					1.2336934			337.2863461	None	None	None	[]	337.2863461	None	['9', '9', '9']	[12.262818899936974, 0.17862320016138256, 1.330744800157845]	337.2863461	None			S10814	2021_Aug_10_1724	VideoMask	02.01.21	120.0859332
0	f	030_o_f_s_a.jpg	sad	7	sad_64.3ns.avi	sad	7	congruent	130	160	166.5307837	s_s					0	20	20	20							340.2695353	None	341.8693663	342.186078	343.3779935	343.3944771	0.0164836	348.319576	None	None	0	348.319576	None								4								349.8692013	None	None	None	[]	349.8692013	None	['7']	[0.33189100003801286]	349.8692013	None			S10814	2021_Aug_10_1724	VideoMask	02.01.21	120.0859332
6	m	016_y_m_s_a.jpg	sad	7	sad_8.3ns.avi	sad	7	congruent	130	160	175.8624312	s_s					0	21	21	21							352.8694122	None	354.5523469	354.8689768	356.0190796	356.0357608	0.0166812	363.7607142	None	None	0	363.7607142	None								5								365.4103632	None	None	None	[]	365.4103632	None	['7', '9', '9', '7']	[1.3425564002245665, 1.510721400147304, 1.686606900068, 2.078755300026387]	365.4103632	None			S10814	2021_Aug_10_1724	VideoMask	02.01.21	120.0859332
7	m	027_o_m_s_a.jpg	sad	7	sad_10.4ns.avi	sad	7	congruent	130	160	211.3083941	s_s					0	22	22	22							368.4104019	None	370.3685321	370.6852647	371.8103475	371.8270031	0.0166556	374.9853156	None	None	0	374.9853156	None								3								376.535018	None	None	None	[]	376.535018	None	['7', '7']	[0.7061740001663566, 2.0421205000020564]	376.535018	None			S10814	2021_Aug_10_1724	VideoMask	02.01.21	120.0859332
3	m	013_y_m_h_a.jpg	happy	9	happy_9.1ns.avi	happy	9	congruent	140	150	162.7022764	h_h					0	23	23	23							379.5352211	None	381.0932727	381.4101105	382.5433655	382.5600633	0.0166978	385.7687474	None	None	0	385.7687474	None								9								387.3186685	None	None	None	[]	387.3186685	None	['9', '9', '9', '9', '9']	[0.2107903000432998, 0.6424194001592696, 0.8343382000457495, 1.3383319000713527, 1.634438200155273]	387.3186685	None			S10814	2021_Aug_10_1724	VideoMask	02.01.21	120.0859332
