primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.rt;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.started;slider_resp_response.stopped;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
1111;m;1111_m_m_h_a.jpg;happy;9;example_30.4ns.avi;neutral;7;incongruent;120.0;170.0;189.5874364012288;;0;0;0;0;;;;;44.66449370002374;1;44.75886430009268;46.75881540006958;46.75881540006958;None;48.79217520006932;None;50.87542779999785;51.20040230010636;52.36678720009513;52.38347080000676;56.66703060013242;None;8;0;0.6401042998768389;56.66703060013242;None;58.22519630007446;None;None;None;[];58.22519630007446;None;5;None;58.22519630007446;None;;;;;;;;;;;;;;;;S10886;2021_Sep_09_1253;VideoMask;2021.1.2;120.40272295452445;
1113;f;1113_y_f_s_a.jpg;sad;7;example_30.3ns.avi;neutral;7;incongruent;130.0;170.0;229.02432995836998;;0;1;1;1;;;;;;;;;;;61.23348719999194;None;63.35838120011613;63.675029600039124;64.8500024001114;64.86666790000163;66.80827410006896;None;8;0;0.5548282000236213;66.80827410006896;None;68.35818870016374;None;None;None;[];68.35818870016374;None;5;None;68.35818870016374;None;;;;;;;;;;;;;;;;S10886;2021_Sep_09_1253;VideoMask;2021.1.2;120.40272295452445;
9.0;f;019_m_f_h_a.jpg;happy;9.0;sad_115.1.wmv;sad;7.0;incongruent;120.0;160.0;128.09063432376465;h_s;;;;;0;0;0;0;;;;;;;72.39143940014765;None;73.67458890005946;73.99126710020937;75.13278360012919;75.14971740008332;77.13286890019663;None;7;0;0.750405500177294;77.13286890019663;None;;;;;;;;4;;;;71.39148960006423;None;78.6826761001721;None;None;None;[];78.6826761001721;None;['7'];[1.312675700057298];78.6826761001721;None;;;S10886;2021_Sep_09_1253;VideoMask;2021.1.2;120.40272295452445;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_94.2ns.avi;sad;7.0;congruent;130.0;160.0;182.29120173647655;s_s;;;;;0;1;1;1;;;;;;;81.69125200016424;None;83.4244217001833;83.74095050012693;84.89942970010452;84.91606350010261;87.56603020010516;None;7;0;0.9892790000885725;87.56603020010516;None;;;;;;;;5;;;;;;89.52425320004113;None;None;None;[];89.52425320004113;None;None;;89.52425320004113;None;;;S10886;2021_Sep_09_1253;VideoMask;2021.1.2;120.40272295452445;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_26.1ns.avi;happy;9.0;congruent;120.0;150.0;155.9437854594882;h_h;;;;;0;2;2;2;;;;;;;92.55751790013164;None;94.06568350014277;94.3825792002026;95.58238540007733;95.59906330006197;97.5079644001089;None;9;0;0.38323259982280433;97.5079644001089;None;;;;;;;;5;;;;;;99.05730079999194;None;None;None;[];99.05730079999194;None;None;;99.05730079999194;None;;;S10886;2021_Sep_09_1253;VideoMask;2021.1.2;120.40272295452445;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_138.1.wmv;sad;7.0;incongruent;120.0;160.0;133.99071306426532;h_s;;;;;0;3;3;3;;;;;;;102.08231870015152;None;103.40762900002301;103.72395260003395;104.84885790012777;104.86539750010706;106.86554340017028;None;7;0;0.5777695998549461;106.86554340017028;None;;;;;;;;5;;;;;;108.41535130003467;None;None;None;[];108.41535130003467;None;None;;108.41535130003467;None;;;S10886;2021_Sep_09_1253;VideoMask;2021.1.2;120.40272295452445;
8.0;f;028_y_f_s_a.jpg;sad;7.0;sad_64.2ns.avi;sad;7.0;congruent;130.0;160.0;229.88540597086478;s_s;;;;;0;4;4;4;;;;;;;111.43175480002537;None;113.63182310014963;113.9484905002173;115.12388170021586;115.14854240021668;126.08160600019619;None;7;0;0.5854324998799711;126.08160600019619;None;;;;;;;;4;;;;;;127.63145360001363;None;None;None;[];127.63145360001363;None;['7'];[0.6759792000520974];127.63145360001363;None;;;S10886;2021_Sep_09_1253;VideoMask;2021.1.2;120.40272295452445;
7.0;m;027_o_m_s_a.jpg;sad;7.0;sad_10.4ns.avi;sad;7.0;congruent;130.0;160.0;185.20129417468752;s_s;;;;;0;5;5;5;;;;;;;130.63982810010202;None;132.42294430010952;132.73950590007007;133.9563647999894;133.9737921000924;137.05639929999597;None;7;0;0.6989472000859678;137.05639929999597;None;;;;;;;;4;;;;;;138.61448780004866;None;None;None;[];138.61448780004866;None;['7'];[1.1889867999125272];138.61448780004866;None;;;S10886;2021_Sep_09_1253;VideoMask;2021.1.2;120.40272295452445;
2.0;f;012_o_f_s_a.jpg;sad;7.0;sad_7.5ns.avi;sad;7.0;congruent;130.0;160.0;220.27842655424388;s_s;;;;;0;6;6;6;;;;;;;141.6143969001714;None;143.6475806001108;143.9643432002049;145.12257520016283;145.13925880007446;147.8894947001245;None;7;0;0.7775229001417756;147.8894947001245;None;;;;;;;;4;;;;;;149.56418190011755;None;None;None;[];149.56418190011755;None;['7'];[1.0231128998566419];149.56418190011755;None;;;S10886;2021_Sep_09_1253;VideoMask;2021.1.2;120.40272295452445;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_27.1ns.avi;happy;9.0;congruent;120.0;150.0;146.44967055810616;h_h;;;;;0;7;7;7;;;;;;;152.56420840020292;None;153.98886150005274;154.3056962999981;155.5137746001128;155.53084580018185;157.93079140014015;None;9;0;0.5443937000818551;157.93079140014015;None;;;;;;;;6;;;;;;159.48051700019278;None;None;None;[];159.48051700019278;None;['9'];[1.0666944000404328];159.48051700019278;None;;;S10886;2021_Sep_09_1253;VideoMask;2021.1.2;120.40272295452445;
8.0;f;028_y_f_h_a.jpg;happy;9.0;sad_119.1.wmv;sad;7.0;incongruent;120.0;160.0;148.71526953572538;h_s;;;;;0;8;8;8;;;;;;;162.48064670013264;None;163.93045630003326;164.24707700009458;165.38042980013415;165.39706260012463;167.44706510007381;None;7;0;0.5643000998534262;167.44706510007381;None;;;;;;;;4;;;;;;169.19694140017964;None;None;None;[];169.19694140017964;None;['7'];[0.03836799995042384];169.19694140017964;None;;;S10886;2021_Sep_09_1253;VideoMask;2021.1.2;120.40272295452445;
6.0;m;016_y_m_s_a.jpg;sad;7.0;happy_60.4ns.avi;happy;9.0;incongruent;130.0;150.0;126.02367393611817;s_h;;;;;0;9;9;9;;;;;;;172.1969865001738;None;173.50514340004884;173.82172040012665;175.00511370017193;175.02177540003322;180.76343020005152;None;9;0;0.5119463999290019;180.76343020005152;None;;;;;;;;5;;;;;;182.34654470020905;None;None;None;[];182.34654470020905;None;None;;182.34654470020905;None;;;S10886;2021_Sep_09_1253;VideoMask;2021.1.2;120.40272295452445;
9.0;f;019_m_f_s_a.jpg;sad;7.0;sad_8.4ns.avi;sad;7.0;congruent;130.0;160.0;171.6633093155257;s_s;;;;;0;10;10;10;;;;;;;185.37151590012945;None;187.04635390010662;187.36300230002962;188.51289250003174;188.52949440013617;196.6300636001397;None;7;0;0.6533053999301046;196.6300636001397;None;;;;;;;;5;;;;;;198.18775500007905;None;None;None;[];198.18775500007905;None;None;;198.18775500007905;None;;;S10886;2021_Sep_09_1253;VideoMask;2021.1.2;120.40272295452445;
4.0;m;004_o_m_h_a.jpg;happy;9.0;happy_1.1ns.avi;happy;9.0;congruent;120.0;150.0;203.50057144619865;h_h;;;;;0;11;11;11;;;;;;;201.2124578000512;None;203.2040676001925;203.52105990005657;204.66262950003147;204.67985940002836;219.13714890019037;None;9;0;0.7781113998498768;219.13714890019037;None;;;;;;;;6;;;;;;220.68710570014082;None;None;None;[];220.68710570014082;None;['9'];[0.7080894999671727];220.68710570014082;None;;;S10886;2021_Sep_09_1253;VideoMask;2021.1.2;120.40272295452445;
7.0;m;027_o_m_h_a.jpg;happy;9.0;happy_20.1ns.avi;happy;9.0;congruent;120.0;150.0;152.91127178874285;h_h;;;;;0;12;12;12;;;;;;;223.68712660018355;None;225.17848870018497;225.49533120007254;226.62031750008464;226.6368272001855;229.64528390020132;None;9;0;0.7179707998875529;229.64528390020132;None;;;;;;;;5;;;;;;231.19514399999753;None;None;None;[];231.19514399999753;None;None;;231.19514399999753;None;;;S10886;2021_Sep_09_1253;VideoMask;2021.1.2;120.40272295452445;
0.0;f;040_y_f_s_a.jpg;sad;7.0;sad_94.3ns.avi;sad;7.0;congruent;130.0;160.0;155.27414203894395;s_s;;;;;0;13;13;13;;;;;;;234.22846480016597;None;235.72824510000646;236.0450340001844;237.26158390007913;237.27807450015098;239.80321929999627;None;8;0;1.1119681000709534;239.80321929999627;None;;;;;;;;5;;;;;;241.35303170001134;None;None;None;[];241.35303170001134;None;None;;241.35303170001134;None;;;S10886;2021_Sep_09_1253;VideoMask;2021.1.2;120.40272295452445;
0.0;f;030_o_f_s_a.jpg;sad;7.0;sad_68.1ns.avi;sad;7.0;congruent;130.0;160.0;158.9411396037211;s_s;;;;;0;14;14;14;;;;;;;244.37795450002886;None;245.94450390012935;246.26128190010786;247.56176950014196;247.5863634000998;254.8195035001263;None;7;0;0.7596997998189181;254.8195035001263;None;;;;;;;;5;;;;;;256.36942070000805;None;None;None;[];256.36942070000805;None;None;;256.36942070000805;None;;;S10886;2021_Sep_09_1253;VideoMask;2021.1.2;120.40272295452445;
0.0;f;030_o_f_h_a.jpg;happy;9.0;sad_127.1.wmv;sad;7.0;incongruent;120.0;160.0;180.59976631384873;h_s;;;;;0;15;15;15;;;;;;;259.40261250012554;None;261.1191575000994;261.4358460002113;262.5608678001445;262.57759370002896;264.56917430018075;None;7;0;0.8819573000073433;264.56917430018075;None;;;;;;;;5;;;;;;266.13578800018877;None;None;None;[];266.13578800018877;None;None;;266.13578800018877;None;;;S10886;2021_Sep_09_1253;VideoMask;2021.1.2;120.40272295452445;
8.0;m;008_y_m_s_a.jpg;sad;7.0;happy_133.3.wmv;happy;9.0;incongruent;130.0;150.0;152.577966552593;s_h;;;;;0;16;16;16;;;;;;;269.1604673000984;None;270.6438736000564;270.9608348000329;272.0856930001173;272.10230050003156;274.09398740017787;None;9;0;0.49324099998921156;274.09398740017787;None;;;;;;;;5;;;;;;275.6437641000375;None;None;None;[];275.6437641000375;None;None;;275.6437641000375;None;;;S10886;2021_Sep_09_1253;VideoMask;2021.1.2;120.40272295452445;
3.0;m;033_o_m_h_a.jpg;happy;9.0;sad_128.1.wmv;sad;7.0;incongruent;120.0;160.0;171.0492454518585;h_s;;;;;0;17;17;17;;;;;;;278.66876400006004;None;280.3186014001258;280.63534480007365;281.78571290010586;281.81014630012214;283.76873090001754;None;7;0;0.68255679984577;283.76873090001754;None;;;;;;;;5;;;;;;285.3185340000782;None;None;None;[];285.3185340000782;None;None;;285.3185340000782;None;;;S10886;2021_Sep_09_1253;VideoMask;2021.1.2;120.40272295452445;
1.0;f;021_o_f_h_a.jpg;happy;9.0;sad_116.1.wmv;sad;7.0;incongruent;120.0;160.0;184.06847610053055;h_s;;;;;0;18;18;18;;;;;;;288.3435496999882;None;290.0932828001678;290.41005240008235;291.54396890010685;291.5769425001927;293.54329650010914;None;7;0;0.499961799941957;293.54329650010914;None;;;;;;;;5;;;;;;295.0932758001145;None;None;None;[];295.0932758001145;None;None;;295.0932758001145;None;;;S10886;2021_Sep_09_1253;VideoMask;2021.1.2;120.40272295452445;
