primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.rt;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.rt;slider_resp_response.started;slider_resp_response.stopped;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
1111;m;1111_m_m_h_a.jpg;happy;9;example_30.4ns.avi;neutral;7;incongruent;120.0;170.0;189.5874364012288;;0;0;0;0;;;;;155.1572636999772;1;155.23485349997645;157.23504829994636;157.23504829994636;None;159.26829859998543;None;161.56831609999062;161.89319189998787;163.068502399954;163.0930728999665;167.36811769998167;None;9;0;0.9663374000228941;167.36811769998167;None;168.92606059997343;None;None;None;[];168.92606059997343;None;7;"['9', '9']";"[1.232340699993074, 1.5765521000139415]";168.92606059997343;None;;;;;;;;;;;;;;;;S10915;2021_Sep_20_1128;VideoMask;2021.1.2;120.02683800971528;
1113;f;1113_y_f_s_a.jpg;sad;7;example_30.3ns.avi;neutral;7;incongruent;130.0;170.0;229.02432995836998;;0;1;1;1;;;;;;;;;;;171.9179976999876;None;174.05926219996763;174.37634579994483;175.5177102999878;175.53440329997102;177.51764289999846;None;None;0;;177.51764289999846;None;179.0676255999715;None;None;None;[];179.0676255999715;None;6;['9'];[2.9305481999763288];179.0676255999715;None;;;;;;;;;;;;;;;;S10915;2021_Sep_20_1128;VideoMask;2021.1.2;120.02683800971528;
9.0;f;019_m_f_h_a.jpg;happy;9.0;sad_115.1.wmv;sad;7.0;incongruent;120.0;160.0;128.09063432376465;h_s;;;;;0;0;0;0;;;;;;;183.10083539999323;None;184.40065539994976;184.71734699996887;185.8589431999717;185.8756423999439;187.86735269997735;None;7;0;0.35497500002384186;187.86735269997735;None;;;;;;;;2;;;;;182.0677603999502;None;189.42571149999276;None;None;None;[];189.42571149999276;None;"['7', '7', '7', '7', '9']";"[0.49310939997667447, 0.7085291999974288, 0.9086779999779537, 1.0925138000166044, 1.9725878000026569]";189.42571149999276;None;;;S10915;2021_Sep_20_1128;VideoMask;2021.1.2;120.02683800971528;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_94.2ns.avi;sad;7.0;congruent;130.0;160.0;182.29120173647655;s_s;;;;;0;1;1;1;;;;;;;192.41722999996273;None;194.14197649998823;194.45884449995356;195.5844665999757;195.60882139997557;198.2837207999546;None;None;0;;198.2837207999546;None;;;;;;;;2;;;;;;;199.83367199997883;None;None;None;[];199.83367199997883;None;"['7', '7', '7']";"[0.24457929999334738, 0.49273979995632544, 1.2366896999883465]";199.83367199997883;None;;;S10915;2021_Sep_20_1128;VideoMask;2021.1.2;120.02683800971528;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_26.1ns.avi;happy;9.0;congruent;120.0;150.0;155.9437854594882;h_h;;;;;0;2;2;2;;;;;;;202.83363149996148;None;204.32512059999863;204.64179719996173;205.8251322999713;205.84174419997726;207.76664249994792;None;None;0;;207.76664249994792;None;;;;;;;;9;;;;;;;209.3166333999834;None;None;None;[];209.3166333999834;None;"['9', '9', '9', '9']";"[0.2577968999976292, 0.4975713999592699, 0.6977670000051148, 0.8977336999960244]";209.3166333999834;None;;;S10915;2021_Sep_20_1128;VideoMask;2021.1.2;120.02683800971528;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_138.1.wmv;sad;7.0;incongruent;120.0;160.0;133.99071306426532;h_s;;;;;0;3;3;3;;;;;;;212.3166584999999;None;213.64137599995593;213.95816019998165;215.08330949995434;215.0997901999508;217.09139679995133;None;7;0;0.23475709999911487;217.09139679995133;None;;;;;;;;2;;;;;;;218.64138739998452;None;None;None;[];218.64138739998452;None;"['7', '7', '7']";"[0.3412930000340566, 0.5807552000042051, 0.8609108999953605]";218.64138739998452;None;;;S10915;2021_Sep_20_1128;VideoMask;2021.1.2;120.02683800971528;
8.0;f;028_y_f_s_a.jpg;sad;7.0;sad_64.2ns.avi;sad;7.0;congruent;130.0;160.0;229.88540597086478;s_s;;;;;0;4;4;4;;;;;;;221.64970129996073;None;223.84964229998877;224.16606869996758;225.35790449997876;225.3744452999672;236.2997651999467;None;None;0;;236.2997651999467;None;;;;;;;;1;;;;;;;237.84892739995848;None;None;None;[];237.84892739995848;None;"['7', '7', '7', '7', '7', '7']";"[0.31748460000380874, 0.5651281999889761, 0.8132634999928996, 1.0453092000097968, 1.4372851999942213, 1.7976223999867216]";237.84892739995848;None;;;S10915;2021_Sep_20_1128;VideoMask;2021.1.2;120.02683800971528;
7.0;m;027_o_m_s_a.jpg;sad;7.0;sad_10.4ns.avi;sad;7.0;congruent;130.0;160.0;185.20129417468752;s_s;;;;;0;5;5;5;;;;;;;240.84898729994893;None;242.62381309998455;242.94058669998776;244.13225279998733;244.14873769995756;247.24050019995775;None;None;0;;247.24050019995775;None;;;;;;;;2;;;;;;;248.78200969996396;None;None;None;[];248.78200969996396;None;"['7', '7', '7']";"[0.25654269999358803, 0.5281929000047967, 0.8001399000058882]";248.78200969996396;None;;;S10915;2021_Sep_20_1128;VideoMask;2021.1.2;120.02683800971528;
2.0;f;012_o_f_s_a.jpg;sad;7.0;sad_7.5ns.avi;sad;7.0;congruent;130.0;160.0;220.27842655424388;s_s;;;;;0;6;6;6;;;;;;;251.7988060999778;None;253.831805099966;254.14863779995358;255.29858289996628;255.3152548999642;258.0738751999452;None;None;0;;258.0738751999452;None;;;;;;;;3;;;;;;;259.65662269998575;None;None;None;[];259.65662269998575;None;"['7', '7', '7', '7', '7', '9']";"[0.2937825999688357, 0.5816009999834932, 0.8215772999683395, 1.0935766999609768, 1.749687899951823, 2.5977143999771215]";259.65662269998575;None;;;S10915;2021_Sep_20_1128;VideoMask;2021.1.2;120.02683800971528;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_27.1ns.avi;happy;9.0;congruent;120.0;150.0;146.44967055810616;h_h;;;;;0;7;7;7;;;;;;;262.6650349999545;None;264.089817399974;264.4065648999531;265.54801889997907;265.56494269997347;268.03146749996813;None;None;0;;268.03146749996813;None;;;;;;;;9;;;;;;;269.6646238999674;None;None;None;[];269.6646238999674;None;"['9', '9', '9', '9']";"[0.2778014999930747, 0.5659743000287563, 0.8055365000036545, 1.02945329999784]";269.6646238999674;None;;;S10915;2021_Sep_20_1128;VideoMask;2021.1.2;120.02683800971528;
