primePerson,primeGender,prime,primeEmotion,corrAnsPrime,target,targetEmotion,corrAnsTar,Cond,ID_Primer,ID_Target,JitterTime,Condition,example.thisRepN,example.thisTrialN,example.thisN,example.thisIndex,study.thisRepN,study.thisTrialN,study.thisN,study.thisIndex,MR_trigger_time,MR_trigger_number,text_intro.started,text_intro.stopped,text_probe.started,text_probe.stopped,polygon_ISI.started,polygon_ISI.stopped,polygon.started,polygon.stopped,primerImage.started,primerImage.stopped,response.started,response.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,slider_Text.started,slider_Text.stopped,slider_ex.response,slider_ex.rt,slider_ex.history,slider_ex.started,slider_ex.stopped,Rating,slider_resp_response.keys,slider_resp_response.started,slider_resp_response.stopped,text_start.started,text_start.stopped,text_slider.started,text_slider.stopped,slider_stud.response,slider_stud.rt,slider_stud.history,slider_stud.started,slider_stud.stopped,slider_resp_study.keys,slider_resp_study.rt,slider_resp_study.started,slider_resp_study.stopped,participant,date,expName,psychopyVersion,frameRate,
1111,m,1111_m_m_h_a.jpg,happy,9,example_30.4ns.avi,neutral,7,incongruent,120.0,170.0,189.5874364012288,,0,0,0,0,,,,,45.022714300081134,1,45.10018890001811,47.10040880017914,47.10040880017914,None,49.11753540020436,None,51.32549840002321,51.65021110000089,52.82507950020954,52.841804600087926,57.13341400003992,None,8,0,1.3103524001780897,57.13341400003992,None,58.69205610011704,None,None,None,[],58.69205610011704,None,5,None,58.69205610011704,None,,,,,,,,,,,,,,S10930,2021_Sep_28_1634,VideoMask,2021.1.2,120.0000480562641,
1113,f,1113_y_f_s_a.jpg,sad,7,example_30.3ns.avi,neutral,7,incongruent,130.0,170.0,229.02432995836998,,0,1,1,1,,,,,,,,,,,61.70824770000763,None,63.82459700014442,64.14141240017489,65.30809280020185,65.32468710001558,67.27487250021659,None,None,0,,67.27487250021659,None,68.82446100004017,None,None,None,[],68.82446100004017,None,5,None,68.82446100004017,None,,,,,,,,,,,,,,S10930,2021_Sep_28_1634,VideoMask,2021.1.2,120.0000480562641,
9.0,f,019_m_f_h_a.jpg,happy,9.0,sad_115.1.wmv,sad,7.0,incongruent,120.0,160.0,128.09063432376465,h_s,,,,,0,0,0,0,,,,,,,72.85788600007072,None,74.14099690015428,74.45767999999225,75.59089250001125,75.60757490014657,77.59102719998918,None,None,0,,77.59102719998918,None,,,,,,,,5,,,,71.84960340010002,None,79.14097360009328,None,None,None,[],79.14097360009328,None,['7'],[1.543129300000146],79.14097360009328,None,S10930,2021_Sep_28_1634,VideoMask,2021.1.2,120.0000480562641,
3.0,m,033_o_m_s_a.jpg,sad,7.0,sad_94.2ns.avi,sad,7.0,congruent,130.0,160.0,182.29120173647655,s_s,,,,,0,1,1,1,,,,,,,82.14930060016923,None,83.86566500016488,84.18238710006699,85.38232189998962,85.39910390018485,88.00725660007447,None,None,0,,88.00725660007447,None,,,,,,,,2,,,,,,89.55717930011451,None,None,None,[],89.55717930011451,None,"['7', '7', '7']","[0.8546111001633108, 2.470614300109446, 2.8145009002182633]",89.55717930011451,None,S10930,2021_Sep_28_1634,VideoMask,2021.1.2,120.0000480562641,
8.0,m,008_y_m_h_a.jpg,happy,9.0,happy_26.1ns.avi,happy,9.0,congruent,120.0,150.0,155.9437854594882,h_h,,,,,0,2,2,2,,,,,,,92.55711650010198,None,94.04038010002114,94.35705200000666,95.51525679999031,95.53193060006015,97.48219090001658,None,None,0,,97.48219090001658,None,,,,,,,,7,,,,,,99.03205810021609,None,None,None,[],99.03205810021609,None,"['9', '9']","[1.131711499998346, 1.363597400020808]",99.03205810021609,None,S10930,2021_Sep_28_1634,VideoMask,2021.1.2,120.0000480562641,
0.0,f,040_y_f_h_a.jpg,happy,9.0,sad_138.1.wmv,sad,7.0,incongruent,120.0,160.0,133.99071306426532,h_s,,,,,0,3,3,3,,,,,,,102.04036130011082,None,103.35679590003565,103.67350470018573,104.79849900002591,104.81519710016437,106.80684600002132,None,7,0,0.7810047001112252,106.80684600002132,None,,,,,,,,1,,,,,,108.45670490013435,None,None,None,[],108.45670490013435,None,"['7', '7', '7', '7', '7', '7']","[0.14689820003695786, 0.31489120004698634, 0.47483350010588765, 0.6428490001708269, 0.8507914000656456, 0.9709207999985665]",108.45670490013435,None,S10930,2021_Sep_28_1634,VideoMask,2021.1.2,120.0000480562641,
8.0,f,028_y_f_s_a.jpg,sad,7.0,sad_64.2ns.avi,sad,7.0,congruent,130.0,160.0,229.88540597086478,s_s,,,,,0,4,4,4,,,,,,,111.45667720003985,None,113.59803570015356,113.91480190004222,115.0813376000151,115.09803550015204,126.0479726002086,None,7,0,0.8596351998858154,126.0479726002086,None,,,,,,,,1,,,,,,127.67281020013615,None,None,None,[],127.67281020013615,None,"['7', '7', '7', '7', '7']","[0.0028510000556707382, 0.21072840015403926, 0.3869064000900835, 0.57875100011006, 0.7708586000371724]",127.67281020013615,None,S10930,2021_Sep_28_1634,VideoMask,2021.1.2,120.0000480562641,
7.0,m,027_o_m_s_a.jpg,sad,7.0,sad_10.4ns.avi,sad,7.0,congruent,130.0,160.0,185.20129417468752,s_s,,,,,0,5,5,5,,,,,,,130.67287570005283,None,132.41414720006287,132.73093870002776,133.9143019001931,133.93086930015124,137.0315739000216,None,None,0,,137.0315739000216,None,,,,,,,,2,,,,,,138.73071620007977,None,None,None,[],138.73071620007977,None,"['7', '7', '7']","[0.10515940003097057, 0.31272100005298853, 0.7370907999575138]",138.73071620007977,None,S10930,2021_Sep_28_1634,VideoMask,2021.1.2,120.0000480562641,
2.0,f,012_o_f_s_a.jpg,sad,7.0,sad_7.5ns.avi,sad,7.0,congruent,130.0,160.0,220.27842655424388,s_s,,,,,0,6,6,6,,,,,,,141.7306885002181,None,143.75552130001597,144.07220809999853,145.23939100001007,145.26392410020344,147.99740820005536,None,7,0,0.3824132999870926,147.99740820005536,None,,,,,,,,2,,,,,,149.66376780020073,None,None,None,[],149.66376780020073,None,"['7', '7', '7']","[0.09163539996370673, 0.2917607999406755, 0.5399778001010418]",149.66376780020073,None,S10930,2021_Sep_28_1634,VideoMask,2021.1.2,120.0000480562641,
2.0,f,012_o_f_h_a.jpg,happy,9.0,happy_27.1ns.avi,happy,9.0,congruent,120.0,150.0,146.44967055810616,h_h,,,,,0,7,7,7,,,,,,,152.66380320000462,None,154.0800650001038,154.39681350020692,155.63863580022007,155.65525509999134,158.0219520002138,None,9,0,0.3896848999429494,158.0219520002138,None,,,,,,,,7,,,,,,159.68012490007095,None,None,None,[],159.68012490007095,None,"['9', '9', '9']","[0.4515843999106437, 0.6995089000556618, 0.9398433999158442]",159.68012490007095,None,S10930,2021_Sep_28_1634,VideoMask,2021.1.2,120.0000480562641,
