primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.rt;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.rt;slider_resp_response.started;slider_resp_response.stopped;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
1111;m;1111_m_m_h_a.jpg;happy;9;example_30.4ns.avi;neutral;7;incongruent;120.0;170.0;189.5874364012288;;0;0;0;0;;;;;32.95009800000116;1;33.02751690009609;35.02755289990455;35.02755289990455;None;37.04411999997683;None;39.26060079992749;39.58572169998661;40.71905600000173;40.73578240000643;45.05215630005114;None;9;0;1.439964999910444;45.05215630005114;None;46.66873380006291;None;None;None;[];46.66873380006291;None;6;"['9', '9']";"[2.0790225001983345, 2.4867958000395447]";46.66873380006291;None;;;;;;;;;;;;;;;;S11019;2021_Oct_27_1837;VideoMask;2021.1.2;119.99011296290496;
1113;f;1113_y_f_s_a.jpg;sad;7;example_30.3ns.avi;neutral;7;incongruent;130.0;170.0;229.02432995836998;;0;1;1;1;;;;;;;;;;;49.677250399952754;None;51.81857799994759;52.13543189992197;53.277055100072175;53.293558300007135;55.26932259998284;None;9;0;0.7422877000644803;55.26932259998284;None;56.81850749999285;None;None;None;[];56.81850749999285;None;7;"['9', '9', '9']";"[0.6891876999288797, 1.3451463000383228, 1.7771681998856366]";56.81850749999285;None;;;;;;;;;;;;;;;;S11019;2021_Oct_27_1837;VideoMask;2021.1.2;119.99011296290496;
9.0;f;019_m_f_h_a.jpg;happy;9.0;sad_115.1.wmv;sad;7.0;incongruent;120.0;160.0;128.09063432376465;h_s;;;;;0;0;0;0;;;;;;;60.85176449990831;None;62.12657819991;62.44330159993842;63.58489149995148;63.60169650008902;65.57673020008951;None;7;0;0.7869508001022041;65.57673020008951;None;;;;;;;;3;;;;;59.82695690006949;None;67.12641040002927;None;None;None;[];67.12641040002927;None;"['7', '7']";"[1.0532644998747855, 1.589303899789229]";67.12641040002927;None;;;S11019;2021_Oct_27_1837;VideoMask;2021.1.2;119.99011296290496;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_94.2ns.avi;sad;7.0;congruent;130.0;160.0;182.29120173647655;s_s;;;;;0;1;1;1;;;;;;;70.13503500004299;None;71.85128009994514;72.17718699993566;73.32646410004236;73.34312180010602;75.99303320003673;None;7;0;0.3545355999376625;75.99303320003673;None;;;;;;;;1;;;;;;;77.54282919992693;None;None;None;[];77.54282919992693;None;"['7', '7', '7', '7', '7']";"[0.572843800066039, 0.8204077000264078, 1.0285616000182927, 1.2525867000222206, 1.508818400092423]";77.54282919992693;None;;;S11019;2021_Oct_27_1837;VideoMask;2021.1.2;119.99011296290496;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_26.1ns.avi;happy;9.0;congruent;120.0;150.0;155.9437854594882;h_h;;;;;0;2;2;2;;;;;;;80.55135420011356;None;82.03434580005705;82.35098490002565;83.576107500121;83.5935341999866;85.47619189997204;None;8;0;0.5273335999809206;85.47619189997204;None;;;;;;;;5;;;;;;;87.09243259998038;None;None;None;[];87.09243259998038;None;None;;87.09243259998038;None;;;S11019;2021_Oct_27_1837;VideoMask;2021.1.2;119.99011296290496;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_138.1.wmv;sad;7.0;incongruent;120.0;160.0;133.99071306426532;h_s;;;;;0;3;3;3;;;;;;;90.11765799997374;None;91.44240640010685;91.76801809994504;92.89224079996347;92.90927750011906;94.89242310007103;None;8;0;0.8951111999340355;94.89242310007103;None;;;;;;;;4;;;;;;;96.54230420012027;None;None;None;[];96.54230420012027;None;['7'];[0.5571391999255866];96.54230420012027;None;;;S11019;2021_Oct_27_1837;VideoMask;2021.1.2;119.99011296290496;
8.0;f;028_y_f_s_a.jpg;sad;7.0;sad_64.2ns.avi;sad;7.0;congruent;130.0;160.0;229.88540597086478;s_s;;;;;0;4;4;4;;;;;;;99.5422465999145;None;101.70905730011873;102.02543170005083;103.21713820006698;103.23425010009669;114.15857450012118;None;7;0;0.9008730999194086;114.15857450012118;None;;;;;;;;3;;;;;;;115.70840170001611;None;None;None;[];115.70840170001611;None;"['7', '7']";"[0.7592881000600755, 1.079254599986598]";115.70840170001611;None;;;S11019;2021_Oct_27_1837;VideoMask;2021.1.2;119.99011296290496;
7.0;m;027_o_m_s_a.jpg;sad;7.0;sad_10.4ns.avi;sad;7.0;congruent;130.0;160.0;185.20129417468752;s_s;;;;;0;5;5;5;;;;;;;118.71692969999276;None;120.46652580006048;120.78320670011453;121.941526300041;121.95833120006137;125.0832279000897;None;8;0;1.040413900045678;125.0832279000897;None;;;;;;;;5;;;;;;;126.6330675999634;None;None;None;[];126.6330675999634;None;None;;126.6330675999634;None;;;S11019;2021_Oct_27_1837;VideoMask;2021.1.2;119.99011296290496;
2.0;f;012_o_f_s_a.jpg;sad;7.0;sad_7.5ns.avi;sad;7.0;congruent;130.0;160.0;220.27842655424388;s_s;;;;;0;6;6;6;;;;;;;129.66643210011534;None;131.6911681999918;132.00795260001905;133.19130740012042;133.20803300011903;135.9333071000874;None;7;0;0.39044500002637506;135.9333071000874;None;;;;;;;;4;;;;;;;137.49112319992855;None;None;None;[];137.49112319992855;None;['7'];[0.6086846999824047];137.49112319992855;None;;;S11019;2021_Oct_27_1837;VideoMask;2021.1.2;119.99011296290496;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_27.1ns.avi;happy;9.0;congruent;120.0;150.0;146.44967055810616;h_h;;;;;0;7;7;7;;;;;;;140.49966410011984;None;141.92422230006196;142.2408970000688;143.46567440009676;143.48267560009845;145.86597419995815;None;9;0;0.5696206002030522;145.86597419995815;None;;;;;;;;7;;;;;;;147.4158767000772;None;None;None;[];147.4158767000772;None;"['9', '9']";"[0.5155591999646276, 0.8197421000804752]";147.4158767000772;None;;;S11019;2021_Oct_27_1837;VideoMask;2021.1.2;119.99011296290496;
8.0;f;028_y_f_h_a.jpg;happy;9.0;sad_119.1.wmv;sad;7.0;incongruent;120.0;160.0;148.71526953572538;h_s;;;;;0;8;8;8;;;;;;;150.4159802000504;None;151.85716639994644;152.17394179990515;153.32406689994968;153.34075179998763;155.382860600017;None;7;0;0.5566890998743474;155.382860600017;None;;;;;;;;4;;;;;;;157.09056990011595;None;None;None;[];157.09056990011595;None;"['7', '7']";"[0.9693075998220593, 1.521021399879828]";157.09056990011595;None;;;S11019;2021_Oct_27_1837;VideoMask;2021.1.2;119.99011296290496;
6.0;m;016_y_m_s_a.jpg;sad;7.0;happy_60.4ns.avi;happy;9.0;incongruent;130.0;150.0;126.02367393611817;s_h;;;;;0;9;9;9;;;;;;;160.09059870010242;None;161.36545899999328;161.6820040999446;162.8991767000407;162.9237297999207;168.60684629995376;None;8;0;0.4607045000884682;168.60684629995376;None;;;;;;;;8;;;;;;;170.17340270010754;None;None;None;[];170.17340270010754;None;"['9', '9', '9', '9']";"[0.2943283999338746, 0.518185299821198, 0.7662042998708785, 1.0300528998486698]";170.17340270010754;None;;;S11019;2021_Oct_27_1837;VideoMask;2021.1.2;119.99011296290496;
9.0;f;019_m_f_s_a.jpg;sad;7.0;sad_8.4ns.avi;sad;7.0;congruent;130.0;160.0;171.6633093155257;s_s;;;;;0;10;10;10;;;;;;;173.17334949993528;None;174.83984440006316;175.1566274999641;176.29892059997655;176.32341740000993;184.42318010004237;None;7;0;0.8284253999590874;184.42318010004237;None;;;;;;;;1;;;;;;;185.97303769993596;None;None;None;[];185.97303769993596;None;"['7', '7', '7', '7', '7']";"[0.462690900079906, 0.8944586000870913, 1.1344918000977486, 1.3503916000481695, 1.542500700103119]";185.97303769993596;None;;;S11019;2021_Oct_27_1837;VideoMask;2021.1.2;119.99011296290496;
4.0;m;004_o_m_h_a.jpg;happy;9.0;happy_1.1ns.avi;happy;9.0;congruent;120.0;150.0;203.50057144619865;h_h;;;;;0;11;11;11;;;;;;;188.97302919998765;None;190.9394125000108;191.25682200002484;192.38951159990393;192.4061737000011;206.88076640013605;None;9;0;0.3868078999221325;206.88076640013605;None;;;;;;;;5;;;;;;;208.4306976001244;None;None;None;[];208.4306976001244;None;None;;208.4306976001244;None;;;S11019;2021_Oct_27_1837;VideoMask;2021.1.2;119.99011296290496;
7.0;m;027_o_m_h_a.jpg;happy;9.0;happy_20.1ns.avi;happy;9.0;congruent;120.0;150.0;152.91127178874285;h_h;;;;;0;12;12;12;;;;;;;211.46380109991878;None;212.9553618999198;213.2719853001181;214.41385899996385;214.4305304000154;217.42212140001357;None;9;0;0.5734742998611182;217.42212140001357;None;;;;;;;;4;;;;;;;218.9720524000004;None;None;None;[];218.9720524000004;None;['7'];[0.3596308999694884];218.9720524000004;None;;;S11019;2021_Oct_27_1837;VideoMask;2021.1.2;119.99011296290496;
0.0;f;040_y_f_s_a.jpg;sad;7.0;sad_94.3ns.avi;sad;7.0;congruent;130.0;160.0;155.27414203894395;s_s;;;;;0;13;13;13;;;;;;;221.98050920013338;None;223.48009590012953;223.79692850005813;225.0050009000115;225.02167719998397;227.5552638999652;None;8;0;0.496381500037387;227.5552638999652;None;;;;;;;;3;;;;;;;229.1050587000791;None;None;None;[];229.1050587000791;None;"['7', '7']";"[0.4187916999217123, 1.1147220998536795]";229.1050587000791;None;;;S11019;2021_Oct_27_1837;VideoMask;2021.1.2;119.99011296290496;
0.0;f;030_o_f_s_a.jpg;sad;7.0;sad_68.1ns.avi;sad;7.0;congruent;130.0;160.0;158.9411396037211;s_s;;;;;0;14;14;14;;;;;;;232.105174300028;None;233.65495009999722;233.97153809992597;235.146654299926;235.16452049999498;242.52975940005854;None;8;0;0.49777620006352663;242.52975940005854;None;;;;;;;;4;;;;;;;244.07135499990545;None;None;None;[];244.07135499990545;None;['7'];[1.0198993999511003];244.07135499990545;None;;;S11019;2021_Oct_27_1837;VideoMask;2021.1.2;119.99011296290496;
0.0;f;030_o_f_h_a.jpg;happy;9.0;sad_127.1.wmv;sad;7.0;incongruent;120.0;160.0;180.59976631384873;h_s;;;;;0;15;15;15;;;;;;;247.0711902999319;None;248.80437440006062;249.12107320013456;250.24613290000707;250.2634769999422;252.2544871000573;None;7;0;1.1170624000951648;252.2544871000573;None;;;;;;;;1;;;;;;;253.8293677000329;None;None;None;[];253.8293677000329;None;"['7', '7', '7', '7']";"[0.4940606998279691, 0.758277399931103, 0.9742693998850882, 1.2621516999788582]";253.8293677000329;None;;;S11019;2021_Oct_27_1837;VideoMask;2021.1.2;119.99011296290496;
8.0;m;008_y_m_s_a.jpg;sad;7.0;happy_133.3.wmv;happy;9.0;incongruent;130.0;150.0;152.577966552593;s_h;;;;;0;16;16;16;;;;;;;256.82922350009903;None;258.32905480009504;258.6458662999794;259.77090570004657;259.7874912000261;261.77928999997675;None;9;0;1.1762232000473887;261.77928999997675;None;;;;;;;;5;;;;;;;263.32902160007507;None;None;None;[];263.32902160007507;None;None;;263.32902160007507;None;;;S11019;2021_Oct_27_1837;VideoMask;2021.1.2;119.99011296290496;
3.0;m;033_o_m_h_a.jpg;happy;9.0;sad_128.1.wmv;sad;7.0;incongruent;120.0;160.0;171.0492454518585;h_s;;;;;0;17;17;17;;;;;;;266.36227599997073;None;268.0038310000673;268.32049089996144;269.4537339999806;269.4703251000028;271.45390289998613;None;7;0;0.4538531999569386;271.45390289998613;None;;;;;;;;3;;;;;;;273.39538639993407;None;None;None;[];273.39538639993407;None;"['7', '7', '7']";"[0.3363769000861794, 0.6724195000715554, 0.9680691999383271]";273.39538639993407;None;;;S11019;2021_Oct_27_1837;VideoMask;2021.1.2;119.99011296290496;
1.0;f;021_o_f_h_a.jpg;happy;9.0;sad_116.1.wmv;sad;7.0;incongruent;120.0;160.0;184.06847610053055;h_s;;;;;0;18;18;18;;;;;;;276.40376399992965;None;278.16179589997046;278.4785651001148;279.67907879990526;279.70354350004345;281.61201589996926;None;7;0;1.2316358999814838;281.61201589996926;None;;;;;;;;5;;;;;;;283.16179229994304;None;None;None;[];283.16179229994304;None;None;;283.16179229994304;None;;;S11019;2021_Oct_27_1837;VideoMask;2021.1.2;119.99011296290496;
4.0;m;004_o_m_s_a.jpg;sad;7.0;happy_28.1ns.avi;happy;9.0;incongruent;130.0;150.0;157.40741103039684;s_h;;;;;0;19;19;19;;;;;;;286.1867134999484;None;287.7032955000177;288.01987600000575;289.1863820999861;289.20329850004055;293.54490340012126;None;9;0;0.4267591000534594;293.54490340012126;None;;;;;;;;4;;;;;;;295.09469339996576;None;None;None;[];295.09469339996576;None;['7'];[0.4129211001563817];295.09469339996576;None;;;S11019;2021_Oct_27_1837;VideoMask;2021.1.2;119.99011296290496;
8.0;f;028_y_f_s_a.jpg;sad;7.0;happy_122.3.wmv;happy;9.0;incongruent;130.0;150.0;171.8670540936116;s_h;;;;;0;20;20;20;;;;;;;298.0948070001323;None;299.7361552999355;300.052956599975;301.18643389991485;301.2029323000461;303.1861694001127;None;9;0;0.6494479000102729;303.1861694001127;None;;;;;;;;3;;;;;;;304.73609689995646;None;None;None;[];304.73609689995646;None;"['7', '7', '7']";"[0.3318065998610109, 0.6275770999491215, 1.1076813000254333]";304.73609689995646;None;;;S11019;2021_Oct_27_1837;VideoMask;2021.1.2;119.99011296290496;
8.0;m;008_y_m_s_a.jpg;sad;7.0;sad_6.5ns.avi;sad;7.0;congruent;130.0;160.0;170.39333839271438;s_s;;;;;0;21;21;21;;;;;;;307.74457300012;None;309.36919789994135;309.68602119991556;310.83586780005135;310.85263120010495;315.8358873000834;None;7;0;0.5119223000947386;315.8358873000834;None;;;;;;;;5;;;;;;;317.7190829999745;None;None;None;[];317.7190829999745;None;None;;317.7190829999745;None;;;S11019;2021_Oct_27_1837;VideoMask;2021.1.2;119.99011296290496;
8.0;f;028_y_f_h_a.jpg;happy;9.0;happy_23.1ns.avi;happy;9.0;congruent;120.0;150.0;225.70986890587952;h_h;;;;;0;22;22;22;;;;;;;320.7439015000127;None;322.8270614000503;323.14412750001065;324.3103781999089;324.32725779991597;328.8522324000951;None;9;0;0.5434238000307232;328.8522324000951;None;;;;;;;;1;;;;;;;330.40206569992006;None;None;None;[];330.40206569992006;None;"['7', '7', '7', '7']";"[0.2494875998236239, 0.47336269984953105, 0.873412799788639, 1.153534899931401]";330.40206569992006;None;;;S11019;2021_Oct_27_1837;VideoMask;2021.1.2;119.99011296290496;
8.0;m;008_y_m_h_a.jpg;happy;9.0;sad_111.1.wmv;sad;7.0;incongruent;120.0;160.0;152.63076835312847;h_s;;;;;0;23;23;23;;;;;;;333.4020700000692;None;334.87676879996434;335.1939807999879;336.35185600002296;336.3684499999508;338.3269563000649;None;8;0;1.0208250998985022;338.3269563000649;None;;;;;;;;5;;;;;;;340.14348839991726;None;None;None;[];340.14348839991726;None;None;;340.14348839991726;None;;;S11019;2021_Oct_27_1837;VideoMask;2021.1.2;119.99011296290496;
0.0;f;040_y_f_s_a.jpg;sad;7.0;sad_67.2ns.avi;sad;7.0;congruent;130.0;160.0;220.9892697323079;s_s;;;;;0;24;24;24;;;;;;;343.15988439996727;None;345.21812280011363;345.5349423000589;346.68485049996525;346.7015792001039;355.8929184000008;None;8;0;1.1431660999078304;355.8929184000008;None;;;;;;;;1;;;;;;;357.45121550001204;None;None;None;[];357.45121550001204;None;"['7', '7', '7', '7', '7']";"[0.2566045999992639, 0.4965904001146555, 0.7362514999695122, 1.0408670001197606, 1.3284132000990212]";357.45121550001204;None;;;S11019;2021_Oct_27_1837;VideoMask;2021.1.2;119.99011296290496;
8.0;m;008_y_m_s_a.jpg;sad;7.0;happy_29.1ns.avi;happy;9.0;incongruent;130.0;150.0;120.0316142834122;s_h;;;;;0;25;25;25;;;;;;;360.459750500042;None;361.675972700119;361.9926408000756;363.1351211001165;363.1516619999893;365.8178974001203;None;8;0;0.4180487000849098;365.8178974001203;None;;;;;;;;5;;;;;;;367.3843553001061;None;None;None;[];367.3843553001061;None;None;;367.3843553001061;None;;;S11019;2021_Oct_27_1837;VideoMask;2021.1.2;119.99011296290496;
6.0;m;016_y_m_s_a.jpg;sad;7.0;sad_8.3ns.avi;sad;7.0;congruent;130.0;160.0;152.85371098242734;s_s;;;;;0;26;26;26;;;;;;;370.4006926000584;None;371.90062869992107;372.2174199000001;373.38391999993473;373.400645500049;381.1089336001314;None;7;0;0.5267572000157088;381.1089336001314;None;;;;;;;;1;;;;;;;382.65879909996875;None;None;None;[];382.65879909996875;None;"['7', '7', '7', '7', '7']";"[0.2572059000376612, 0.6488580000586808, 0.8250315000768751, 0.9926644000224769, 1.1446699001826346]";382.65879909996875;None;;;S11019;2021_Oct_27_1837;VideoMask;2021.1.2;119.99011296290496;
6.0;m;016_y_m_h_a.jpg;happy;9.0;sad_114.1.wmv;sad;7.0;incongruent;120.0;160.0;136.20550699298644;h_s;;;;;0;27;27;27;;;;;;;385.65876929997467;None;387.0085678000469;387.32524519995786;388.45856750011444;388.47554109990597;390.45861189998686;None;7;0;0.7289700000546873;390.45861189998686;None;;;;;;;;1;;;;;;;392.00859219999984;None;None;None;[];392.00859219999984;None;"['7', '7', '7', '7']";"[0.5791881999466568, 0.8511114998254925, 1.090954199898988, 1.3150915999431163]";392.00859219999984;None;;;S11019;2021_Oct_27_1837;VideoMask;2021.1.2;119.99011296290496;
7.0;m;027_o_m_s_a.jpg;sad;7.0;happy_117.3.wmv;happy;9.0;incongruent;130.0;150.0;215.61964028550614;s_h;;;;;0;28;28;28;;;;;;;395.008526599966;None;397.00825660000555;397.3248692001216;398.4504092000425;398.46660579997115;400.46676190011203;None;7;0;0.8969553001224995;400.46676190011203;None;;;;;;;;4;;;;;;;402.0082636999432;None;None;None;[];402.0082636999432;None;"['7', '7']";"[1.035344400210306, 1.5632611000910401]";402.0082636999432;None;;;S11019;2021_Oct_27_1837;VideoMask;2021.1.2;119.99011296290496;
6.0;m;016_y_m_h_a.jpg;happy;9.0;happy_9.2ns.avi;happy;9.0;congruent;120.0;150.0;130.52042428082717;h_h;;;;;0;29;29;29;;;;;;;405.0082570000086;None;406.3164319000207;406.63311460008845;407.75811040005647;407.7747508001048;413.6913682001177;None;9;0;0.576452599838376;413.6913682001177;None;;;;;;;;5;;;;;;;415.24114860012196;None;None;None;[];415.24114860012196;None;None;;415.24114860012196;None;;;S11019;2021_Oct_27_1837;VideoMask;2021.1.2;119.99011296290496;
0.0;f;040_y_f_s_a.jpg;sad;7.0;happy_127.3.wmv;happy;9.0;incongruent;130.0;150.0;131.7195455720239;s_h;;;;;0;30;30;30;;;;;;;418.2743615999352;None;419.5742441001348;419.89114929991774;421.0160966999829;421.0326831000857;423.0909861000255;None;9;0;0.7927584000863135;423.0909861000255;None;;;;;;;;3;;;;;;;424.6408816999756;None;None;None;[];424.6408816999756;None;"['7', '7']";"[0.5948573001660407, 0.9149385001510382]";424.6408816999756;None;;;S11019;2021_Oct_27_1837;VideoMask;2021.1.2;119.99011296290496;
0.0;f;030_o_f_s_a.jpg;sad;7.0;happy_125.3.wmv;happy;9.0;incongruent;130.0;150.0;220.51454909128134;s_h;;;;;0;31;31;31;;;;;;;427.6408488000743;None;429.699102899991;430.01570350001566;431.14944360009395;431.17406499991193;433.1489695000928;None;8;0;0.5426474001724273;433.1489695000928;None;;;;;;;;5;;;;;;;434.698951800121;None;None;None;[];434.698951800121;None;None;;434.698951800121;None;;;S11019;2021_Oct_27_1837;VideoMask;2021.1.2;119.99011296290496;
0.0;f;030_o_f_s_a.jpg;sad;7.0;sad_64.3ns.avi;sad;7.0;congruent;130.0;160.0;165.78667874766072;s_s;;;;;0;32;32;32;;;;;;;437.72368380008265;None;439.3236233999487;439.64892970002256;440.9074868001044;440.9241862001363;445.78208640008233;None;7;0;0.8297051000408828;445.78208640008233;None;;;;;;;;1;;;;;;;447.3318773000501;None;None;None;[];447.3318773000501;None;"['7', '7', '7', '7', '7']";"[0.49592860019765794, 0.6877048001624644, 0.8957535000517964, 1.0717024002224207, 1.2318219000007957]";447.3318773000501;None;;;S11019;2021_Oct_27_1837;VideoMask;2021.1.2;119.99011296290496;
3.0;m;013_y_m_s_a.jpg;sad;7.0;sad_7.7ns.avi;sad;7.0;congruent;130.0;160.0;196.24182255763262;s_s;;;;;0;33;33;33;;;;;;;450.33199240011163;None;452.1815750000533;452.49832689994946;453.63982590008527;453.656743099913;459.63157359999605;None;7;0;0.6361795000266284;459.63157359999605;None;;;;;;;;3;;;;;;;461.17310689995065;None;None;None;[];461.17310689995065;None;"['7', '7']";"[0.5428771001752466, 0.7743453001603484]";461.17310689995065;None;;;S11019;2021_Oct_27_1837;VideoMask;2021.1.2;119.99011296290496;
3.0;m;013_y_m_h_a.jpg;happy;9.0;happy_9.1ns.avi;happy;9.0;congruent;120.0;150.0;165.1890303600433;h_h;;;;;0;34;34;34;;;;;;;464.18154320004396;None;465.77281669992954;466.08962320000865;467.24032270000316;467.26466470002197;470.44797699991614;None;8;0;1.2197732999920845;470.44797699991614;None;;;;;;;;6;;;;;;;471.98947670008056;None;None;None;[];471.98947670008056;None;['9'];[1.3823977001011372];471.98947670008056;None;;;S11019;2021_Oct_27_1837;VideoMask;2021.1.2;119.99011296290496;
4.0;m;004_o_m_h_a.jpg;happy;9.0;sad_95.1ns.avi;sad;7.0;incongruent;120.0;160.0;152.68270002069931;h_s;;;;;0;35;35;35;;;;;;;474.9898642001208;None;476.5143299000338;476.8310229999479;478.0228037999477;478.039336200105;486.7558967000805;None;7;0;0.39190960000269115;486.7558967000805;None;;;;;;;;1;;;;;;;488.31398390000686;None;None;None;[];488.31398390000686;None;"['7', '7', '7', '7', '7', '7']";"[0.4097440999466926, 0.59369540004991, 0.7615831999573857, 0.913509099977091, 1.097566100070253, 1.2735884999856353]";488.31398390000686;None;;;S11019;2021_Oct_27_1837;VideoMask;2021.1.2;119.99011296290496;
3.0;m;013_y_m_h_a.jpg;happy;9.0;sad_113.2.wmv;sad;7.0;incongruent;120.0;160.0;217.4973891947951;h_s;;;;;0;36;36;36;;;;;;;491.3141083999071;None;493.3553396000061;493.6721610999666;494.79723710007966;494.8138782000169;496.80542439990677;None;7;0;1.1023822999559343;496.80542439990677;None;;;;;;;;5;;;;;;;498.35536379995756;None;None;None;[];498.35536379995756;None;None;;498.35536379995756;None;;;S11019;2021_Oct_27_1837;VideoMask;2021.1.2;119.99011296290496;
4.0;m;004_o_m_h_a.jpg;happy;9.0;happy_25.1ns.avi;happy;9.0;congruent;120.0;150.0;216.63044503818386;h_h;;;;;0;37;37;37;;;;;;;501.3804136000108;None;503.41339430003427;503.7301066000946;504.855175799923;504.87183770001866;508.55536650004797;None;9;0;0.6563025000505149;508.55536650004797;None;;;;;;;;5;;;;;;;510.11335820006207;None;None;None;[];510.11335820006207;None;None;;510.11335820006207;None;;;S11019;2021_Oct_27_1837;VideoMask;2021.1.2;119.99011296290496;
