primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.started;slider_resp_response.stopped;text_start.started;text_start.stopped;key_resp.rt;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
1111;m;1111_m_m_h_a.jpg;happy;9;example_30.4ns.avi;neutral;7;incongruent;120.0;170.0;189.5874364012288;;0;0;0;0;;;;;28.582530899962876;1;28.676659799995832;30.67688319995068;30.67688319995068;None;32.70148499996867;None;34.9934285999625;35.31828279996989;36.476557399961166;36.49332319997484;40.78496499999892;None;None;0;40.78496499999892;None;42.33480299997609;None;None;None;[];42.33480299997609;None;5;None;42.33480299997609;None;;;;;;;;;;;;;;;;;S11028;2021_Nov_02_1905;VideoMask;2021.1.2;120.2982916184884;
1113;f;1113_y_f_s_a.jpg;sad;7;example_30.3ns.avi;neutral;7;incongruent;130.0;170.0;229.02432995836998;;0;1;1;1;;;;;;;;;;;45.35958779999055;None;47.48447109997505;47.80134329997236;48.93463009997504;48.95123730000341;50.9345160999801;None;None;0;50.9345160999801;None;52.48434909997741;None;None;None;[];52.48434909997741;None;5;None;52.48434909997741;None;;;;;;;;;;;;;;;;;S11028;2021_Nov_02_1905;VideoMask;2021.1.2;120.2982916184884;
9.0;f;019_m_f_h_a.jpg;happy;9.0;sad_115.1.wmv;sad;7.0;incongruent;120.0;160.0;128.09063432376465;h_s;;;;;0;0;0;0;;;;;;;56.53479459998198;None;57.82585029996699;58.14267929998459;59.2758275999804;59.292659599974286;61.29266869998537;None;7;0;61.29266869998537;None;;;;;;;;3;;;;55.51774079998722;None;0.4777815999696031;62.85920099995565;None;None;None;[];62.85920099995565;None;"['7', '7']";"[0.6394295999780297, 1.0472960000042804]";62.85920099995565;None;;;S11028;2021_Nov_02_1905;VideoMask;2021.1.2;120.2982916184884;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_94.2ns.avi;sad;7.0;congruent;130.0;160.0;182.29120173647655;s_s;;;;;0;1;1;1;;;;;;;65.85086979996413;None;67.59241359995212;67.9089823999675;69.07573869999032;69.09254969999893;71.7339920999948;None;8;0;71.7339920999948;None;;;;;;;;5;;;;;;1.4525564000359736;73.28392269997858;None;None;None;[];73.28392269997858;None;None;;73.28392269997858;None;;;S11028;2021_Nov_02_1905;VideoMask;2021.1.2;120.2982916184884;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_26.1ns.avi;happy;9.0;congruent;120.0;150.0;155.9437854594882;h_h;;;;;0;2;2;2;;;;;;;76.30881039996166;None;77.82528299995465;78.14203569997335;79.2670898999786;79.28375449997839;81.26705119997496;None;9;0;81.26705119997496;None;;;;;;;;4;;;;;;1.0635967999696732;82.80856429995038;None;None;None;[];82.80856429995038;None;['7'];[0.6658305000164546];82.80856429995038;None;;;S11028;2021_Nov_02_1905;VideoMask;2021.1.2;120.2982916184884;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_138.1.wmv;sad;7.0;incongruent;120.0;160.0;133.99071306426532;h_s;;;;;0;3;3;3;;;;;;;85.81705909996526;None;87.15002649999224;87.46677060000366;88.5919084000052;88.60850149998441;90.60019569995347;None;8;0;90.60019569995347;None;;;;;;;;5;;;;;;0.754630499985069;92.14999439998064;None;None;None;[];92.14999439998064;None;None;;92.14999439998064;None;;;S11028;2021_Nov_02_1905;VideoMask;2021.1.2;120.2982916184884;
8.0;f;028_y_f_s_a.jpg;sad;7.0;sad_64.2ns.avi;sad;7.0;congruent;130.0;160.0;229.88540597086478;s_s;;;;;0;4;4;4;;;;;;;95.16637309995713;None;97.4082537999493;97.72489789995598;98.85866799997166;98.88310609996552;109.85796809999738;None;7;0;109.85796809999738;None;;;;;;;;5;;;;;;0.6568047000328079;111.40786749997642;None;None;None;[];111.40786749997642;None;None;;111.40786749997642;None;;;S11028;2021_Nov_02_1905;VideoMask;2021.1.2;120.2982916184884;
7.0;m;027_o_m_s_a.jpg;sad;7.0;sad_10.4ns.avi;sad;7.0;congruent;130.0;160.0;185.20129417468752;s_s;;;;;0;5;5;5;;;;;;;114.44107469997834;None;116.20759769994766;116.5242864000029;117.68269200000213;117.6992088999832;120.8241338999942;None;8;0;120.8241338999942;None;;;;;;;;4;;;;;;1.2506762000266463;122.37414169998374;None;None;None;[];122.37414169998374;None;"['9', '7']";"[1.6605458999983966, 2.140637800039258]";122.37414169998374;None;;;S11028;2021_Nov_02_1905;VideoMask;2021.1.2;120.2982916184884;
2.0;f;012_o_f_s_a.jpg;sad;7.0;sad_7.5ns.avi;sad;7.0;congruent;130.0;160.0;220.27842655424388;s_s;;;;;0;6;6;6;;;;;;;125.37421019998146;None;127.42392149998341;127.74065699998755;128.8823247999535;128.89897829998517;131.6659207000048;None;7;0;131.6659207000048;None;;;;;;;;1;;;;;;0.36879789998056367;133.2488175999606;None;None;None;[];133.2488175999606;None;"['7', '7', '7', '7']";"[0.4099234999739565, 0.7217993999947794, 1.050051899976097, 1.465668699995149]";133.2488175999606;None;;;S11028;2021_Nov_02_1905;VideoMask;2021.1.2;120.2982916184884;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_27.1ns.avi;happy;9.0;congruent;120.0;150.0;146.44967055810616;h_h;;;;;0;7;7;7;;;;;;;136.25726509996457;None;137.69871559995227;138.0154003999778;139.14866969996365;139.16539869998815;141.64033049996942;None;9;0;141.64033049996942;None;;;;;;;;4;;;;;;0.8264350999961607;143.21521639998537;None;None;None;[];143.21521639998537;None;"['7', '7', '7', '7']";"[0.6113986000418663, 1.4353023000294343, 2.043549800000619, 2.563512900029309]";143.21521639998537;None;;;S11028;2021_Nov_02_1905;VideoMask;2021.1.2;120.2982916184884;
