primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.rt;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.rt;slider_resp_response.started;slider_resp_response.stopped;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
1111;m;1111_m_m_h_a.jpg;happy;9;example_30.4ns.avi;neutral;7;incongruent;120.0;170.0;189.5874364012288;;0;0;0;0;;;;;28.12937270011753;1;28.207390200113878;30.207572400104254;30.207572400104254;None;32.24143510009162;None;34.46557690016925;34.790699700126424;35.92406230000779;35.94064960000105;40.26638810010627;None;9;0;1.1824507999699563;40.26638810010627;None;42.182537000160664;None;None;None;[];42.182537000160664;None;6;['9'];[1.9540891000069678];42.182537000160664;None;;;;;;;;;;;;;;;;S11105;2021_Dec_14_1633;VideoMask;2021.1.2;120.06603654338147;
1113;f;1113_y_f_s_a.jpg;sad;7;example_30.3ns.avi;neutral;7;incongruent;130.0;170.0;229.02432995836998;;0;1;1;1;;;;;;;;;;;45.17382730008103;None;47.29859630018473;47.61521880002692;48.75698000006378;48.77384979999624;50.74870770005509;None;9;0;1.4522371999919415;50.74870770005509;None;52.29855770012364;None;None;None;[];52.29855770012364;None;7;"['9', '9']";"[0.4382279999554157, 0.7904783999547362]";52.29855770012364;None;;;;;;;;;;;;;;;;S11105;2021_Dec_14_1633;VideoMask;2021.1.2;120.06603654338147;
9.0;f;019_m_f_h_a.jpg;happy;9.0;sad_115.1.wmv;sad;7.0;incongruent;120.0;160.0;128.09063432376465;h_s;;;;;0;0;0;0;;;;;;;56.34849730017595;None;57.631547700148076;57.948345300043;59.081455199979246;59.09835290000774;61.090261900098994;None;7;0;0.5985838000196964;61.090261900098994;None;;;;;;;;3;;;;;55.306834700051695;None;62.94803470000625;None;None;None;[];62.94803470000625;None;"['7', '7', '7', '9']";"[34.71671730000526, 0.40458930004388094, 0.7966398999560624, 2.8929755000863224]";62.94803470000625;None;;;S11105;2021_Dec_14_1633;VideoMask;2021.1.2;120.06603654338147;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_94.2ns.avi;sad;7.0;congruent;130.0;160.0;182.29120173647655;s_s;;;;;0;1;1;1;;;;;;;65.93143410002813;None;67.67295700008981;67.98960740002804;69.1315272001084;69.14805970015004;71.81481520016678;None;None;0;;71.81481520016678;None;;;;;;;;4;;;;;;;73.36481579998508;None;None;None;[];73.36481579998508;None;['7'];[2.3881890000775456];73.36481579998508;None;;;S11105;2021_Dec_14_1633;VideoMask;2021.1.2;120.06603654338147;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_26.1ns.avi;happy;9.0;congruent;120.0;150.0;155.9437854594882;h_h;;;;;0;2;2;2;;;;;;;76.3645564999897;None;77.86439230013639;78.18098559998907;79.33941030013375;79.35599089995958;81.30589670012705;None;None;0;;81.30589670012705;None;;;;;;;;5;;;;;;;82.85579900001176;None;None;None;[];82.85579900001176;None;None;;82.85579900001176;None;;;S11105;2021_Dec_14_1633;VideoMask;2021.1.2;120.06603654338147;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_138.1.wmv;sad;7.0;incongruent;120.0;160.0;133.99071306426532;h_s;;;;;0;3;3;3;;;;;;;85.88079510000534;None;87.21401190012693;87.53066299995407;88.66417380003259;88.68088910006918;90.66400450002402;None;None;0;;90.66400450002402;None;;;;;;;;5;;;;;;;92.2146717000287;None;None;None;[];92.2146717000287;None;None;;92.2146717000287;None;;;S11105;2021_Dec_14_1633;VideoMask;2021.1.2;120.06603654338147;
8.0;f;028_y_f_s_a.jpg;sad;7.0;sad_64.2ns.avi;sad;7.0;congruent;130.0;160.0;229.88540597086478;s_s;;;;;0;4;4;4;;;;;;;95.23886639997363;None;97.44707760005258;97.76372779998928;98.9058389000129;98.93050460005179;109.89739860012196;None;None;0;;109.89739860012196;None;;;;;;;;3;;;;;;;111.44678330002353;None;None;None;[];111.44678330002353;None;"['7', '7']";"[0.40204879990778863, 0.7540719998069108]";111.44678330002353;None;;;S11105;2021_Dec_14_1633;VideoMask;2021.1.2;120.06603654338147;
7.0;m;027_o_m_s_a.jpg;sad;7.0;sad_10.4ns.avi;sad;7.0;congruent;130.0;160.0;185.20129417468752;s_s;;;;;0;5;5;5;;;;;;;114.44674080004916;None;116.21308020013385;116.52983700018376;117.67162170005031;117.68825520016253;120.82980610011145;None;None;0;;120.82980610011145;None;;;;;;;;1;;;;;;;122.37957810005173;None;None;None;[];122.37957810005173;None;"['7', '7', '7', '7', '7', '7']";"[0.46922189998440444, 0.9894090997986495, 1.2933533999603242, 1.5413247998803854, 1.8370813999790698, 2.2532011999282986]";122.37957810005173;None;;;S11105;2021_Dec_14_1633;VideoMask;2021.1.2;120.06603654338147;
2.0;f;012_o_f_s_a.jpg;sad;7.0;sad_7.5ns.avi;sad;7.0;congruent;130.0;160.0;220.27842655424388;s_s;;;;;0;6;6;6;;;;;;;125.38811310008168;None;127.42116899997927;127.73784369998612;128.8795845999848;128.89614040008746;131.66318739997223;None;None;0;;131.66318739997223;None;;;;;;;;2;;;;;;;133.22114190016873;None;None;None;[];133.22114190016873;None;"['7', '7', '7']";"[0.4758729001041502, 0.883780499920249, 1.8838255000300705]";133.22114190016873;None;;;S11105;2021_Dec_14_1633;VideoMask;2021.1.2;120.06603654338147;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_27.1ns.avi;happy;9.0;congruent;120.0;150.0;146.44967055810616;h_h;;;;;0;7;7;7;;;;;;;136.22110090008937;None;137.65415970003232;137.97093529999256;139.14575260016136;139.16262500011362;141.59579670010135;None;None;0;;141.59579670010135;None;;;;;;;;6;;;;;;;143.14564210013486;None;None;None;[];143.14564210013486;None;['9'];[1.143140200059861];143.14564210013486;None;;;S11105;2021_Dec_14_1633;VideoMask;2021.1.2;120.06603654338147;
8.0;f;028_y_f_h_a.jpg;happy;9.0;sad_119.1.wmv;sad;7.0;incongruent;120.0;160.0;148.71526953572538;h_s;;;;;0;8;8;8;;;;;;;146.15400760015473;None;147.60383839998394;147.92056710016914;149.06209830008447;149.0789664001204;151.12064600014128;None;None;0;;151.12064600014128;None;;;;;;;;4;;;;;;;152.67053160001524;None;None;None;[];152.67053160001524;None;['7'];[1.5461143001448363];152.67053160001524;None;;;S11105;2021_Dec_14_1633;VideoMask;2021.1.2;120.06603654338147;
6.0;m;016_y_m_s_a.jpg;sad;7.0;happy_60.4ns.avi;happy;9.0;incongruent;130.0;150.0;126.02367393611817;s_h;;;;;0;9;9;9;;;;;;;155.6707097000908;None;156.99534520017914;157.31204870017245;158.47866720007733;158.49536810000427;164.23685490014032;None;None;0;;164.23685490014032;None;;;;;;;;6;;;;;;;165.78696950012818;None;None;None;[];165.78696950012818;None;['9'];[0.597948599839583];165.78696950012818;None;;;S11105;2021_Dec_14_1633;VideoMask;2021.1.2;120.06603654338147;
9.0;f;019_m_f_s_a.jpg;sad;7.0;sad_8.4ns.avi;sad;7.0;congruent;130.0;160.0;171.6633093155257;s_s;;;;;0;10;10;10;;;;;;;168.79490160010755;None;170.48700230009854;170.8032669001259;171.9783203001134;171.9949241001159;180.0697590999771;None;None;0;;180.0697590999771;None;;;;;;;;2;;;;;;;181.61988150002435;None;None;None;[];181.61988150002435;None;"['7', '7', '7']";"[0.14916799985803664, 0.4610728998668492, 0.804990699980408]";181.61988150002435;None;;;S11105;2021_Dec_14_1633;VideoMask;2021.1.2;120.06603654338147;
4.0;m;004_o_m_h_a.jpg;happy;9.0;happy_1.1ns.avi;happy;9.0;congruent;120.0;150.0;203.50057144619865;h_h;;;;;0;11;11;11;;;;;;;184.62783910008147;None;186.62758249999024;186.94432989996858;188.0860446000006;188.1028026000131;202.5690999000799;None;9;0;1.0157627000007778;202.5690999000799;None;;;;;;;;8;;;;;;;204.11897279997356;None;None;None;[];204.11897279997356;None;"['9', '9', '9']";"[0.33803050010465086, 0.7138388000894338, 1.401868399931118]";204.11897279997356;None;;;S11105;2021_Dec_14_1633;VideoMask;2021.1.2;120.06603654338147;
7.0;m;027_o_m_h_a.jpg;happy;9.0;happy_20.1ns.avi;happy;9.0;congruent;120.0;150.0;152.91127178874285;h_h;;;;;0;12;12;12;;;;;;;207.11900040018372;None;208.61922220000997;208.93538850010373;210.08547800011002;210.10218310006894;213.08551959996112;None;None;0;;213.08551959996112;None;;;;;;;;5;;;;;;;214.63538490002975;None;None;None;[];214.63538490002975;None;None;;214.63538490002975;None;;;S11105;2021_Dec_14_1633;VideoMask;2021.1.2;120.06603654338147;
