primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.rt;slider_resp_response.started;slider_resp_response.stopped;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;key_resp.rt;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
1111;m;1111_m_m_h_a.jpg;happy;9;example_30.4ns.avi;neutral;7;incongruent;120.0;170.0;189.5874364012288;;0;0;0;0;;;;;37.93496849993244;1;38.0291053999681;40.029376399936154;40.029376399936154;None;42.062339999945834;None;44.32062490005046;44.64580329996534;45.8040658000391;45.82072430010885;50.11227830010466;None;None;0;50.11227830010466;None;51.67870269995183;None;None;None;[];51.67870269995183;None;6;['9'];[2.4235710999928415];51.67870269995183;None;;;;;;;;;;;;;;;;;S11136;2022_Jan_06_1152;VideoMask;2021.1.2;119.37804073055224;
1113;f;1113_y_f_s_a.jpg;sad;7;example_30.3ns.avi;neutral;7;incongruent;130.0;170.0;229.02432995836998;;0;1;1;1;;;;;;;;;;;54.662105600116774;None;56.770231399917975;57.08695190004073;58.22037400002591;58.23705550003797;60.2202959000133;None;None;0;60.2202959000133;None;61.77033420000225;None;None;None;[];61.77033420000225;None;6;['9'];[0.28381439996883273];61.77033420000225;None;;;;;;;;;;;;;;;;;S11136;2022_Jan_06_1152;VideoMask;2021.1.2;119.37804073055224;
9.0;f;019_m_f_h_a.jpg;happy;9.0;sad_115.1.wmv;sad;7.0;incongruent;120.0;160.0;128.09063432376465;h_s;;;;;0;0;0;0;;;;;;;65.8034085999243;None;67.07823570002802;67.39501819992438;68.52816059999168;68.5449840000365;70.5282716001384;None;None;0;70.5282716001384;None;;;;;;;;2;;;;;64.77016569999978;None;72.07823080010712;None;None;None;[];72.07823080010712;None;"['7', '7', '7']";"[0.6320226998068392, 0.8799488998483866, 1.2962438999675214]";72.07823080010712;None;;;;S11136;2022_Jan_06_1152;VideoMask;2021.1.2;119.37804073055224;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_94.2ns.avi;sad;7.0;congruent;130.0;160.0;182.29120173647655;s_s;;;;;0;1;1;1;;;;;;;75.08656290010549;None;76.81124870013446;77.1280050999485;78.27869810000993;78.29505060007796;80.95297059998848;None;7;0;80.95297059998848;None;;;;;;;;2;;;;;;;82.50280450005084;None;None;None;[];82.50280450005084;None;"['7', '7', '7']";"[0.5757879000157118, 0.8074103000108153, 0.983336899895221]";82.50280450005084;None;0.6612616998609155;;;S11136;2022_Jan_06_1152;VideoMask;2021.1.2;119.37804073055224;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_26.1ns.avi;happy;9.0;congruent;120.0;150.0;155.9437854594882;h_h;;;;;0;2;2;2;;;;;;;85.50297969998792;None;87.01937470003031;87.33613010006957;88.46927380003035;88.48610570002347;90.46096029994078;None;9;0;90.46096029994078;None;;;;;;;;8;;;;;;;92.01091410010122;None;None;None;[];92.01091410010122;None;"['9', '9', '9']";"[0.9472766001708806, 1.6515581000130624, 2.1952816999983042]";92.01091410010122;None;1.0013672998175025;;;S11136;2022_Jan_06_1152;VideoMask;2021.1.2;119.37804073055224;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_138.1.wmv;sad;7.0;incongruent;120.0;160.0;133.99071306426532;h_s;;;;;0;3;3;3;;;;;;;95.019249800127;None;96.34402370010503;96.6607935000211;97.78583900001831;97.80239369999617;99.80234259995632;None;7;0;99.80234259995632;None;;;;;;;;4;;;;;;;101.35226560011506;None;None;None;[];101.35226560011506;None;['7'];[1.0459489000495523];101.35226560011506;None;1.3318890000227839;;;S11136;2022_Jan_06_1152;VideoMask;2021.1.2;119.37804073055224;
8.0;f;028_y_f_s_a.jpg;sad;7.0;sad_64.2ns.avi;sad;7.0;congruent;130.0;160.0;229.88540597086478;s_s;;;;;0;4;4;4;;;;;;;104.35219260002486;None;106.5522273001261;106.86870649992488;108.02717959997244;108.04377639992163;119.01043089991435;None;7;0;119.01043089991435;None;;;;;;;;3;;;;;;;120.56006980012171;None;None;None;[];120.56006980012171;None;"['7', '7', '7']";"[0.5181146999821067, 0.7100793998688459, 1.1823368000332266]";120.56006980012171;None;0.47571909986436367;;;S11136;2022_Jan_06_1152;VideoMask;2021.1.2;119.37804073055224;
7.0;m;027_o_m_s_a.jpg;sad;7.0;sad_10.4ns.avi;sad;7.0;congruent;130.0;160.0;185.20129417468752;s_s;;;;;0;5;5;5;;;;;;;123.56011059996672;None;125.3097640001215;125.62651440012269;126.80160510004498;126.81820240011439;129.934896199964;None;7;0;129.934896199964;None;;;;;;;;3;;;;;;;131.48472329997458;None;None;None;[];131.48472329997458;None;"['7', '7']";"[0.48144770017825067, 1.329639800125733]";131.48472329997458;None;0.9193328998517245;;;S11136;2022_Jan_06_1152;VideoMask;2021.1.2;119.37804073055224;
2.0;f;012_o_f_s_a.jpg;sad;7.0;sad_7.5ns.avi;sad;7.0;congruent;130.0;160.0;220.27842655424388;s_s;;;;;0;6;6;6;;;;;;;134.48461210005917;None;136.5261125001125;136.84321720013395;138.04293560003862;138.05947809992358;140.76791210006922;None;7;0;140.76791210006922;None;;;;;;;;2;;;;;;;143.13436209992506;None;None;None;[];143.13436209992506;None;"['7', '7', '7', '7', '7']";"[0.4159460999071598, 0.6157877999357879, 0.7836974998936057, 0.9517524999100715, 1.3519919000100344]";143.13436209992506;None;0.6144791000988334;;;S11136;2022_Jan_06_1152;VideoMask;2021.1.2;119.37804073055224;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_27.1ns.avi;happy;9.0;congruent;120.0;150.0;146.44967055810616;h_h;;;;;0;7;7;7;;;;;;;146.13435290008783;None;147.55071490001865;147.86752640013583;149.0265069999732;149.06001090002246;151.49249460012652;None;9;0;151.49249460012652;None;;;;;;;;8;;;;;;;153.04231399996206;None;None;None;[];153.04231399996206;None;"['9', '9', '9', '9']";"[0.6201766999438405, 1.2524212999269366, 1.643859799951315, 2.076086599845439]";153.04231399996206;None;0.8015676999930292;;;S11136;2022_Jan_06_1152;VideoMask;2021.1.2;119.37804073055224;
