primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.rt;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.rt;slider_resp_response.started;slider_resp_response.stopped;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
1111;m;1111_m_m_h_a.jpg;happy;9;example_30.4ns.avi;neutral;7;incongruent;120.0;170.0;189.5874364012288;;0;0;0;0;;;;;142.16918279998936;1;142.24658619996626;144.24686610000208;144.24686610000208;None;146.2633174000075;None;148.96520519990008;149.2882722999202;150.45489289995749;150.47158289991785;154.76323959999718;None;9;0;0.718842800008133;154.76323959999718;None;156.3212208999321;None;None;None;[];156.3212208999321;None;9;"['9', '9', '9', '9', '9']";"[0.48885349999181926, 1.216730699990876, 1.5686201000353321, 1.8968020000029355, 2.296640800079331]";156.3212208999321;None;;;;;;;;;;;;;;;;S11171;2022_Jan_27_1436;VideoMask;2021.1.2;120.05998197646944;
1113;f;1113_y_f_s_a.jpg;sad;7;example_30.3ns.avi;neutral;7;incongruent;130.0;170.0;229.02432995836998;;0;1;1;1;;;;;;;;;;;159.31307259993628;None;161.42109630000778;161.7377973999828;162.90454099990893;162.92119149991777;164.8711542999372;None;9;0;0.7547817000886425;164.8711542999372;None;166.42105889995582;None;None;None;[];166.42105889995582;None;9;"['9', '9', '9', '9']";"[0.47701669996604323, 1.516846499987878, 2.0208998000016436, 2.6932881000684574]";166.42105889995582;None;;;;;;;;;;;;;;;;S11171;2022_Jan_27_1436;VideoMask;2021.1.2;120.05998197646944;
9.0;f;019_m_f_h_a.jpg;happy;9.0;sad_115.1.wmv;sad;7.0;incongruent;120.0;160.0;128.09063432376465;h_s;;;;;0;0;0;0;;;;;;;170.4542780999327;None;171.72915289993398;172.04573779995553;173.17890649999026;173.1958451999817;175.17917739995755;None;7;0;0.7667060000821948;175.17917739995755;None;;;;;;;;2;;;;;169.42112279997673;None;176.73741800000425;None;None;None;[];176.73741800000425;None;"['7', '7', '7']";"[0.4167575999163091, 0.7206903999904171, 2.0726337999803945]";176.73741800000425;None;;;S11171;2022_Jan_27_1436;VideoMask;2021.1.2;120.05998197646944;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_94.2ns.avi;sad;7.0;congruent;130.0;160.0;182.29120173647655;s_s;;;;;0;1;1;1;;;;;;;179.73731549992226;None;181.45384749991354;181.77057349996176;182.9039387999801;182.92089680000208;185.59556639997754;None;7;0;0.5903392999898642;185.59556639997754;None;;;;;;;;1;;;;;;;187.14545489999;None;None;None;[];187.14545489999;None;"['7', '7', '7', '7', '7', '7']";"[0.4486425999784842, 0.7683218000456691, 1.1684023999841884, 1.5607113000005484, 1.9205534999491647, 2.9287120000226423]";187.14545489999;None;;;S11171;2022_Jan_27_1436;VideoMask;2021.1.2;120.05998197646944;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_26.1ns.avi;happy;9.0;congruent;120.0;150.0;155.9437854594882;h_h;;;;;0;2;2;2;;;;;;;190.14542529999744;None;191.62855699995998;191.9451124999905;193.09538159996737;193.11195749999024;195.07026319997385;None;9;0;0.7718540000496432;195.07026319997385;None;;;;;;;;9;;;;;;;196.62014509993605;None;None;None;[];196.62014509993605;None;"['9', '9', '9', '9']";"[0.42987400002311915, 1.1897888000821695, 1.589803000097163, 2.1982370000332594]";196.62014509993605;None;;;S11171;2022_Jan_27_1436;VideoMask;2021.1.2;120.05998197646944;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_138.1.wmv;sad;7.0;incongruent;120.0;160.0;133.99071306426532;h_s;;;;;0;3;3;3;;;;;;;199.62006669992115;None;200.95331249991432;201.26996760000475;202.39508469996508;202.41162119992077;204.40329199994449;None;7;0;0.5427319000009447;204.40329199994449;None;;;;;;;;1;;;;;;;206.1615641999524;None;None;None;[];206.1615641999524;None;"['7', '7', '7', '7', '7', '7', '7']";"[0.33652590005658567, 0.6002017999999225, 1.0167330000549555, 1.3924009000184014, 1.7442969999974594, 2.136426700046286, 2.4966730000451207]";206.1615641999524;None;;;S11171;2022_Jan_27_1436;VideoMask;2021.1.2;120.05998197646944;
8.0;f;028_y_f_s_a.jpg;sad;7.0;sad_64.2ns.avi;sad;7.0;congruent;130.0;160.0;229.88540597086478;s_s;;;;;0;4;4;4;;;;;;;209.1614829999162;None;211.30297299998347;211.61967349995393;212.76142459991388;212.77804219990503;223.752738299896;None;7;0;0.6411620000144467;223.752738299896;None;;;;;;;;1;;;;;;;225.30268439999782;None;None;None;[];225.30268439999782;None;"['7', '7', '7', '7']";"[0.39556330000050366, 0.699124600039795, 1.0512686999281868, 1.5152649999363348]";225.30268439999782;None;;;S11171;2022_Jan_27_1436;VideoMask;2021.1.2;120.05998197646944;
7.0;m;027_o_m_s_a.jpg;sad;7.0;sad_10.4ns.avi;sad;7.0;congruent;130.0;160.0;185.20129417468752;s_s;;;;;0;5;5;5;;;;;;;228.3026649999665;None;230.044112799922;230.36080439994112;231.5031840999145;231.5273188999854;234.6609315999085;None;7;0;0.8052287999307737;234.6609315999085;None;;;;;;;;2;;;;;;;236.20235599996522;None;None;None;[];236.20235599996522;None;"['7', '7', '7']";"[0.3758791000582278, 0.7197781000286341, 1.2557886999566108]";236.20235599996522;None;;;S11171;2022_Jan_27_1436;VideoMask;2021.1.2;120.05998197646944;
2.0;f;012_o_f_s_a.jpg;sad;7.0;sad_7.5ns.avi;sad;7.0;congruent;130.0;160.0;220.27842655424388;s_s;;;;;0;6;6;6;;;;;;;239.21067479997873;None;241.23550829989836;241.55216590000782;242.76049069990404;242.7771871999139;245.4777252000058;None;7;0;0.7883218999486417;245.4777252000058;None;;;;;;;;2;;;;;;;247.3436847999692;None;None;None;[];247.3436847999692;None;"['7', '7', '7', '7']";"[0.40244620002340525, 0.7464791999664158, 1.090361600043252, 1.7465801000362262]";247.3436847999692;None;;;S11171;2022_Jan_27_1436;VideoMask;2021.1.2;120.05998197646944;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_27.1ns.avi;happy;9.0;congruent;120.0;150.0;146.44967055810616;h_h;;;;;0;7;7;7;;;;;;;250.3521334999241;None;251.7684282999253;252.08514229999855;253.24350899993442;253.2601901999442;255.7101118999999;None;9;0;0.5478189999703318;255.7101118999999;None;;;;;;;;9;;;;;;;257.260026199976;None;None;None;[];257.260026199976;None;"['9', '9', '9', '9', '9']";"[0.28620450000744313, 1.0620469000423327, 1.1738895999733359, 1.7897854000329971, 2.9579510999610648]";257.260026199976;None;;;S11171;2022_Jan_27_1436;VideoMask;2021.1.2;120.05998197646944;
