primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.rt;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.started;slider_resp_response.stopped;slider_resp_response.rt;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
1111;m;1111_m_m_h_a.jpg;happy;9;example_30.4ns.avi;neutral;7;incongruent;120.0;170.0;189.5874364012288;;0;0;0;0;;;;;101.32484160014428;1;101.40236090007238;103.4025769000873;103.4025769000873;None;105.41909690015018;None;107.63575080013834;107.95220160018653;109.09402750013396;109.11075059999712;113.43566870014183;None;8;0;1.2606961000710726;113.43566870014183;None;114.99392130016349;None;None;None;[];114.99392130016349;None;5;None;114.99392130016349;None;;;;;;;;;;;;;;;;;S11187a;2022_Feb_03_1801;VideoMask;2021.1.2;119.88136539065283;
1113;f;1113_y_f_s_a.jpg;sad;7;example_30.3ns.avi;neutral;7;incongruent;130.0;170.0;229.02432995836998;;0;1;1;1;;;;;;;;;;;118.0103659001179;None;120.13522700010799;120.4519101001788;121.60197400022298;121.61861670017242;123.59349100012332;None;8;0;1.2388169998303056;123.59349100012332;None;125.13517980021425;None;None;None;[];125.13517980021425;None;5;"['9', '7']";125.13517980021425;None;"[1.4733597000595182, 1.8412516000680625]";;;;;;;;;;;;;;;;S11187a;2022_Feb_03_1801;VideoMask;2021.1.2;119.88136539065283;
9.0;f;019_m_f_h_a.jpg;happy;9.0;sad_115.1.wmv;sad;7.0;incongruent;120.0;160.0;128.09063432376465;h_s;;;;;0;0;0;0;;;;;;;129.1684136001859;None;130.44322620006278;130.75993460020982;131.91818280005828;131.93480830010958;133.8932855001185;None;None;0;;133.8932855001185;None;;;;;;;;3;;;;;128.14344810019247;None;135.44328040000983;None;None;None;[];135.44328040000983;None;"['7', '7', '7']";"[0.004946500062942505, 1.8688996999990195, 2.749345500022173]";135.44328040000983;None;;;S11187a;2022_Feb_03_1801;VideoMask;2021.1.2;119.88136539065283;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_94.2ns.avi;sad;7.0;congruent;130.0;160.0;182.29120173647655;s_s;;;;;0;1;1;1;;;;;;;138.45153920003213;None;140.15967620001175;140.47637580009177;141.60972800012678;141.62637600000016;144.30141340009868;None;8;0;0.9469562999438494;144.30141340009868;None;;;;;;;;4;;;;;;;145.85125680011697;None;None;None;[];145.85125680011697;None;['7'];[1.661575899925083];145.85125680011697;None;;;S11187a;2022_Feb_03_1801;VideoMask;2021.1.2;119.88136539065283;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_26.1ns.avi;happy;9.0;congruent;120.0;150.0;155.9437854594882;h_h;;;;;0;2;2;2;;;;;;;148.85962670017034;None;150.34266350022517;150.6593633000739;151.82614460005425;151.8427138000261;153.78437760006636;None;9;0;0.9119718000292778;153.78437760006636;None;;;;;;;;8;;;;;;;155.33430010010488;None;None;None;[];155.33430010010488;None;"['9', '9', '9']";"[0.7782139999326319, 1.266271699918434, 1.930045499932021]";155.33430010010488;None;;;S11187a;2022_Feb_03_1801;VideoMask;2021.1.2;119.88136539065283;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_138.1.wmv;sad;7.0;incongruent;120.0;160.0;133.99071306426532;h_s;;;;;0;3;3;3;;;;;;;158.34251960017718;None;159.6590489000082;159.97576590022072;161.10083710006438;161.1174025000073;163.1090602001641;None;8;0;0.9873102998826653;163.1090602001641;None;;;;;;;;5;;;;;;;164.6590218001511;None;None;None;[];164.6590218001511;None;None;;164.6590218001511;None;;;S11187a;2022_Feb_03_1801;VideoMask;2021.1.2;119.88136539065283;
8.0;f;028_y_f_s_a.jpg;sad;7.0;sad_64.2ns.avi;sad;7.0;congruent;130.0;160.0;229.88540597086478;s_s;;;;;0;4;4;4;;;;;;;167.69231190020218;None;169.8336620000191;170.15044770017266;171.32539620017633;171.34200330008753;182.30014450009912;None;7;0;0.9323861999437213;182.30014450009912;None;;;;;;;;1;;;;;;;183.850124000106;None;None;None;[];183.850124000106;None;"['7', '7', '7', '7']";"[0.422127699945122, 0.7903399998322129, 1.262288099853322, 1.8064425999764353]";183.850124000106;None;;;S11187a;2022_Feb_03_1801;VideoMask;2021.1.2;119.88136539065283;
7.0;m;027_o_m_s_a.jpg;sad;7.0;sad_10.4ns.avi;sad;7.0;congruent;130.0;160.0;185.20129417468752;s_s;;;;;0;5;5;5;;;;;;;186.85851280018687;None;188.59982040012255;188.91653850022703;190.05864990013652;190.08325020014308;193.21657410007901;None;None;0;;193.21657410007901;None;;;;;;;;5;;;;;;;194.76648310013115;None;None;None;[];194.76648310013115;None;None;;194.76648310013115;None;;;S11187a;2022_Feb_03_1801;VideoMask;2021.1.2;119.88136539065283;
2.0;f;012_o_f_s_a.jpg;sad;7.0;sad_7.5ns.avi;sad;7.0;congruent;130.0;160.0;220.27842655424388;s_s;;;;;0;6;6;6;;;;;;;197.79144160007127;None;199.8162042000331;200.13289810018614;201.282959200209;201.29946830007248;204.05834990018047;None;7;0;0.5980853999499232;204.05834990018047;None;;;;;;;;2;;;;;;;205.62448380002752;None;None;None;[];205.62448380002752;None;"['7', '7', '7', '7']";"[0.4960418997798115, 0.8641483997926116, 1.5360047998838127, 2.0639500999823213]";205.62448380002752;None;;;S11187a;2022_Feb_03_1801;VideoMask;2021.1.2;119.88136539065283;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_27.1ns.avi;happy;9.0;congruent;120.0;150.0;146.44967055810616;h_h;;;;;0;7;7;7;;;;;;;208.62438070005737;None;210.03255690005608;210.34928480000235;211.54932530014776;211.56579470005818;213.97426280006766;None;9;0;0.7222460999619216;213.97426280006766;None;;;;;;;;8;;;;;;;215.52417070022784;None;None;None;[];215.52417070022784;None;"['9', '9', '9']";"[0.35645780013874173, 0.6764581000898033, 1.2283543001394719]";215.52417070022784;None;;;S11187a;2022_Feb_03_1801;VideoMask;2021.1.2;119.88136539065283;
8.0;f;028_y_f_h_a.jpg;happy;9.0;sad_119.1.wmv;sad;7.0;incongruent;120.0;160.0;148.71526953572538;h_s;;;;;0;8;8;8;;;;;;;218.53247960004956;None;219.97392540005967;220.2906302001793;221.42402460006997;221.440658000065;223.49053460010327;None;7;0;0.8138792999088764;223.49053460010327;None;;;;;;;;2;;;;;;;225.04048610012978;None;None;None;[];225.04048610012978;None;"['7', '7', '7', '7']";"[0.3439144999720156, 0.5921312998980284, 0.8002268997952342, 2.5361504999455065]";225.04048610012978;None;;;S11187a;2022_Feb_03_1801;VideoMask;2021.1.2;119.88136539065283;
6.0;m;016_y_m_s_a.jpg;sad;7.0;happy_60.4ns.avi;happy;9.0;incongruent;130.0;150.0;126.02367393611817;s_h;;;;;0;9;9;9;;;;;;;228.0489177000709;None;229.30694120004773;229.62369460007176;230.8320913000498;230.8485629002098;236.55692020012066;None;9;0;0.4994963000062853;236.55692020012066;None;;;;;;;;7;;;;;;;238.10676710004918;None;None;None;[];238.10676710004918;None;"['9', '9']";"[0.7017810000106692, 1.0458274001721293]";238.10676710004918;None;;;S11187a;2022_Feb_03_1801;VideoMask;2021.1.2;119.88136539065283;
9.0;f;019_m_f_s_a.jpg;sad;7.0;sad_8.4ns.avi;sad;7.0;congruent;130.0;160.0;171.6633093155257;s_s;;;;;0;10;10;10;;;;;;;241.10685430001467;None;242.75647240015678;243.07322160014883;244.21497040009126;244.23151420010254;252.3398125001695;None;7;0;1.1808992999140173;252.3398125001695;None;;;;;;;;3;;;;;;;253.88139410014264;None;None;None;[];253.88139410014264;None;"['7', '7']";"[0.47904179990291595, 0.9671231000684202]";253.88139410014264;None;;;S11187a;2022_Feb_03_1801;VideoMask;2021.1.2;119.88136539065283;
4.0;m;004_o_m_h_a.jpg;happy;9.0;happy_1.1ns.avi;happy;9.0;congruent;120.0;150.0;203.50057144619865;h_h;;;;;0;11;11;11;;;;;;;256.889659000095;None;258.847678600112;259.1644327000249;260.29787520016544;260.31454590009525;274.7807271000929;None;9;0;0.5395873000379652;274.7807271000929;None;;;;;;;;7;;;;;;;276.3306790001225;None;None;None;[];276.3306790001225;None;"['9', '9']";"[0.5900139999575913, 1.5578688001260161]";276.3306790001225;None;;;S11187a;2022_Feb_03_1801;VideoMask;2021.1.2;119.88136539065283;
7.0;m;027_o_m_h_a.jpg;happy;9.0;happy_20.1ns.avi;happy;9.0;congruent;120.0;150.0;152.91127178874285;h_h;;;;;0;12;12;12;;;;;;;279.3306776001118;None;280.8054348002188;281.1221670000814;282.25565280020237;282.27212980017066;285.2721325000748;None;9;0;0.6244659000076354;285.2721325000748;None;;;;;;;;7;;;;;;;286.82207250013016;None;None;None;[];286.82207250013016;None;"['9', '9']";"[0.47454630001448095, 0.8108028001151979]";286.82207250013016;None;;;S11187a;2022_Feb_03_1801;VideoMask;2021.1.2;119.88136539065283;
