primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.rt;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.rt;slider_resp_response.started;slider_resp_response.stopped;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
1111;m;1111_m_m_h_a.jpg;happy;9;example_30.4ns.avi;neutral;7;incongruent;120.0;170.0;189.5874364012288;;0;0;0;0;;;;;127.49141890000101;1;127.58555510000224;129.58547009999893;129.58547009999893;None;131.6195226000018;None;134.0105719000021;134.3360778999995;135.4935030000015;135.51024250000046;139.81008830000064;None;8;0;1.8956247000023723;139.81008830000064;None;142.018305900001;None;None;None;[];142.018305900001;None;7;"['9', '9']";"[1.4553132000000915, 2.8476287000012235]";142.018305900001;None;;;;;;;;;;;;;;;;S11246;2022_Feb_25_1654;VideoMask;2021.1.2;119.96823241456998;
1113;f;1113_y_f_s_a.jpg;sad;7;example_30.3ns.avi;neutral;7;incongruent;130.0;170.0;229.02432995836998;;0;1;1;1;;;;;;;;;;;145.00998950000212;None;147.14315630000056;147.45978780000223;148.58490090000123;148.60152930000186;150.5931426999996;None;None;0;;150.5931426999996;None;152.1431302000019;None;None;None;[];152.1431302000019;None;6;['9'];[1.9866127999994205];152.1431302000019;None;;;;;;;;;;;;;;;;S11246;2022_Feb_25_1654;VideoMask;2021.1.2;119.96823241456998;
9.0;f;019_m_f_h_a.jpg;happy;9.0;sad_115.1.wmv;sad;7.0;incongruent;120.0;160.0;128.09063432376465;h_s;;;;;0;0;0;0;;;;;;;156.193000700001;None;157.48456710000028;157.80117729999984;158.93443390000175;158.95120650000172;160.95115000000078;None;None;0;;160.95115000000078;None;;;;;;;;2;;;;;155.14303579999978;None;162.50089540000045;None;None;None;[];162.50089540000045;None;"['7', '7', '7', '7']";"[0.04452630000014324, 1.3409670000000915, 1.7570593000018562, 2.7729080000026443]";162.50089540000045;None;;;S11246;2022_Feb_25_1654;VideoMask;2021.1.2;119.96823241456998;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_94.2ns.avi;sad;7.0;congruent;130.0;160.0;182.29120173647655;s_s;;;;;0;1;1;1;;;;;;;165.50099260000206;None;167.2424178000001;167.55921260000105;168.7507110000006;168.76744429999962;171.38415910000185;None;None;0;;171.38415910000185;None;;;;;;;;3;;;;;;;172.92561520000163;None;None;None;[];172.92561520000163;None;"['7', '7']";"[0.9080690000009781, 1.7079947000020184]";172.92561520000163;None;;;S11246;2022_Feb_25_1654;VideoMask;2021.1.2;119.96823241456998;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_26.1ns.avi;happy;9.0;congruent;120.0;150.0;155.9437854594882;h_h;;;;;0;2;2;2;;;;;;;175.93404270000246;None;177.4588107999989;177.77551980000135;178.94232629999897;178.95892110000204;180.90050220000194;None;9;0;1.2372052999999141;180.90050220000194;None;;;;;;;;8;;;;;;;182.45049800000197;None;None;None;[];182.45049800000197;None;"['9', '9', '9']";"[0.4550565000026836, 1.559233399999357, 2.351495500002784]";182.45049800000197;None;;;S11246;2022_Feb_25_1654;VideoMask;2021.1.2;119.96823241456998;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_138.1.wmv;sad;7.0;incongruent;120.0;160.0;133.99071306426532;h_s;;;;;0;3;3;3;;;;;;;185.4586636999993;None;186.79185560000042;187.1085724000004;188.23367839999992;188.250224899999;190.24187489999895;None;8;0;1.3277309999975841;190.24187489999895;None;;;;;;;;4;;;;;;;191.7834827000006;None;None;None;[];191.7834827000006;None;['7'];[0.506193400000484];191.7834827000006;None;;;S11246;2022_Feb_25_1654;VideoMask;2021.1.2;119.96823241456998;
8.0;f;028_y_f_s_a.jpg;sad;7.0;sad_64.2ns.avi;sad;7.0;congruent;130.0;160.0;229.88540597086478;s_s;;;;;0;4;4;4;;;;;;;194.78347030000077;None;196.99168220000138;197.3082953000012;198.45827800000188;198.4749539000004;209.4413069000002;None;7;0;1.128368199999386;209.4413069000002;None;;;;;;;;3;;;;;;;210.99125410000124;None;None;None;[];210.99125410000124;None;"['7', '7']";"[0.6343390000001818, 1.2427451000003202]";210.99125410000124;None;;;S11246;2022_Feb_25_1654;VideoMask;2021.1.2;119.96823241456998;
7.0;m;027_o_m_s_a.jpg;sad;7.0;sad_10.4ns.avi;sad;7.0;congruent;130.0;160.0;185.20129417468752;s_s;;;;;0;5;5;5;;;;;;;213.9912015000009;None;215.74100969999927;216.05758440000136;217.2908258000025;217.30752589999975;220.35777959999905;None;7;0;0.7319123000015679;220.35777959999905;None;;;;;;;;3;;;;;;;221.90754150000066;None;None;None;[];221.90754150000066;None;"['7', '7']";"[0.566285599998082, 0.9500685999992129]";221.90754150000066;None;;;S11246;2022_Feb_25_1654;VideoMask;2021.1.2;119.96823241456998;
2.0;f;012_o_f_s_a.jpg;sad;7.0;sad_7.5ns.avi;sad;7.0;congruent;130.0;160.0;220.27842655424388;s_s;;;;;0;6;6;6;;;;;;;224.9158950000019;None;226.9656367000025;227.28234710000106;228.49944170000163;228.52391640000133;231.20737070000177;None;7;0;0.5622287000005599;231.20737070000177;None;;;;;;;;2;;;;;;;232.75722990000213;None;None;None;[];232.75722990000213;None;"['7', '7', '7', '7']";"[0.4525323000016215, 0.9324986999999965, 1.3643575999994937, 2.756228000002011]";232.75722990000213;None;;;S11246;2022_Feb_25_1654;VideoMask;2021.1.2;119.96823241456998;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_27.1ns.avi;happy;9.0;congruent;120.0;150.0;146.44967055810616;h_h;;;;;0;7;7;7;;;;;;;235.75712340000246;None;237.1820355000018;237.49861489999967;238.69833590000053;238.71513350000168;241.12365219999992;None;9;0;0.7180484999989858;241.12365219999992;None;;;;;;;;8;;;;;;;242.67349459999969;None;None;None;[];242.67349459999969;None;"['9', '9', '9', '9']";"[0.43230550000225776, 0.7762672000026214, 1.1601940000000468, 1.584486800002196]";242.67349459999969;None;;;S11246;2022_Feb_25_1654;VideoMask;2021.1.2;119.96823241456998;
