primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.rt;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.rt;slider_resp_response.started;slider_resp_response.stopped;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
1111;m;1111_m_m_h_a.jpg;happy;9;example_30.4ns.avi;neutral;7;incongruent;120.0;170.0;189.5874364012288;;0;0;0;0;;;;;160.0802551000379;1;160.15764670004137;162.15781769994646;162.15781769994646;None;164.17507199989632;None;166.41627079993486;166.7325782000553;167.9242942999117;167.94094510003924;172.20756180002354;None;8;0;1.307220899965614;172.20756180002354;None;173.76575349993072;None;None;None;[];173.76575349993072;None;4;['7'];[1.4051330001093447];173.76575349993072;None;;;;;;;;;;;;;;;;S11308;2022_Mar_22_1646;VideoMask;2021.1.2;120.02640589858125;
1113;f;1113_y_f_s_a.jpg;sad;7;example_30.3ns.avi;neutral;7;incongruent;130.0;170.0;229.02432995836998;;0;1;1;1;;;;;;;;;;;176.75743040000089;None;178.88204189995304;179.19892699993216;180.40717700007372;180.4241941999644;182.33212630008347;None;8;0;1.0865998000372201;182.33212630008347;None;183.88212620001286;None;None;None;[];183.88212620001286;None;3;"['7', '7']";"[0.8406525999307632, 1.2646978998091072]";183.88212620001286;None;;;;;;;;;;;;;;;;S11308;2022_Mar_22_1646;VideoMask;2021.1.2;120.02640589858125;
9.0;f;019_m_f_h_a.jpg;happy;9.0;sad_115.1.wmv;sad;7.0;incongruent;120.0;160.0;128.09063432376465;h_s;;;;;0;0;0;0;;;;;;;187.92353769997135;None;189.206880700076;189.52358720009215;190.65677889995277;190.67357599991374;192.66517880000174;None;7;0;0.9056394000072032;192.66517880000174;None;;;;;;;;3;;;;;186.89038019999862;None;194.21508140000515;None;None;None;[];194.21508140000515;None;"['7', '7', '7']";"[0.6516795000061393, 1.027675700141117, 1.8755860000383109]";194.21508140000515;None;;;S11308;2022_Mar_22_1646;VideoMask;2021.1.2;120.02640589858125;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_94.2ns.avi;sad;7.0;congruent;130.0;160.0;182.29120173647655;s_s;;;;;0;1;1;1;;;;;;;197.2319489000365;None;198.93983129994012;199.25658369995654;200.38168250001036;200.3982706000097;203.08152429992333;None;7;0;1.225469300057739;203.08152429992333;None;;;;;;;;3;;;;;;;204.63145989994518;None;None;None;[];204.63145989994518;None;"['7', '7']";"[1.8673292000312358, 2.2995813000015914]";204.63145989994518;None;;;S11308;2022_Mar_22_1646;VideoMask;2021.1.2;120.02640589858125;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_26.1ns.avi;happy;9.0;congruent;120.0;150.0;155.9437854594882;h_h;;;;;0;2;2;2;;;;;;;207.63135319994763;None;209.12288219993934;209.43968640011735;210.6313444999978;210.64795019989833;212.564565599896;None;9;0;0.7022619999479502;212.564565599896;None;;;;;;;;6;;;;;;;214.13930319994688;None;None;None;[];214.13930319994688;None;['9'];[0.5198959000408649];214.13930319994688;None;;;S11308;2022_Mar_22_1646;VideoMask;2021.1.2;120.02640589858125;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_138.1.wmv;sad;7.0;incongruent;120.0;160.0;133.99071306426532;h_s;;;;;0;3;3;3;;;;;;;217.14786930009723;None;218.4641857999377;218.78099919995293;219.91421389998868;219.93094140011817;221.92267960007302;None;8;0;1.0401241998188198;221.92267960007302;None;;;;;;;;3;;;;;;;223.47253070003353;None;None;None;[];223.47253070003353;None;"['7', '7']";"[1.4505477000493556, 1.8663335999008268]";223.47253070003353;None;;;S11308;2022_Mar_22_1646;VideoMask;2021.1.2;120.02640589858125;
8.0;f;028_y_f_s_a.jpg;sad;7.0;sad_64.2ns.avi;sad;7.0;congruent;130.0;160.0;229.88540597086478;s_s;;;;;0;4;4;4;;;;;;;226.47251800005324;None;228.62224699999206;228.93900620006025;230.13905999995768;230.1555878999643;241.07211580011062;None;7;0;0.8505897999275476;241.07211580011062;None;;;;;;;;4;;;;;;;242.6219401000999;None;None;None;[];242.6219401000999;None;"['7', '7']";"[0.8767023000400513, 1.988797300029546]";242.6219401000999;None;;;S11308;2022_Mar_22_1646;VideoMask;2021.1.2;120.02640589858125;
7.0;m;027_o_m_s_a.jpg;sad;7.0;sad_10.4ns.avi;sad;7.0;congruent;130.0;160.0;185.20129417468752;s_s;;;;;0;5;5;5;;;;;;;245.63885440002196;None;247.37998629990034;247.69674669997767;248.89676359994337;248.91339979995973;251.99663820001297;None;7;0;1.141974300146103;251.99663820001297;None;;;;;;;;2;;;;;;;253.54669500002638;None;None;None;[];253.54669500002638;None;"['7', '7', '7']";"[0.39209320000372827, 0.7279793999623507, 1.0802292998414487]";253.54669500002638;None;;;S11308;2022_Mar_22_1646;VideoMask;2021.1.2;120.02640589858125;
2.0;f;012_o_f_s_a.jpg;sad;7.0;sad_7.5ns.avi;sad;7.0;congruent;130.0;160.0;220.27842655424388;s_s;;;;;0;6;6;6;;;;;;;256.5466430000961;None;258.5713935000822;258.8880898000207;260.0547484001145;260.07136279996485;262.8134041999001;None;7;0;0.5893178998958319;262.8134041999001;None;;;;;;;;1;;;;;;;264.4129554000683;None;None;None;[];264.4129554000683;None;"['7', '7', '7', '7']";"[0.3417267999611795, 0.613601400051266, 0.9418238999787718, 1.3741401999723166]";264.4129554000683;None;;;S11308;2022_Mar_22_1646;VideoMask;2021.1.2;120.02640589858125;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_27.1ns.avi;happy;9.0;congruent;120.0;150.0;146.44967055810616;h_h;;;;;0;7;7;7;;;;;;;267.4217509999871;None;268.83770320005715;269.15437390003353;270.4211305999197;270.4377228000667;272.7882507999893;None;9;0;0.8627694000024348;272.7882507999893;None;;;;;;;;7;;;;;;;274.71264029992744;None;None;None;[];274.71264029992744;None;"['9', '9']";"[0.4420914000365883, 0.8581383000127971]";274.71264029992744;None;;;S11308;2022_Mar_22_1646;VideoMask;2021.1.2;120.02640589858125;
