primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.started;slider_resp_response.stopped;slider_resp_response.rt;text_start.started;text_start.stopped;key_resp.rt;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
1111;m;1111_m_m_h_a.jpg;happy;9;example_30.4ns.avi;neutral;7;incongruent;120.0;170.0;189.5874364012288;;0;0;0;0;;;;;23.4339180001989;1;23.512516900198534;25.512655300088227;25.512655300088227;None;27.529792400076985;None;29.7626580002252;30.078967900015414;31.304099700180814;31.32077240012586;35.55463750008494;None;None;0;35.55463750008494;None;37.12875290005468;None;None;None;[];37.12875290005468;None;5;None;37.12875290005468;None;;;;;;;;;;;;;;;;;;S11312;2022_Mar_23_1829;VideoMask;2021.1.2;120.0569550058914;
1113;f;1113_y_f_s_a.jpg;sad;7;example_30.3ns.avi;neutral;7;incongruent;130.0;170.0;229.02432995836998;;0;1;1;1;;;;;;;;;;;40.162141900043935;None;42.27867230004631;42.595366100082174;43.74537320015952;43.762076400220394;45.72865659999661;None;None;0;45.72865659999661;None;47.27846960001625;None;None;None;[];47.27846960001625;None;5;"['9', '7']";47.27846960001625;None;"[1.5128001000266522, 1.8727621999569237]";;;;;;;;;;;;;;;;;S11312;2022_Mar_23_1829;VideoMask;2021.1.2;120.0569550058914;
9.0;f;019_m_f_h_a.jpg;happy;9.0;sad_115.1.wmv;sad;7.0;incongruent;120.0;160.0;128.09063432376465;h_s;;;;;0;0;0;0;;;;;;;51.311770900152624;None;52.58659410011023;52.90337260020897;54.03644060017541;54.05320340022445;56.03670410020277;None;7;0;56.03670410020277;None;;;;;;;;2;;;;;50.27849310007878;None;0.5708472998812795;57.586508500156924;None;None;None;[];57.586508500156924;None;"['7', '7', '7', '7']";"[0.484665900003165, 0.6766061999369413, 1.1410075000021607, 2.148906300077215]";57.586508500156924;None;;;S11312;2022_Mar_23_1829;VideoMask;2021.1.2;120.0569550058914;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_94.2ns.avi;sad;7.0;congruent;130.0;160.0;182.29120173647655;s_s;;;;;0;1;1;1;;;;;;;60.58649930008687;None;62.30296890018508;62.61972040007822;63.76983040012419;63.78644530009478;66.44475440005772;None;7;0;66.44475440005772;None;;;;;;;;4;;;;;;;0.674442799994722;67.99456980009563;None;None;None;[];67.99456980009563;None;['7'];[0.3485657998826355];67.99456980009563;None;;;S11312;2022_Mar_23_1829;VideoMask;2021.1.2;120.0569550058914;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_26.1ns.avi;happy;9.0;congruent;120.0;150.0;155.9437854594882;h_h;;;;;0;2;2;2;;;;;;;70.99506360013038;None;72.47766180010512;72.79438130022027;73.94448760012165;73.96107630012557;75.91946910019033;None;9;0;75.91946910019033;None;;;;;;;;8;;;;;;;0.47169399983249605;77.46930460003205;None;None;None;[];77.46930460003205;None;"['9', '9', '9']";"[0.4099431000649929, 0.6899916001129895, 2.0098079000599682]";77.46930460003205;None;;;S11312;2022_Mar_23_1829;VideoMask;2021.1.2;120.0569550058914;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_138.1.wmv;sad;7.0;incongruent;120.0;160.0;133.99071306426532;h_s;;;;;0;3;3;3;;;;;;;80.47747680009343;None;81.80238280002959;82.11920470022596;83.24417570000514;83.26078700018115;85.25246410002;None;None;0;85.25246410002;None;;;;;;;;6;;;;;;;;86.8022141000256;None;None;None;[];86.8022141000256;None;"['9', '9', '7', '9', '9']";"[0.2609840000513941, 1.0690245998557657, 1.6934865999501199, 2.220939500024542, 2.5010074998717755]";86.8022141000256;None;;;S11312;2022_Mar_23_1829;VideoMask;2021.1.2;120.0569550058914;
8.0;f;028_y_f_s_a.jpg;sad;7.0;sad_64.2ns.avi;sad;7.0;congruent;130.0;160.0;229.88540597086478;s_s;;;;;0;4;4;4;;;;;;;89.80231980001554;None;91.95204260013998;92.26880850014277;93.45255500008352;93.47711420012638;104.41004290012643;None;7;0;104.41004290012643;None;;;;;;;;3;;;;;;;0.509131999919191;105.96014160010964;None;None;None;[];105.96014160010964;None;"['7', '7']";"[0.6071342998184264, 0.8551584999077022]";105.96014160010964;None;;;S11312;2022_Mar_23_1829;VideoMask;2021.1.2;120.0569550058914;
7.0;m;027_o_m_s_a.jpg;sad;7.0;sad_10.4ns.avi;sad;7.0;congruent;130.0;160.0;185.20129417468752;s_s;;;;;0;5;5;5;;;;;;;108.95998630020767;None;110.70981760020368;111.02644410007633;112.21053710021079;112.23494640015997;115.32642070017755;None;7;0;115.32642070017755;None;;;;;;;;2;;;;;;;0.5768619000446051;116.87636280013248;None;None;None;[];116.87636280013248;None;"['7', '7', '7', '7', '7']";"[0.37087469990365207, 0.5787361001130193, 0.8267588000744581, 1.4028290000278503, 2.490993099985644]";116.87636280013248;None;;;S11312;2022_Mar_23_1829;VideoMask;2021.1.2;120.0569550058914;
2.0;f;012_o_f_s_a.jpg;sad;7.0;sad_7.5ns.avi;sad;7.0;congruent;130.0;160.0;220.27842655424388;s_s;;;;;0;6;6;6;;;;;;;119.87639520014636;None;121.90105050010607;122.21787150017917;123.40162470005453;123.42622430017218;126.14283270016313;None;7;0;126.14283270016313;None;;;;;;;;2;;;;;;;0.48836960014887154;127.69273680006154;None;None;None;[];127.69273680006154;None;"['7', '7', '7']";"[0.46677649999037385, 0.6664206001441926, 0.8904840999748558]";127.69273680006154;None;;;S11312;2022_Mar_23_1829;VideoMask;2021.1.2;120.0569550058914;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_27.1ns.avi;happy;9.0;congruent;120.0;150.0;146.44967055810616;h_h;;;;;0;7;7;7;;;;;;;130.69263270008378;None;132.1176152001135;132.4341811002232;133.5930114001967;133.61756160017103;136.0592186001595;None;9;0;136.0592186001595;None;;;;;;;;8;;;;;;;0.523912200005725;137.61742720007896;None;None;None;[];137.61742720007896;None;"['9', '9', '9', '9']";"[0.43774059996940196, 0.7097626000177115, 1.1176990999374539, 2.845940199913457]";137.61742720007896;None;;;S11312;2022_Mar_23_1829;VideoMask;2021.1.2;120.0569550058914;
