primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.rt;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.started;slider_resp_response.stopped;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
1111;m;1111_m_m_h_a.jpg;happy;9;example_30.4ns.avi;neutral;7;incongruent;120.0;170.0;189.5874364012288;;0;0;0;0;;;;;73.94989549997263;1;74.02739049983211;76.02757759997621;76.02757759997621;None;78.06065179989673;None;80.3273065998219;80.64399089990184;81.82742019998841;81.8440747000277;86.1190600998234;None;8;0;1.0557383000850677;86.1190600998234;None;87.68549759988673;None;None;None;[];87.68549759988673;None;5;None;87.68549759988673;None;;;;;;;;;;;;;;;;S11330;2022_Mar_29_1912;VideoMask;2021.1.2;119.79074932029876;
1113;f;1113_y_f_s_a.jpg;sad;7;example_30.3ns.avi;neutral;7;incongruent;130.0;170.0;229.02432995836998;;0;1;1;1;;;;;;;;;;;90.69390199985355;None;92.81868309993297;93.13532030000351;94.27695349999703;94.29368359991349;96.26859699981287;None;8;0;1.15396700007841;96.26859699981287;None;97.88519859989174;None;None;None;[];97.88519859989174;None;5;None;97.88519859989174;None;;;;;;;;;;;;;;;;S11330;2022_Mar_29_1912;VideoMask;2021.1.2;119.79074932029876;
9.0;f;019_m_f_h_a.jpg;happy;9.0;sad_115.1.wmv;sad;7.0;incongruent;120.0;160.0;128.09063432376465;h_s;;;;;0;0;0;0;;;;;;;101.91838819999248;None;103.21011379989795;103.52662070002407;104.66810519993305;104.68481249990873;106.66831630002707;None;7;0;1.4343123000580817;106.66831630002707;None;;;;;;;;4;;;;100.91008939989842;None;108.21831539995037;None;None;None;[];108.21831539995037;None;['7'];[1.8923252001404762];108.21831539995037;None;;;S11330;2022_Mar_29_1912;VideoMask;2021.1.2;119.79074932029876;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_94.2ns.avi;sad;7.0;congruent;130.0;160.0;182.29120173647655;s_s;;;;;0;1;1;1;;;;;;;111.21814029989764;None;112.95121309999377;113.26798619981855;114.418043699814;114.43459820002317;117.09307429986075;None;7;0;0.6338361999951303;117.09307429986075;None;;;;;;;;3;;;;;;118.81799030001275;None;None;None;[];118.81799030001275;None;"['7', '7']";"[0.7725309999659657, 1.388761900132522]";118.81799030001275;None;;;S11330;2022_Mar_29_1912;VideoMask;2021.1.2;119.79074932029876;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_26.1ns.avi;happy;9.0;congruent;120.0;150.0;155.9437854594882;h_h;;;;;0;2;2;2;;;;;;;121.82624119985849;None;123.33442919980735;123.6511563998647;124.78438299987465;124.80118849989958;126.77610099990852;None;9;0;0.9506096998229623;126.77610099990852;None;;;;;;;;6;;;;;;128.32591919996776;None;None;None;[];128.32591919996776;None;['9'];[0.5368429000955075];128.32591919996776;None;;;S11330;2022_Mar_29_1912;VideoMask;2021.1.2;119.79074932029876;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_138.1.wmv;sad;7.0;incongruent;120.0;160.0;133.99071306426532;h_s;;;;;0;3;3;3;;;;;;;131.32582939998247;None;132.65081769996323;132.96740189986303;134.0925741000101;134.10911679989658;136.10963719990104;None;7;0;0.6334746000356972;136.10963719990104;None;;;;;;;;3;;;;;;137.68396459985524;None;None;None;[];137.68396459985524;None;"['7', '7']";"[0.5227113000582904, 0.8666431000456214]";137.68396459985524;None;;;S11330;2022_Mar_29_1912;VideoMask;2021.1.2;119.79074932029876;
8.0;f;028_y_f_s_a.jpg;sad;7.0;sad_64.2ns.avi;sad;7.0;congruent;130.0;160.0;229.88540597086478;s_s;;;;;0;4;4;4;;;;;;;140.68387939990498;None;142.88383900001645;143.20038019982167;144.375325899804;144.39194489992224;155.35002359980717;None;7;0;0.41680829995311797;155.35002359980717;None;;;;;;;;5;;;;;;156.92500849999487;None;None;None;[];156.92500849999487;None;None;;156.92500849999487;None;;;S11330;2022_Mar_29_1912;VideoMask;2021.1.2;119.79074932029876;
7.0;m;027_o_m_s_a.jpg;sad;7.0;sad_10.4ns.avi;sad;7.0;congruent;130.0;160.0;185.20129417468752;s_s;;;;;0;5;5;5;;;;;;;159.9414529998321;None;161.69975729985163;162.0166251999326;163.16643069987185;163.18311539990827;166.31699569988996;None;None;0;;166.31699569988996;None;;;;;;;;6;;;;;;167.89148569991812;None;None;None;[];167.89148569991812;None;"['7', '9', '9', '9', '7']";"[0.18711699987761676, 1.1233608999755234, 1.5230201999656856, 1.8834627999458462, 2.4433031000662595]";167.89148569991812;None;;;S11330;2022_Mar_29_1912;VideoMask;2021.1.2;119.79074932029876;
2.0;f;012_o_f_s_a.jpg;sad;7.0;sad_7.5ns.avi;sad;7.0;congruent;130.0;160.0;220.27842655424388;s_s;;;;;0;6;6;6;;;;;;;170.8995747999288;None;172.93289629998617;173.24946859991178;174.40821539983153;174.42457729997113;177.17467679991387;None;7;0;0.6640161001123488;177.17467679991387;None;;;;;;;;4;;;;;;178.74117939989083;None;None;None;[];178.74117939989083;None;['7'];[0.6655155001208186];178.74117939989083;None;;;S11330;2022_Mar_29_1912;VideoMask;2021.1.2;119.79074932029876;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_27.1ns.avi;happy;9.0;congruent;120.0;150.0;146.44967055810616;h_h;;;;;0;7;7;7;;;;;;;181.73293269984424;None;183.15743769984692;183.47402969980612;184.64907219982706;184.66570759983733;187.09903799998574;None;9;0;0.6676435000263155;187.09903799998574;None;;;;;;;;6;;;;;;188.64895559987053;None;None;None;[];188.64895559987053;None;['9'];[0.7016559999901801];188.64895559987053;None;;;S11330;2022_Mar_29_1912;VideoMask;2021.1.2;119.79074932029876;
