primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.rt;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.started;slider_resp_response.stopped;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
1111;m;1111_m_m_h_a.jpg;happy;9;example_30.4ns.avi;neutral;7;incongruent;120.0;170.0;189.5874364012288;;0;0;0;0;;;;;24.416606900049374;1;24.494705800025258;26.494957400020212;26.494957400020212;None;28.528223800007254;None;30.58645240002079;30.911467400030233;32.036361400038004;32.0530909000081;36.38624640001217;None;8;0;1.1444986999849789;36.38624640001217;None;37.94456670002546;None;None;None;[];37.94456670002546;None;5;None;37.94456670002546;None;;;;;;;;;;;;;;;;S11382;2022_Apr_20_1019;VideoMask;2021.1.2;119.97744420841028;
1113;f;1113_y_f_s_a.jpg;sad;7;example_30.3ns.avi;neutral;7;incongruent;130.0;170.0;229.02432995836998;;0;1;1;1;;;;;;;;;;;40.96975480002584;None;43.08596460003173;43.402578000037465;44.55276120000053;44.56937890005065;46.536023000022396;None;8;0;0.6906822999590077;46.536023000022396;None;48.08598600002006;None;None;None;[];48.08598600002006;None;5;None;48.08598600002006;None;;;;;;;;;;;;;;;;S11382;2022_Apr_20_1019;VideoMask;2021.1.2;119.97744420841028;
9.0;f;019_m_f_h_a.jpg;happy;9.0;sad_115.1.wmv;sad;7.0;incongruent;120.0;160.0;128.09063432376465;h_s;;;;;0;0;0;0;;;;;;;52.135841400013305;None;53.42738560005091;53.74414480000269;54.88562630000524;54.90240150003228;56.894027500005905;None;None;0;;56.894027500005905;None;;;;;;;;4;;;;51.11068720003823;None;58.44399220001651;None;None;None;[];58.44399220001651;None;"['7', '7']";"[1.7108148999977857, 2.6468779999995604]";58.44399220001651;None;;;S11382;2022_Apr_20_1019;VideoMask;2021.1.2;119.97744420841028;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_94.2ns.avi;sad;7.0;congruent;130.0;160.0;182.29120173647655;s_s;;;;;0;1;1;1;;;;;;;61.44383220002055;None;63.193749300029594;63.510413700016215;64.64367840002524;64.66065190004883;67.33540850004647;None;7;0;0.8273344999761321;67.33540850004647;None;;;;;;;;5;;;;;;68.88536130002467;None;None;None;[];68.88536130002467;None;None;;68.88536130002467;None;;;S11382;2022_Apr_20_1019;VideoMask;2021.1.2;119.97744420841028;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_26.1ns.avi;happy;9.0;congruent;120.0;150.0;155.9437854594882;h_h;;;;;0;2;2;2;;;;;;;71.91860670002643;None;73.4351112000295;73.75182530004531;74.87683200003812;74.89351150003495;76.87679490004666;None;9;0;1.3179518000106327;76.87679490004666;None;;;;;;;;5;;;;;;78.42673240002478;None;None;None;[];78.42673240002478;None;None;;78.42673240002478;None;;;S11382;2022_Apr_20_1019;VideoMask;2021.1.2;119.97744420841028;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_138.1.wmv;sad;7.0;incongruent;120.0;160.0;133.99071306426532;h_s;;;;;0;3;3;3;;;;;;;81.45148240000708;None;82.80147870001383;83.11813300003996;84.24324100004742;84.25971030001529;86.2514714000281;None;7;0;0.9913965999730863;86.2514714000281;None;;;;;;;;7;;;;;;87.80144000001019;None;None;None;[];87.80144000001019;None;"['9', '9']";"[0.7772648999816738, 1.9215568999643438]";87.80144000001019;None;;;S11382;2022_Apr_20_1019;VideoMask;2021.1.2;119.97744420841028;
8.0;f;028_y_f_s_a.jpg;sad;7.0;sad_64.2ns.avi;sad;7.0;congruent;130.0;160.0;229.88540597086478;s_s;;;;;0;4;4;4;;;;;;;90.80140019999817;None;93.00964850001037;93.32618270005332;94.46022970002377;94.48476940003457;105.46764120005537;None;7;0;0.6712422000127845;105.46764120005537;None;;;;;;;;5;;;;;;107.01755140000023;None;None;None;[];107.01755140000023;None;None;;107.01755140000023;None;;;S11382;2022_Apr_20_1019;VideoMask;2021.1.2;119.97744420841028;
7.0;m;027_o_m_s_a.jpg;sad;7.0;sad_10.4ns.avi;sad;7.0;congruent;130.0;160.0;185.20129417468752;s_s;;;;;0;5;5;5;;;;;;;110.05078610003693;None;111.80892030004179;112.12558340001851;113.28432020003675;113.30089370004134;116.42567140003666;None;7;0;1.1531746000400744;116.42567140003666;None;;;;;;;;7;;;;;;117.97545850003371;None;None;None;[];117.97545850003371;None;"['9', '9']";"[0.6753466000081971, 1.115619299991522]";117.97545850003371;None;;;S11382;2022_Apr_20_1019;VideoMask;2021.1.2;119.97744420841028;
2.0;f;012_o_f_s_a.jpg;sad;7.0;sad_7.5ns.avi;sad;7.0;congruent;130.0;160.0;220.27842655424388;s_s;;;;;0;6;6;6;;;;;;;120.97568140004296;None;123.00858680001693;123.32522070000414;124.50035790004767;124.51702030003071;127.2505229000235;None;7;0;0.5923700000275858;127.2505229000235;None;;;;;;;;5;;;;;;128.8085521000321;None;None;None;[];128.8085521000321;None;None;;128.8085521000321;None;;;S11382;2022_Apr_20_1019;VideoMask;2021.1.2;119.97744420841028;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_27.1ns.avi;happy;9.0;congruent;120.0;150.0;146.44967055810616;h_h;;;;;0;7;7;7;;;;;;;131.83327480003936;None;133.25820250000106;133.57484040001873;134.74174080003286;134.75842330005253;137.1999982999987;None;9;0;0.6749506999622099;137.1999982999987;None;;;;;;;;5;;;;;;138.7499074000516;None;None;None;[];138.7499074000516;None;None;;138.7499074000516;None;;;S11382;2022_Apr_20_1019;VideoMask;2021.1.2;119.97744420841028;
