primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.started;slider_resp_response.stopped;slider_resp_response.rt;text_start.started;text_start.stopped;key_resp.rt;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
1111;m;1111_m_m_h_a.jpg;happy;9;example_30.4ns.avi;neutral;7;incongruent;120.0;170.0;189.5874364012288;;0;0;0;0;;;;;218.4317441000603;1;218.5102907998953;220.51053930004127;220.51053930004127;None;222.52698730002157;None;224.80186909995973;225.12699979986064;226.2686286000535;226.2852389998734;230.5936050999444;None;None;0;230.5936050999444;None;232.16015539993532;None;None;None;[];232.16015539993532;None;5;None;232.16015539993532;None;;;;;;;;;;;;;;;;;;S11420;2022_May_03_1103;VideoMask;2021.1.2;120.09487505856208;
1113;f;1113_y_f_s_a.jpg;sad;7;example_30.3ns.avi;neutral;7;incongruent;130.0;170.0;229.02432995836998;;0;1;1;1;;;;;;;;;;;235.15989769995213;None;237.28478770004585;237.6015075999312;238.74327019997872;238.75990649987943;240.74323669984005;None;None;0;240.74323669984005;None;242.29293220001273;None;None;None;[];242.29293220001273;None;6;['9'];242.29293220001273;None;[1.3129644999280572];;;;;;;;;;;;;;;;;S11420;2022_May_03_1103;VideoMask;2021.1.2;120.09487505856208;
9.0;f;019_m_f_h_a.jpg;happy;9.0;sad_115.1.wmv;sad;7.0;incongruent;120.0;160.0;128.09063432376465;h_s;;;;;0;0;0;0;;;;;;;246.3263534998987;None;247.60958809987642;247.92620539991185;249.0594337999355;249.07604219997302;251.07618699991144;None;7;0;251.07618699991144;None;;;;;;;;3;;;;;245.2931373999454;None;1.3695726001169533;252.6345281000249;None;None;None;[];252.6345281000249;None;"['7', '7', '7']";"[1.02738989982754, 1.6674840999767184, 2.1555880999658257]";252.6345281000249;None;;;S11420;2022_May_03_1103;VideoMask;2021.1.2;120.09487505856208;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_94.2ns.avi;sad;7.0;congruent;130.0;160.0;182.29120173647655;s_s;;;;;0;1;1;1;;;;;;;255.63440539990552;None;257.3676841999404;257.6842471000273;258.8176178999711;258.83427629992366;261.5091782999225;None;7;0;261.5091782999225;None;;;;;;;;2;;;;;;;1.1126810999121517;263.0508277998306;None;None;None;[];263.0508277998306;None;"['7', '7', '7', '7']";"[0.8029887001030147, 1.259038200136274, 1.715004000114277, 2.715046900091693]";263.0508277998306;None;;;S11420;2022_May_03_1103;VideoMask;2021.1.2;120.09487505856208;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_26.1ns.avi;happy;9.0;congruent;120.0;150.0;155.9437854594882;h_h;;;;;0;2;2;2;;;;;;;266.05071799992584;None;267.54224290000275;267.85895989998244;269.01728260004893;269.03465259983204;270.9839963999111;None;9;0;270.9839963999111;None;;;;;;;;6;;;;;;;1.1738812001422048;272.533872500062;None;None;None;[];272.533872500062;None;['9'];[0.7764090998098254];272.533872500062;None;;;S11420;2022_May_03_1103;VideoMask;2021.1.2;120.09487505856208;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_138.1.wmv;sad;7.0;incongruent;120.0;160.0;133.99071306426532;h_s;;;;;0;3;3;3;;;;;;;275.53382160002366;None;276.8669979998376;277.1837191998493;278.3170855999924;278.333691699896;280.3169448999688;None;None;0;280.3169448999688;None;;;;;;;;3;;;;;;;;281.8834098998923;None;None;None;[];281.8834098998923;None;"['7', '7']";"[9.296013199957088, 0.9544418000150472]";281.8834098998923;None;;;S11420;2022_May_03_1103;VideoMask;2021.1.2;120.09487505856208;
8.0;f;028_y_f_s_a.jpg;sad;7.0;sad_64.2ns.avi;sad;7.0;congruent;130.0;160.0;229.88540597086478;s_s;;;;;0;4;4;4;;;;;;;284.86693440005183;None;287.0667391999159;287.38334459997714;288.51729370001704;288.55037199985236;299.51639249990694;None;7;0;299.51639249990694;None;;;;;;;;4;;;;;;;1.0254422998987138;301.20798239996657;None;None;None;[];301.20798239996657;None;['7'];[0.9420823999680579];301.20798239996657;None;;;S11420;2022_May_03_1103;VideoMask;2021.1.2;120.09487505856208;
7.0;m;027_o_m_s_a.jpg;sad;7.0;sad_10.4ns.avi;sad;7.0;congruent;130.0;160.0;185.20129417468752;s_s;;;;;0;5;5;5;;;;;;;304.2163678999059;None;305.9743720998522;306.29111150000244;307.48285479983315;307.49949690001085;310.5910654999316;None;7;0;310.5910654999316;None;;;;;;;;2;;;;;;;1.0310281000565737;312.1410168998409;None;None;None;[];312.1410168998409;None;"['7', '7', '7']";"[0.769178899936378, 1.345012600068003, 1.8089296000543982]";312.1410168998409;None;;;S11420;2022_May_03_1103;VideoMask;2021.1.2;120.09487505856208;
2.0;f;012_o_f_s_a.jpg;sad;7.0;sad_7.5ns.avi;sad;7.0;congruent;130.0;160.0;220.27842655424388;s_s;;;;;0;6;6;6;;;;;;;315.1493545998819;None;317.18243200005963;317.4990780998487;318.6748538999818;318.7074416000396;321.4242364000529;None;7;0;321.4242364000529;None;;;;;;;;3;;;;;;;0.7420862999279052;322.9823755999096;None;None;None;[];322.9823755999096;None;"['7', '7']";"[1.143762999912724, 1.927616799948737]";322.9823755999096;None;;;S11420;2022_May_03_1103;VideoMask;2021.1.2;120.09487505856208;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_27.1ns.avi;happy;9.0;congruent;120.0;150.0;146.44967055810616;h_h;;;;;0;7;7;7;;;;;;;325.9822503000032;None;327.3987064999528;327.71546870004386;328.9578197998926;328.9904765000101;331.3404673000332;None;9;0;331.3404673000332;None;;;;;;;;6;;;;;;;0.8255231000948697;333.15703969984315;None;None;None;[];333.15703969984315;None;['9'];[0.824781599920243];333.15703969984315;None;;;S11420;2022_May_03_1103;VideoMask;2021.1.2;120.09487505856208;
