primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.rt;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.started;slider_resp_response.stopped;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
1111;m;1111_m_m_h_a.jpg;happy;9;example_30.4ns.avi;neutral;7;incongruent;120.0;170.0;189.5874364012288;;0;0;0;0;;;;;81.78439079999225;1;81.87918859999627;83.87940130001516;83.87940130001516;None;85.90409840000211;None;88.13758490001783;88.46257279999554;89.62921040001675;89.64577820000704;93.92901540000457;None;8;0;0.9216169000137597;93.92901540000457;None;95.49563980000676;None;None;None;[];95.49563980000676;None;5;None;95.49563980000676;None;;;;;;;;;;;;;;;;S11446;2022_May_12_1839;VideoMask;2021.1.2;119.94103697010422;
1113;f;1113_y_f_s_a.jpg;sad;7;example_30.3ns.avi;neutral;7;incongruent;130.0;170.0;229.02432995836998;;0;1;1;1;;;;;;;;;;;98.50389730001916;None;100.62041279999539;100.93705700000282;102.07047639999655;102.08710010000505;104.08706550000352;None;None;0;;104.08706550000352;None;105.63679360001697;None;None;None;[];105.63679360001697;None;5;None;105.63679360001697;None;;;;;;;;;;;;;;;;S11446;2022_May_12_1839;VideoMask;2021.1.2;119.94103697010422;
9.0;f;019_m_f_h_a.jpg;happy;9.0;sad_115.1.wmv;sad;7.0;incongruent;120.0;160.0;128.09063432376465;h_s;;;;;0;0;0;0;;;;;;;109.67023290001089;None;110.96169680001913;111.2783202000137;112.41165829999954;112.42846970001119;114.41173100000015;None;7;0;0.8228514999791514;114.41173100000015;None;;;;;;;;2;;;;108.67027440000675;None;115.96155780000845;None;None;None;[];115.96155780000845;None;"['7', '7', '7']";"[0.7130141999805346, 1.2407041999977082, 1.5369380000047386]";115.96155780000845;None;;;S11446;2022_May_12_1839;VideoMask;2021.1.2;119.94103697010422;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_94.2ns.avi;sad;7.0;congruent;130.0;160.0;182.29120173647655;s_s;;;;;0;1;1;1;;;;;;;118.97843960000318;None;120.71141260000877;121.02820830000564;122.22814300001482;122.24473269999726;124.85307929999544;None;7;0;1.1414396000036504;124.85307929999544;None;;;;;;;;1;;;;;;126.4197029999923;None;None;None;[];126.4197029999923;None;"['7', '7', '7', '7', '7']";"[0.4948117999883834, 0.7828741999983322, 1.0227580999780912, 1.238622699980624, 1.8389151000010315]";126.4197029999923;None;;;S11446;2022_May_12_1839;VideoMask;2021.1.2;119.94103697010422;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_26.1ns.avi;happy;9.0;congruent;120.0;150.0;155.9437854594882;h_h;;;;;0;2;2;2;;;;;;;129.41969139999128;None;130.91100009999354;131.22788170000422;132.42787320000934;132.44448910001665;134.3527660999971;None;9;0;0.7616710999864154;134.3527660999971;None;;;;;;;;8;;;;;;135.90276460000314;None;None;None;[];135.90276460000314;None;"['9', '9', '9']";"[0.571691200020723, 0.8517697000061162, 1.7639095000049565]";135.90276460000314;None;;;S11446;2022_May_12_1839;VideoMask;2021.1.2;119.94103697010422;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_138.1.wmv;sad;7.0;incongruent;120.0;160.0;133.99071306426532;h_s;;;;;0;3;3;3;;;;;;;138.91102679999312;None;140.25247520001722;140.56919259999995;141.69429040001705;141.71086409999407;143.70248120001634;None;7;0;1.148054499994032;143.70248120001634;None;;;;;;;;2;;;;;;145.25246330001391;None;None;None;[];145.25246330001391;None;"['7', '7', '7']";"[0.35022699998808093, 0.5901512000127696, 1.9660231999878306]";145.25246330001391;None;;;S11446;2022_May_12_1839;VideoMask;2021.1.2;119.94103697010422;
8.0;f;028_y_f_s_a.jpg;sad;7.0;sad_64.2ns.avi;sad;7.0;congruent;130.0;160.0;229.88540597086478;s_s;;;;;0;4;4;4;;;;;;;148.2608431999979;None;150.4773164000071;150.79389739999897;151.9522477000137;151.9689909000008;162.92704060001415;None;7;0;0.6434814999811351;162.92704060001415;None;;;;;;;;1;;;;;;164.47687909999513;None;None;None;[];164.47687909999513;None;"['7', '7', '7', '7']";"[0.3496754999796394, 0.597462399979122, 0.7894242999900598, 0.9894888999988325]";164.47687909999513;None;;;S11446;2022_May_12_1839;VideoMask;2021.1.2;119.94103697010422;
7.0;m;027_o_m_s_a.jpg;sad;7.0;sad_10.4ns.avi;sad;7.0;congruent;130.0;160.0;185.20129417468752;s_s;;;;;0;5;5;5;;;;;;;167.4767720999953;None;169.24332740000682;169.56006990000606;170.70980020001298;170.7264533000125;173.87660439999308;None;8;0;0.9739355999918189;173.87660439999308;None;;;;;;;;5;;;;;;175.42649310000706;None;None;None;[];175.42649310000706;None;None;;175.42649310000706;None;;;S11446;2022_May_12_1839;VideoMask;2021.1.2;119.94103697010422;
2.0;f;012_o_f_s_a.jpg;sad;7.0;sad_7.5ns.avi;sad;7.0;congruent;130.0;160.0;220.27842655424388;s_s;;;;;0;6;6;6;;;;;;;178.44293720001588;None;180.48454330000095;180.80132830000366;181.96788880001986;181.98446540001896;184.72647200000938;None;7;0;0.2601056999992579;184.72647200000938;None;;;;;;;;1;;;;;;186.3178569000156;None;None;None;[];186.3178569000156;None;"['7', '7', '7', '7']";"[0.38082749999011867, 0.5806469999952242, 0.7567106999922544, 0.9484593000088353]";186.3178569000156;None;;;S11446;2022_May_12_1839;VideoMask;2021.1.2;119.94103697010422;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_27.1ns.avi;happy;9.0;congruent;120.0;150.0;146.44967055810616;h_h;;;;;0;7;7;7;;;;;;;189.3179034999921;None;190.742587500019;191.05929780000588;192.2173172000039;192.2349297000037;194.68430610001087;None;9;0;0.5580623999994714;194.68430610001087;None;;;;;;;;9;;;;;;196.23421480000252;None;None;None;[];196.23421480000252;None;"['9', '9', '9', '9']";"[0.30433320000884123, 0.6004195999994408, 0.82446240002173, 1.3442500000237487]";196.23421480000252;None;;;S11446;2022_May_12_1839;VideoMask;2021.1.2;119.94103697010422;
