primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.started;slider_resp_response.stopped;text_start.started;text_start.stopped;key_resp.rt;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
1111;m;1111_m_m_h_a.jpg;happy;9;example_30.4ns.avi;neutral;7;incongruent;120.0;170.0;189.5874364012288;;0;0;0;0;;;;;26.966087399981916;1;27.04358349973336;29.04385989997536;29.04385989997536;None;31.060297899879515;None;33.28659939998761;33.601880399975926;34.76854979991913;34.78523199958727;39.11048939963803;None;None;0;39.11048939963803;None;40.668152399826795;None;None;None;[];40.668152399826795;None;5;None;40.668152399826795;None;;;;;;;;;;;;;;;;;S11502;2022_Jun_07_1802;VideoMask;2021.1.2;120.0416783408903;
1113;f;1113_y_f_s_a.jpg;sad;7;example_30.3ns.avi;neutral;7;incongruent;130.0;170.0;229.02432995836998;;0;1;1;1;;;;;;;;;;;43.6848619999364;None;45.801435499917716;46.11813509976491;47.25153459981084;47.26813889993355;49.25160039961338;None;None;0;49.25160039961338;None;50.80122709972784;None;None;None;[];50.80122709972784;None;5;None;50.80122709972784;None;;;;;;;;;;;;;;;;;S11502;2022_Jun_07_1802;VideoMask;2021.1.2;120.0416783408903;
9.0;f;019_m_f_h_a.jpg;happy;9.0;sad_115.1.wmv;sad;7.0;incongruent;120.0;160.0;128.09063432376465;h_s;;;;;0;0;0;0;;;;;;;54.83463149983436;None;56.10942529980093;56.42614909959957;57.559392999857664;57.57608549995348;59.576177299954;None;7;0;59.576177299954;None;;;;;;;;3;;;;53.826315799728036;None;0.8837946997955441;61.13442719960585;None;None;None;[];61.13442719960585;None;"['7', '7']";"[0.6216068998910487, 2.037625900004059]";61.13442719960585;None;;;S11502;2022_Jun_07_1802;VideoMask;2021.1.2;120.0416783408903;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_94.2ns.avi;sad;7.0;congruent;130.0;160.0;182.29120173647655;s_s;;;;;0;1;1;1;;;;;;;64.13433039980009;None;65.8509523998946;66.16754099959508;67.33425929956138;67.35088459961116;69.99254199955612;None;7;0;69.99254199955612;None;;;;;;;;4;;;;;;0.7874372997321188;71.5424204999581;None;None;None;[];71.5424204999581;None;['7'];[0.797609300352633];71.5424204999581;None;;;S11502;2022_Jun_07_1802;VideoMask;2021.1.2;120.0416783408903;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_26.1ns.avi;happy;9.0;congruent;120.0;150.0;155.9437854594882;h_h;;;;;0;2;2;2;;;;;;;74.5506364996545;None;76.03383699990809;76.35045969998464;77.51726669957861;77.53388019977137;79.47555559966713;None;9;0;79.47555559966713;None;;;;;;;;6;;;;;;0.5205300999805331;81.08371009957045;None;None;None;[];81.08371009957045;None;['9'];[0.45618450036272407];81.08371009957045;None;;;S11502;2022_Jun_07_1802;VideoMask;2021.1.2;120.0416783408903;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_138.1.wmv;sad;7.0;incongruent;120.0;160.0;133.99071306426532;h_s;;;;;0;3;3;3;;;;;;;84.08381939958781;None;85.42522839969024;85.75028649996966;86.87533809989691;86.89194019977003;88.88367109978572;None;7;0;88.88367109978572;None;;;;;;;;4;;;;;;1.1202707001939416;90.46682539954782;None;None;None;[];90.46682539954782;None;['7'];[0.7613716996274889];90.46682539954782;None;;;S11502;2022_Jun_07_1802;VideoMask;2021.1.2;120.0416783408903;
8.0;f;028_y_f_s_a.jpg;sad;7.0;sad_64.2ns.avi;sad;7.0;congruent;130.0;160.0;229.88540597086478;s_s;;;;;0;4;4;4;;;;;;;93.475184999872;None;95.62483389955014;95.94160939985886;97.08332909969613;97.09995259996504;108.07463719975203;None;7;0;108.07463719975203;None;;;;;;;;3;;;;;;0.7855414999648929;109.62458750000224;None;None;None;[];109.62458750000224;None;"['7', '7']";"[0.37945959996432066, 0.57136519998312]";109.62458750000224;None;;;S11502;2022_Jun_07_1802;VideoMask;2021.1.2;120.0416783408903;
7.0;m;027_o_m_s_a.jpg;sad;7.0;sad_10.4ns.avi;sad;7.0;congruent;130.0;160.0;185.20129417468752;s_s;;;;;0;5;5;5;;;;;;;112.63295339979231;None;114.37432749988511;114.69098209962249;115.86604199977592;115.8827556995675;118.99109079968184;None;7;0;118.99109079968184;None;;;;;;;;3;;;;;;0.7408900000154972;120.54081559972838;None;None;None;[];120.54081559972838;None;"['7', '7']";"[0.439200300257653, 0.6153722000308335]";120.54081559972838;None;;;S11502;2022_Jun_07_1802;VideoMask;2021.1.2;120.0416783408903;
2.0;f;012_o_f_s_a.jpg;sad;7.0;sad_7.5ns.avi;sad;7.0;congruent;130.0;160.0;220.27842655424388;s_s;;;;;0;6;6;6;;;;;;;123.54092069994658;None;125.56562539981678;125.88231629971415;127.07385179959238;127.09053479973227;129.8072906997986;None;7;0;129.8072906997986;None;;;;;;;;3;;;;;;0.6448546000756323;131.4072371996008;None;None;None;[];131.4072371996008;None;"['7', '7']";"[0.2851677001453936, 0.6527416999451816]";131.4072371996008;None;;;S11502;2022_Jun_07_1802;VideoMask;2021.1.2;120.0416783408903;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_27.1ns.avi;happy;9.0;congruent;120.0;150.0;146.44967055810616;h_h;;;;;0;7;7;7;;;;;;;134.40724279964343;None;135.8235906995833;136.14025619998574;137.34862770000473;137.36542409984395;139.7653196998872;None;9;0;139.7653196998872;None;;;;;;;;6;;;;;;0.5747676999308169;141.31528159976006;None;None;None;[];141.31528159976006;None;"['9', '9']";"[0.3127083000726998, 1.1848304001614451]";141.31528159976006;None;;;S11502;2022_Jun_07_1802;VideoMask;2021.1.2;120.0416783408903;
