primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.started;slider_resp_response.stopped;key_resp.rt;slider_resp_response.rt;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.started;slider_resp_study.stopped;slider_resp_study.rt;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
1111;m;1111_m_m_h_a.jpg;happy;9;example_30.4ns.avi;neutral;7;incongruent;120.0;170.0;189.5874364012288;;0;0;0;0;;;;;129.55416309996508;1;129.64024370000698;131.6402620000299;131.6402620000299;None;133.6818236000836;None;135.77358720009215;136.098214100115;137.25661140005104;137.2732880001422;141.5649494000245;None;None;0;141.5649494000245;None;143.11472750012763;None;None;None;[];143.11472750012763;None;5;None;143.11472750012763;None;;;;;;;;;;;;;;;;;;S11679;2022_Aug_22_1702;VideoMask;2021.1.2;120.05018074272323;
1113;f;1113_y_f_s_a.jpg;sad;7;example_30.3ns.avi;neutral;7;incongruent;130.0;170.0;229.02432995836998;;0;1;1;1;;;;;;;;;;;146.13117180019617;None;148.24778580013663;148.5645240000449;149.70620320015587;149.72285770019516;151.69785700016655;None;8;0;151.69785700016655;None;153.24781730002724;None;None;None;[];153.24781730002724;None;5;['7'];153.24781730002724;None;1.0190077000297606;[1.6610040001105517];;;;;;;;;;;;;;;;S11679;2022_Aug_22_1702;VideoMask;2021.1.2;120.05018074272323;
9.0;f;019_m_f_h_a.jpg;happy;9.0;sad_115.1.wmv;sad;7.0;incongruent;120.0;160.0;128.09063432376465;h_s;;;;;0;0;0;0;;;;;;;157.28095500008203;None;158.5641163000837;158.88084040000103;160.01406700001098;160.03091670013964;162.0141741000116;None;None;0;162.0141741000116;None;;;;;;;;5;;;;;;156.25598560017534;None;163.56454000016674;None;None;None;[];163.56454000016674;None;None;163.56454000016674;None;;;;S11679;2022_Aug_22_1702;VideoMask;2021.1.2;120.05018074272323;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_94.2ns.avi;sad;7.0;congruent;130.0;160.0;182.29120173647655;s_s;;;;;0;1;1;1;;;;;;;166.58901200001128;None;168.3221549000591;168.63884930009954;169.79722489998676;169.81454559997655;172.4638453000225;None;None;0;172.4638453000225;None;;;;;;;;4;;;;;;;;174.03021140000783;None;None;None;[];174.03021140000783;None;['7'];174.03021140000783;None;[10.384166700066999];;;S11679;2022_Aug_22_1702;VideoMask;2021.1.2;120.05018074272323;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_26.1ns.avi;happy;9.0;congruent;120.0;150.0;155.9437854594882;h_h;;;;;0;2;2;2;;;;;;;177.0221085001249;None;178.51344740018249;178.83020399999805;179.98025670018978;179.99685640004463;181.95516760018654;None;None;0;181.95516760018654;None;;;;;;;;4;;;;;;;;183.50513150007464;None;None;None;[];183.50513150007464;None;['7'];183.50513150007464;None;[0.5556354001164436];;;S11679;2022_Aug_22_1702;VideoMask;2021.1.2;120.05018074272323;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_138.1.wmv;sad;7.0;incongruent;120.0;160.0;133.99071306426532;h_s;;;;;0;3;3;3;;;;;;;186.50567360012792;None;187.8465789000038;188.1633268999867;189.32983410009183;189.34659400000237;191.2964975000359;None;8;0;191.2964975000359;None;;;;;;;;5;;;;0.9482952000107616;;;;192.84645529999398;None;None;None;[];192.84645529999398;None;None;192.84645529999398;None;;;;S11679;2022_Aug_22_1702;VideoMask;2021.1.2;120.05018074272323;
8.0;f;028_y_f_s_a.jpg;sad;7.0;sad_64.2ns.avi;sad;7.0;congruent;130.0;160.0;229.88540597086478;s_s;;;;;0;4;4;4;;;;;;;195.87138600018807;None;198.08799400017597;198.40462770010345;199.58803770015948;199.60455529997125;210.5376155001577;None;None;0;210.5376155001577;None;;;;;;;;5;;;;;;;;212.0874826000072;None;None;None;[];212.0874826000072;None;None;212.0874826000072;None;;;;S11679;2022_Aug_22_1702;VideoMask;2021.1.2;120.05018074272323;
7.0;m;027_o_m_s_a.jpg;sad;7.0;sad_10.4ns.avi;sad;7.0;congruent;130.0;160.0;185.20129417468752;s_s;;;;;0;5;5;5;;;;;;;215.10392220015638;None;216.87067690002732;217.18719170009717;218.3620911000762;218.3787705001887;221.48717180010863;None;None;0;221.48717180010863;None;;;;;;;;2;;;;;;;;223.03722680010833;None;None;None;[];223.03722680010833;None;"['7', '7', '7']";223.03722680010833;None;"[0.21553879999555647, 0.4392913000192493, 0.615391300059855]";;;S11679;2022_Aug_22_1702;VideoMask;2021.1.2;120.05018074272323;
2.0;f;012_o_f_s_a.jpg;sad;7.0;sad_7.5ns.avi;sad;7.0;congruent;130.0;160.0;220.27842655424388;s_s;;;;;0;6;6;6;;;;;;;226.04548220010474;None;228.07854190003127;228.39528330019675;229.62927560019307;229.65385690005496;232.32036280003376;None;None;0;232.32036280003376;None;;;;;;;;5;;;;;;;;234.27015620004386;None;None;None;[];234.27015620004386;None;None;234.27015620004386;None;;;;S11679;2022_Aug_22_1702;VideoMask;2021.1.2;120.05018074272323;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_27.1ns.avi;happy;9.0;congruent;120.0;150.0;146.44967055810616;h_h;;;;;0;7;7;7;;;;;;;237.28656770009547;None;238.7114809001796;239.02816830016673;240.2032710001804;240.2199510000646;242.65318370005116;None;None;0;242.65318370005116;None;;;;;;;;4;;;;;;;;244.21148460009135;None;None;None;[];244.21148460009135;None;['7'];244.21148460009135;None;[0.5132410998921841];;;S11679;2022_Aug_22_1702;VideoMask;2021.1.2;120.05018074272323;
