primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.rt;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.started;slider_resp_response.stopped;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.started;slider_resp_study.stopped;slider_resp_study.rt;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
1111;m;1111_m_m_h_a.jpg;happy;9;example_30.4ns.avi;neutral;7;incongruent;120.0;170.0;189.5874364012288;;0;0;0;0;;;;;27.4970698999241;1;27.584074799902737;29.584190600086004;29.584190600086004;None;31.602494900114834;None;33.850466900039464;34.17566579999402;35.31722430000082;35.33395250001922;39.642083999933675;None;8;0;0.7391848999541253;39.642083999933675;None;41.218808100093156;None;None;None;[];41.218808100093156;None;5;None;41.218808100093156;None;;;;;;;;;;;;;;;;S11957;2023_Jan_09_1622;VideoMask;2021.1.2;120.0421108136308;
1113;f;1113_y_f_s_a.jpg;sad;7;example_30.3ns.avi;neutral;7;incongruent;130.0;170.0;229.02432995836998;;0;1;1;1;;;;;;;;;;;44.217001399956644;None;46.33345440006815;46.659793300088495;47.858595200115815;47.875217699911445;49.783519899938256;None;None;0;;49.783519899938256;None;51.333291799994186;None;None;None;[];51.333291799994186;None;5;None;51.333291799994186;None;;;;;;;;;;;;;;;;S11957;2023_Jan_09_1622;VideoMask;2021.1.2;120.0421108136308;
9.0;f;019_m_f_h_a.jpg;happy;9.0;sad_115.1.wmv;sad;7.0;incongruent;120.0;160.0;128.09063432376465;h_s;;;;;0;0;0;0;;;;;;;55.366594600025564;None;56.666545199928805;56.98321569990367;58.116535499924794;58.13325840001926;60.11652599996887;None;7;0;1.424371900036931;60.11652599996887;None;;;;;;;;5;;;;54.36670759995468;None;61.92487949994393;None;None;None;[];61.92487949994393;None;None;61.92487949994393;None;;;;S11957;2023_Jan_09_1622;VideoMask;2021.1.2;120.0421108136308;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_94.2ns.avi;sad;7.0;congruent;130.0;160.0;182.29120173647655;s_s;;;;;0;1;1;1;;;;;;;64.9580870999489;None;66.69114369992167;67.0075582000427;68.25802659988403;68.27459809998982;70.85782400006428;None;None;0;;70.85782400006428;None;;;;;;;;3;;;;;;72.43301280005835;None;None;None;[];72.43301280005835;None;"['7', '7', '7']";72.43301280005835;None;"[10.456161299953237, 1.4599089999683201, 2.50017170002684]";;;S11957;2023_Jan_09_1622;VideoMask;2021.1.2;120.0421108136308;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_26.1ns.avi;happy;9.0;congruent;120.0;150.0;155.9437854594882;h_h;;;;;0;2;2;2;;;;;;;75.40787609992549;None;76.89934520004317;77.21594380005263;78.34093869989738;78.35765690007247;80.34096290008165;None;9;0;0.7600640999153256;80.34096290008165;None;;;;;;;;5;;;;;;81.89082280010916;None;None;None;[];81.89082280010916;None;None;81.89082280010916;None;;;;S11957;2023_Jan_09_1622;VideoMask;2021.1.2;120.0421108136308;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_138.1.wmv;sad;7.0;incongruent;120.0;160.0;133.99071306426532;h_s;;;;;0;3;3;3;;;;;;;84.91584590007551;None;86.24061369989067;86.55735939997248;87.68244070000947;87.69906889996491;89.69058519997634;None;7;0;0.7384030998218805;89.69058519997634;None;;;;;;;;2;;;;;;91.24052389990538;None;None;None;[];91.24052389990538;None;"['7', '7', '7']";91.24052389990538;None;"[0.5245268000289798, 0.9564780001528561, 1.4855114000383765]";;;S11957;2023_Jan_09_1622;VideoMask;2021.1.2;120.0421108136308;
8.0;f;028_y_f_s_a.jpg;sad;7.0;sad_64.2ns.avi;sad;7.0;congruent;130.0;160.0;229.88540597086478;s_s;;;;;0;4;4;4;;;;;;;94.2492329000961;None;96.48203890002333;96.7987148000393;97.9831115999259;98.00768920010887;108.93998369993642;None;7;0;0.7530451000202447;108.93998369993642;None;;;;;;;;4;;;;;;110.48993239994161;None;None;None;[];110.48993239994161;None;['7'];110.48993239994161;None;[1.3871083001140505];;;S11957;2023_Jan_09_1622;VideoMask;2021.1.2;120.0421108136308;
7.0;m;027_o_m_s_a.jpg;sad;7.0;sad_10.4ns.avi;sad;7.0;congruent;130.0;160.0;185.20129417468752;s_s;;;;;0;5;5;5;;;;;;;113.4986087998841;None;115.27305130008608;115.58973259991035;116.73253630008548;116.7563229999505;119.88966279989108;None;7;0;1.0114026998635381;119.88966279989108;None;;;;;;;;5;;;;;;121.4395882000681;None;None;None;[];121.4395882000681;None;None;121.4395882000681;None;;;;S11957;2023_Jan_09_1622;VideoMask;2021.1.2;120.0421108136308;
2.0;f;012_o_f_s_a.jpg;sad;7.0;sad_7.5ns.avi;sad;7.0;congruent;130.0;160.0;220.27842655424388;s_s;;;;;0;6;6;6;;;;;;;124.46453829994425;None;126.4892788999714;126.80615690001287;127.96430979995057;127.98090440011583;130.73097019991837;None;7;0;0.7859565000981092;130.73097019991837;None;;;;;;;;3;;;;;;132.28091179998592;None;None;None;[];132.28091179998592;None;"['7', '7']";132.28091179998592;None;"[0.5240205998998135, 1.1001822999678552]";;;S11957;2023_Jan_09_1622;VideoMask;2021.1.2;120.0421108136308;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_27.1ns.avi;happy;9.0;congruent;120.0;150.0;146.44967055810616;h_h;;;;;0;7;7;7;;;;;;;135.28959989990108;None;136.7223330999259;137.03904860001057;138.18079079990275;138.197405599989;140.66399280005135;None;9;0;1.1412617000751197;140.66399280005135;None;;;;;;;;6;;;;;;142.214037100086;None;None;None;[];142.214037100086;None;['9'];142.214037100086;None;[1.3829945998732];;;S11957;2023_Jan_09_1622;VideoMask;2021.1.2;120.0421108136308;
8.0;f;028_y_f_h_a.jpg;happy;9.0;sad_119.1.wmv;sad;7.0;incongruent;120.0;160.0;148.71526953572538;h_s;;;;;0;8;8;8;;;;;;;145.22261229995638;None;146.6720195999369;146.98878169991076;148.12321630003862;148.14697219990194;150.18878030008636;None;7;0;1.4802572999615222;150.18878030008636;None;;;;;;;;3;;;;;;151.73869229992852;None;None;None;[];151.73869229992852;None;"['7', '7']";151.73869229992852;None;"[1.066334999864921, 1.5542875998653471]";;;S11957;2023_Jan_09_1622;VideoMask;2021.1.2;120.0421108136308;
6.0;m;016_y_m_s_a.jpg;sad;7.0;happy_60.4ns.avi;happy;9.0;incongruent;130.0;150.0;126.02367393611817;s_h;;;;;0;9;9;9;;;;;;;154.7389748999849;None;156.03018080000766;156.3467417000793;157.555135600036;157.5718068999704;163.27156700007617;None;9;0;1.1736600999720395;163.27156700007617;None;;;;;;;;7;;;;;;164.82159229996614;None;None;None;[];164.82159229996614;None;"['9', '9']";164.82159229996614;None;"[0.8873866000212729, 1.1916531999595463]";;;S11957;2023_Jan_09_1622;VideoMask;2021.1.2;120.0421108136308;
9.0;f;019_m_f_s_a.jpg;sad;7.0;sad_8.4ns.avi;sad;7.0;congruent;130.0;160.0;171.6633093155257;s_s;;;;;0;10;10;10;;;;;;;167.8216719001066;None;169.4963042999152;169.81299269990996;170.94634209992364;170.96303429990076;179.07948859990574;None;7;0;1.2616246999241412;179.07948859990574;None;;;;;;;;3;;;;;;180.6294342998881;None;None;None;[];180.6294342998881;None;"['7', '7']";180.6294342998881;None;"[1.2557036001235247, 2.2155018001794815]";;;S11957;2023_Jan_09_1622;VideoMask;2021.1.2;120.0421108136308;
4.0;m;004_o_m_h_a.jpg;happy;9.0;happy_1.1ns.avi;happy;9.0;congruent;120.0;150.0;203.50057144619865;h_h;;;;;0;11;11;11;;;;;;;183.63792450004257;None;185.62093569990247;185.9375734999776;187.07080859993584;187.08744650008157;201.56377650005743;None;9;0;1.025266099954024;201.56377650005743;None;;;;;;;;6;;;;;;203.403719099937;None;None;None;[];203.403719099937;None;['9'];203.403719099937;None;[1.561528000049293];;;S11957;2023_Jan_09_1622;VideoMask;2021.1.2;120.0421108136308;
7.0;m;027_o_m_h_a.jpg;happy;9.0;happy_20.1ns.avi;happy;9.0;congruent;120.0;150.0;152.91127178874285;h_h;;;;;0;12;12;12;;;;;;;206.4040757000912;None;207.89520910009742;208.21180030005053;209.39520250004716;209.4118818999268;212.3617215999402;None;9;0;0.8274459999520332;212.3617215999402;None;;;;;;;;5;;;;;;213.91170520009473;None;None;None;[];213.91170520009473;None;None;213.91170520009473;None;;;;S11957;2023_Jan_09_1622;VideoMask;2021.1.2;120.0421108136308;
0.0;f;040_y_f_s_a.jpg;sad;7.0;sad_94.3ns.avi;sad;7.0;congruent;130.0;160.0;155.27414203894395;s_s;;;;;0;13;13;13;;;;;;;216.9366492999252;None;218.42816210002638;218.74494179990143;219.89662829996087;219.93655629991554;222.50315200001933;None;None;0;;222.50315200001933;None;;;;;;;;5;;;;;;224.05293689994141;None;None;None;[];224.05293689994141;None;None;224.05293689994141;None;;;;S11957;2023_Jan_09_1622;VideoMask;2021.1.2;120.0421108136308;
0.0;f;030_o_f_s_a.jpg;sad;7.0;sad_68.1ns.avi;sad;7.0;congruent;130.0;160.0;158.9411396037211;s_s;;;;;0;14;14;14;;;;;;;227.08630040008575;None;228.64460769994184;228.96112499991432;230.11960779991932;230.1360959999729;237.519332600059;None;7;0;0.7739035999402404;237.519332600059;None;;;;;;;;3;;;;;;239.06927089998499;None;None;None;[];239.06927089998499;None;"['7', '7', '7']";239.06927089998499;None;"[0.7198688997887075, 1.3039429998025298, 1.7599220999982208]";;;S11957;2023_Jan_09_1622;VideoMask;2021.1.2;120.0421108136308;
0.0;f;030_o_f_h_a.jpg;happy;9.0;sad_127.1.wmv;sad;7.0;incongruent;120.0;160.0;180.59976631384873;h_s;;;;;0;15;15;15;;;;;;;242.0779615000356;None;243.81071179988794;244.1275424999185;245.252484299941;245.26901059993543;247.26915029995143;None;7;0;1.4002670999616385;247.26915029995143;None;;;;;;;;5;;;;;;248.8273153998889;None;None;None;[];248.8273153998889;None;None;248.8273153998889;None;;;;S11957;2023_Jan_09_1622;VideoMask;2021.1.2;120.0421108136308;
8.0;m;008_y_m_s_a.jpg;sad;7.0;happy_133.3.wmv;happy;9.0;incongruent;130.0;150.0;152.577966552593;s_h;;;;;0;16;16;16;;;;;;;251.85223939991556;None;253.3520432000514;253.66880189999938;254.79384270007722;254.8106412999332;256.8020528999623;None;9;0;1.363088299985975;256.8020528999623;None;;;;;;;;5;;;;;;258.3520055001136;None;None;None;[];258.3520055001136;None;None;258.3520055001136;None;;;;S11957;2023_Jan_09_1622;VideoMask;2021.1.2;120.0421108136308;
3.0;m;033_o_m_h_a.jpg;happy;9.0;sad_128.1.wmv;sad;7.0;incongruent;120.0;160.0;171.0492454518585;h_s;;;;;0;17;17;17;;;;;;;261.3769557001069;None;263.0351648000069;263.3514632000588;264.50350379990414;264.5350460000336;266.4850079000462;None;None;0;;266.4850079000462;None;;;;;;;;3;;;;;;268.0515640999656;None;None;None;[];268.0515640999656;None;"['7', '7']";268.0515640999656;None;"[9.6452385999728, 1.6257979001384228]";;;S11957;2023_Jan_09_1622;VideoMask;2021.1.2;120.0421108136308;
