primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.rt;slider_resp_response.started;slider_resp_response.stopped;text_start.started;text_start.stopped;key_resp.rt;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
1111;m;1111_m_m_h_a.jpg;happy;9;example_30.4ns.avi;neutral;7;incongruent;120.0;170.0;189.5874364012288;;0;0;0;0;;;;;56.96459909999976;1;57.05083520000335;59.217711800010875;59.217711800010875;None;61.07585140000447;None;63.325989800010575;63.64256790000945;64.79239159999997;64.80908460001228;69.11716340002022;None;None;0;69.11716340002022;None;71.2762721000181;None;None;None;[];71.2762721000181;None;8;"['9', '9', '9']";"[1.7276455000101123, 2.1599431000067852, 2.55181210002047]";71.2762721000181;None;;;;;;;;;;;;;;;;;S12007;2023_Feb_08_1734;VideoMask;2021.1.2;120.07771431532557;
1113;f;1113_y_f_s_a.jpg;sad;7;example_30.3ns.avi;neutral;7;incongruent;130.0;170.0;229.02432995836998;;0;1;1;1;;;;;;;;;;;74.28380200001993;None;76.42533900000853;76.74207460001344;77.90038200002164;77.91686960001243;79.87533629999962;None;None;0;79.87533629999962;None;81.42529620000278;None;None;None;[];81.42529620000278;None;3;"['7', '7']";"[0.7311584000126459, 0.9869169000012334]";81.42529620000278;None;;;;;;;;;;;;;;;;;S12007;2023_Feb_08_1734;VideoMask;2021.1.2;120.07771431532557;
9.0;f;019_m_f_h_a.jpg;happy;9.0;sad_115.1.wmv;sad;7.0;incongruent;120.0;160.0;128.09063432376465;h_s;;;;;0;0;0;0;;;;;;;85.45841980000841;None;86.75823470001342;87.07497790001798;88.23329020000529;88.25000430000364;90.20834330000798;None;7;0;90.20834330000798;None;;;;;;;;1;;;;;84.43350130002364;None;1.0115390999999363;91.80804960001842;None;None;None;[];91.80804960001842;None;"['7', '7', '7', '7', '7']";"[0.9801138999755494, 1.2123195999884047, 1.4201691999915056, 1.5962318999809213, 1.7879058999824338]";91.80804960001842;None;;;S12007;2023_Feb_08_1734;VideoMask;2021.1.2;120.07771431532557;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_94.2ns.avi;sad;7.0;congruent;130.0;160.0;182.29120173647655;s_s;;;;;0;1;1;1;;;;;;;94.81645730001037;None;96.53291370000807;96.84962210000958;98.01644560002023;98.03309140002239;100.67462480001268;None;7;0;100.67462480001268;None;;;;;;;;3;;;;;;;1.0254694999894127;102.37441870002658;None;None;None;[];102.37441870002658;None;"['7', '7']";"[0.045522999978857115, 0.5179434999881778]";102.37441870002658;None;;;S12007;2023_Feb_08_1734;VideoMask;2021.1.2;120.07771431532557;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_26.1ns.avi;happy;9.0;congruent;120.0;150.0;155.9437854594882;h_h;;;;;0;2;2;2;;;;;;;105.37431190002826;None;106.88268810001318;107.19944890000625;108.35780340002384;108.37436480002361;110.324325100024;None;9;0;110.324325100024;None;;;;;;;;9;;;;;;;0.9523990999732632;112.1907170000195;None;None;None;[];112.1907170000195;None;"['9', '9', '9', '9']";"[0.5176207000040449, 1.6935281000041869, 2.1178910000016913, 2.397579599986784]";112.1907170000195;None;;;S12007;2023_Feb_08_1734;VideoMask;2021.1.2;120.07771431532557;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_138.1.wmv;sad;7.0;incongruent;120.0;160.0;133.99071306426532;h_s;;;;;0;3;3;3;;;;;;;115.19920490001095;None;116.54899390001083;116.86576120002428;117.99899450002704;118.01580880000256;120.00735200001509;None;7;0;120.00735200001509;None;;;;;;;;2;;;;;;;0.8287903999735136;121.5572828000004;None;None;None;[];121.5572828000004;None;"['7', '7', '7']";"[0.4549756999767851, 0.7111254999763332, 1.6546809999854304]";121.5572828000004;None;;;S12007;2023_Feb_08_1734;VideoMask;2021.1.2;120.07771431532557;
8.0;f;028_y_f_s_a.jpg;sad;7.0;sad_64.2ns.avi;sad;7.0;congruent;130.0;160.0;229.88540597086478;s_s;;;;;0;4;4;4;;;;;;;124.55712240000139;None;126.7152898000204;127.03212730001542;128.19909550002194;128.22385200002464;139.16517469999962;None;7;0;139.16517469999962;None;;;;;;;;1;;;;;;;0.7031152000126895;140.71498490002705;None;None;None;[];140.71498490002705;None;"['7', '7', '7', '7', '7']";"[0.32109219999983907, 0.5290357999911066, 0.9529128999856766, 1.2732986999908462, 1.761195700004464]";140.71498490002705;None;;;S12007;2023_Feb_08_1734;VideoMask;2021.1.2;120.07771431532557;
7.0;m;027_o_m_s_a.jpg;sad;7.0;sad_10.4ns.avi;sad;7.0;congruent;130.0;160.0;185.20129417468752;s_s;;;;;0;5;5;5;;;;;;;143.71502390000387;None;145.4563345000206;145.77316320000682;146.9395820000209;146.95624380002846;150.07306730002165;None;7;0;150.07306730002165;None;;;;;;;;7;;;;;;;0.6832181999925524;151.6230381000205;None;None;None;[];151.6230381000205;None;"['9', '9']";"[0.3652665999834426, 0.6287246999854688]";151.6230381000205;None;;;S12007;2023_Feb_08_1734;VideoMask;2021.1.2;120.07771431532557;
2.0;f;012_o_f_s_a.jpg;sad;7.0;sad_7.5ns.avi;sad;7.0;congruent;130.0;160.0;220.27842655424388;s_s;;;;;0;6;6;6;;;;;;;154.62298700000974;None;156.64754090001225;156.96431990002748;158.1393549000204;158.15611230002833;160.8895259000128;None;7;0;160.8895259000128;None;;;;;;;;3;;;;;;;0.4907344999955967;162.4476095000282;None;None;None;[];162.4476095000282;None;"['7', '7']";"[0.46057789999758825, 0.9247910999984015]";162.4476095000282;None;;;S12007;2023_Feb_08_1734;VideoMask;2021.1.2;120.07771431532557;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_27.1ns.avi;happy;9.0;congruent;120.0;150.0;146.44967055810616;h_h;;;;;0;7;7;7;;;;;;;165.4475730000122;None;166.86400730002788;167.1806652000232;168.33982520000427;168.3645343000244;170.8056870000146;None;9;0;170.8056870000146;None;;;;;;;;9;;;;;;;0.5264239000098314;172.3556457000086;None;None;None;[];172.3556457000086;None;"['9', '9', '9', '9', '9']";"[0.27266980000422336, 0.5125346000131685, 0.712808500014944, 0.9289311000029556, 1.264459199999692]";172.3556457000086;None;;;S12007;2023_Feb_08_1734;VideoMask;2021.1.2;120.07771431532557;
8.0;f;028_y_f_h_a.jpg;happy;9.0;sad_119.1.wmv;sad;7.0;incongruent;120.0;160.0;148.71526953572538;h_s;;;;;0;8;8;8;;;;;;;175.36384740000358;None;176.81368580000708;177.13044420001097;178.2721516000165;178.288729300024;180.3303208000143;None;7;0;180.3303208000143;None;;;;;;;;1;;;;;;;0.6417146000021603;181.8803492000152;None;None;None;[];181.8803492000152;None;"['7', '7', '7', '7']";"[0.28389759999117814, 0.5077965999953449, 0.8994827000133228, 1.123618699988583]";181.8803492000152;None;;;S12007;2023_Feb_08_1734;VideoMask;2021.1.2;120.07771431532557;
6.0;m;016_y_m_s_a.jpg;sad;7.0;happy_60.4ns.avi;happy;9.0;incongruent;130.0;150.0;126.02367393611817;s_h;;;;;0;9;9;9;;;;;;;184.8888646000123;None;186.15506670001196;186.471752500016;187.60551860000123;187.6299954999995;193.39671900001122;None;9;0;193.39671900001122;None;;;;;;;;6;;;;;;;0.48770439997315407;194.9465329000086;None;None;None;[];194.9465329000086;None;['9'];[0.33768950001103804];194.9465329000086;None;;;S12007;2023_Feb_08_1734;VideoMask;2021.1.2;120.07771431532557;
9.0;f;019_m_f_s_a.jpg;sad;7.0;sad_8.4ns.avi;sad;7.0;congruent;130.0;160.0;171.6633093155257;s_s;;;;;0;10;10;10;;;;;;;197.95499390002806;None;199.61295460001566;199.92971870000474;201.09711750000133;201.12141520000296;209.19611080002505;None;7;0;209.19611080002505;None;;;;;;;;1;;;;;;;0.6641637000138871;210.7877425000188;None;None;None;[];210.7877425000188;None;"['7', '7', '7', '7']";"[0.30428670000401326, 0.5122843999997713, 0.7122998000122607, 0.9123441999836359]";210.7877425000188;None;;;S12007;2023_Feb_08_1734;VideoMask;2021.1.2;120.07771431532557;
