primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.rt;slider_resp_response.started;slider_resp_response.stopped;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;key_resp.rt;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
1111;m;1111_m_m_h_a.jpg;happy;9;example_30.4ns.avi;neutral;7;incongruent;120.0;170.0;189.5874364012288;0;0;0;0;;;;;98.81582759995945;1;98.89323329995386;100.89350789994933;100.89350789994933;None;102.91003090003505;None;105.07657160004601;105.41000299993902;106.55145399994217;106.56820109998807;110.86890030000359;None;None;0;110.86890030000359;None;112.58476520003751;None;None;None;[];112.58476520003751;None;7;"['9', '9']";"[0.11749000009149313, 1.7175136001314968]";112.58476520003751;None;;;;;;;;;;;;;;;;;S10718;2021_Jul_02_1553;VideoMask;2021.1.2;119.1872384111576;
1113;f;1113_y_f_s_a.jpg;sad;7;example_30.3ns.avi;neutral;7;incongruent;130.0;170.0;229.02432995836998;0;1;1;1;;;;;;;;;;;114.57624630001374;None;116.70952229993418;117.0261470999103;118.20121619990095;118.21784819988534;120.15960530005395;None;None;0;120.15960530005395;None;121.70924920006655;None;None;None;[];121.70924920006655;None;6;['9'];[0.673029099823907];121.70924920006655;None;;;;;;;;;;;;;;;;;S10718;2021_Jul_02_1553;VideoMask;2021.1.2;119.1872384111576;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_94.2ns.avi;sad;7.0;congruent;130.0;160.0;228.63582583242618;;;;;0;0;0;0;;;;;;;124.74278889992274;None;126.89265620009974;127.20917239994742;128.34231149987318;128.35924370004795;131.03419480007142;None;None;0;131.03419480007142;None;;;;;;;;4;;;;;123.70932370005175;None;132.69224209990352;None;None;None;[];132.69224209990352;None;"['7', '7']";"[0.425915100146085, 1.1940924001391977]";132.69224209990352;None;;;;S10718;2021_Jul_02_1553;VideoMask;2021.1.2;119.1872384111576;
0.0;f;030_o_f_s_a.jpg;sad;7.0;sad_68.1ns.avi;sad;7.0;congruent;130.0;160.0;163.14738846961149;;;;;0;1;1;1;;;;;;;134.692601100076;None;136.32565120002255;136.6422067999374;137.80882909987122;137.82563439989462;145.2004116999451;None;None;0;145.2004116999451;None;;;;;;;;2;;;;;;;146.75098700006492;None;None;None;[];146.75098700006492;None;"['7', '7', '7']";"[0.2713119999971241, 0.7752372999675572, 1.5112641998566687]";146.75098700006492;None;;;;S10718;2021_Jul_02_1553;VideoMask;2021.1.2;119.1872384111576;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_26.1ns.avi;happy;9.0;congruent;140.0;150.0;184.58211837191982;;;;;0;2;2;2;;;;;;;148.75876079988666;None;150.5257359999232;150.8418006999418;151.9834267999977;152.00020190002397;153.96682520001195;None;None;0;153.96682520001195;None;;;;;;;;6;;;;;;;155.6417753000278;None;None;None;[];155.6417753000278;None;['9'];[0.364347199909389];155.6417753000278;None;;;;S10718;2021_Jul_02_1553;VideoMask;2021.1.2;119.1872384111576;
0.0;f;030_o_f_s_a.jpg;sad;7.0;happy_125.3.wmv;happy;9.0;incongruent;130.0;150.0;189.50417957278896;;;;;0;3;3;3;;;;;;;157.6498910000082;None;159.45827890001237;159.77490870002657;160.90862390003167;160.93329559988342;162.90845029987395;None;None;0;162.90845029987395;None;;;;;;;;5;;;;;;;164.4579495000653;None;None;None;[];164.4579495000653;None;None;;164.4579495000653;None;;;;S10718;2021_Jul_02_1553;VideoMask;2021.1.2;119.1872384111576;
1.0;f;021_o_f_s_a.jpg;sad;7.0;sad_9.5ns.avi;sad;7.0;congruent;130.0;160.0;156.55128602613038;;;;;0;4;4;4;;;;;;;166.47471540002152;None;167.99951240001246;168.31629900005646;169.541165899951;169.55787070002407;175.1910989000462;None;None;0;175.1910989000462;None;;;;;;;;4;;;;;;;176.74115899996832;None;None;None;[];176.74115899996832;None;['7'];[0.36106880009174347];176.74115899996832;None;;;;S10718;2021_Jul_02_1553;VideoMask;2021.1.2;119.1872384111576;
4.0;m;004_o_m_s_a.jpg;sad;7.0;happy_28.1ns.avi;happy;9.0;incongruent;130.0;150.0;219.83540383939274;;;;;0;5;5;5;;;;;;;178.74934270000085;None;180.80746329994872;181.12453490006737;182.26567339990288;182.28258150001056;186.6490120999515;None;9;0;186.6490120999515;None;;;;;;;;9;;;;;;;188.19906329992227;None;None;None;[];188.19906329992227;None;"['9', '9', '9', '9']";"[0.3271196000277996, 0.6390914001967758, 0.9750244000460953, 1.2791522000916302]";188.19906329992227;None;0.3651752001605928;;;S10718;2021_Jul_02_1553;VideoMask;2021.1.2;119.1872384111576;
2.0;f;012_o_f_s_a.jpg;sad;7.0;sad_7.5ns.avi;sad;7.0;congruent;130.0;160.0;147.95125229894379;;;;;0;6;6;6;;;;;;;190.1990652999375;None;191.64887119992636;191.9655599000398;193.1322427999694;193.1489041999448;195.89071949990466;None;None;0;195.89071949990466;None;;;;;;;;5;;;;;;;198.08206739998423;None;None;None;[];198.08206739998423;None;None;;198.08206739998423;None;;;;S10718;2021_Jul_02_1553;VideoMask;2021.1.2;119.1872384111576;
2.0;f;012_o_f_s_a.jpg;sad;7.0;happy_52.2ns.avi;happy;9.0;incongruent;130.0;150.0;144.3898903070799;;;;;0;7;7;7;;;;;;;200.0986230999697;None;201.54069459997118;201.85688779992051;203.02366310008802;203.04022479988635;206.54057339997962;None;None;0;206.54057339997962;None;;;;;;;;5;;;;;;;208.32332079997286;None;None;None;[];208.32332079997286;None;None;;208.32332079997286;None;;;;S10718;2021_Jul_02_1553;VideoMask;2021.1.2;119.1872384111576;
