participantID,age,sex,group,condition,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,key_resp.rt,correct
Sub-007,23.0,2.0,1.0,happy_happy,0,0,0,0,14,1,0,0,0,0.5736683090852405,90.9090909090909
Sub-007,23.0,2.0,1.0,happy_sad,0,0,1,6,8,0,0,0,0,0.6880387692251063,92.3076923076923
Sub-007,23.0,2.0,1.0,sad_happy,0,0,0,0,15,0,0,0,0,0.6961081818153616,100.0
Sub-007,23.0,2.0,1.0,sad_sad,0,0,2,3,10,0,0,0,0,0.5944254399975761,100.0
Sub-008,19.0,1.0,1.0,happy_happy,0,0,1,0,3,6,2,3,0,0.8155792142996299,100.0
Sub-008,19.0,1.0,1.0,happy_sad,0,0,5,5,4,0,1,0,0,0.914422171431527,85.71428571428571
Sub-008,19.0,1.0,1.0,sad_happy,0,0,1,2,4,5,3,0,0,0.9368798999930732,91.66666666666666
Sub-008,19.0,1.0,1.0,sad_sad,2,1,3,4,3,1,1,0,0,0.8792796399832393,93.33333333333333
Sub-009,27.0,2.0,1.0,happy_happy,0,0,0,0,4,7,4,0,0,0.6502972999979437,92.3076923076923
Sub-009,27.0,2.0,1.0,happy_sad,0,0,0,4,10,1,0,0,0,0.8914688416674229,58.333333333333336
Sub-009,27.0,2.0,1.0,sad_happy,0,0,0,2,5,5,3,0,0,0.8279676749989449,75.0
Sub-009,27.0,2.0,1.0,sad_sad,0,0,4,3,8,0,0,0,0,0.8975517399987438,50.0
Sub-010,22.0,1.0,2.0,happy_happy,0,0,0,0,0,2,4,5,4,0.5994721866620238,93.33333333333333
Sub-010,22.0,1.0,2.0,happy_sad,0,3,6,6,0,0,0,0,0,0.9562205636360556,100.0
Sub-010,22.0,1.0,2.0,sad_happy,0,0,0,0,1,3,6,5,0,0.7627605250042203,100.0
Sub-010,22.0,1.0,2.0,sad_sad,2,5,5,3,0,0,0,0,0,0.6420439615456137,100.0
Sub-011,18.0,2.0,2.0,happy_happy,0,0,0,0,16,12,0,2,0,0.5418781933394106,46.666666666666664
Sub-011,18.0,2.0,2.0,happy_happy,0,0,0,0,16,12,0,2,0,0.5418781933394106,46.666666666666664
Sub-011,18.0,2.0,2.0,happy_happy,0,0,0,0,16,12,0,2,0,0.5418781933394106,46.666666666666664
Sub-011,18.0,2.0,2.0,happy_happy,0,0,0,0,16,12,0,2,0,0.5418781933394106,46.666666666666664
Sub-011,18.0,2.0,2.0,happy_sad,0,0,0,0,30,0,0,0,0,0.5692355461517133,0.0
Sub-011,18.0,2.0,2.0,happy_sad,0,0,0,0,30,0,0,0,0,0.5692355461517133,0.0
Sub-011,18.0,2.0,2.0,happy_sad,0,0,0,0,30,0,0,0,0,0.5692355461517133,0.0
Sub-011,18.0,2.0,2.0,happy_sad,0,0,0,0,30,0,0,0,0,0.5692355461517133,0.0
Sub-011,18.0,2.0,2.0,sad_happy,0,0,0,0,18,10,2,0,0,0.5878993533338265,46.666666666666664
Sub-011,18.0,2.0,2.0,sad_happy,0,0,0,0,18,10,2,0,0,0.5878993533338265,46.666666666666664
Sub-011,18.0,2.0,2.0,sad_happy,0,0,0,0,18,10,2,0,0,0.5878993533338265,46.666666666666664
Sub-011,18.0,2.0,2.0,sad_happy,0,0,0,0,18,10,2,0,0,0.5878993533338265,46.666666666666664
Sub-011,18.0,2.0,2.0,sad_sad,0,0,0,6,24,0,0,0,0,0.5540013785752568,14.285714285714285
Sub-011,18.0,2.0,2.0,sad_sad,0,0,0,6,24,0,0,0,0,0.5540013785752568,14.285714285714285
Sub-011,18.0,2.0,2.0,sad_sad,0,0,0,6,24,0,0,0,0,0.5540013785752568,14.285714285714285
Sub-011,18.0,2.0,2.0,sad_sad,0,0,0,6,24,0,0,0,0,0.5540013785752568,14.285714285714285
Sub-012,36.0,2.0,1.0,happy_happy,0,0,1,4,2,6,2,0,0,,
Sub-012,36.0,2.0,1.0,happy_sad,0,2,6,5,2,0,0,0,0,,
Sub-012,36.0,2.0,1.0,sad_happy,0,0,0,1,1,6,6,1,0,,
Sub-012,36.0,2.0,1.0,sad_sad,0,1,11,2,1,0,0,0,0,1.010783799982164,100.0
Sub-014,26.0,2.0,2.0,happy_happy,0,0,0,0,5,1,4,5,0,0.5882311110746943,100.0
Sub-014,26.0,2.0,2.0,happy_sad,3,2,4,3,3,0,0,0,0,0.6214353231211694,84.61538461538461
Sub-014,26.0,2.0,2.0,sad_happy,0,0,0,0,6,5,3,0,1,0.696545866680228,77.77777777777779
Sub-014,26.0,2.0,2.0,sad_sad,1,2,1,1,10,0,0,0,0,0.7378319065862645,33.33333333333333
Sub-015,28.0,2.0,2.0,happy_happy,0,0,0,0,0,0,10,3,2,0.49387869996448547,100.0
Sub-015,28.0,2.0,2.0,happy_sad,3,1,8,2,0,0,1,0,0,0.7666031363716518,100.0
Sub-015,28.0,2.0,2.0,sad_happy,0,0,0,0,0,0,9,3,3,0.7273365000395903,100.0
