primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.rt;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.rt;slider_resp_response.started;slider_resp_response.stopped;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
1111;m;1111_m_m_h_a.jpg;happy;9;example_30.4ns.avi;neutral;7;incongruent;120.0;170.0;189.5874364012288;0;0;0;0;;;;;50.97861849999754;1;51.05606049999187;53.05628049999359;53.05628049999359;None;55.081182299996726;None;57.33950129999721;57.66447249999328;58.88926449998689;58.90595969998685;63.13935729999503;None;9;0;0.9261446000018623;63.13935729999503;None;64.71414559999539;None;None;None;[];64.71414559999539;None;6;['9'];[2.2553109000000404];64.71414559999539;None;;;;;;;;;;;;;;;;S10756;2021_Jul_15_1738;VideoMask;2021.1.2;120.8311734680134;
1113;f;1113_y_f_s_a.jpg;sad;7;example_30.3ns.avi;neutral;7;incongruent;130.0;170.0;229.02432995836998;0;1;1;1;;;;;;;;;;;67.69739709999703;None;69.83886489999713;70.15557269999408;71.33064439998998;71.34728539999924;73.28895009998814;None;9;0;1.2729091000073822;73.28895009998814;None;74.83884399999806;None;None;None;[];74.83884399999806;None;6;"['9', '9', '9']";"[0.6427734000026248, 1.0186442000122042, 2.810882500009029]";74.83884399999806;None;;;;;;;;;;;;;;;;S10756;2021_Jul_15_1738;VideoMask;2021.1.2;120.8311734680134;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_94.2ns.avi;sad;7.0;congruent;130.0;160.0;228.63582583242618;;;;;0;0;0;0;;;;;;;78.88876069999242;None;81.02257519999694;81.33876139999484;82.47169939999003;82.48860809998587;85.18085039999278;None;7;0;1.188694900003611;85.18085039999278;None;;;;;;;;3;;;;;77.83884399999806;None;86.74754409999878;None;None;None;[];86.74754409999878;None;"['7', '7']";"[1.8540563999995356, 2.6540812000021106]";86.74754409999878;None;;;S10756;2021_Jul_15_1738;VideoMask;2021.1.2;120.8311734680134;
0.0;f;030_o_f_s_a.jpg;sad;7.0;sad_68.1ns.avi;sad;7.0;congruent;130.0;160.0;163.14738846961149;;;;;0;1;1;1;;;;;;;89.73844999998983;None;91.34674839999934;91.66326239999034;92.80491979999351;92.82145539998601;100.22151599999052;None;None;0;;100.22151599999052;None;;;;;;;;5;;;;;;;101.77147009999317;None;None;None;[];101.77147009999317;None;None;;101.77147009999317;None;;;S10756;2021_Jul_15_1738;VideoMask;2021.1.2;120.8311734680134;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_26.1ns.avi;happy;9.0;congruent;140.0;150.0;184.58211837191982;;;;;0;2;2;2;;;;;;;104.78792619999149;None;106.54603249998763;106.86278389999643;108.05427249999775;108.07099089999974;109.98781999999483;None;None;0;;109.98781999999483;None;;;;;;;;6;;;;;;;111.53754379999009;None;None;None;[];111.53754379999009;None;['9'];[0.08772909999242984];111.53754379999009;None;;;S10756;2021_Jul_15_1738;VideoMask;2021.1.2;120.8311734680134;
0.0;f;030_o_f_s_a.jpg;sad;7.0;happy_125.3.wmv;happy;9.0;incongruent;130.0;150.0;189.50417957278896;;;;;0;3;3;3;;;;;;;114.5461335999862;None;116.34579279999889;116.6625301999884;117.796374499987;117.82095789999585;119.79591089999303;None;None;0;;119.79591089999303;None;;;;;;;;6;;;;;;;121.34558539999125;None;None;None;[];121.34558539999125;None;['9'];[0.6158908000070369];121.34558539999125;None;;;S10756;2021_Jul_15_1738;VideoMask;2021.1.2;120.8311734680134;
1.0;f;021_o_f_s_a.jpg;sad;7.0;sad_9.5ns.avi;sad;7.0;congruent;130.0;160.0;156.55128602613038;;;;;0;4;4;4;;;;;;;124.34579490000033;None;125.87892699999793;126.1954917999974;127.32861609999964;127.34565129999828;133.0536785999866;None;None;0;;133.0536785999866;None;;;;;;;;3;;;;;;;134.60366249999788;None;None;None;[];134.60366249999788;None;"['7', '7', '9']";"[0.5656774000090081, 1.1578720000106841, 2.3019190000050003]";134.60366249999788;None;;;S10756;2021_Jul_15_1738;VideoMask;2021.1.2;120.8311734680134;
4.0;m;004_o_m_s_a.jpg;sad;7.0;happy_28.1ns.avi;happy;9.0;incongruent;130.0;150.0;219.83540383939274;;;;;0;5;5;5;;;;;;;137.61204449999786;None;139.66184259999136;139.9784626999899;141.11990979999246;141.1367990999861;145.5033289999992;None;9;0;0.8981677999981912;145.5033289999992;None;;;;;;;;7;;;;;;;147.05319659999805;None;None;None;[];147.05319659999805;None;"['9', '9']";"[0.46821900000213645, 0.7961456000048202]";147.05319659999805;None;;;S10756;2021_Jul_15_1738;VideoMask;2021.1.2;120.8311734680134;
2.0;f;012_o_f_s_a.jpg;sad;7.0;sad_7.5ns.avi;sad;7.0;congruent;130.0;160.0;147.95125229894379;;;;;0;6;6;6;;;;;;;150.05322769998747;None;151.47803159999603;151.7946995999955;152.96975259999454;152.98625199998787;155.71987159999844;None;7;0;1.0735224999953061;155.71987159999844;None;;;;;;;;4;;;;;;;157.27801889998955;None;None;None;[];157.27801889998955;None;"['7', '7']";"[0.8354437999951188, 1.5557098999997834]";157.27801889998955;None;;;S10756;2021_Jul_15_1738;VideoMask;2021.1.2;120.8311734680134;
2.0;f;012_o_f_s_a.jpg;sad;7.0;happy_52.2ns.avi;happy;9.0;incongruent;130.0;150.0;144.3898903070799;;;;;0;7;7;7;;;;;;;160.2778973999957;None;161.69442969998636;162.01115859999845;163.21951479998825;163.23612379998667;166.69438229998923;None;9;0;0.8909597000019858;166.69438229998923;None;;;;;;;;7;;;;;;;168.24432839998917;None;None;None;[];168.24432839998917;None;"['9', '9']";"[0.772976699998253, 2.629201000003377]";168.24432839998917;None;;;S10756;2021_Jul_15_1738;VideoMask;2021.1.2;120.8311734680134;
