primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.started;slider_resp_response.stopped;text_start.started;text_start.stopped;key_resp.rt;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
1111;m;1111_m_m_h_a.jpg;happy;9;example_30.4ns.avi;neutral;7;incongruent;120.0;170.0;189.5874364012288;0;0;0;0;;;;;74.15751599997748;1;74.23489229998086;76.23511760000838;76.23511760000838;None;78.25221249996684;None;80.45141520001926;80.7766236999887;81.90149359998759;81.91823870001826;86.25965630001156;None;None;0;86.25965630001156;None;87.80968020000728;None;None;None;[];87.80968020000728;None;5;None;87.80968020000728;None;;;;;;;;;;;;;;;;;S10775;2021_Jul_26_1439;VideoMask;2021.1.2;120.0230924232041;
1113;f;1113_y_f_s_a.jpg;sad;7;example_30.3ns.avi;neutral;7;incongruent;130.0;170.0;229.02432995836998;0;1;1;1;;;;;;;;;;;90.84298529999796;None;92.95126020000316;93.26786939997692;94.41785919998074;94.43450929998653;96.40148890001001;None;None;0;96.40148890001001;None;97.95146000001114;None;None;None;[];97.95146000001114;None;5;None;97.95146000001114;None;;;;;;;;;;;;;;;;;S10775;2021_Jul_26_1439;VideoMask;2021.1.2;120.0230924232041;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_94.2ns.avi;sad;7.0;congruent;130.0;160.0;228.63582583242618;;;;;0;0;0;0;;;;;;;101.98434249998536;None;104.10076719999779;104.41751349996775;105.60897240001941;105.62569119996624;108.2425615999964;None;7;0;108.2425615999964;None;;;;;;;;3;;;;100.97662400000263;None;1.010783799982164;109.80083439999726;None;None;None;[];109.80083439999726;None;"['7', '7']";"[0.49263629998313263, 1.5167501000105403]";109.80083439999726;None;;;S10775;2021_Jul_26_1439;VideoMask;2021.1.2;120.0230924232041;
0.0;f;030_o_f_s_a.jpg;sad;7.0;sad_68.1ns.avi;sad;7.0;congruent;130.0;160.0;163.14738846961149;;;;;0;1;1;1;;;;;;;112.80086710001342;None;114.37544969998999;114.69220429996494;115.85882349999156;115.87561930000084;123.25030249997508;None;None;0;123.25030249997508;None;;;;;;;;3;;;;;;;124.80037259997334;None;None;None;[];124.80037259997334;None;"['7', '7']";"[0.36499560001539066, 0.7169616000028327]";124.80037259997334;None;;;S10775;2021_Jul_26_1439;VideoMask;2021.1.2;120.0230924232041;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_26.1ns.avi;happy;9.0;congruent;140.0;150.0;184.58211837191982;;;;;0;2;2;2;;;;;;;127.80863039998803;None;129.5333620000165;129.85042659996543;131.00016489997506;131.0167972999625;132.97506249998696;None;None;0;132.97506249998696;None;;;;;;;;5;;;;;;;134.52489170001354;None;None;None;[];134.52489170001354;None;None;;134.52489170001354;None;;;S10775;2021_Jul_26_1439;VideoMask;2021.1.2;120.0230924232041;
0.0;f;030_o_f_s_a.jpg;sad;7.0;happy_125.3.wmv;happy;9.0;incongruent;130.0;150.0;189.50417957278896;;;;;0;3;3;3;;;;;;;137.5589472000138;None;139.36643449997064;139.68319909996353;140.8165808999911;140.83307359996252;142.81647099996917;None;None;0;142.81647099996917;None;;;;;;;;7;;;;;;;144.36686429998372;None;None;None;[];144.36686429998372;None;"['9', '9']";"[1.2307085000211373, 2.078329299984034]";144.36686429998372;None;;;S10775;2021_Jul_26_1439;VideoMask;2021.1.2;120.0230924232041;
1.0;f;021_o_f_s_a.jpg;sad;7.0;sad_9.5ns.avi;sad;7.0;congruent;130.0;160.0;156.55128602613038;;;;;0;4;4;4;;;;;;;147.3663319000043;None;148.87450649996754;149.19133750000037;150.3995252000168;150.41623929998605;156.04943909996655;None;None;0;156.04943909996655;None;;;;;;;;3;;;;;;;157.59958229999756;None;None;None;[];157.59958229999756;None;"['7', '7']";"[0.6777115999720991, 2.1497132999938913]";157.59958229999756;None;;;S10775;2021_Jul_26_1439;VideoMask;2021.1.2;120.0230924232041;
4.0;m;004_o_m_s_a.jpg;sad;7.0;happy_28.1ns.avi;happy;9.0;incongruent;130.0;150.0;219.83540383939274;;;;;0;5;5;5;;;;;;;160.59934169996995;None;162.63246019999497;162.94914719997905;164.09130550001282;164.1159155999776;168.4741591999773;None;None;0;168.4741591999773;None;;;;;;;;8;;;;;;;170.02438139996957;None;None;None;[];170.02438139996957;None;"['9', '9', '9']";"[0.2768445000401698, 0.5811702000210062, 0.8929704999900423]";170.02438139996957;None;;;S10775;2021_Jul_26_1439;VideoMask;2021.1.2;120.0230924232041;
2.0;f;012_o_f_s_a.jpg;sad;7.0;sad_7.5ns.avi;sad;7.0;congruent;130.0;160.0;147.95125229894379;;;;;0;6;6;6;;;;;;;173.02419419999933;None;174.44877259997884;174.76549449999584;175.92369839997264;175.9403645999846;178.69075919996249;None;None;0;178.69075919996249;None;;;;;;;;3;;;;;;;180.40698129998054;None;None;None;[];180.40698129998054;None;"['7', '7', '7', '7']";"[0.014397700026165694, 0.30245560000184923, 0.6703931000083685, 1.0304061999777332]";180.40698129998054;None;;;S10775;2021_Jul_26_1439;VideoMask;2021.1.2;120.0230924232041;
2.0;f;012_o_f_s_a.jpg;sad;7.0;happy_52.2ns.avi;happy;9.0;incongruent;130.0;150.0;144.3898903070799;;;;;0;7;7;7;;;;;;;183.4154252000153;None;184.81517939997138;185.13183329999447;186.30686349997995;186.3236322000157;189.8153230000171;None;None;0;189.8153230000171;None;;;;;;;;4;;;;;;;191.35660970001481;None;None;None;[];191.35660970001481;None;['7'];[1.6810148999793455];191.35660970001481;None;;;S10775;2021_Jul_26_1439;VideoMask;2021.1.2;120.0230924232041;
0.0;f;040_y_f_s_a.jpg;sad;7.0;sad_67.2ns.avi;sad;7.0;congruent;130.0;160.0;192.80086779892653;;;;;0;8;8;8;;;;;;;194.37336339999456;None;196.19822799996473;196.51508199999807;197.71498069999507;197.73162699997192;206.8731439000112;None;None;0;206.8731439000112;None;;;;;;;;5;;;;;;;208.42367889999878;None;None;None;[];208.42367889999878;None;None;;208.42367889999878;None;;;S10775;2021_Jul_26_1439;VideoMask;2021.1.2;120.0230924232041;
3.0;m;013_y_m_s_a.jpg;sad;7.0;happy_56.2ns.avi;happy;9.0;incongruent;130.0;150.0;134.62621969351147;;;;;0;9;9;9;;;;;;;211.43957849999424;None;212.76438110001618;213.08102599997073;214.3061635000049;214.32278330001282;219.23930020001717;None;None;0;219.23930020001717;None;;;;;;;;6;;;;;;;220.78923699998995;None;None;None;[];220.78923699998995;None;['9'];[0.3202975000021979];220.78923699998995;None;;;S10775;2021_Jul_26_1439;VideoMask;2021.1.2;120.0230924232041;
0.0;f;030_o_f_h_a.jpg;happy;9.0;sad_133.1.wmv;sad;7.0;incongruent;120.0;160.0;238.4103736452693;;;;;0;10;10;10;;;;;;;223.78939970000647;None;225.99737280001864;226.31409539998276;227.4555445999722;227.47249580000062;229.44745540001895;None;None;0;229.44745540001895;None;;;;;;;;4;;;;;;;230.9971544999862;None;None;None;[];230.9971544999862;None;['7'];[1.648173100023996];230.9971544999862;None;;;S10775;2021_Jul_26_1439;VideoMask;2021.1.2;120.0230924232041;
