primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.rt;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.rt;slider_resp_response.started;slider_resp_response.stopped;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
1111;m;1111_m_m_h_a.jpg;happy;9;example_30.4ns.avi;neutral;7;incongruent;120.0;170.0;189.5874364012288;;0;0;0;0;;;;;29.263572600029875;1;29.34104520000983;31.34129050001502;31.34129050001502;None;33.3577339000185;None;35.34135060000699;35.657735500019044;36.85761619999539;36.87430140003562;41.13266459997976;None;8;0;1.0346862000296824;41.13266459997976;None;42.69131949997973;None;None;None;[];42.69131949997973;None;7;"['9', '9']";"[1.4042455999879166, 2.9481472999905236]";42.69131949997973;None;;;;;;;;;;;;;;;;S10828;2021_Aug_16_1738;VideoMask;2021.1.2;120.07944455036477;
1113;f;1113_y_f_s_a.jpg;sad;7;example_30.3ns.avi;neutral;7;incongruent;130.0;170.0;229.02432995836998;;0;1;1;1;;;;;;;;;;;45.69060329999775;None;47.807195400004275;48.12389909999911;49.33231760002673;49.349014099978376;51.26563290000195;None;None;0;;51.26563290000195;None;52.815513300010934;None;None;None;[];52.815513300010934;None;6;"['9', '9', '7']";"[0.03179380000801757, 0.6237947000190616, 2.2481441000127234]";52.815513300010934;None;;;;;;;;;;;;;;;;S10828;2021_Aug_16_1738;VideoMask;2021.1.2;120.07944455036477;
9.0;f;019_m_f_h_a.jpg;happy;9.0;sad_115.1.wmv;sad;7.0;incongruent;120.0;160.0;128.09063432376465;h_s;;;;;0;0;0;0;;;;;;;56.84038030001102;None;58.123493599996436;58.44080240000039;59.57343970000511;59.59026929998072;61.59032489999663;None;7;0;0.7052267999970354;61.59032489999663;None;;;;;;;;2;;;;;55.81532170000719;None;63.15691920003155;None;None;None;[];63.15691920003155;None;"['7', '7', '7']";"[0.07465699996100739, 0.4345678999670781, 2.2906739999889396]";63.15691920003155;None;;;S10828;2021_Aug_16_1738;VideoMask;2021.1.2;120.07944455036477;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_94.2ns.avi;sad;7.0;congruent;130.0;160.0;182.29120173647655;s_s;;;;;0;1;1;1;;;;;;;66.14843870000914;None;67.86478699999861;68.18160499999067;69.30667050002376;69.32328930002404;72.0066044999985;None;None;0;;72.0066044999985;None;;;;;;;;3;;;;;;;73.56516190001275;None;None;None;[];73.56516190001275;None;"['7', '7']";"[0.3783402999979444, 2.7065052000107244]";73.56516190001275;None;;;S10828;2021_Aug_16_1738;VideoMask;2021.1.2;120.07944455036477;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_26.1ns.avi;happy;9.0;congruent;120.0;150.0;155.9437854594882;h_h;;;;;0;2;2;2;;;;;;;76.56475520000095;None;78.05617809999967;78.37306429998716;79.57302720000735;79.58997480000835;81.49795769999037;None;None;0;;81.49795769999037;None;;;;;;;;6;;;;;;;83.04786410002271;None;None;None;[];83.04786410002271;None;['9'];[0.4157769999583252];83.04786410002271;None;;;S10828;2021_Aug_16_1738;VideoMask;2021.1.2;120.07944455036477;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_138.1.wmv;sad;7.0;incongruent;120.0;160.0;133.99071306426532;h_s;;;;;0;3;3;3;;;;;;;86.05613520002225;None;87.38927769998554;87.70598969998537;88.83109849999892;88.84763470001053;90.83935120003298;None;None;0;;90.83935120003298;None;;;;;;;;5;;;;;;;92.38927220000187;None;None;None;[];92.38927220000187;None;None;;92.38927220000187;None;;;S10828;2021_Aug_16_1738;VideoMask;2021.1.2;120.07944455036477;
8.0;f;028_y_f_s_a.jpg;sad;7.0;sad_64.2ns.avi;sad;7.0;congruent;130.0;160.0;229.88540597086478;s_s;;;;;0;4;4;4;;;;;;;95.40570629999274;None;97.63078940002015;97.94732129998738;99.13050329999533;99.14708860003157;110.08031049999408;None;None;0;;110.08031049999408;None;;;;;;;;4;;;;;;;111.63012109999545;None;None;None;[];111.63012109999545;None;['7'];[0.39356739999493584];111.63012109999545;None;;;S10828;2021_Aug_16_1738;VideoMask;2021.1.2;120.07944455036477;
7.0;m;027_o_m_s_a.jpg;sad;7.0;sad_10.4ns.avi;sad;7.0;congruent;130.0;160.0;185.20129417468752;s_s;;;;;0;5;5;5;;;;;;;114.63860649999697;None;116.43015070003457;116.74675960000604;117.92176950001158;117.93841420003446;121.04675320000388;None;None;0;;121.04675320000388;None;;;;;;;;5;;;;;;;122.58815299998969;None;None;None;[];122.58815299998969;None;None;;122.58815299998969;None;;;S10828;2021_Aug_16_1738;VideoMask;2021.1.2;120.07944455036477;
2.0;f;012_o_f_s_a.jpg;sad;7.0;sad_7.5ns.avi;sad;7.0;congruent;130.0;160.0;220.27842655424388;s_s;;;;;0;6;6;6;;;;;;;125.62968060001731;None;127.66290350002237;127.97968330001459;129.1551758000278;129.1797161999857;131.9049918000237;None;None;0;;131.9049918000237;None;;;;;;;;3;;;;;;;133.6467273000162;None;None;None;[];133.6467273000162;None;"['7', '7', '7', '7']";"[0.38463350001256913, 0.6646907000103965, 1.0407113999826834, 1.7764765999745578]";133.6467273000162;None;;;S10828;2021_Aug_16_1738;VideoMask;2021.1.2;120.07944455036477;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_27.1ns.avi;happy;9.0;congruent;120.0;150.0;146.44967055810616;h_h;;;;;0;7;7;7;;;;;;;136.65468740003416;None;138.09590409998782;138.4127778999973;139.58778340002755;139.60445149999578;142.03781280003022;None;None;0;;142.03781280003022;None;;;;;;;;6;;;;;;;143.58746740000788;None;None;None;[];143.58746740000788;None;"['9', '7']";"[2.2841719000134617, 2.6437163000227883]";143.58746740000788;None;;;S10828;2021_Aug_16_1738;VideoMask;2021.1.2;120.07944455036477;
