primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.rt;slider_resp_response.started;slider_resp_response.stopped;key_resp.rt;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.started;slider_resp_study.stopped;slider_resp_study.rt;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
1111;m;1111_m_m_h_a.jpg;happy;9;example_30.4ns.avi;neutral;7;incongruent;120.0;170.0;189.5874364012288;;0;0;0;0;;;;;74.95820540003479;1;75.03554149996489;77.03575940011069;77.03575940011069;None;79.06061709998176;None;81.04444329999387;81.36035380000249;82.50247099995613;82.52776740002446;86.8356872999575;None;None;0;86.8356872999575;None;88.38518540002406;None;None;None;[];88.38518540002406;None;6;['9'];[2.3529900000430644];88.38518540002406;None;;;;;;;;;;;;;;;;;S10847;2021_Aug_26_1236;VideoMask;2021.1.2;119.97211832326438;
1113;f;1113_y_f_s_a.jpg;sad;7;example_30.3ns.avi;neutral;7;incongruent;130.0;170.0;229.02432995836998;;0;1;1;1;;;;;;;;;;;91.38529970007949;None;93.51000429992564;93.82675130013376;94.95181980007328;94.96840519993566;96.96018059994094;None;8;0;96.96018059994094;None;98.50998899992555;None;None;None;[];98.50998899992555;None;5;None;;98.50998899992555;None;0.786082600010559;;;;;;;;;;;;;;;;S10847;2021_Aug_26_1236;VideoMask;2021.1.2;119.97211832326438;
9.0;f;019_m_f_h_a.jpg;happy;9.0;sad_115.1.wmv;sad;7.0;incongruent;120.0;160.0;128.09063432376465;h_s;;;;;0;0;0;0;;;;;;;102.54323760000989;None;103.82631970010698;104.14319139998406;105.27626479999162;105.29289859998971;107.27675700001419;None;None;0;107.27675700001419;None;;;;;;;;5;;;;;;101.54305170010775;None;108.82612040010281;None;None;None;[];108.82612040010281;None;None;108.82612040010281;None;;;;S10847;2021_Aug_26_1236;VideoMask;2021.1.2;119.97211832326438;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_94.2ns.avi;sad;7.0;congruent;130.0;160.0;182.29120173647655;s_s;;;;;0;1;1;1;;;;;;;111.85129670007154;None;113.57600719993934;113.8927080000285;115.02607599995099;115.04286739998497;117.7178839999251;None;7;0;117.7178839999251;None;;;;;;;;4;;;;;1.1323200000915676;;;119.26769810006954;None;None;None;[];119.26769810006954;None;['7'];119.26769810006954;None;[1.8145634999964386];;;S10847;2021_Aug_26_1236;VideoMask;2021.1.2;119.97211832326438;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_26.1ns.avi;happy;9.0;congruent;120.0;150.0;155.9437854594882;h_h;;;;;0;2;2;2;;;;;;;122.2760280999355;None;123.76738879992627;124.08411019993946;125.2175314000342;125.23413460003212;127.20890980004333;None;9;0;127.20890980004333;None;;;;;;;;6;;;;;0.6490409001708031;;;128.75882120011374;None;None;None;[];128.75882120011374;None;['9'];128.75882120011374;None;[0.7790932999923825];;;S10847;2021_Aug_26_1236;VideoMask;2021.1.2;119.97211832326438;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_138.1.wmv;sad;7.0;incongruent;120.0;160.0;133.99071306426532;h_s;;;;;0;3;3;3;;;;;;;131.7588464000728;None;133.09211289999075;133.40889690001495;134.53391709993593;134.55045210011303;136.54207159997895;None;None;0;136.54207159997895;None;;;;;;;;5;;;;;;;;138.0920696000103;None;None;None;[];138.0920696000103;None;None;138.0920696000103;None;;;;S10847;2021_Aug_26_1236;VideoMask;2021.1.2;119.97211832326438;
8.0;f;028_y_f_s_a.jpg;sad;7.0;sad_64.2ns.avi;sad;7.0;congruent;130.0;160.0;229.88540597086478;s_s;;;;;0;4;4;4;;;;;;;141.10840780008584;None;143.2585831999313;143.57512799999677;144.70849970006384;144.72507339995354;155.70843779994175;None;7;0;155.70843779994175;None;;;;;;;;3;;;;;0.5976630998775363;;;157.2581295000855;None;None;None;[];157.2581295000855;None;"['7', '7']";157.2581295000855;None;"[0.4640538999810815, 0.9996917000971735]";;;S10847;2021_Aug_26_1236;VideoMask;2021.1.2;119.97211832326438;
7.0;m;027_o_m_s_a.jpg;sad;7.0;sad_10.4ns.avi;sad;7.0;congruent;130.0;160.0;185.20129417468752;s_s;;;;;0;5;5;5;;;;;;;160.26648460002616;None;162.29137829993851;162.60790350008756;163.7580675999634;163.77525290008634;166.90794790000655;None;7;0;166.90794790000655;None;;;;;;;;3;;;;;0.5101801001001149;;;168.45781549997628;None;None;None;[];168.45781549997628;None;"['7', '7']";168.45781549997628;None;"[0.5041066000703722, 0.8883976000361145]";;;S10847;2021_Aug_26_1236;VideoMask;2021.1.2;119.97211832326438;
2.0;f;012_o_f_s_a.jpg;sad;7.0;sad_7.5ns.avi;sad;7.0;congruent;130.0;160.0;220.27842655424388;s_s;;;;;0;6;6;6;;;;;;;171.45762609993108;None;173.49085599998944;173.80767909996212;174.957519199932;174.97425410011783;177.73271299991757;None;7;0;177.73271299991757;None;;;;;;;;5;;;;;0.6214137000497431;;;179.29078650008887;None;None;None;[];179.29078650008887;None;None;179.29078650008887;None;;;;S10847;2021_Aug_26_1236;VideoMask;2021.1.2;119.97211832326438;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_27.1ns.avi;happy;9.0;congruent;120.0;150.0;146.44967055810616;h_h;;;;;0;7;7;7;;;;;;;182.3240533999633;None;183.73217420000583;184.0489855001215;185.2319255999755;185.24902489990927;187.67392199998721;None;9;0;187.67392199998721;None;;;;;;;;6;;;;;0.4560285999905318;;;189.22383069992065;None;None;None;[];189.22383069992065;None;['9'];189.22383069992065;None;[0.36232220008969307];;;S10847;2021_Aug_26_1236;VideoMask;2021.1.2;119.97211832326438;
8.0;f;028_y_f_h_a.jpg;happy;9.0;sad_119.1.wmv;sad;7.0;incongruent;120.0;160.0;148.71526953572538;h_s;;;;;0;8;8;8;;;;;;;192.2320580999367;None;193.69022860005498;194.00715030007996;195.14037270005792;195.15703319991007;197.20694760000333;None;7;0;197.20694760000333;None;;;;;;;;4;;;;;0.5471606999635696;;;198.75687170005403;None;None;None;[];198.75687170005403;None;['7'];198.75687170005403;None;[1.701535200001672];;;S10847;2021_Aug_26_1236;VideoMask;2021.1.2;119.97211832326438;
6.0;m;016_y_m_s_a.jpg;sad;7.0;happy_60.4ns.avi;happy;9.0;incongruent;130.0;150.0;126.02367393611817;s_h;;;;;0;9;9;9;;;;;;;201.75691150012426;None;203.02331830002367;203.34006120008416;204.540025500115;204.55671350006014;210.2648567999713;None;9;0;210.2648567999713;None;;;;;;;;6;;;;;0.47316709998995066;;;211.81475159991533;None;None;None;[];211.81475159991533;None;['9'];211.81475159991533;None;[0.3392451999243349];;;S10847;2021_Aug_26_1236;VideoMask;2021.1.2;119.97211832326438;
9.0;f;019_m_f_s_a.jpg;sad;7.0;sad_8.4ns.avi;sad;7.0;congruent;130.0;160.0;171.6633093155257;s_s;;;;;0;10;10;10;;;;;;;214.82307790010236;None;216.4895391999744;216.80628299992532;217.94831910007633;217.97292260010727;226.07282379991375;None;7;0;226.07282379991375;None;;;;;;;;3;;;;;0.6012275000102818;;;227.6225543001201;None;None;None;[];227.6225543001201;None;"['7', '7']";227.6225543001201;None;"[0.9394735000096262, 1.9637076000217348]";;;S10847;2021_Aug_26_1236;VideoMask;2021.1.2;119.97211832326438;
4.0;m;004_o_m_h_a.jpg;happy;9.0;happy_1.1ns.avi;happy;9.0;congruent;120.0;150.0;203.50057144619865;h_h;;;;;0;11;11;11;;;;;;;230.63089710008353;None;232.58891679998487;232.90568999992684;234.09738970012404;234.114048599964;248.53098729997873;None;8;0;248.53098729997873;None;;;;;;;;5;;;;;2.1513555001001805;;;251.11357349995524;None;None;None;[];251.11357349995524;None;None;251.11357349995524;None;;;;S10847;2021_Aug_26_1236;VideoMask;2021.1.2;119.97211832326438;
7.0;m;027_o_m_h_a.jpg;happy;9.0;happy_20.1ns.avi;happy;9.0;congruent;120.0;150.0;152.91127178874285;h_h;;;;;0;12;12;12;;;;;;;254.14682479994372;None;255.62995290011168;255.9465684001334;257.0966652999632;257.1133916999679;260.0967204000335;None;8;0;260.0967204000335;None;;;;;;;;5;;;;;1.5293960999697447;;;261.9965761001222;None;None;None;[];261.9965761001222;None;None;261.9965761001222;None;;;;S10847;2021_Aug_26_1236;VideoMask;2021.1.2;119.97211832326438;
0.0;f;040_y_f_s_a.jpg;sad;7.0;sad_94.3ns.avi;sad;7.0;congruent;130.0;160.0;155.27414203894395;s_s;;;;;0;13;13;13;;;;;;;265.02985900011845;None;266.52951980009675;266.8464379000943;268.0212278000545;268.04614059999585;270.6045655000489;None;7;0;270.6045655000489;None;;;;;;;;4;;;;;0.5814227000810206;;;272.2879129999783;None;None;None;[];272.2879129999783;None;"['7', '7']";272.2879129999783;None;"[1.4100250001065433, 2.8664998000022024]";;;S10847;2021_Aug_26_1236;VideoMask;2021.1.2;119.97211832326438;
0.0;f;030_o_f_s_a.jpg;sad;7.0;sad_68.1ns.avi;sad;7.0;congruent;130.0;160.0;158.9411396037211;s_s;;;;;0;14;14;14;;;;;;;275.28782720002346;None;276.83822269993834;277.15437559993006;278.3547934999224;278.3793560001068;285.71253990009427;None;7;0;285.71253990009427;None;;;;;;;;3;;;;;0.7055594001431018;;;287.26243020012043;None;None;None;[];287.26243020012043;None;"['7', '7', '7']";287.26243020012043;None;"[0.42731459997594357, 0.8754216998349875, 2.0113832999486476]";;;S10847;2021_Aug_26_1236;VideoMask;2021.1.2;119.97211832326438;
0.0;f;030_o_f_h_a.jpg;happy;9.0;sad_127.1.wmv;sad;7.0;incongruent;120.0;160.0;180.59976631384873;h_s;;;;;0;15;15;15;;;;;;;290.2624377000611;None;291.97881560004316;292.29558070003986;293.4206101000309;293.4371994000394;295.42889069998637;None;None;0;295.42889069998637;None;;;;;;;;5;;;;;;;;296.9788981999736;None;None;None;[];296.9788981999736;None;None;296.9788981999736;None;;;;S10847;2021_Aug_26_1236;VideoMask;2021.1.2;119.97211832326438;
8.0;m;008_y_m_s_a.jpg;sad;7.0;happy_133.3.wmv;happy;9.0;incongruent;130.0;150.0;152.577966552593;s_h;;;;;0;16;16;16;;;;;;;300.0035453001037;None;301.4951796999667;301.81193590001203;302.9371412000619;302.95352460001595;304.9452615000773;None;9;0;304.9452615000773;None;;;;;;;;6;;;;;0.4408227999228984;;;306.48668839992024;None;None;None;[];306.48668839992024;None;['9'];306.48668839992024;None;[1.0831406000070274];;;S10847;2021_Aug_26_1236;VideoMask;2021.1.2;119.97211832326438;
3.0;m;033_o_m_h_a.jpg;happy;9.0;sad_128.1.wmv;sad;7.0;incongruent;120.0;160.0;171.0492454518585;h_s;;;;;0;17;17;17;;;;;;;309.48676600004546;None;311.128202999942;311.4449426999781;312.57805870007724;312.59495820011944;314.5782497001346;None;7;0;314.5782497001346;None;;;;;;;;2;;;;;0.4873820999637246;;;316.1282186000608;None;None;None;[];316.1282186000608;None;"['7', '7', '7']";316.1282186000608;None;"[0.3777630999684334, 0.7933175000362098, 1.2574920000042766]";;;S10847;2021_Aug_26_1236;VideoMask;2021.1.2;119.97211832326438;
1.0;f;021_o_f_h_a.jpg;happy;9.0;sad_116.1.wmv;sad;7.0;incongruent;120.0;160.0;184.06847610053055;h_s;;;;;0;18;18;18;;;;;;;319.1281208000146;None;320.88624000013806;321.20294230012223;322.33638270013034;322.3530574000906;324.33637039992027;None;7;0;324.33637039992027;None;;;;;;;;4;;;;;0.6975334000308067;;;326.2695418000221;None;None;None;[];326.2695418000221;None;"['7', '7', '7']";326.2695418000221;None;"[0.4523108000867069, 0.924218500033021, 1.6442086000461131]";;;S10847;2021_Aug_26_1236;VideoMask;2021.1.2;119.97211832326438;
4.0;m;004_o_m_s_a.jpg;sad;7.0;happy_28.1ns.avi;happy;9.0;incongruent;130.0;150.0;157.40741103039684;s_h;;;;;0;19;19;19;;;;;;;329.26951509993523;None;330.79428709996864;331.110946000088;332.2609701999463;332.2775125000626;336.63593340013176;None;9;0;336.63593340013176;None;;;;;;;;5;;;;;1.0060664000920951;;;338.18576869997196;None;None;None;[];338.18576869997196;None;None;338.18576869997196;None;;;;S10847;2021_Aug_26_1236;VideoMask;2021.1.2;119.97211832326438;
8.0;f;028_y_f_s_a.jpg;sad;7.0;happy_122.3.wmv;happy;9.0;incongruent;130.0;150.0;171.8670540936116;s_h;;;;;0;20;20;20;;;;;;;341.21061920002103;None;342.8605639000889;343.1772583001293;344.31060030008666;344.3272539000027;346.31094190012664;None;9;0;346.31094190012664;None;;;;;;;;6;;;;;0.41083869989961386;;;347.8521925001405;None;None;None;[];347.8521925001405;None;['9'];347.8521925001405;None;[1.2294094001408666];;;S10847;2021_Aug_26_1236;VideoMask;2021.1.2;119.97211832326438;
8.0;m;008_y_m_s_a.jpg;sad;7.0;sad_6.5ns.avi;sad;7.0;congruent;130.0;160.0;170.39333839271438;s_s;;;;;0;21;21;21;;;;;;;350.86051269993186;None;352.49372419994324;352.8102569999173;354.0186103999149;354.03539730003104;358.94366089999676;None;7;0;358.94366089999676;None;;;;;;;;4;;;;;0.6980452998541296;;;360.4934714001138;None;None;None;[];360.4934714001138;None;['7'];360.4934714001138;None;[0.7644632998853922];;;S10847;2021_Aug_26_1236;VideoMask;2021.1.2;119.97211832326438;
8.0;f;028_y_f_h_a.jpg;happy;9.0;happy_23.1ns.avi;happy;9.0;congruent;120.0;150.0;225.70986890587952;h_h;;;;;0;22;22;22;;;;;;;363.4934970000759;None;365.5765349001158;365.8932710001245;367.05138650001027;367.06828480004333;371.60154590010643;None;9;0;371.60154590010643;None;;;;;;;;5;;;;;0.5121957000810653;;;373.3346488000825;None;None;None;[];373.3346488000825;None;None;373.3346488000825;None;;;;S10847;2021_Aug_26_1236;VideoMask;2021.1.2;119.97211832326438;
8.0;m;008_y_m_h_a.jpg;happy;9.0;sad_111.1.wmv;sad;7.0;incongruent;120.0;160.0;152.63076835312847;h_s;;;;;0;23;23;23;;;;;;;376.3679844001308;None;377.84275970002636;378.15956960013136;379.3009528000839;379.317862899974;381.30123650003225;None;7;0;381.30123650003225;None;;;;;;;;4;;;;;0.5563759000506252;;;383.28437889995985;None;None;None;[];383.28437889995985;None;['7'];383.28437889995985;None;[1.1493079999927431];;;S10847;2021_Aug_26_1236;VideoMask;2021.1.2;119.97211832326438;
0.0;f;040_y_f_s_a.jpg;sad;7.0;sad_67.2ns.avi;sad;7.0;congruent;130.0;160.0;220.9892697323079;s_s;;;;;0;24;24;24;;;;;;;386.2843667000998;None;388.367780999979;388.6841583000496;389.88422759994864;389.9008788000792;399.0424760999158;None;7;0;399.0424760999158;None;;;;;;;;3;;;;;0.43939509987831116;;;400.59222290012985;None;None;None;[];400.59222290012985;None;"['7', '7', '7']";400.59222290012985;None;"[0.3612613999284804, 1.0736302000004798, 2.0733624999411404]";;;S10847;2021_Aug_26_1236;VideoMask;2021.1.2;119.97211832326438;
8.0;m;008_y_m_s_a.jpg;sad;7.0;happy_29.1ns.avi;happy;9.0;incongruent;130.0;150.0;120.0316142834122;s_h;;;;;0;25;25;25;;;;;;;403.6005722999107;None;404.8086449999828;405.1252000001259;406.28367909998633;406.30037420010194;408.950326600112;None;8;0;408.950326600112;None;;;;;;;;5;;;;;0.4672189000993967;;;410.50025049992837;None;None;None;[];410.50025049992837;None;None;410.50025049992837;None;;;;S10847;2021_Aug_26_1236;VideoMask;2021.1.2;119.97211832326438;
6.0;m;016_y_m_s_a.jpg;sad;7.0;sad_8.3ns.avi;sad;7.0;congruent;130.0;160.0;152.85371098242734;s_s;;;;;0;26;26;26;;;;;;;413.5252261001151;None;415.01663880003616;415.3333934000693;416.46645290008746;416.4833877000492;424.22477740002796;None;7;0;424.22477740002796;None;;;;;;;;5;;;;;1.1608331999741495;;;425.8330020001158;None;None;None;[];425.8330020001158;None;None;425.8330020001158;None;;;;S10847;2021_Aug_26_1236;VideoMask;2021.1.2;119.97211832326438;
6.0;m;016_y_m_h_a.jpg;happy;9.0;sad_114.1.wmv;sad;7.0;incongruent;120.0;160.0;136.20550699298644;h_s;;;;;0;27;27;27;;;;;;;428.84949670010246;None;430.1994962000754;430.516430699965;431.64133769995533;431.65792999998666;433.65007880004123;None;7;0;433.65007880004123;None;;;;;;;;4;;;;;0.5994903999380767;;;435.19944790005684;None;None;None;[];435.19944790005684;None;['7'];435.19944790005684;None;[0.8901848001405597];;;S10847;2021_Aug_26_1236;VideoMask;2021.1.2;119.97211832326438;
7.0;m;027_o_m_s_a.jpg;sad;7.0;happy_117.3.wmv;happy;9.0;incongruent;130.0;150.0;215.61964028550614;s_h;;;;;0;28;28;28;;;;;;;438.20784769998863;None;440.20751240011305;440.52432029997;441.6493361000903;441.6658640000969;443.65778929996304;None;None;0;443.65778929996304;None;;;;;;;;5;;;;;;;;445.24956799997017;None;None;None;[];445.24956799997017;None;None;445.24956799997017;None;;;;S10847;2021_Aug_26_1236;VideoMask;2021.1.2;119.97211832326438;
6.0;m;016_y_m_h_a.jpg;happy;9.0;happy_9.2ns.avi;happy;9.0;congruent;120.0;150.0;130.52042428082717;h_h;;;;;0;29;29;29;;;;;;;448.2827153999824;None;449.58220160007477;449.8990520001389;451.0906700999476;451.10733280004933;456.96605790010653;None;9;0;456.96605790010653;None;;;;;;;;7;;;;;0.7555955001153052;;;458.54041060013697;None;None;None;[];458.54041060013697;None;"['9', '9']";458.54041060013697;None;"[0.7491884001065046, 1.5330330000724643]";;;S10847;2021_Aug_26_1236;VideoMask;2021.1.2;119.97211832326438;
0.0;f;040_y_f_s_a.jpg;sad;7.0;happy_127.3.wmv;happy;9.0;incongruent;130.0;150.0;131.7195455720239;s_h;;;;;0;30;30;30;;;;;;;461.54883809993044;None;462.865194800077;463.1819213000126;464.3068403999787;464.32346080010757;466.3821124001406;None;9;0;466.3821124001406;None;;;;;;;;6;;;;;0.9393595000728965;;;467.93177630007267;None;None;None;[];467.93177630007267;None;['9'];467.93177630007267;None;[1.3736898999195546];;;S10847;2021_Aug_26_1236;VideoMask;2021.1.2;119.97211832326438;
