primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.rt;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.rt;slider_resp_response.started;slider_resp_response.stopped;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
1111;m;1111_m_m_h_a.jpg;happy;9;example_30.4ns.avi;neutral;7;incongruent;120.0;170.0;189.5874364012288;;0;0;0;0;;;;;122.102052000002;1;122.19627429998945;124.19648020004388;124.19648020004388;None;126.2297433000058;None;128.554556600051;128.87968900008127;130.00444050005171;130.021230100072;134.34636760002468;None;9;0;1.4211526999715716;134.34636760002468;None;135.8958854000084;None;None;None;[];135.8958854000084;None;8;"['9', '9', '9']";"[1.5833740000380203, 1.9834674000740051, 2.8236652000341564]";135.8958854000084;None;;;;;;;;;;;;;;;;S10865;2021_Sep_02_1233;VideoMask;2021.1.2;120.02539728799836;
1113;f;1113_y_f_s_a.jpg;sad;7;example_30.3ns.avi;neutral;7;incongruent;130.0;170.0;229.02432995836998;;0;1;1;1;;;;;;;;;;;138.8959090000717;None;141.05393429996911;141.37081079999916;142.4958754000254;142.51242530008312;144.50417650002055;None;7;1;1.247224900056608;144.50417650002055;None;146.05408240004908;None;None;None;[];146.05408240004908;None;3;"['7', '7']";"[1.2573788999579847, 1.4972536000423133]";146.05408240004908;None;;;;;;;;;;;;;;;;S10865;2021_Sep_02_1233;VideoMask;2021.1.2;120.02539728799836;
9.0;f;019_m_f_h_a.jpg;happy;9.0;sad_115.1.wmv;sad;7.0;incongruent;120.0;160.0;128.09063432376465;h_s;;;;;0;0;0;0;;;;;;;150.0954964000266;None;151.3954601000296;151.7121420999756;152.84530639997683;152.86219650006387;154.84592520003207;None;None;0;;154.84592520003207;None;;;;;;;;4;;;;;149.05410269997083;None;156.39524930005427;None;None;None;[];156.39524930005427;None;['7'];[2.708220199914649];156.39524930005427;None;;;S10865;2021_Sep_02_1233;VideoMask;2021.1.2;120.02539728799836;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_94.2ns.avi;sad;7.0;congruent;130.0;160.0;182.29120173647655;s_s;;;;;0;1;1;1;;;;;;;159.39535770006478;None;161.17038210004102;161.48690939997323;162.65371230000164;162.67020599998068;165.31193379999604;None;7;0;0.9434832000406459;165.31193379999604;None;;;;;;;;2;;;;;;;166.8617962000426;None;None;None;[];166.8617962000426;None;"['7', '7', '7']";"[0.9218583999900147, 1.4577003000304103, 2.3297982999356464]";166.8617962000426;None;;;S10865;2021_Sep_02_1233;VideoMask;2021.1.2;120.02539728799836;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_26.1ns.avi;happy;9.0;congruent;120.0;150.0;155.9437854594882;h_h;;;;;0;2;2;2;;;;;;;169.86167630006094;None;171.3949015000835;171.71159890003037;172.83666440006346;172.8532929000212;174.83669650007505;None;9;0;0.9946903999662027;174.83669650007505;None;;;;;;;;9;;;;;;;176.39485020004213;None;None;None;[];176.39485020004213;None;"['9', '9', '9', '9', '9']";"[0.46050889999605715, 0.6924363999860361, 0.9244115999899805, 1.1644054000498727, 1.908826500060968]";176.39485020004213;None;;;S10865;2021_Sep_02_1233;VideoMask;2021.1.2;120.02539728799836;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_138.1.wmv;sad;7.0;incongruent;120.0;160.0;133.99071306426532;h_s;;;;;0;3;3;3;;;;;;;179.40317820000928;None;180.75318190001417;181.06975630007219;182.20319909998216;182.2196827000007;184.21962460002396;None;7;0;0.699699499993585;184.21962460002396;None;;;;;;;;2;;;;;;;185.76959330006503;None;None;None;[];185.76959330006503;None;"['7', '7', '7', '7']";"[0.45362459996249527, 0.9178009999450296, 1.1735950999427587, 1.445748999947682]";185.76959330006503;None;;;S10865;2021_Sep_02_1233;VideoMask;2021.1.2;120.02539728799836;
8.0;f;028_y_f_s_a.jpg;sad;7.0;sad_64.2ns.avi;sad;7.0;congruent;130.0;160.0;229.88540597086478;s_s;;;;;0;4;4;4;;;;;;;188.76957410003524;None;191.0109258000739;191.32781390007585;192.50273589999415;192.51940300001297;203.46134170005098;None;7;0;0.9545579000841826;203.46134170005098;None;;;;;;;;2;;;;;;;205.47734780004248;None;None;None;[];205.47734780004248;None;"['7', '7', '7']";"[0.6659214000683278, 1.234438700019382, 2.4982764000305906]";205.47734780004248;None;;;S10865;2021_Sep_02_1233;VideoMask;2021.1.2;120.02539728799836;
7.0;m;027_o_m_s_a.jpg;sad;7.0;sad_10.4ns.avi;sad;7.0;congruent;130.0;160.0;185.20129417468752;s_s;;;;;0;5;5;5;;;;;;;208.4772951999912;None;210.27709740004502;210.59410450002179;211.76050059997942;211.7771730000386;214.9021681000013;None;7;0;0.6892627000343055;214.9021681000013;None;;;;;;;;3;;;;;;;216.45201240002643;None;None;None;[];216.45201240002643;None;"['7', '7', '7']";"[0.43547180003952235, 0.6992766000330448, 1.3075489000184461]";216.45201240002643;None;;;S10865;2021_Sep_02_1233;VideoMask;2021.1.2;120.02539728799836;
2.0;f;012_o_f_s_a.jpg;sad;7.0;sad_7.5ns.avi;sad;7.0;congruent;130.0;160.0;220.27842655424388;s_s;;;;;0;6;6;6;;;;;;;219.4604148999788;None;221.5267280000262;221.843493900029;223.01912680000532;223.04366460000165;225.768682599999;None;7;0;0.9988412000238895;225.768682599999;None;;;;;;;;4;;;;;;;227.3267043000087;None;None;None;[];227.3267043000087;None;"['7', '7', '9']";"[0.4247635999927297, 0.664572500041686, 1.625147300073877]";227.3267043000087;None;;;S10865;2021_Sep_02_1233;VideoMask;2021.1.2;120.02539728799836;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_27.1ns.avi;happy;9.0;congruent;120.0;150.0;146.44967055810616;h_h;;;;;0;7;7;7;;;;;;;230.326767200022;None;231.7931417999789;232.10981449997053;233.34397390007507;233.36819389997981;235.7347555999877;None;9;0;0.6567727999063209;235.7347555999877;None;;;;;;;;8;;;;;;;237.2847357999999;None;None;None;[];237.2847357999999;None;"['9', '9', '9']";"[0.4664479000493884, 0.7308997000800446, 1.242665100027807]";237.2847357999999;None;;;S10865;2021_Sep_02_1233;VideoMask;2021.1.2;120.02539728799836;
