primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.started;slider_resp_response.stopped;key_resp.rt;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.started;slider_resp_study.stopped;slider_resp_study.rt;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
1111;m;1111_m_m_h_a.jpg;happy;9;example_30.4ns.avi;neutral;7;incongruent;120.0;170.0;189.5874364012288;;0;0;0;0;;;;;42.19000880001113;1;42.267510700039566;44.267623900203034;44.267623900203034;None;46.284151000203565;None;48.5088886001613;48.825785299995914;50.00070510013029;50.01742530008778;54.30062390002422;None;None;0;54.30062390002422;None;55.85042020003311;None;None;None;[];55.85042020003311;None;5;None;55.85042020003311;None;;;;;;;;;;;;;;;;;S10961;2021_Oct_06_1603;VideoMask;2021.1.2;119.97341391250514;
1113;f;1113_y_f_s_a.jpg;sad;7;example_30.3ns.avi;neutral;7;incongruent;130.0;170.0;229.02432995836998;;0;1;1;1;;;;;;;;;;;58.88381460006349;None;61.008618200197816;61.32560030021705;62.49212050018832;62.50936120003462;64.45881110010669;None;8;0;64.45881110010669;None;66.00859660003334;None;None;None;[];66.00859660003334;None;5;None;66.00859660003334;None;0.5362456000875682;;;;;;;;;;;;;;;;S10961;2021_Oct_06_1603;VideoMask;2021.1.2;119.97341391250514;
9.0;f;019_m_f_h_a.jpg;happy;9.0;sad_115.1.wmv;sad;7.0;incongruent;120.0;160.0;128.09063432376465;h_s;;;;;0;0;0;0;;;;;;;70.0418576002121;None;71.34164920006879;71.65839330013841;72.79152239998803;72.80822160001844;74.80900050001219;None;7;0;74.80900050001219;None;;;;;;;;5;;;;0.834125799825415;69.04186360002495;None;76.38332440005615;None;None;None;[];76.38332440005615;None;None;76.38332440005615;None;;;;S10961;2021_Oct_06_1603;VideoMask;2021.1.2;119.97341391250514;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_94.2ns.avi;sad;7.0;congruent;130.0;160.0;182.29120173647655;s_s;;;;;0;1;1;1;;;;;;;79.39984970004298;None;81.13304970017634;81.44967190013267;82.64981530001387;82.66638840013184;85.27494300017133;None;7;0;85.27494300017133;None;;;;;;;;5;;;;1.1203598000574857;;;86.83295400021598;None;None;None;[];86.83295400021598;None;None;86.83295400021598;None;;;;S10961;2021_Oct_06_1603;VideoMask;2021.1.2;119.97341391250514;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_26.1ns.avi;happy;9.0;congruent;120.0;150.0;155.9437854594882;h_h;;;;;0;2;2;2;;;;;;;89.85779320006259;None;91.34953110013157;91.66609040019102;92.84943150007166;92.8659663000144;94.79123640013859;None;9;0;94.79123640013859;None;;;;;;;;7;;;;0.4758488000370562;;;96.34931350010447;None;None;None;[];96.34931350010447;None;"['9', '9']";96.34931350010447;None;"[0.9098724001087248, 1.9175098999403417]";;;S10961;2021_Oct_06_1603;VideoMask;2021.1.2;119.97341391250514;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_138.1.wmv;sad;7.0;incongruent;120.0;160.0;133.99071306426532;h_s;;;;;0;3;3;3;;;;;;;99.34932710020803;None;100.67404340021312;100.99070650013164;102.12403549998999;102.14081310015172;104.12457610014826;None;8;0;104.12457610014826;None;;;;;;;;5;;;;1.0228023999370635;;;105.67398830014281;None;None;None;[];105.67398830014281;None;None;105.67398830014281;None;;;;S10961;2021_Oct_06_1603;VideoMask;2021.1.2;119.97341391250514;
8.0;f;028_y_f_s_a.jpg;sad;7.0;sad_64.2ns.avi;sad;7.0;congruent;130.0;160.0;229.88540597086478;s_s;;;;;0;4;4;4;;;;;;;108.69049890013412;None;110.84866660018452;111.16536530014127;112.298846000107;112.31555930012837;123.31527480017394;None;8;0;123.31527480017394;None;;;;;;;;5;;;;0.9595595998689532;;;124.86501720012166;None;None;None;[];124.86501720012166;None;None;124.86501720012166;None;;;;S10961;2021_Oct_06_1603;VideoMask;2021.1.2;119.97341391250514;
7.0;m;027_o_m_s_a.jpg;sad;7.0;sad_10.4ns.avi;sad;7.0;congruent;130.0;160.0;185.20129417468752;s_s;;;;;0;5;5;5;;;;;;;127.89000580017455;None;129.6399407000281;129.95661980006844;131.08971040020697;131.10643740021624;134.2567091002129;None;None;0;134.2567091002129;None;;;;;;;;5;;;;;;;135.81479319999926;None;None;None;[];135.81479319999926;None;"['9', '7']";135.81479319999926;None;"[0.18833820009604096, 1.1962405999656767]";;;S10961;2021_Oct_06_1603;VideoMask;2021.1.2;119.97341391250514;
2.0;f;012_o_f_s_a.jpg;sad;7.0;sad_7.5ns.avi;sad;7.0;congruent;130.0;160.0;220.27842655424388;s_s;;;;;0;6;6;6;;;;;;;138.81475880020298;None;140.86446360009722;141.1810991000384;142.3395359001588;142.35610350011848;145.10639850003645;None;7;0;145.10639850003645;None;;;;;;;;5;;;;1.3125153000000864;;;146.6727718000766;None;None;None;[];146.6727718000766;None;None;146.6727718000766;None;;;;S10961;2021_Oct_06_1603;VideoMask;2021.1.2;119.97341391250514;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_27.1ns.avi;happy;9.0;congruent;120.0;150.0;146.44967055810616;h_h;;;;;0;7;7;7;;;;;;;149.70604360010475;None;151.12251870008186;151.43918810016476;152.61425660015084;152.63133420003578;155.0641823001206;None;9;0;155.0641823001206;None;;;;;;;;6;;;;0.8750445002224296;;;156.78078979998827;None;None;None;[];156.78078979998827;None;['9'];156.78078979998827;None;[1.0463080001063645];;;S10961;2021_Oct_06_1603;VideoMask;2021.1.2;119.97341391250514;
