primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.rt;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.started;slider_resp_response.stopped;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
1111;m;1111_m_m_h_a.jpg;happy;9;example_30.4ns.avi;neutral;7;incongruent;120.0;170.0;189.5874364012288;;0;0;0;0;;;;;51.09479289999581;1;51.17227510000521;53.17230710000149;53.17230710000149;None;55.197998999996344;None;57.447108899999876;57.772226000000956;58.93924930000503;58.963667000003625;63.247016199995414;None;8;0;1.374249400003464;63.247016199995414;None;64.81359340000199;None;None;None;[];64.81359340000199;None;5;None;64.81359340000199;None;;;;;;;;;;;;;;;;S10982;2021_Oct_14_1412;VideoMask;2021.1.2;119.89545115911106;
1113;f;1113_y_f_s_a.jpg;sad;7;example_30.3ns.avi;neutral;7;incongruent;130.0;170.0;229.02432995836998;;0;1;1;1;;;;;;;;;;;67.83019500000228;None;69.9550198999932;70.2717488000053;71.44680740000331;71.46345819999988;73.40506599999208;None;8;0;0.7122130999923684;73.40506599999208;None;74.95495050000318;None;None;None;[];74.95495050000318;None;5;None;74.95495050000318;None;;;;;;;;;;;;;;;;S10982;2021_Oct_14_1412;VideoMask;2021.1.2;119.89545115911106;
9.0;f;019_m_f_h_a.jpg;happy;9.0;sad_115.1.wmv;sad;7.0;incongruent;120.0;160.0;128.09063432376465;h_s;;;;;0;0;0;0;;;;;;;78.98797299999569;None;80.28806350000377;80.60472109999682;81.7380245999957;81.7548417999933;83.73816730000544;None;None;0;;83.73816730000544;None;;;;;;;;4;;;;77.97996499999135;None;85.28783489999478;None;None;None;[];85.28783489999478;None;['7'];[1.0535298000031617];85.28783489999478;None;;;S10982;2021_Oct_14_1412;VideoMask;2021.1.2;119.89545115911106;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_94.2ns.avi;sad;7.0;congruent;130.0;160.0;182.29120173647655;s_s;;;;;0;1;1;1;;;;;;;88.28808769999887;None;90.03773589999764;90.35449070000323;91.53785779999453;91.55450349999592;94.17947899999854;None;7;0;0.9536067000008188;94.17947899999854;None;;;;;;;;3;;;;;;95.91274949999934;None;None;None;[];95.91274949999934;None;"['7', '7', '7']";"[0.436643200009712, 0.6523491000116337, 0.9006188000057591]";95.91274949999934;None;;;S10982;2021_Oct_14_1412;VideoMask;2021.1.2;119.89545115911106;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_26.1ns.avi;happy;9.0;congruent;120.0;150.0;155.9437854594882;h_h;;;;;0;2;2;2;;;;;;;98.9126050999912;None;100.42076259999885;100.73750089999521;101.93757140000525;101.95416969999496;103.86240709999402;None;9;0;0.7909947000007378;103.86240709999402;None;;;;;;;;6;;;;;;105.91228590000537;None;None;None;[];105.91228590000537;None;['9'];[2.5569965000031516];105.91228590000537;None;;;S10982;2021_Oct_14_1412;VideoMask;2021.1.2;119.89545115911106;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_138.1.wmv;sad;7.0;incongruent;120.0;160.0;133.99071306426532;h_s;;;;;0;3;3;3;;;;;;;108.92904129999806;None;110.2538496000052;110.57058309999411;111.69559200000367;111.71227560000261;113.70386670000153;None;None;0;;113.70386670000153;None;;;;;;;;5;;;;;;115.25364840000111;None;None;None;[];115.25364840000111;None;None;;115.25364840000111;None;;;S10982;2021_Oct_14_1412;VideoMask;2021.1.2;119.89545115911106;
8.0;f;028_y_f_s_a.jpg;sad;7.0;sad_64.2ns.avi;sad;7.0;congruent;130.0;160.0;229.88540597086478;s_s;;;;;0;4;4;4;;;;;;;118.2786533000035;None;120.52007800000138;120.8369265999936;121.98744199999783;122.01190559999668;132.9699735000031;None;7;0;0.7234361000009812;132.9699735000031;None;;;;;;;;2;;;;;;134.51987709999958;None;None;None;[];134.51987709999958;None;"['7', '7', '7', '7']";"[0.47739159999764524, 0.701245000003837, 0.9894198999973014, 1.7416308000101708]";134.51987709999958;None;;;S10982;2021_Oct_14_1412;VideoMask;2021.1.2;119.89545115911106;
7.0;m;027_o_m_s_a.jpg;sad;7.0;sad_10.4ns.avi;sad;7.0;congruent;130.0;160.0;185.20129417468752;s_s;;;;;0;5;5;5;;;;;;;137.51999040000373;None;139.2947484000033;139.6113544999971;140.74470290000318;140.76135970000178;143.91140109999105;None;7;0;1.2540313999925274;143.91140109999105;None;;;;;;;;3;;;;;;145.4611933999986;None;None;None;[];145.4611933999986;None;"['7', '7']";"[1.3761269000096945, 1.631914500001585]";145.4611933999986;None;;;S10982;2021_Oct_14_1412;VideoMask;2021.1.2;119.89545115911106;
2.0;f;012_o_f_s_a.jpg;sad;7.0;sad_7.5ns.avi;sad;7.0;congruent;130.0;160.0;220.27842655424388;s_s;;;;;0;6;6;6;;;;;;;148.4613446000003;None;150.5109383999952;150.82761959999334;151.9943643000006;152.01106950000394;154.75295339999138;None;None;0;;154.75295339999138;None;;;;;;;;4;;;;;;156.31088809999346;None;None;None;[];156.31088809999346;None;"['7', '7', '9']";"[0.046576299995649606, 1.7347423000028357, 2.214213400002336]";156.31088809999346;None;;;S10982;2021_Oct_14_1412;VideoMask;2021.1.2;119.89545115911106;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_27.1ns.avi;happy;9.0;congruent;120.0;150.0;146.44967055810616;h_h;;;;;0;7;7;7;;;;;;;159.31094630000007;None;160.7523097999947;161.06906199999503;162.2107210999966;162.2274189000018;164.6939934999973;None;None;0;;164.6939934999973;None;;;;;;;;5;;;;;;166.51060219999636;None;None;None;[];166.51060219999636;None;None;;166.51060219999636;None;;;S10982;2021_Oct_14_1412;VideoMask;2021.1.2;119.89545115911106;
8.0;f;028_y_f_h_a.jpg;happy;9.0;sad_119.1.wmv;sad;7.0;incongruent;120.0;160.0;148.71526953572538;h_s;;;;;0;8;8;8;;;;;;;169.52701959999104;None;170.99367470000288;171.31025120000413;172.44417560000147;172.46869650000008;174.51033910000115;None;None;0;;174.51033910000115;None;;;;;;;;5;;;;;;176.10216189999483;None;None;None;[];176.10216189999483;None;['7'];[1.7111936000001151];176.10216189999483;None;;;S10982;2021_Oct_14_1412;VideoMask;2021.1.2;119.89545115911106;
6.0;m;016_y_m_s_a.jpg;sad;7.0;happy_60.4ns.avi;happy;9.0;incongruent;130.0;150.0;126.02367393611817;s_h;;;;;0;9;9;9;;;;;;;179.10207219999575;None;180.4186239999981;180.7351689999923;181.87669469999673;181.89430830000492;187.67676509999728;None;9;0;0.5524594000016805;187.67676509999728;None;;;;;;;;6;;;;;;189.22658950000186;None;None;None;[];189.22658950000186;None;['9'];[0.6664082000061171];189.22658950000186;None;;;S10982;2021_Oct_14_1412;VideoMask;2021.1.2;119.89545115911106;
9.0;f;019_m_f_s_a.jpg;sad;7.0;sad_8.4ns.avi;sad;7.0;congruent;130.0;160.0;171.6633093155257;s_s;;;;;0;10;10;10;;;;;;;192.23502179999196;None;193.92643219999445;194.24317800000426;195.42619260000356;195.44288699999743;203.5178387000051;None;7;0;0.46333669999148697;203.5178387000051;None;;;;;;;;3;;;;;;205.06778299999132;None;None;None;[];205.06778299999132;None;"['7', '7']";"[0.6496016000019154, 0.8733788000099594]";205.06778299999132;None;;;S10982;2021_Oct_14_1412;VideoMask;2021.1.2;119.89545115911106;
4.0;m;004_o_m_h_a.jpg;happy;9.0;happy_1.1ns.avi;happy;9.0;congruent;120.0;150.0;203.50057144619865;h_h;;;;;0;11;11;11;;;;;;;208.0678901999927;None;210.0591362999985;210.375893000004;211.53423900000053;211.55092959999456;225.9921672000055;None;9;0;1.0048849000013433;225.9921672000055;None;;;;;;;;6;;;;;;227.5419983000029;None;None;None;[];227.5419983000029;None;['9'];[0.8235678999917582];227.5419983000029;None;;;S10982;2021_Oct_14_1412;VideoMask;2021.1.2;119.89545115911106;
7.0;m;027_o_m_h_a.jpg;happy;9.0;happy_20.1ns.avi;happy;9.0;congruent;120.0;150.0;152.91127178874285;h_h;;;;;0;12;12;12;;;;;;;230.541950800005;None;232.05023100000108;232.36690700000327;233.5008097999962;233.5170908;236.51710460000322;None;9;0;0.464206299991929;236.51710460000322;None;;;;;;;;7;;;;;;238.06679579999764;None;None;None;[];238.06679579999764;None;"['9', '9']";"[0.46640089999709744, 0.674478500004625]";238.06679579999764;None;;;S10982;2021_Oct_14_1412;VideoMask;2021.1.2;119.89545115911106;
0.0;f;040_y_f_s_a.jpg;sad;7.0;sad_94.3ns.avi;sad;7.0;congruent;130.0;160.0;155.27414203894395;s_s;;;;;0;13;13;13;;;;;;;241.07520320000185;None;242.5915124000021;242.9082228000043;244.05819159999373;244.07480339999893;246.66682389999914;None;7;0;0.6665235999971628;246.66682389999914;None;;;;;;;;1;;;;;;248.22483520000242;None;None;None;[];248.22483520000242;None;"['7', '7', '7', '7']";"[0.3005821999977343, 0.5004483999946387, 0.6683917999907862, 1.1648451999935787]";248.22483520000242;None;;;S10982;2021_Oct_14_1412;VideoMask;2021.1.2;119.89545115911106;
0.0;f;030_o_f_s_a.jpg;sad;7.0;sad_68.1ns.avi;sad;7.0;congruent;130.0;160.0;158.9411396037211;s_s;;;;;0;14;14;14;;;;;;;251.23328119999496;None;252.8248229000019;253.1412852999929;254.30030809999153;254.3246199999994;261.6994848000031;None;7;0;1.105806699997629;261.6994848000031;None;;;;;;;;4;;;;;;263.3158504000021;None;None;None;[];263.3158504000021;None;['7'];[0.3694598000001861];263.3158504000021;None;;;S10982;2021_Oct_14_1412;VideoMask;2021.1.2;119.89545115911106;
0.0;f;030_o_f_h_a.jpg;happy;9.0;sad_127.1.wmv;sad;7.0;incongruent;120.0;160.0;180.59976631384873;h_s;;;;;0;15;15;15;;;;;;;266.31595439999364;None;268.0407717999915;268.35752009999123;269.4826730999921;269.49924839999585;271.49076829999103;None;None;0;;271.49076829999103;None;;;;;;;;3;;;;;;273.0412773999997;None;None;None;[];273.0412773999997;None;"['7', '7']";"[1.1641486000007717, 1.5002430000022287]";273.0412773999997;None;;;S10982;2021_Oct_14_1412;VideoMask;2021.1.2;119.89545115911106;
