primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.rt;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.rt;slider_resp_response.started;slider_resp_response.stopped;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
1111;m;1111_m_m_h_a.jpg;happy;9;example_30.4ns.avi;neutral;7;incongruent;120.0;170.0;189.5874364012288;;0;0;0;0;;;;;29.866117399884388;1;29.94421650003642;31.944456199882552;31.944456199882552;None;33.961673399899155;None;36.2110005998984;36.527536399895325;37.677455599885434;37.69416119996458;42.00247589987703;None;9;0;1.1210256000049412;42.00247589987703;None;43.56069680000655;None;None;None;[];43.56069680000655;None;6;['9'];[1.387151600094512];43.56069680000655;None;;;;;;;;;;;;;;;;S11012;2021_Oct_26_1135;VideoMask;2021.1.2;119.97658028146506;
1113;f;1113_y_f_s_a.jpg;sad;7;example_30.3ns.avi;neutral;7;incongruent;130.0;170.0;229.02432995836998;;0;1;1;1;;;;;;;;;;;46.552452999865636;None;48.66877139988355;48.985431799897924;50.13544119987637;50.15214190003462;52.118803000077605;None;None;0;;52.118803000077605;None;53.66879029991105;None;None;None;[];53.66879029991105;None;6;['9'];[2.158551099942997];53.66879029991105;None;;;;;;;;;;;;;;;;S11012;2021_Oct_26_1135;VideoMask;2021.1.2;119.97658028146506;
9.0;f;019_m_f_h_a.jpg;happy;9.0;sad_115.1.wmv;sad;7.0;incongruent;120.0;160.0;128.09063432376465;h_s;;;;;0;0;0;0;;;;;;;57.701914499979466;None;58.98540690005757;59.301769099896774;60.43503269995563;60.4518412000034;62.43517900002189;None;None;0;;62.43517900002189;None;;;;;;;;2;;;;;56.66874279989861;None;63.98486880003475;None;None;None;[];63.98486880003475;None;"['7', '7', '7']";"[0.30657580005936325, 0.5944644999690354, 1.034613500116393]";63.98486880003475;None;;;S11012;2021_Oct_26_1135;VideoMask;2021.1.2;119.97658028146506;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_94.2ns.avi;sad;7.0;congruent;130.0;160.0;182.29120173647655;s_s;;;;;0;1;1;1;;;;;;;66.9850196999032;None;68.69306329987012;69.00977159989998;70.20154700009152;70.21808969997801;72.83477590000257;None;None;0;;72.83477590000257;None;;;;;;;;1;;;;;;;74.38472199998796;None;None;None;[];74.38472199998796;None;"['7', '7', '7', '7']";"[0.20277790003456175, 0.4185198999475688, 0.7626585999969393, 1.6828769999556243]";74.38472199998796;None;;;S11012;2021_Oct_26_1135;VideoMask;2021.1.2;119.97658028146506;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_26.1ns.avi;happy;9.0;congruent;120.0;150.0;155.9437854594882;h_h;;;;;0;2;2;2;;;;;;;77.39319880004041;None;78.89276629989035;79.20959539990872;80.4095890999306;80.42608379991725;82.33466499997303;None;None;0;;82.33466499997303;None;;;;;;;;7;;;;;;;83.89285940001719;None;None;None;[];83.89285940001719;None;"['9', '9']";"[0.7827407999429852, 2.142527800053358]";83.89285940001719;None;;;S11012;2021_Oct_26_1135;VideoMask;2021.1.2;119.97658028146506;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_138.1.wmv;sad;7.0;incongruent;120.0;160.0;133.99071306426532;h_s;;;;;0;3;3;3;;;;;;;86.89269679994322;None;88.20932399993762;88.52606890001334;89.65941579989158;89.67595469998196;91.65988839999773;None;None;0;;91.65988839999773;None;;;;;;;;5;;;;;;;93.20926010003313;None;None;None;[];93.20926010003313;None;None;;93.20926010003313;None;;;S11012;2021_Oct_26_1135;VideoMask;2021.1.2;119.97658028146506;
8.0;f;028_y_f_s_a.jpg;sad;7.0;sad_64.2ns.avi;sad;7.0;congruent;130.0;160.0;229.88540597086478;s_s;;;;;0;4;4;4;;;;;;;96.22557180002332;None;98.38383639999665;98.70078140008263;99.8839302000124;99.90062800003216;110.83374869986437;None;None;0;;110.83374869986437;None;;;;;;;;3;;;;;;;112.38340390007943;None;None;None;[];112.38340390007943;None;"['7', '7']";"[0.35612999997101724, 0.7721488999668509]";112.38340390007943;None;;;S11012;2021_Oct_26_1135;VideoMask;2021.1.2;119.97658028146506;
7.0;m;027_o_m_s_a.jpg;sad;7.0;sad_10.4ns.avi;sad;7.0;congruent;130.0;160.0;185.20129417468752;s_s;;;;;0;5;5;5;;;;;;;115.38350520003587;None;117.13329340005293;117.44997359998524;118.59218170004897;118.60845549986698;121.74998799990863;None;None;0;;121.74998799990863;None;;;;;;;;2;;;;;;;123.29976610001177;None;None;None;[];123.29976610001177;None;"['7', '7', '7', '7', '7']";"[0.35974890016950667, 0.6395902000367641, 0.9437091001309454, 1.335664400132373, 1.71985900006257]";123.29976610001177;None;;;S11012;2021_Oct_26_1135;VideoMask;2021.1.2;119.97658028146506;
2.0;f;012_o_f_s_a.jpg;sad;7.0;sad_7.5ns.avi;sad;7.0;congruent;130.0;160.0;220.27842655424388;s_s;;;;;0;6;6;6;;;;;;;126.30834229988977;None;128.34135919995606;128.65826230007224;129.8246225998737;129.84140649996698;132.58320420002565;None;None;0;;132.58320420002565;None;;;;;;;;2;;;;;;;134.36619720002636;None;None;None;[];134.36619720002636;None;"['7', '7', '7', '7']";"[0.49312480003573, 0.812972400104627, 1.2293865999672562, 1.6211622999981046]";134.36619720002636;None;;;S11012;2021_Oct_26_1135;VideoMask;2021.1.2;119.97658028146506;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_27.1ns.avi;happy;9.0;congruent;120.0;150.0;146.44967055810616;h_h;;;;;0;7;7;7;;;;;;;137.36618410004303;None;138.78271150006913;139.099329699995;140.29995250003412;140.3244704999961;142.72440659999847;None;None;0;;142.72440659999847;None;;;;;;;;7;;;;;;;144.26591509999707;None;None;None;[];144.26591509999707;None;"['9', '9']";"[1.257508099777624, 2.113665899960324]";144.26591509999707;None;;;S11012;2021_Oct_26_1135;VideoMask;2021.1.2;119.97658028146506;
8.0;f;028_y_f_h_a.jpg;happy;9.0;sad_119.1.wmv;sad;7.0;incongruent;120.0;160.0;148.71526953572538;h_s;;;;;0;8;8;8;;;;;;;147.27439379994757;None;148.7240490000695;149.04075949988328;150.1741122000385;150.19082959997468;152.2406701000873;None;None;0;;152.2406701000873;None;;;;;;;;1;;;;;;;153.79074389999732;None;None;None;[];153.79074389999732;None;"['7', '7', '7', '7', '7']";"[0.3087851000018418, 0.5484995001461357, 0.8288172001484782, 1.2289243000559509, 1.6129088001325727]";153.79074389999732;None;;;S11012;2021_Oct_26_1135;VideoMask;2021.1.2;119.97658028146506;
6.0;m;016_y_m_s_a.jpg;sad;7.0;happy_60.4ns.avi;happy;9.0;incongruent;130.0;150.0;126.02367393611817;s_h;;;;;0;9;9;9;;;;;;;156.79072490008548;None;158.06544220005162;158.38273159996606;159.5158996998798;159.54063130007125;165.3069515998941;None;None;0;;165.3069515998941;None;;;;;;;;5;;;;;;;166.8572066000197;None;None;None;[];166.8572066000197;None;None;;166.8572066000197;None;;;S11012;2021_Oct_26_1135;VideoMask;2021.1.2;119.97658028146506;
