primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.rt;slider_resp_response.started;slider_resp_response.stopped;key_resp.rt;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
1111;m;1111_m_m_h_a.jpg;happy;9;example_30.4ns.avi;neutral;7;incongruent;120.0;170.0;189.5874364012288;;0;0;0;0;;;;;25.444135300000198;1;25.522172800032422;27.5223435999942;27.5223435999942;None;29.555625099979807;None;31.797050199995283;32.11377789999824;33.29707279999275;33.313809300016146;37.58862220001174;None;None;0;37.58862220001174;None;39.15506339998683;None;None;None;[];39.15506339998683;None;7;"['9', '9']";"[1.7740641999989748, 2.8462975999573246]";39.15506339998683;None;;;;;;;;;;;;;;;;;S11078;2021_Dec_03_1521;VideoMask;2021.1.2;119.95341004799597;
1113;f;1113_y_f_s_a.jpg;sad;7;example_30.3ns.avi;neutral;7;incongruent;130.0;170.0;229.02432995836998;;0;1;1;1;;;;;;;;;;;42.14685160003137;None;44.27166050003143;44.58850040001562;45.7220943000284;45.73846510000294;47.721673600026406;None;9;0;47.721673600026406;None;49.27165900002001;None;None;None;[];49.27165900002001;None;7;"['9', '9']";"[0.929788000008557, 1.8657280000043102]";49.27165900002001;None;1.3517272000317462;;;;;;;;;;;;;;;;S11078;2021_Dec_03_1521;VideoMask;2021.1.2;119.95341004799597;
9.0;f;019_m_f_h_a.jpg;happy;9.0;sad_115.1.wmv;sad;7.0;incongruent;120.0;160.0;128.09063432376465;h_s;;;;;0;0;0;0;;;;;;;53.32156270003179;None;54.61303619999671;54.93030180002097;56.062934799992945;56.0797748999903;58.07976150000468;None;None;0;58.07976150000468;None;;;;;;;;4;;;;;;52.2797763000126;None;59.6295095999958;None;None;None;[];59.6295095999958;None;['7'];[1.4838357999688014];59.6295095999958;None;;;S11078;2021_Dec_03_1521;VideoMask;2021.1.2;119.95341004799597;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_94.2ns.avi;sad;7.0;congruent;130.0;160.0;182.29120173647655;s_s;;;;;0;1;1;1;;;;;;;62.62974820000818;None;64.38776130002225;64.7044572000159;65.93776040000375;65.95444860000862;68.53800539998338;None;None;0;68.53800539998338;None;;;;;;;;3;;;;;;;;70.11269059998449;None;None;None;[];70.11269059998449;None;"['7', '7']";"[0.7207842000061646, 1.096657200017944]";70.11269059998449;None;;;S11078;2021_Dec_03_1521;VideoMask;2021.1.2;119.95341004799597;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_26.1ns.avi;happy;9.0;congruent;120.0;150.0;155.9437854594882;h_h;;;;;0;2;2;2;;;;;;;73.11271170002874;None;74.62073269998655;74.93784999998752;76.10414720000699;76.12082559999544;78.06246390001616;None;None;0;78.06246390001616;None;;;;;;;;6;;;;;;;;79.61253390001366;None;None;None;[];79.61253390001366;None;['9'];[1.3808864000020549];79.61253390001366;None;;;S11078;2021_Dec_03_1521;VideoMask;2021.1.2;119.95341004799597;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_138.1.wmv;sad;7.0;incongruent;120.0;160.0;133.99071306426532;h_s;;;;;0;3;3;3;;;;;;;82.61253270000452;None;83.95373350003501;84.2705633000005;85.39558670000406;85.41212220001034;87.40386510000098;None;7;0;87.40386510000098;None;;;;;;;;4;;;;;1.0534635999938473;;;88.94543369999155;None;None;None;[];88.94543369999155;None;['7'];[1.864068299997598];88.94543369999155;None;;;S11078;2021_Dec_03_1521;VideoMask;2021.1.2;119.95341004799597;
8.0;f;028_y_f_s_a.jpg;sad;7.0;sad_64.2ns.avi;sad;7.0;congruent;130.0;160.0;229.88540597086478;s_s;;;;;0;4;4;4;;;;;;;91.94559750001645;None;94.17032279999694;94.48699669999769;95.67027689999668;95.68692870001541;106.62008949997835;None;None;0;106.62008949997835;None;;;;;;;;3;;;;;;;;108.61986380000599;None;None;None;[];108.61986380000599;None;"['7', '7']";"[1.0377143999794498, 2.1495820999844]";108.61986380000599;None;;;S11078;2021_Dec_03_1521;VideoMask;2021.1.2;119.95341004799597;
7.0;m;027_o_m_s_a.jpg;sad;7.0;sad_10.4ns.avi;sad;7.0;congruent;130.0;160.0;185.20129417468752;s_s;;;;;0;5;5;5;;;;;;;111.6197920999839;None;113.39460140001029;113.71130149997771;114.8862814999884;114.90302329999395;118.01187930000015;None;7;0;118.01187930000015;None;;;;;;;;3;;;;;1.3655497999861836;;;119.5611910999869;None;None;None;[];119.5611910999869;None;"['7', '7']";"[1.3923374000005424, 1.8242690999759361]";119.5611910999869;None;;;S11078;2021_Dec_03_1521;VideoMask;2021.1.2;119.95341004799597;
2.0;f;012_o_f_s_a.jpg;sad;7.0;sad_7.5ns.avi;sad;7.0;congruent;130.0;160.0;220.27842655424388;s_s;;;;;0;6;6;6;;;;;;;122.56111549999332;None;124.59425720002037;124.91094810003415;126.11104749998776;126.12771770003019;128.83624259999488;None;7;0;128.83624259999488;None;;;;;;;;4;;;;;0.7009807000285946;;;130.46086629998172;None;None;None;[];130.46086629998172;None;"['7', '7']";"[2.0366287999786437, 2.2124323999742046]";130.46086629998172;None;;;S11078;2021_Dec_03_1521;VideoMask;2021.1.2;119.95341004799597;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_27.1ns.avi;happy;9.0;congruent;120.0;150.0;146.44967055810616;h_h;;;;;0;7;7;7;;;;;;;133.46076550002908;None;134.8939605000196;135.21061830001418;136.36044620000757;136.3773547000019;138.83560280001257;None;9;0;138.83560280001257;None;;;;;;;;6;;;;;0.981833900033962;;;140.37726650002878;None;None;None;[];140.37726650002878;None;['9'];[1.888261899992358];140.37726650002878;None;;;S11078;2021_Dec_03_1521;VideoMask;2021.1.2;119.95341004799597;
