primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.started;slider_resp_response.stopped;key_resp.rt;slider_resp_response.rt;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
1111;m;1111_m_m_h_a.jpg;happy;9;example_30.4ns.avi;neutral;7;incongruent;120.0;170.0;189.5874364012288;;0;0;0;0;;;;;125.08788470015861;1;125.1821457000915;127.1820686000865;127.1820686000865;None;129.21531510003842;None;131.4900828001555;131.8153701000847;132.94014690001495;132.95689930021763;137.28195330011658;None;None;0;137.28195330011658;None;138.84905320010148;None;None;None;[];138.84905320010148;None;5;None;138.84905320010148;None;;;;;;;;;;;;;;;;;;S11109;2021_Dec_15_1547;VideoMask;2021.1.2;119.96837648621245;
1113;f;1113_y_f_s_a.jpg;sad;7;example_30.3ns.avi;neutral;7;incongruent;130.0;170.0;229.02432995836998;;0;1;1;1;;;;;;;;;;;141.86506640003063;None;143.99839710001834;144.31484530004673;145.48163080005907;145.49819140019827;147.44831670005806;None;8;0;147.44831670005806;None;148.99806690006517;None;None;None;[];148.99806690006517;None;6;['9'];148.99806690006517;None;0.957652400014922;[1.8398278998211026];;;;;;;;;;;;;;;;S11109;2021_Dec_15_1547;VideoMask;2021.1.2;119.96837648621245;
9.0;f;019_m_f_h_a.jpg;happy;9.0;sad_115.1.wmv;sad;7.0;incongruent;120.0;160.0;128.09063432376465;h_s;;;;;0;0;0;0;;;;;;;153.04806580021977;None;154.34824030008167;154.66456350008957;155.8152014000807;155.84783020010218;157.80626270012;None;7;0;157.80626270012;None;;;;;;;;3;;;;0.727807599818334;;152.00640270020813;None;159.35586480004713;None;None;None;[];159.35586480004713;None;"['7', '7', '7']";"[1.1542784001212567, 1.6982454000972211, 2.3782981999684125]";159.35586480004713;None;;;S11109;2021_Dec_15_1547;VideoMask;2021.1.2;119.96837648621245;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_94.2ns.avi;sad;7.0;congruent;130.0;160.0;182.29120173647655;s_s;;;;;0;1;1;1;;;;;;;162.3649928001687;None;164.09751000022516;164.41426099999808;165.5809128000401;165.59779230016284;168.23915930022486;None;7;0;168.23915930022486;None;;;;;;;;2;;;;0.5908834000583738;;;;169.81414640019648;None;None;None;[];169.81414640019648;None;"['7', '7', '7', '7']";"[0.6239506001584232, 0.9919930000323802, 1.344054700108245, 1.8079495001584291]";169.81414640019648;None;;;S11109;2021_Dec_15_1547;VideoMask;2021.1.2;119.96837648621245;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_26.1ns.avi;happy;9.0;congruent;120.0;150.0;155.9437854594882;h_h;;;;;0;2;2;2;;;;;;;172.81416450021788;None;174.305523800198;174.62226180010475;175.7807282002177;175.7973066000268;177.74723700014874;None;9;0;177.74723700014874;None;;;;;;;;6;;;;0.618759100092575;;;;179.3137085000053;None;None;None;[];179.3137085000053;None;['9'];[9.447922100080177];179.3137085000053;None;;;S11109;2021_Dec_15_1547;VideoMask;2021.1.2;119.96837648621245;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_138.1.wmv;sad;7.0;incongruent;120.0;160.0;133.99071306426532;h_s;;;;;0;3;3;3;;;;;;;182.28872400010005;None;183.61358020012267;183.93025890015997;185.06360970018432;185.0806228001602;187.06373860011809;None;7;0;187.06373860011809;None;;;;;;;;3;;;;0.7822777999099344;;;;188.61358780018054;None;None;None;[];188.61358780018054;None;"['7', '7']";"[1.4647117999847978, 2.4326549998950213]";188.61358780018054;None;;;S11109;2021_Dec_15_1547;VideoMask;2021.1.2;119.96837648621245;
8.0;f;028_y_f_s_a.jpg;sad;7.0;sad_64.2ns.avi;sad;7.0;congruent;130.0;160.0;229.88540597086478;s_s;;;;;0;4;4;4;;;;;;;191.62211560015567;None;193.83010050002486;194.14669790002517;195.3220708000008;195.34667360014282;206.27985660010017;None;7;0;206.27985660010017;None;;;;;;;;2;;;;0.7182009001262486;;;;207.82969560008496;None;None;None;[];207.82969560008496;None;"['7', '7', '7', '7', '7']";"[0.6642869999632239, 0.9763835000339895, 1.360361299943179, 1.7125577998813242, 2.080531899817288]";207.82969560008496;None;;;S11109;2021_Dec_15_1547;VideoMask;2021.1.2;119.96837648621245;
7.0;m;027_o_m_s_a.jpg;sad;7.0;sad_10.4ns.avi;sad;7.0;congruent;130.0;160.0;185.20129417468752;s_s;;;;;0;5;5;5;;;;;;;210.8297335000243;None;212.60434380010702;212.92122520017438;214.07151400018483;214.0964862999972;217.23784990003332;None;7;0;217.23784990003332;None;;;;;;;;3;;;;0.8723335000686347;;;;218.8293234000448;None;None;None;[];218.8293234000448;None;"['7', '7']";"[0.6966959000565112, 1.0087056001648307]";218.8293234000448;None;;;S11109;2021_Dec_15_1547;VideoMask;2021.1.2;119.96837648621245;
2.0;f;012_o_f_s_a.jpg;sad;7.0;sad_7.5ns.avi;sad;7.0;congruent;130.0;160.0;220.27842655424388;s_s;;;;;0;6;6;6;;;;;;;221.83763260021806;None;223.87072600005195;224.1875052000396;225.3625041001942;225.37908260012046;228.11270400020294;None;7;0;228.11270400020294;None;;;;;;;;4;;;;0.5817114000674337;;;;229.67897200002335;None;None;None;[];229.67897200002335;None;['7'];[0.5273853000253439];229.67897200002335;None;;;S11109;2021_Dec_15_1547;VideoMask;2021.1.2;119.96837648621245;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_27.1ns.avi;happy;9.0;congruent;120.0;150.0;146.44967055810616;h_h;;;;;0;7;7;7;;;;;;;232.68732350016944;None;234.11203240021132;234.42883670004085;235.62046630005352;235.6370611002203;238.05376860010438;None;9;0;238.05376860010438;None;;;;;;;;5;;;;0.632283299928531;;;;239.60372380004264;None;None;None;[];239.60372380004264;None;None;;239.60372380004264;None;;;S11109;2021_Dec_15_1547;VideoMask;2021.1.2;119.96837648621245;
