primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.rt;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.rt;slider_resp_response.started;slider_resp_response.stopped;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
1111;m;1111_m_m_h_a.jpg;happy;9;example_30.4ns.avi;neutral;7;incongruent;120.0;170.0;189.5874364012288;;0;0;0;0;;;;;23.575618700007908;1;23.669932499993593;25.670118500012904;25.670118500012904;None;27.686769399995683;None;29.945071399997687;30.261482700007036;31.42832599999383;31.44492869998794;35.7364266999939;None;8;0;0.6693962999852374;35.7364266999939;None;37.29476260000956;None;None;None;[];37.29476260000956;None;6;['9'];[1.3432226000004448];37.29476260000956;None;;;;;;;;;;;;;;;;S11152;2022_Jan_14_1733;VideoMask;2021.1.2;120.016034152481;
1113;f;1113_y_f_s_a.jpg;sad;7;example_30.3ns.avi;neutral;7;incongruent;130.0;170.0;229.02432995836998;;0;1;1;1;;;;;;;;;;;40.286384100007126;None;42.41128239998943;42.7278462999966;43.87788240000373;43.89449209999293;45.86148580000736;None;8;0;1.4804233000031672;45.86148580000736;None;47.4110811999999;None;None;None;[];47.4110811999999;None;6;['9'];[1.6989148000138812];47.4110811999999;None;;;;;;;;;;;;;;;;S11152;2022_Jan_14_1733;VideoMask;2021.1.2;120.016034152481;
9.0;f;019_m_f_h_a.jpg;happy;9.0;sad_115.1.wmv;sad;7.0;incongruent;120.0;160.0;128.09063432376465;h_s;;;;;0;0;0;0;;;;;;;51.46934790001251;None;52.75257300000521;53.06943040000624;54.20237419998739;54.219272999995155;56.202651700004935;None;7;0;0.6353286000085063;56.202651700004935;None;;;;;;;;4;;;;;50.419570099998964;None;57.75242629999411;None;None;None;[];57.75242629999411;None;['7'];[0.8855429000104778];57.75242629999411;None;;;S11152;2022_Jan_14_1733;VideoMask;2021.1.2;120.016034152481;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_94.2ns.avi;sad;7.0;congruent;130.0;160.0;182.29120173647655;s_s;;;;;0;1;1;1;;;;;;;60.76922119999654;None;62.502212299994426;62.81897900000331;63.95226459999685;63.96939859999111;66.6439905000152;None;8;0;1.4500449000042863;66.6439905000152;None;;;;;;;;4;;;;;;;68.19379089999711;None;None;None;[];68.19379089999711;None;"['7', '7']";"[1.060126800002763, 1.5798672000237275]";68.19379089999711;None;;;S11152;2022_Jan_14_1733;VideoMask;2021.1.2;120.016034152481;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_26.1ns.avi;happy;9.0;congruent;120.0;150.0;155.9437854594882;h_h;;;;;0;2;2;2;;;;;;;71.19380810001167;None;72.69354010000825;73.01017280001543;74.17689959998825;74.1939238999912;76.13595029999851;None;9;0;0.6538712999899872;76.13595029999851;None;;;;;;;;8;;;;;;;77.7766879000119;None;None;None;[];77.7766879000119;None;"['9', '9', '9']";"[0.5571809999819379, 0.8930846999865025, 1.2610201999777928]";77.7766879000119;None;;;S11152;2022_Jan_14_1733;VideoMask;2021.1.2;120.016034152481;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_138.1.wmv;sad;7.0;incongruent;120.0;160.0;133.99071306426532;h_s;;;;;0;3;3;3;;;;;;;80.77682960001403;None;82.10993390000658;82.42685920000076;83.55179610001505;83.56830499999342;85.55999080001493;None;7;0;1.3257275999931153;85.55999080001493;None;;;;;;;;3;;;;;;;87.10996400000295;None;None;None;[];87.10996400000295;None;"['7', '7']";"[0.6877902999985963, 1.07190010001068]";87.10996400000295;None;;;S11152;2022_Jan_14_1733;VideoMask;2021.1.2;120.016034152481;
8.0;f;028_y_f_s_a.jpg;sad;7.0;sad_64.2ns.avi;sad;7.0;congruent;130.0;160.0;229.88540597086478;s_s;;;;;0;4;4;4;;;;;;;90.11819229999674;None;92.32633449998684;92.64299779999419;93.81885979999788;93.84299470001133;104.77618320001056;None;7;0;0.6216704999969807;104.77618320001056;None;;;;;;;;2;;;;;;;106.32593500000075;None;None;None;[];106.32593500000075;None;"['7', '7', '7']";"[0.5360988000174984, 0.8078846000134945, 1.4718577000021469]";106.32593500000075;None;;;S11152;2022_Jan_14_1733;VideoMask;2021.1.2;120.016034152481;
7.0;m;027_o_m_s_a.jpg;sad;7.0;sad_10.4ns.avi;sad;7.0;congruent;130.0;160.0;185.20129417468752;s_s;;;;;0;5;5;5;;;;;;;109.33425210000132;None;111.09240439999849;111.40902359999018;112.63446400000248;112.6507724999974;115.70929749999777;None;7;0;0.4807671000016853;115.70929749999777;None;;;;;;;;3;;;;;;;117.25884369999403;None;None;None;[];117.25884369999403;None;"['7', '7', '7', '7']";"[0.5070245999959297, 0.8030297000077553, 1.1869337000243831, 1.8752452000044286]";117.25884369999403;None;;;S11152;2022_Jan_14_1733;VideoMask;2021.1.2;120.016034152481;
2.0;f;012_o_f_s_a.jpg;sad;7.0;sad_7.5ns.avi;sad;7.0;congruent;130.0;160.0;220.27842655424388;s_s;;;;;0;6;6;6;;;;;;;120.25907100000768;None;122.30070059999707;122.61705349999829;123.76760079999804;123.79220399999758;126.54224919999251;None;7;0;0.7994689000188373;126.54224919999251;None;;;;;;;;2;;;;;;;128.68363809998846;None;None;None;[];128.68363809998846;None;"['7', '7', '7', '7']";"[0.3143984999915119, 0.6100900999736041, 0.9780409999948461, 1.7544760999735445]";128.68363809998846;None;;;S11152;2022_Jan_14_1733;VideoMask;2021.1.2;120.016034152481;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_27.1ns.avi;happy;9.0;congruent;120.0;150.0;146.44967055810616;h_h;;;;;0;7;7;7;;;;;;;131.68357610001112;None;133.10840689999168;133.4251471000025;134.60002169999643;134.61687130000792;137.050089700002;None;9;0;0.6276756000006571;137.050089700002;None;;;;;;;;8;;;;;;;138.7249765000015;None;None;None;[];138.7249765000015;None;"['9', '9', '9']";"[0.39287370000965893, 0.9126681000052486, 1.2007193000172265]";138.7249765000015;None;;;S11152;2022_Jan_14_1733;VideoMask;2021.1.2;120.016034152481;
