primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.rt;slider_resp_response.started;slider_resp_response.stopped;key_resp.rt;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
1111;m;1111_m_m_h_a.jpg;happy;9;example_30.4ns.avi;neutral;7;incongruent;120.0;170.0;189.5874364012288;;0;0;0;0;;;;;40.965031799976714;1;41.04253029997926;43.042718799901195;43.042718799901195;None;45.059885399998166;None;47.27676679997239;47.59252770000603;48.717523799976334;48.734133099904284;53.067445699940436;None;None;0;53.067445699940436;None;54.667041199980304;None;None;None;[];54.667041199980304;None;7;"['9', '9']";"[13.577568699955009, 2.1545544000109658]";54.667041199980304;None;;;;;;;;;;;;;;;;;S11174;2022_Jan_28_1621;VideoMask;2021.1.2;120.01113700654798;
1113;f;1113_y_f_s_a.jpg;sad;7;example_30.3ns.avi;neutral;7;incongruent;130.0;170.0;229.02432995836998;;0;1;1;1;;;;;;;;;;;57.650693099945784;None;59.758727099979296;60.07537959993351;61.21718449995387;61.23373949993402;63.2170956999762;None;8;0;63.2170956999762;None;64.76704849989619;None;None;None;[];64.76704849989619;None;5;None;;64.76704849989619;None;1.0364070000359789;;;;;;;;;;;;;;;;S11174;2022_Jan_28_1621;VideoMask;2021.1.2;120.01113700654798;
9.0;f;019_m_f_h_a.jpg;happy;9.0;sad_115.1.wmv;sad;7.0;incongruent;120.0;160.0;128.09063432376465;h_s;;;;;0;0;0;0;;;;;;;68.80029539996758;None;70.06673500000034;70.3834949999582;71.51675399998203;71.53345529991202;73.51681989990175;None;7;0;73.51681989990175;None;;;;;;;;3;;;;;0.8008645999943838;67.80031540000346;None;75.06667149998248;None;None;None;[];75.06667149998248;None;"['7', '7']";"[0.7630666999612004, 1.7470175999915227]";75.06667149998248;None;;;S11174;2022_Jan_28_1621;VideoMask;2021.1.2;120.01113700654798;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_94.2ns.avi;sad;7.0;congruent;130.0;160.0;182.29120173647655;s_s;;;;;0;1;1;1;;;;;;;78.06673590000719;None;79.77478629990947;80.09151609998662;81.22474069998134;81.24156709993258;83.91650299995672;None;7;0;83.91650299995672;None;;;;;;;;4;;;;;0.6410565000260249;;;85.46643709996715;None;None;None;[];85.46643709996715;None;['7'];[0.9551277999999002];85.46643709996715;None;;;S11174;2022_Jan_28_1621;VideoMask;2021.1.2;120.01113700654798;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_26.1ns.avi;happy;9.0;congruent;120.0;150.0;155.9437854594882;h_h;;;;;0;2;2;2;;;;;;;88.4748328999849;None;89.94943339994643;90.26621779997367;91.42463019990828;91.4411963999737;93.39117299998179;None;9;0;93.39117299998179;None;;;;;;;;7;;;;;0.622591600054875;;;94.94117199990433;None;None;None;[];94.94117199990433;None;"['9', '9']";"[0.5525446999818087, 1.1684595999540761]";94.94117199990433;None;;;S11174;2022_Jan_28_1621;VideoMask;2021.1.2;120.01113700654798;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_138.1.wmv;sad;7.0;incongruent;120.0;160.0;133.99071306426532;h_s;;;;;0;3;3;3;;;;;;;97.94948519999161;None;99.26590529992245;99.58263049996458;100.70770439994521;100.72419949993491;102.72429069993086;None;8;0;102.72429069993086;None;;;;;;;;4;;;;;1.3932841999921948;;;104.27423449989874;None;None;None;[];104.27423449989874;None;['7'];[2.387419999926351];104.27423449989874;None;;;S11174;2022_Jan_28_1621;VideoMask;2021.1.2;120.01113700654798;
8.0;f;028_y_f_s_a.jpg;sad;7.0;sad_64.2ns.avi;sad;7.0;congruent;130.0;160.0;229.88540597086478;s_s;;;;;0;4;4;4;;;;;;;107.27409329998773;None;109.42388819996268;109.74066689994652;110.89107589994092;110.91567239991855;121.87362759991083;None;7;0;121.87362759991083;None;;;;;;;;4;;;;;0.7481359000084922;;;123.42364759999327;None;None;None;[];123.42364759999327;None;['7'];[1.0061137999873608];123.42364759999327;None;;;S11174;2022_Jan_28_1621;VideoMask;2021.1.2;120.01113700654798;
7.0;m;027_o_m_s_a.jpg;sad;7.0;sad_10.4ns.avi;sad;7.0;congruent;130.0;160.0;185.20129417468752;s_s;;;;;0;5;5;5;;;;;;;126.4234901999589;None;128.1566719999537;128.47343669994734;129.6565994999837;129.6732593999477;132.77338569995482;None;7;0;132.77338569995482;None;;;;;;;;5;;;;;0.9044383000582457;;;134.32324870000593;None;None;None;[];134.32324870000593;None;None;;134.32324870000593;None;;;S11174;2022_Jan_28_1621;VideoMask;2021.1.2;120.01113700654798;
2.0;f;012_o_f_s_a.jpg;sad;7.0;sad_7.5ns.avi;sad;7.0;congruent;130.0;160.0;220.27842655424388;s_s;;;;;0;6;6;6;;;;;;;137.33981559996027;None;139.36473249993287;139.6898750999244;140.89816389989574;140.91463419992942;143.60661339992657;None;7;0;143.60661339992657;None;;;;;;;;5;;;;;0.76694130001124;;;145.62297819997184;None;None;None;[];145.62297819997184;None;['7'];[2.526700200047344];145.62297819997184;None;;;S11174;2022_Jan_28_1621;VideoMask;2021.1.2;120.01113700654798;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_27.1ns.avi;happy;9.0;congruent;120.0;150.0;146.44967055810616;h_h;;;;;0;7;7;7;;;;;;;148.62289739993867;None;150.03105119999964;150.3477656999603;151.48938899999484;151.50610739993863;153.97269450000022;None;9;0;153.97269450000022;None;;;;;;;;7;;;;;0.6810588999651372;;;155.52268619998358;None;None;None;[];155.52268619998358;None;"['9', '9', '9']";"[1.026976800058037, 1.5469845000188798, 2.130896299961023]";155.52268619998358;None;;;S11174;2022_Jan_28_1621;VideoMask;2021.1.2;120.01113700654798;
