primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.rt;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.started;slider_resp_response.stopped;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.started;slider_resp_study.stopped;slider_resp_study.rt;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
1111;m;1111_m_m_h_a.jpg;happy;9;example_30.4ns.avi;neutral;7;incongruent;120.0;170.0;189.5874364012288;;0;0;0;0;;;;;28.589816600084305;1;28.667290500132367;30.667458000127226;30.667458000127226;None;32.683997499989346;None;34.934005100047216;35.250391100067645;36.42563550011255;36.44224280002527;40.74206530000083;None;9;0;1.340913100168109;40.74206530000083;None;42.301088500069454;None;None;None;[];42.301088500069454;None;5;None;42.301088500069454;None;;;;;;;;;;;;;;;;S11181;2022_Feb_01_1802;VideoMask;2021.1.2;120.0746864085902;
1113;f;1113_y_f_s_a.jpg;sad;7;example_30.3ns.avi;neutral;7;incongruent;130.0;170.0;229.02432995836998;;0;1;1;1;;;;;;;;;;;45.31697800010443;None;47.43347129994072;47.749998500104994;48.94192140013911;48.95850390009582;50.89186069997959;None;None;0;;50.89186069997959;None;52.44161830004305;None;None;None;[];52.44161830004305;None;5;None;52.44161830004305;None;;;;;;;;;;;;;;;;S11181;2022_Feb_01_1802;VideoMask;2021.1.2;120.0746864085902;
9.0;f;019_m_f_h_a.jpg;happy;9.0;sad_115.1.wmv;sad;7.0;incongruent;120.0;160.0;128.09063432376465;h_s;;;;;0;0;0;0;;;;;;;56.474993200041354;None;57.74144580005668;58.05819540005177;59.19132190011442;59.2082041001413;61.199872200144455;None;7;0;0.9230561999138445;61.199872200144455;None;;;;;;;;5;;;;55.47505290014669;None;62.74969259998761;None;None;None;[];62.74969259998761;None;None;62.74969259998761;None;;;;S11181;2022_Feb_01_1802;VideoMask;2021.1.2;120.0746864085902;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_94.2ns.avi;sad;7.0;congruent;130.0;160.0;182.29120173647655;s_s;;;;;0;1;1;1;;;;;;;65.76628700015135;None;67.47443650010973;67.7913246001117;68.92459910013713;68.94134799996391;71.61627730005421;None;7;0;1.0263554998673499;71.61627730005421;None;;;;;;;;4;;;;;;73.16617460013367;None;None;None;[];73.16617460013367;None;['7'];73.16617460013367;None;[0.6365972999483347];;;S11181;2022_Feb_01_1802;VideoMask;2021.1.2;120.0746864085902;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_26.1ns.avi;happy;9.0;congruent;120.0;150.0;155.9437854594882;h_h;;;;;0;2;2;2;;;;;;;76.17449599993415;None;77.65758130000904;77.97433970007114;79.13270780001767;79.14936359995045;81.09917349996977;None;9;0;0.8716667999979109;81.09917349996977;None;;;;;;;;4;;;;;;82.69093469996005;None;None;None;[];82.69093469996005;None;"['7', '7']";82.69093469996005;None;"[0.5759022000711411, 1.335953100118786]";;;S11181;2022_Feb_01_1802;VideoMask;2021.1.2;120.0746864085902;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_138.1.wmv;sad;7.0;incongruent;120.0;160.0;133.99071306426532;h_s;;;;;0;3;3;3;;;;;;;85.690794599941;None;87.00718219997361;87.32405910012312;88.449068200076;88.46567520010285;90.45728670014068;None;9;0;1.4735284999478608;90.45728670014068;None;;;;;;;;5;;;;;;92.00726550002582;None;None;None;[];92.00726550002582;None;None;92.00726550002582;None;;;;S11181;2022_Feb_01_1802;VideoMask;2021.1.2;120.0746864085902;
8.0;f;028_y_f_s_a.jpg;sad;7.0;sad_64.2ns.avi;sad;7.0;congruent;130.0;160.0;229.88540597086478;s_s;;;;;0;4;4;4;;;;;;;95.02377300010994;None;97.17360570002347;97.4903468999546;98.67372790002264;98.69038020004518;109.64016030007042;None;7;0;0.8425940999295563;109.64016030007042;None;;;;;;;;5;;;;;;111.18995260004885;None;None;None;[];111.18995260004885;None;None;111.18995260004885;None;;;;S11181;2022_Feb_01_1802;VideoMask;2021.1.2;120.0746864085902;
7.0;m;027_o_m_s_a.jpg;sad;7.0;sad_10.4ns.avi;sad;7.0;congruent;130.0;160.0;185.20129417468752;s_s;;;;;0;5;5;5;;;;;;;114.2233083001338;None;115.97310449997894;116.28981550014578;117.43149080011062;117.4482166999951;120.58978700009175;None;7;0;1.4208686000201851;120.58978700009175;None;;;;;;;;4;;;;;;122.13956040004268;None;None;None;[];122.13956040004268;None;['7'];122.13956040004268;None;[0.7674552001990378];;;S11181;2022_Feb_01_1802;VideoMask;2021.1.2;120.0746864085902;
2.0;f;012_o_f_s_a.jpg;sad;7.0;sad_7.5ns.avi;sad;7.0;congruent;130.0;160.0;220.27842655424388;s_s;;;;;0;6;6;6;;;;;;;125.13963109999895;None;127.16433930001222;127.48109650006518;128.6149260001257;128.63109929999337;131.40652159997262;None;7;0;0.7324165001045913;131.40652159997262;None;;;;;;;;2;;;;;;132.98941539996304;None;None;None;[];132.98941539996304;None;"['7', '7', '7', '7']";132.98941539996304;None;"[0.44548929994925857, 0.8694046000018716, 1.2213733000680804, 1.7412095998879522]";;;S11181;2022_Feb_01_1802;VideoMask;2021.1.2;120.0746864085902;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_27.1ns.avi;happy;9.0;congruent;120.0;150.0;146.44967055810616;h_h;;;;;0;7;7;7;;;;;;;135.99765040003695;None;137.4141088000033;137.73084790003486;138.8725129000377;138.88921310007572;141.35592170013115;None;9;0;1.1029497999697924;141.35592170013115;None;;;;;;;;4;;;;;;143.18886739993468;None;None;None;[];143.18886739993468;None;['7'];143.18886739993468;None;[0.6461294998880476];;;S11181;2022_Feb_01_1802;VideoMask;2021.1.2;120.0746864085902;
8.0;f;028_y_f_h_a.jpg;happy;9.0;sad_119.1.wmv;sad;7.0;incongruent;120.0;160.0;148.71526953572538;h_s;;;;;0;8;8;8;;;;;;;146.19728960003704;None;147.63888090010732;147.955603600014;149.08932740008458;149.11382730002515;151.16384169994853;None;None;0;;151.16384169994853;None;;;;;;;;5;;;;;;152.71371720009483;None;None;None;[];152.71371720009483;None;None;152.71371720009483;None;;;;S11181;2022_Feb_01_1802;VideoMask;2021.1.2;120.0746864085902;
6.0;m;016_y_m_s_a.jpg;sad;7.0;happy_60.4ns.avi;happy;9.0;incongruent;130.0;150.0;126.02367393611817;s_h;;;;;0;9;9;9;;;;;;;155.75543670007028;None;157.03043489996344;157.34690569993109;158.51367620006204;158.53022329998203;164.2884853000287;None;9;0;0.7222917000763118;164.2884853000287;None;;;;;;;;6;;;;;;165.8467260999605;None;None;None;[];165.8467260999605;None;['9'];165.8467260999605;None;[0.5883032002020627];;;S11181;2022_Feb_01_1802;VideoMask;2021.1.2;120.0746864085902;
9.0;f;019_m_f_s_a.jpg;sad;7.0;sad_8.4ns.avi;sad;7.0;congruent;130.0;160.0;171.6633093155257;s_s;;;;;0;10;10;10;;;;;;;168.8551436001435;None;170.5216312999837;170.83818650012836;171.9798393000383;171.9965476000216;180.10545990010723;None;7;0;0.80144890001975;180.10545990010723;None;;;;;;;;4;;;;;;181.7379209001083;None;None;None;[];181.7379209001083;None;['7'];181.7379209001083;None;[1.281086100032553];;;S11181;2022_Feb_01_1802;VideoMask;2021.1.2;120.0746864085902;
4.0;m;004_o_m_h_a.jpg;happy;9.0;happy_1.1ns.avi;happy;9.0;congruent;120.0;150.0;203.50057144619865;h_h;;;;;0;11;11;11;;;;;;;184.73792949994095;None;186.70434770011343;187.02100410009734;188.17108760005794;188.18770930008031;202.63731279992498;None;9;0;0.6137057000305504;202.63731279992498;None;;;;;;;;6;;;;;;204.42895149998367;None;None;None;[];204.42895149998367;None;['9'];204.42895149998367;None;[0.4140588999725878];;;S11181;2022_Feb_01_1802;VideoMask;2021.1.2;120.0746864085902;
7.0;m;027_o_m_h_a.jpg;happy;9.0;happy_20.1ns.avi;happy;9.0;congruent;120.0;150.0;152.91127178874285;h_h;;;;;0;12;12;12;;;;;;;207.43723400007002;None;208.93706719996408;209.25365510000847;210.4704452001024;210.48705280013382;213.4036656001117;None;9;0;0.9113219999708235;213.4036656001117;None;;;;;;;;7;;;;;;214.94520510011353;None;None;None;[];214.94520510011353;None;"['9', '9']";214.94520510011353;None;"[0.4177344001363963, 1.1457043001428246]";;;S11181;2022_Feb_01_1802;VideoMask;2021.1.2;120.0746864085902;
0.0;f;040_y_f_s_a.jpg;sad;7.0;sad_94.3ns.avi;sad;7.0;congruent;130.0;160.0;155.27414203894395;s_s;;;;;0;13;13;13;;;;;;;217.94532239995897;None;219.4283670000732;219.7450814000331;220.95329650002532;220.9784204000607;223.50337960012257;None;7;0;0.8916401001624763;223.50337960012257;None;;;;;;;;5;;;;;;225.05330740008503;None;None;None;[];225.05330740008503;None;None;225.05330740008503;None;;;;S11181;2022_Feb_01_1802;VideoMask;2021.1.2;120.0746864085902;
0.0;f;030_o_f_s_a.jpg;sad;7.0;sad_68.1ns.avi;sad;7.0;congruent;130.0;160.0;158.9411396037211;s_s;;;;;0;14;14;14;;;;;;;228.08658879995346;None;229.61979230004363;229.9364791000262;231.0698109001387;231.08647929993458;238.49463329999708;None;7;0;1.1243469000328332;238.49463329999708;None;;;;;;;;5;;;;;;240.0778081000317;None;None;None;[];240.0778081000317;None;None;240.0778081000317;None;;;;S11181;2022_Feb_01_1802;VideoMask;2021.1.2;120.0746864085902;
0.0;f;030_o_f_h_a.jpg;happy;9.0;sad_127.1.wmv;sad;7.0;incongruent;120.0;160.0;180.59976631384873;h_s;;;;;0;15;15;15;;;;;;;243.1110658000689;None;244.81923680007458;245.13596970005892;246.26106450008228;246.2776876001153;248.26934590004385;None;None;0;;248.26934590004385;None;;;;;;;;5;;;;;;249.8359471000731;None;None;None;[];249.8359471000731;None;"['7', '9']";249.8359471000731;None;"[9.717208300018683, 2.2630666999612004]";;;S11181;2022_Feb_01_1802;VideoMask;2021.1.2;120.0746864085902;
8.0;m;008_y_m_s_a.jpg;sad;7.0;happy_133.3.wmv;happy;9.0;incongruent;130.0;150.0;152.577966552593;s_h;;;;;0;16;16;16;;;;;;;252.81928840000182;None;254.30238909996115;254.61906370008364;255.7441271999851;255.76071860012598;257.7523549001198;None;9;0;0.6664136999752373;257.7523549001198;None;;;;;;;;5;;;;;;259.3023336001206;None;None;None;[];259.3023336001206;None;None;259.3023336001206;None;;;;S11181;2022_Feb_01_1802;VideoMask;2021.1.2;120.0746864085902;
