primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.rt;slider_resp_response.started;slider_resp_response.stopped;key_resp.rt;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
1111;m;1111_m_m_h_a.jpg;happy;9;example_30.4ns.avi;neutral;7;incongruent;120.0;170.0;189.5874364012288;;0;0;0;0;;;;;83.68966030000593;1;83.7842840999947;85.78444709999894;85.78444709999894;None;87.8183854999952;None;90.10923550000007;90.43430839999928;91.62578060000669;91.642577599996;95.90094229999522;None;None;0;95.90094229999522;None;97.45066849999421;None;None;None;[];97.45066849999421;None;6;['9'];[2.6575204000109807];97.45066849999421;None;;;;;;;;;;;;;;;;;S_11203;2022_Feb_10_1544;VideoMask;2021.1.2;119.82462467609966;
1113;f;1113_y_f_s_a.jpg;sad;7;example_30.3ns.avi;neutral;7;incongruent;130.0;170.0;229.02432995836998;;0;1;1;1;;;;;;;;;;;100.45062909999979;None;102.58379980000609;102.90057880000677;104.06727899999532;104.08386820000305;106.04213739999977;None;8;0;106.04213739999977;None;107.58373779999965;None;None;None;[];107.58373779999965;None;6;['9'];[1.9964884999935748];107.58373779999965;None;0.7138916999974754;;;;;;;;;;;;;;;;S_11203;2022_Feb_10_1544;VideoMask;2021.1.2;119.82462467609966;
9.0;f;019_m_f_h_a.jpg;happy;9.0;sad_115.1.wmv;sad;7.0;incongruent;120.0;160.0;128.09063432376465;h_s;;;;;0;0;0;0;;;;;;;111.61689659999683;None;112.92510710000352;113.24189230000775;114.3754603999987;114.40001789999951;116.37512029999925;None;7;0;116.37512029999925;None;;;;;;;;4;;;;;1.1569767000037245;110.58364359999541;None;117.92475160000322;None;None;None;[];117.92475160000322;None;['7'];[1.1916138999949908];117.92475160000322;None;;;S_11203;2022_Feb_10_1544;VideoMask;2021.1.2;119.82462467609966;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_94.2ns.avi;sad;7.0;congruent;130.0;160.0;182.29120173647655;s_s;;;;;0;1;1;1;;;;;;;120.92497849999927;None;122.67493520000426;122.99148320000677;124.14994190000289;124.16652149999572;126.81647499999963;None;7;0;126.81647499999963;None;;;;;;;;3;;;;;1.1637653999932809;;;128.36643399999593;None;None;None;[];128.36643399999593;None;"['7', '7']";"[0.7416336999885971, 1.1896309000003384]";128.36643399999593;None;;;S_11203;2022_Feb_10_1544;VideoMask;2021.1.2;119.82462467609966;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_26.1ns.avi;happy;9.0;congruent;120.0;150.0;155.9437854594882;h_h;;;;;0;2;2;2;;;;;;;131.374796899996;None;132.86603489999834;133.1827917000046;134.3077568000008;134.32433210000454;136.30777329999546;None;None;0;136.30777329999546;None;;;;;;;;7;;;;;;;;137.85771290000412;None;None;None;[];137.85771290000412;None;"['9', '9']";"[0.3624032000079751, 2.0583311000082176]";137.85771290000412;None;;;S_11203;2022_Feb_10_1544;VideoMask;2021.1.2;119.82462467609966;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_138.1.wmv;sad;7.0;incongruent;120.0;160.0;133.99071306426532;h_s;;;;;0;3;3;3;;;;;;;140.8577774000005;None;142.1908631999977;142.5075813000003;143.63270240000566;143.6492900000012;145.6408780000056;None;7;0;145.6408780000056;None;;;;;;;;3;;;;;0.603233600006206;;;147.19084579999617;None;None;None;[];147.19084579999617;None;"['7', '7']";"[0.5892471999977715, 0.9253895000001648]";147.19084579999617;None;;;S_11203;2022_Feb_10_1544;VideoMask;2021.1.2;119.82462467609966;
8.0;f;028_y_f_s_a.jpg;sad;7.0;sad_64.2ns.avi;sad;7.0;congruent;130.0;160.0;229.88540597086478;s_s;;;;;0;4;4;4;;;;;;;150.19079249999777;None;152.4155463000061;152.73237379999773;153.89067480000085;153.90716849999444;164.87362339999527;None;7;0;164.87362339999527;None;;;;;;;;5;;;;;0.5145157999941148;;;166.42353179999918;None;None;None;[];166.42353179999918;None;None;;166.42353179999918;None;;;S_11203;2022_Feb_10_1544;VideoMask;2021.1.2;119.82462467609966;
7.0;m;027_o_m_s_a.jpg;sad;7.0;sad_10.4ns.avi;sad;7.0;congruent;130.0;160.0;185.20129417468752;s_s;;;;;0;5;5;5;;;;;;;169.44831609999528;None;171.19822089999798;171.5150059000007;172.69830370000273;172.71501290000742;175.8236493000004;None;7;0;175.8236493000004;None;;;;;;;;1;;;;;0.3485204999888083;;;177.46489889999793;None;None;None;[];177.46489889999793;None;"['7', '7', '7', '7']";"[0.45915470000181813, 1.4190258999879006, 1.6589468999882229, 2.0431934999942314]";177.46489889999793;None;;;S_11203;2022_Feb_10_1544;VideoMask;2021.1.2;119.82462467609966;
2.0;f;012_o_f_s_a.jpg;sad;7.0;sad_7.5ns.avi;sad;7.0;congruent;130.0;160.0;220.27842655424388;s_s;;;;;0;6;6;6;;;;;;;180.46479480000562;None;182.51461830000335;182.83122740000545;183.99843380000675;184.0234266000043;186.7567110999953;None;7;0;186.7567110999953;None;;;;;;;;2;;;;;0.6793810000090161;;;188.31455179999466;None;None;None;[];188.31455179999466;None;"['7', '7', '7']";"[0.5056034000008367, 0.9134191999910399, 1.3136048999876948]";188.31455179999466;None;;;S_11203;2022_Feb_10_1544;VideoMask;2021.1.2;119.82462467609966;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_27.1ns.avi;happy;9.0;congruent;120.0;150.0;146.44967055810616;h_h;;;;;0;7;7;7;;;;;;;191.31458869999915;None;192.75592910000705;193.0726324999996;194.28084530000342;194.2976742000028;196.69759540000814;None;9;0;196.69759540000814;None;;;;;;;;6;;;;;0.6185119000001578;;;198.24755430000369;None;None;None;[];198.24755430000369;None;['9'];[2.8126871999993455];198.24755430000369;None;;;S_11203;2022_Feb_10_1544;VideoMask;2021.1.2;119.82462467609966;
8.0;f;028_y_f_h_a.jpg;happy;9.0;sad_119.1.wmv;sad;7.0;incongruent;120.0;160.0;148.71526953572538;h_s;;;;;0;8;8;8;;;;;;;201.2474768999964;None;202.69737330000498;203.01402250000683;204.15567399999418;204.17245549999643;206.22230670000135;None;7;0;206.22230670000135;None;;;;;;;;2;;;;;0.5656087999959709;;;207.77221320000535;None;None;None;[];207.77221320000535;None;"['7', '7', '7']";"[0.4236235999997007, 0.7677314000029583, 1.1678322000079788]";207.77221320000535;None;;;S_11203;2022_Feb_10_1544;VideoMask;2021.1.2;119.82462467609966;
6.0;m;016_y_m_s_a.jpg;sad;7.0;happy_60.4ns.avi;happy;9.0;incongruent;130.0;150.0;126.02367393611817;s_h;;;;;0;9;9;9;;;;;;;210.77227190000121;None;212.08880769999814;212.40539230000286;213.5804649000056;213.5969838000019;219.33022309999797;None;9;0;219.33022309999797;None;;;;;;;;8;;;;;0.561936500002048;;;220.88021119999758;None;None;None;[];220.88021119999758;None;"['9', '9', '9']";"[0.5397286000079475, 0.9397387000062736, 1.3314743000082672]";220.88021119999758;None;;;S_11203;2022_Feb_10_1544;VideoMask;2021.1.2;119.82462467609966;
9.0;f;019_m_f_s_a.jpg;sad;7.0;sad_8.4ns.avi;sad;7.0;congruent;130.0;160.0;171.6633093155257;s_s;;;;;0;10;10;10;;;;;;;223.88011050000205;None;225.56322720000753;225.88003369999933;227.05495900000096;227.07146680000005;235.1548463000072;None;7;0;235.1548463000072;None;;;;;;;;1;;;;;0.5132672999898205;;;236.91311599999608;None;None;None;[];236.91311599999608;None;"['7', '7', '7', '7']";"[0.418915799993556, 0.6905422999989241, 0.931031800006167, 1.89096150000114]";236.91311599999608;None;;;S_11203;2022_Feb_10_1544;VideoMask;2021.1.2;119.82462467609966;
4.0;m;004_o_m_h_a.jpg;happy;9.0;happy_1.1ns.avi;happy;9.0;congruent;120.0;150.0;203.50057144619865;h_h;;;;;0;11;11;11;;;;;;;239.91291470000579;None;241.8960131000058;242.22124030000123;243.38781569999992;243.40447160000622;257.83798510000634;None;9;0;257.83798510000634;None;;;;;;;;6;;;;;0.5342518999968888;;;259.64549629999965;None;None;None;[];259.64549629999965;None;['9'];[0.39025199999741744];259.64549629999965;None;;;S_11203;2022_Feb_10_1544;VideoMask;2021.1.2;119.82462467609966;
7.0;m;027_o_m_h_a.jpg;happy;9.0;happy_20.1ns.avi;happy;9.0;congruent;120.0;150.0;152.91127178874285;h_h;;;;;0;12;12;12;;;;;;;262.6454964000004;None;264.1454136999964;264.462091399997;265.6121232000005;265.6287374999956;268.61222070000076;None;9;0;268.61222070000076;None;;;;;;;;8;;;;;0.6077042999968398;;;270.60341169999447;None;None;None;[];270.60341169999447;None;"['9', '9', '9']";"[0.3846155000064755, 0.680465000012191, 1.4488728000142146]";270.60341169999447;None;;;S_11203;2022_Feb_10_1544;VideoMask;2021.1.2;119.82462467609966;
0.0;f;040_y_f_s_a.jpg;sad;7.0;sad_94.3ns.avi;sad;7.0;congruent;130.0;160.0;155.27414203894395;s_s;;;;;0;13;13;13;;;;;;;273.6119295999961;None;275.11996389999695;275.43677390000084;276.6115242999949;276.62821070000064;279.1951818999951;None;7;0;279.1951818999951;None;;;;;;;;5;;;;;0.44914530000824016;;;280.78665520000504;None;None;None;[];280.78665520000504;None;None;;280.78665520000504;None;;;S_11203;2022_Feb_10_1544;VideoMask;2021.1.2;119.82462467609966;
0.0;f;030_o_f_s_a.jpg;sad;7.0;sad_68.1ns.avi;sad;7.0;congruent;130.0;160.0;158.9411396037211;s_s;;;;;0;14;14;14;;;;;;;283.8031387000083;None;285.36135740000464;285.6780571999989;286.81182770000305;286.83640970000124;294.236209900002;None;7;0;294.236209900002;None;;;;;;;;1;;;;;0.5679097999964142;;;295.7945199999958;None;None;None;[];295.7945199999958;None;"['7', '7', '7', '7']";"[0.4016503000020748, 0.6732579000090482, 1.0491668000031495, 1.361635599998408]";295.7945199999958;None;;;S_11203;2022_Feb_10_1544;VideoMask;2021.1.2;119.82462467609966;
0.0;f;030_o_f_h_a.jpg;happy;9.0;sad_127.1.wmv;sad;7.0;incongruent;120.0;160.0;180.59976631384873;h_s;;;;;0;15;15;15;;;;;;;298.8027396999969;None;300.5442432999989;300.8609521000035;301.994156700006;302.01097230000596;303.9942250000022;None;7;0;303.9942250000022;None;;;;;;;;2;;;;;0.5057852999889292;;;305.5443243000045;None;None;None;[];305.5443243000045;None;"['7', '7', '7']";"[0.38772070000413805, 1.8914487000001827, 2.2356295000063255]";305.5443243000045;None;;;S_11203;2022_Feb_10_1544;VideoMask;2021.1.2;119.82462467609966;
8.0;m;008_y_m_s_a.jpg;sad;7.0;happy_133.3.wmv;happy;9.0;incongruent;130.0;150.0;152.577966552593;s_h;;;;;0;16;16;16;;;;;;;308.54411830000754;None;310.02735699999903;310.34397770000214;311.46901689999504;311.48560699999507;313.47741269999824;None;9;0;313.47741269999824;None;;;;;;;;6;;;;;0.7985800000024028;;;315.02726440000697;None;None;None;[];315.02726440000697;None;['9'];[0.41655000000901055];315.02726440000697;None;;;S_11203;2022_Feb_10_1544;VideoMask;2021.1.2;119.82462467609966;
3.0;m;033_o_m_h_a.jpg;happy;9.0;sad_128.1.wmv;sad;7.0;incongruent;120.0;160.0;171.0492454518585;h_s;;;;;0;17;17;17;;;;;;;318.02715290000197;None;319.7104510000063;320.0270454999991;321.16852920000383;321.1853686999966;323.1603219999961;None;7;0;323.1603219999961;None;;;;;;;;1;;;;;0.619503199995961;;;324.7102737999958;None;None;None;[];324.7102737999958;None;"['7', '7', '7', '7', '7']";"[0.3098778000130551, 0.5895198000071105, 0.7977481000125408, 1.2375936000025831, 1.5254618000035407]";324.7102737999958;None;;;S_11203;2022_Feb_10_1544;VideoMask;2021.1.2;119.82462467609966;
1.0;f;021_o_f_h_a.jpg;happy;9.0;sad_116.1.wmv;sad;7.0;incongruent;120.0;160.0;184.06847610053055;h_s;;;;;0;18;18;18;;;;;;;327.7102077000018;None;329.48514940000314;329.8016612000065;330.935066799997;330.9517128000007;332.93501200000173;None;7;0;332.93501200000173;None;;;;;;;;4;;;;;1.1731844000023557;;;334.4849757000047;None;None;None;[];334.4849757000047;None;['7'];[0.47907800000393763];334.4849757000047;None;;;S_11203;2022_Feb_10_1544;VideoMask;2021.1.2;119.82462467609966;
4.0;m;004_o_m_s_a.jpg;sad;7.0;happy_28.1ns.avi;happy;9.0;incongruent;130.0;150.0;157.40741103039684;s_h;;;;;0;19;19;19;;;;;;;337.48502530000405;None;339.0182199999981;339.3347381000058;340.47627670000657;340.4929209999973;344.85962540000037;None;7;0;344.85962540000037;None;;;;;;;;8;;;;;0.49636249999457505;;;346.4761826000031;None;None;None;[];346.4761826000031;None;"['9', '9', '9', '9']";"[0.6158785000006901, 0.9598074000095949, 1.3195668000116711, 1.7118136000062805]";346.4761826000031;None;;;S_11203;2022_Feb_10_1544;VideoMask;2021.1.2;119.82462467609966;
8.0;f;028_y_f_s_a.jpg;sad;7.0;happy_122.3.wmv;happy;9.0;incongruent;130.0;150.0;171.8670540936116;s_h;;;;;0;20;20;20;;;;;;;349.4846166000061;None;351.14267180000024;351.4594252999959;352.5931680000067;352.61765610000293;354.59265429999505;None;9;0;354.59265429999505;None;;;;;;;;6;;;;;0.9635070000076666;;;356.14263740000024;None;None;None;[];356.14263740000024;None;['9'];[1.8373085000057472];356.14263740000024;None;;;S_11203;2022_Feb_10_1544;VideoMask;2021.1.2;119.82462467609966;
8.0;m;008_y_m_s_a.jpg;sad;7.0;sad_6.5ns.avi;sad;7.0;congruent;130.0;160.0;170.39333839271438;s_s;;;;;0;21;21;21;;;;;;;359.1509468000004;None;360.80068090000714;361.1173834000074;362.2673661000008;362.28467069999897;367.25074859999586;None;7;0;367.25074859999586;None;;;;;;;;4;;;;;0.6652257999958238;;;368.8005814000062;None;None;None;[];368.8005814000062;None;['7'];[0.36332340000080876];368.8005814000062;None;;;S_11203;2022_Feb_10_1544;VideoMask;2021.1.2;119.82462467609966;
8.0;f;028_y_f_h_a.jpg;happy;9.0;happy_23.1ns.avi;happy;9.0;congruent;120.0;150.0;225.70986890587952;h_h;;;;;0;22;22;22;;;;;;;371.80054680000467;None;373.8836145999958;374.2003870000044;375.35855030000675;375.37516690000484;379.9085402000055;None;9;0;379.9085402000055;None;;;;;;;;8;;;;;0.5995222000055946;;;381.4584424000059;None;None;None;[];381.4584424000059;None;"['9', '9', '9']";"[0.4174725000048056, 0.6814559000049485, 0.9295424000010826]";381.4584424000059;None;;;S_11203;2022_Feb_10_1544;VideoMask;2021.1.2;119.82462467609966;
8.0;m;008_y_m_h_a.jpg;happy;9.0;sad_111.1.wmv;sad;7.0;incongruent;120.0;160.0;152.63076835312847;h_s;;;;;0;23;23;23;;;;;;;384.4583760999958;None;385.9415907000075;386.2582955999969;387.3922478000022;387.42535849999695;389.39157399999385;None;7;0;389.39157399999385;None;;;;;;;;5;;;;;0.5723968000093009;;;390.9415136000025;None;None;None;[];390.9415136000025;None;None;;390.9415136000025;None;;;S_11203;2022_Feb_10_1544;VideoMask;2021.1.2;119.82462467609966;
0.0;f;040_y_f_s_a.jpg;sad;7.0;sad_67.2ns.avi;sad;7.0;congruent;130.0;160.0;220.9892697323079;s_s;;;;;0;24;24;24;;;;;;;393.9579503999994;None;396.0580348000076;396.374647500008;397.533050500002;397.5496820999979;406.73270090000005;None;7;0;406.73270090000005;None;;;;;;;;3;;;;;0.5992651999986265;;;408.2826480000076;None;None;None;[];408.2826480000076;None;"['7', '7', '7', '7']";"[0.7774065999983577, 1.209237499992014, 1.601450100002694, 2.7534095000009984]";408.2826480000076;None;;;S_11203;2022_Feb_10_1544;VideoMask;2021.1.2;119.82462467609966;
8.0;m;008_y_m_s_a.jpg;sad;7.0;happy_29.1ns.avi;happy;9.0;incongruent;130.0;150.0;120.0316142834122;s_h;;;;;0;25;25;25;;;;;;;411.2908754999953;None;412.51574339999934;412.83243969999603;413.98245090000273;413.9990670999978;416.657386699997;None;9;0;416.657386699997;None;;;;;;;;6;;;;;0.5625077000004239;;;418.2073343999946;None;None;None;[];418.2073343999946;None;"['9', '9']";"[0.428720500000054, 0.916771099990001]";418.2073343999946;None;;;S_11203;2022_Feb_10_1544;VideoMask;2021.1.2;119.82462467609966;
6.0;m;016_y_m_s_a.jpg;sad;7.0;sad_8.3ns.avi;sad;7.0;congruent;130.0;160.0;152.85371098242734;s_s;;;;;0;26;26;26;;;;;;;421.2072446999955;None;422.7404730999988;423.0569078999979;424.23206629999913;424.2490075999958;431.9485821999988;None;7;0;431.9485821999988;None;;;;;;;;3;;;;;0.5353041999915149;;;433.49856039999577;None;None;None;[];433.49856039999577;None;"['7', '7']";"[0.33774450000782963, 0.6892194000101881]";433.49856039999577;None;;;S_11203;2022_Feb_10_1544;VideoMask;2021.1.2;119.82462467609966;
6.0;m;016_y_m_h_a.jpg;happy;9.0;sad_114.1.wmv;sad;7.0;incongruent;120.0;160.0;136.20550699298644;h_s;;;;;0;27;27;27;;;;;;;436.49862899999425;None;437.8565593999956;438.17331870000635;439.3066465000011;439.3233420000033;441.3067294000066;None;7;0;441.3067294000066;None;;;;;;;;1;;;;;0.5530861000006553;;;442.8565643000038;None;None;None;[];442.8565643000038;None;"['7', '7', '7', '7']";"[0.3313025000097696, 0.6275005000061356, 0.8592113000049721, 1.195261400003801]";442.8565643000038;None;;;S_11203;2022_Feb_10_1544;VideoMask;2021.1.2;119.82462467609966;
7.0;m;027_o_m_s_a.jpg;sad;7.0;happy_117.3.wmv;happy;9.0;incongruent;130.0;150.0;215.61964028550614;s_h;;;;;0;28;28;28;;;;;;;445.86491980000574;None;447.881341100001;448.197914999997;449.32311749999644;449.3397496999969;451.3313047999982;None;8;0;451.3313047999982;None;;;;;;;;5;;;;;0.7845995999959996;;;452.88128519999736;None;None;None;[];452.88128519999736;None;None;;452.88128519999736;None;;;S_11203;2022_Feb_10_1544;VideoMask;2021.1.2;119.82462467609966;
6.0;m;016_y_m_h_a.jpg;happy;9.0;happy_9.2ns.avi;happy;9.0;congruent;120.0;150.0;130.52042428082717;h_h;;;;;0;29;29;29;;;;;;;455.8977428000071;None;457.2394748999941;457.55606329999864;458.7144232999999;458.7316955999995;464.61419960000785;None;9;0;464.61419960000785;None;;;;;;;;6;;;;;0.989706100008334;;;466.1641688999953;None;None;None;[];466.1641688999953;None;['9'];[0.7758742000005441];466.1641688999953;None;;;S_11203;2022_Feb_10_1544;VideoMask;2021.1.2;119.82462467609966;
