primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.started;slider_resp_response.stopped;key_resp.rt;slider_resp_response.rt;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
1111;m;1111_m_m_h_a.jpg;happy;9;example_30.4ns.avi;neutral;7;incongruent;120.0;170.0;189.5874364012288;;0;0;0;0;;;;;148.58549289999064;1;148.66300679999404;150.66313230001833;150.66313230001833;None;152.68032340001082;None;154.94658610003535;155.26351620000787;156.47113900003023;156.4878955000313;160.7378650000319;None;None;0;160.7378650000319;None;162.2875570000033;None;None;None;[];162.2875570000033;None;5;None;162.2875570000033;None;;;;;;;;;;;;;;;;;;S11231a;2022_Feb_21_1906;VideoMask;2021.1.2;120.45333815782308;
1113;f;1113_y_f_s_a.jpg;sad;7;example_30.3ns.avi;neutral;7;incongruent;130.0;170.0;229.02432995836998;;0;1;1;1;;;;;;;;;;;165.31270820001373;None;167.43764810002176;167.7540907000075;168.92092890001368;168.93751040002098;170.88813750003465;None;8;0;170.88813750003465;None;172.72903990000486;None;None;None;[];172.72903990000486;None;6;['9'];172.72903990000486;None;0.7133106999681331;[0.6722734000068158];;;;;;;;;;;;;;;;S11231a;2022_Feb_21_1906;VideoMask;2021.1.2;120.45333815782308;
9.0;f;019_m_f_h_a.jpg;happy;9.0;sad_115.1.wmv;sad;7.0;incongruent;120.0;160.0;128.09063432376465;h_s;;;;;0;0;0;0;;;;;;;176.7622724000248;None;178.0454696000088;178.3622148000286;179.51284400001168;179.5453855000087;181.50378770002862;None;7;0;181.50378770002862;None;;;;;;;;3;;;;1.2172001999570057;;175.7373747000238;None;183.0536195000168;None;None;None;[];183.0536195000168;None;"['7', '7', '7']";"[0.93959399999585, 1.4435820000362583, 1.9956806999980472]";183.0536195000168;None;;;S11231a;2022_Feb_21_1906;VideoMask;2021.1.2;120.45333815782308;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_94.2ns.avi;sad;7.0;congruent;130.0;160.0;182.29120173647655;s_s;;;;;0;1;1;1;;;;;;;186.05390790000092;None;187.76172640000004;188.07850410003448;189.2619257000042;189.27857670001686;191.90347070002463;None;8;0;191.90347070002463;None;;;;;;;;4;;;;0.705560400034301;;;;193.894942599989;None;None;None;[];193.894942599989;None;['7'];[0.8660834999755025];193.894942599989;None;;;S11231a;2022_Feb_21_1906;VideoMask;2021.1.2;120.45333815782308;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_26.1ns.avi;happy;9.0;congruent;120.0;150.0;155.9437854594882;h_h;;;;;0;2;2;2;;;;;;;196.89504110004054;None;198.37814670003718;198.69487340003252;199.84483190003084;199.86160659999587;201.81986680004047;None;9;0;201.81986680004047;None;;;;;;;;8;;;;1.0372388000250794;;;;203.36981080000987;None;None;None;[];203.36981080000987;None;"['9', '9', '9', '9']";"[0.5114368999493308, 0.8635911999735981, 1.3271859999513254, 2.023507099947892]";203.36981080000987;None;;;S11231a;2022_Feb_21_1906;VideoMask;2021.1.2;120.45333815782308;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_138.1.wmv;sad;7.0;incongruent;120.0;160.0;133.99071306426532;h_s;;;;;0;3;3;3;;;;;;;206.36968080000952;None;207.69454130000668;208.01131219998933;209.1446187000256;209.1613376000314;211.14456350001274;None;7;0;211.14456350001274;None;;;;;;;;3;;;;1.3045605999650434;;;;212.6945110000088;None;None;None;[];212.6945110000088;None;"['7', '7', '7']";"[0.6107023999793455, 1.0191345000057481, 1.4746395999682136]";212.6945110000088;None;;;S11231a;2022_Feb_21_1906;VideoMask;2021.1.2;120.45333815782308;
8.0;f;028_y_f_s_a.jpg;sad;7.0;sad_64.2ns.avi;sad;7.0;congruent;130.0;160.0;229.88540597086478;s_s;;;;;0;4;4;4;;;;;;;215.6945027000038;None;217.8442059000372;218.16098970000166;219.29430160002084;219.3116660999949;230.29414870002074;None;7;0;230.29414870002074;None;;;;;;;;2;;;;0.7229560999548994;;;;231.8439073000336;None;None;None;[];231.8439073000336;None;"['7', '7', '7']";"[0.4131949000293389, 0.7733345000306144, 1.2213645000010729]";231.8439073000336;None;;;S11231a;2022_Feb_21_1906;VideoMask;2021.1.2;120.45333815782308;
7.0;m;027_o_m_s_a.jpg;sad;7.0;sad_10.4ns.avi;sad;7.0;congruent;130.0;160.0;185.20129417468752;s_s;;;;;0;5;5;5;;;;;;;234.8439521000255;None;236.58527060004417;236.91059210000094;238.07752200000687;238.10205010004574;241.21031300001778;None;7;0;241.21031300001778;None;;;;;;;;2;;;;0.9508227999904193;;;;242.76023950002855;None;None;None;[];242.76023950002855;None;"['7', '7', '7']";"[0.46496439998736605, 0.8087426000274718, 1.0969571000314318]";242.76023950002855;None;;;S11231a;2022_Feb_21_1906;VideoMask;2021.1.2;120.45333815782308;
2.0;f;012_o_f_s_a.jpg;sad;7.0;sad_7.5ns.avi;sad;7.0;congruent;130.0;160.0;220.27842655424388;s_s;;;;;0;6;6;6;;;;;;;245.76868050004123;None;247.793261600018;248.11000340001192;249.30172680004034;249.3184481000062;252.03536680003162;None;7;0;252.03536680003162;None;;;;;;;;3;;;;0.8456793000223115;;;;253.79324550001184;None;None;None;[];253.79324550001184;None;"['7', '7']";"[0.39195709995692596, 0.7197856999700889]";253.79324550001184;None;;;S11231a;2022_Feb_21_1906;VideoMask;2021.1.2;120.45333815782308;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_27.1ns.avi;happy;9.0;congruent;120.0;150.0;146.44967055810616;h_h;;;;;0;7;7;7;;;;;;;256.801406899991;None;258.21801640000194;258.53467510000337;259.74292160000186;259.7597079999978;262.1596768000163;None;9;0;262.1596768000163;None;;;;;;;;9;;;;0.49724980001337826;;;;263.7012541000149;None;None;None;[];263.7012541000149;None;"['9', '9', '9', '9']";"[0.3318221000372432, 0.7242706000106409, 1.124046000011731, 1.4838364000315778]";263.7012541000149;None;;;S11231a;2022_Feb_21_1906;VideoMask;2021.1.2;120.45333815782308;
