primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.rt;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.started;slider_resp_response.stopped;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
1111;m;1111_m_m_h_a.jpg;happy;9;example_30.4ns.avi;neutral;7;incongruent;120.0;170.0;189.5874364012288;;0;0;0;0;;;;;175.41864069993608;1;175.49601030000485;177.49632179993205;177.49632179993205;None;179.51339500001632;None;181.77968429983594;182.0960752000101;183.2877045997884;183.30433219997212;187.5708963999059;None;8;0;1.5371462998446077;187.5708963999059;None;189.39588429988362;None;None;None;[];189.39588429988362;None;5;None;189.39588429988362;None;;;;;;;;;;;;;;;;S11309;2022_Mar_22_2058;VideoMask;2021.1.2;120.00062406387624;
1113;f;1113_y_f_s_a.jpg;sad;7;example_30.3ns.avi;neutral;7;incongruent;130.0;170.0;229.02432995836998;;0;1;1;1;;;;;;;;;;;192.41251789988019;None;194.5205862999428;194.83732049982063;195.97906769998372;195.99585850001313;197.9706228999421;None;8;0;0.9772779000923038;197.9706228999421;None;199.5205448998604;None;None;None;[];199.5205448998604;None;5;None;199.5205448998604;None;;;;;;;;;;;;;;;;S11309;2022_Mar_22_2058;VideoMask;2021.1.2;120.00062406387624;
9.0;f;019_m_f_h_a.jpg;happy;9.0;sad_115.1.wmv;sad;7.0;incongruent;120.0;160.0;128.09063432376465;h_s;;;;;0;0;0;0;;;;;;;203.55372159997933;None;204.82864700001664;205.14529879996553;206.27850259980187;206.2951429998502;208.27860249998048;None;7;0;1.2212532998528332;208.27860249998048;None;;;;;;;;4;;;;202.5454495998565;None;209.82852179999463;None;None;None;[];209.82852179999463;None;"['7', '7']";"[0.9434310998767614, 1.9195946999825537]";209.82852179999463;None;;;S11309;2022_Mar_22_2058;VideoMask;2021.1.2;120.00062406387624;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_94.2ns.avi;sad;7.0;congruent;130.0;160.0;182.29120173647655;s_s;;;;;0;1;1;1;;;;;;;212.84528219979256;None;214.5616189998109;214.87841629981995;216.0950908998493;216.11170329991728;218.70337069989182;None;8;0;1.1405238998122513;218.70337069989182;None;;;;;;;;4;;;;;;220.27823129994795;None;None;None;[];220.27823129994795;None;['7'];[1.9498892000410706];220.27823129994795;None;;;S11309;2022_Mar_22_2058;VideoMask;2021.1.2;120.00062406387624;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_26.1ns.avi;happy;9.0;congruent;120.0;150.0;155.9437854594882;h_h;;;;;0;2;2;2;;;;;;;223.28636499983259;None;224.77798189991154;225.09471859992482;226.36135789984837;226.3779998999089;228.21966599998996;None;9;0;0.8162000000011176;228.21966599998996;None;;;;;;;;8;;;;;;229.76958879991435;None;None;None;[];229.76958879991435;None;"['9', '9', '9']";"[0.954530700109899, 1.2984807000029832, 1.7781682000495493]";229.76958879991435;None;;;S11309;2022_Mar_22_2058;VideoMask;2021.1.2;120.00062406387624;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_138.1.wmv;sad;7.0;incongruent;120.0;160.0;133.99071306426532;h_s;;;;;0;3;3;3;;;;;;;232.76960149989463;None;234.08596109994687;234.40267119999044;235.55278879986145;235.5694216999691;237.53610099991783;None;7;0;1.1318667000159621;237.53610099991783;None;;;;;;;;5;;;;;;239.0860246999655;None;None;None;[];239.0860246999655;None;None;;239.0860246999655;None;;;S11309;2022_Mar_22_2058;VideoMask;2021.1.2;120.00062406387624;
8.0;f;028_y_f_s_a.jpg;sad;7.0;sad_64.2ns.avi;sad;7.0;congruent;130.0;160.0;229.88540597086478;s_s;;;;;0;4;4;4;;;;;;;242.1024356998969;None;244.26058939984068;244.57742779981345;245.71883079991676;245.74445289978758;256.71056369994767;None;7;0;0.5975430000107735;256.71056369994767;None;;;;;;;;2;;;;;;258.2603728999384;None;None;None;[];258.2603728999384;None;"['7', '7', '7', '7']";"[1.4237897000275552, 1.8877405999228358, 2.1674256999976933, 2.5355259000789374]";258.2603728999384;None;;;S11309;2022_Mar_22_2058;VideoMask;2021.1.2;120.00062406387624;
7.0;m;027_o_m_s_a.jpg;sad;7.0;sad_10.4ns.avi;sad;7.0;congruent;130.0;160.0;185.20129417468752;s_s;;;;;0;5;5;5;;;;;;;261.26861679996364;None;263.01015899982303;263.3268297999166;264.4938592999242;264.50997219979763;267.62679199990816;None;7;0;0.9610923000145704;267.62679199990816;None;;;;;;;;3;;;;;;269.17673269985244;None;None;None;[];269.17673269985244;None;"['7', '7']";"[0.6591763999313116, 1.2591869998723269]";269.17673269985244;None;;;S11309;2022_Mar_22_2058;VideoMask;2021.1.2;120.00062406387624;
2.0;f;012_o_f_s_a.jpg;sad;7.0;sad_7.5ns.avi;sad;7.0;congruent;130.0;160.0;220.27842655424388;s_s;;;;;0;6;6;6;;;;;;;272.1850242000073;None;274.2097508998122;274.5264937998727;275.7015155998524;275.71819019992836;278.451481499942;None;7;0;0.8484384999610484;278.451481499942;None;;;;;;;;5;;;;;;280.0013409999665;None;None;None;[];280.0013409999665;None;['7'];[0.9946501001249999];280.0013409999665;None;;;S11309;2022_Mar_22_2058;VideoMask;2021.1.2;120.00062406387624;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_27.1ns.avi;happy;9.0;congruent;120.0;150.0;146.44967055810616;h_h;;;;;0;7;7;7;;;;;;;283.0013750998769;None;284.4094120999798;284.72608579997905;285.9260583999567;285.9428669998888;288.35115869995207;None;9;0;0.5087360001634806;288.35115869995207;None;;;;;;;;9;;;;;;289.9010379000101;None;None;None;[];289.9010379000101;None;"['9', '9', '9', '9', '9', '9']";"[0.6947414998430759, 0.9908338999375701, 1.2949444998521358, 1.622681199805811, 1.9988780999556184, 2.19898399990052]";289.9010379000101;None;;;S11309;2022_Mar_22_2058;VideoMask;2021.1.2;120.00062406387624;
8.0;f;028_y_f_h_a.jpg;happy;9.0;sad_119.1.wmv;sad;7.0;incongruent;120.0;160.0;148.71526953572538;h_s;;;;;0;8;8;8;;;;;;;292.9010013998486;None;294.34244739986025;294.6592656997964;295.7924709999934;295.8092122999951;297.85917589999735;None;7;0;1.1445792999584228;297.85917589999735;None;;;;;;;;3;;;;;;299.409076299984;None;None;None;[];299.409076299984;None;"['7', '7']";"[1.0746512999758124, 1.5628386999014765]";299.409076299984;None;;;S11309;2022_Mar_22_2058;VideoMask;2021.1.2;120.00062406387624;
6.0;m;016_y_m_s_a.jpg;sad;7.0;happy_60.4ns.avi;happy;9.0;incongruent;130.0;150.0;126.02367393611817;s_h;;;;;0;9;9;9;;;;;;;302.40908059990034;None;303.675511199981;303.99222879996523;305.1426754000131;305.1672457999084;310.917034199927;None;8;0;0.5348458997905254;310.917034199927;None;;;;;;;;5;;;;;;312.46693889983;None;None;None;[];312.46693889983;None;None;;312.46693889983;None;;;S11309;2022_Mar_22_2058;VideoMask;2021.1.2;120.00062406387624;
9.0;f;019_m_f_s_a.jpg;sad;7.0;sad_8.4ns.avi;sad;7.0;congruent;130.0;160.0;171.6633093155257;s_s;;;;;0;10;10;10;;;;;;;315.5001313998364;None;317.1666598999873;317.483417699812;318.63380509987473;318.6584772998467;326.74983989982866;None;7;0;0.46197120007127523;326.74983989982866;None;;;;;;;;5;;;;;;328.2998231998645;None;None;None;[];328.2998231998645;None;"['7', '7']";"[0.5199191998690367, 2.544044699985534]";328.2998231998645;None;;;S11309;2022_Mar_22_2058;VideoMask;2021.1.2;120.00062406387624;
4.0;m;004_o_m_h_a.jpg;happy;9.0;happy_1.1ns.avi;happy;9.0;congruent;120.0;150.0;203.50057144619865;h_h;;;;;0;11;11;11;;;;;;;331.2997692998033;None;333.2578423998784;333.57468319986947;334.699644099921;334.7162497998215;349.1908336998895;None;8;0;0.5972667001187801;349.1908336998895;None;;;;;;;;5;;;;;;350.94078379985876;None;None;None;[];350.94078379985876;None;None;;350.94078379985876;None;;;S11309;2022_Mar_22_2058;VideoMask;2021.1.2;120.00062406387624;
