primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.rt;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.started;slider_resp_response.stopped;slider_resp_response.rt;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.started;slider_resp_study.stopped;slider_resp_study.rt;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
1111;m;1111_m_m_h_a.jpg;happy;9;example_30.4ns.avi;neutral;7;incongruent;120.0;170.0;189.5874364012288;;0;0;0;0;;;;;149.56361179985106;1;149.6411402998492;151.64113219990395;151.64113219990395;None;153.65763449994847;None;155.87421029992402;156.19084409996867;157.35750829987228;157.37425519991666;161.66577670001425;None;8;0;1.1504665000829846;161.66577670001425;None;163.22445710003376;None;None;None;[];163.22445710003376;None;5;None;163.22445710003376;None;;;;;;;;;;;;;;;;;S11335;2022_Mar_30_2123;VideoMask;2021.1.2;119.97010327848136;
1113;f;1113_y_f_s_a.jpg;sad;7;example_30.3ns.avi;neutral;7;incongruent;130.0;170.0;229.02432995836998;;0;1;1;1;;;;;;;;;;;166.24063779995777;None;168.34878539992496;168.6655301998835;169.84887910005637;169.8653662998695;171.79884819989093;None;9;0;1.2811877001076937;171.79884819989093;None;173.34878819994628;None;None;None;[];173.34878819994628;None;7;"['9', '9']";173.34878819994628;None;"[0.4751070998609066, 1.5792761000338942]";;;;;;;;;;;;;;;;S11335;2022_Mar_30_2123;VideoMask;2021.1.2;119.97010327848136;
9.0;f;019_m_f_h_a.jpg;happy;9.0;sad_115.1.wmv;sad;7.0;incongruent;120.0;160.0;128.09063432376465;h_s;;;;;0;0;0;0;;;;;;;177.38203669991344;None;178.6567844999954;178.97345819999464;180.10669459984638;180.13188560004346;182.10682499990799;None;None;0;;182.10682499990799;None;;;;;;;;5;;;;;176.34862469998188;None;183.65654239989817;None;None;None;[];183.65654239989817;None;None;183.65654239989817;None;;;;S11335;2022_Mar_30_2123;VideoMask;2021.1.2;119.97010327848136;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_94.2ns.avi;sad;7.0;congruent;130.0;160.0;182.29120173647655;s_s;;;;;0;1;1;1;;;;;;;186.69009179994464;None;188.40642439993098;188.7231816998683;189.85662329988554;189.87318750005215;192.54822340002283;None;7;0;1.5483774000313133;192.54822340002283;None;;;;;;;;3;;;;;;;194.33140349993482;None;None;None;[];194.33140349993482;None;"['7', '7', '7']";194.33140349993482;None;"[0.6845867000520229, 1.2444788999855518, 1.5964621000457555]";;;S11335;2022_Mar_30_2123;VideoMask;2021.1.2;119.97010327848136;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_26.1ns.avi;happy;9.0;congruent;120.0;150.0;155.9437854594882;h_h;;;;;0;2;2;2;;;;;;;197.3397685000673;None;198.83123250002973;199.14786459994502;200.31456870003603;200.33119819988497;202.27277090004645;None;8;0;0.7112308000214398;202.27277090004645;None;;;;;;;;5;;;;;;;203.8227325999178;None;None;None;[];203.8227325999178;None;None;203.8227325999178;None;;;;S11335;2022_Mar_30_2123;VideoMask;2021.1.2;119.97010327848136;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_138.1.wmv;sad;7.0;incongruent;120.0;160.0;133.99071306426532;h_s;;;;;0;3;3;3;;;;;;;206.8392101000063;None;208.16420280002058;208.4809025998693;209.60595089988783;209.622550399974;211.61412260006182;None;None;0;;211.61412260006182;None;;;;;;;;2;;;;;;;213.16405120003037;None;None;None;[];213.16405120003037;None;"['7', '7', '7', '7']";213.16405120003037;None;"[0.315932699944824, 0.6358262000139803, 0.8998400999698788, 1.3639234998263419]";;;S11335;2022_Mar_30_2123;VideoMask;2021.1.2;119.97010327848136;
8.0;f;028_y_f_s_a.jpg;sad;7.0;sad_64.2ns.avi;sad;7.0;congruent;130.0;160.0;229.88540597086478;s_s;;;;;0;4;4;4;;;;;;;216.17244479991496;None;218.31375139998272;218.63056139997207;219.78062269999646;219.79731939989142;230.7635470998939;None;7;0;1.0123250999022275;230.7635470998939;None;;;;;;;;3;;;;;;;232.37186579988338;None;None;None;[];232.37186579988338;None;"['7', '7']";232.37186579988338;None;"[0.42809069994837046, 0.8040221999399364]";;;S11335;2022_Mar_30_2123;VideoMask;2021.1.2;119.97010327848136;
7.0;m;027_o_m_s_a.jpg;sad;7.0;sad_10.4ns.avi;sad;7.0;congruent;130.0;160.0;185.20129417468752;s_s;;;;;0;5;5;5;;;;;;;235.38026129989885;None;237.12160089984536;237.43824839987792;238.62205079989508;238.6466989000328;241.73837989987805;None;7;0;1.1896246999967843;241.73837989987805;None;;;;;;;;3;;;;;;;243.29656509985216;None;None;None;[];243.29656509985216;None;"['7', '7', '7', '7']";243.29656509985216;None;"[0.5352646999526769, 0.8072663999628276, 1.319401399930939, 1.6554201999679208]";;;S11335;2022_Mar_30_2123;VideoMask;2021.1.2;119.97010327848136;
2.0;f;012_o_f_s_a.jpg;sad;7.0;sad_7.5ns.avi;sad;7.0;congruent;130.0;160.0;220.27842655424388;s_s;;;;;0;6;6;6;;;;;;;246.29653290007263;None;248.3212760000024;248.63801719993353;249.85461929999292;249.87131049996242;252.56308740004897;None;7;0;0.49298590002581477;252.56308740004897;None;;;;;;;;4;;;;;;;254.12119510001503;None;None;None;[];254.12119510001503;None;['7'];254.12119510001503;None;[1.6626772000454366];;;S11335;2022_Mar_30_2123;VideoMask;2021.1.2;119.97010327848136;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_27.1ns.avi;happy;9.0;congruent;120.0;150.0;146.44967055810616;h_h;;;;;0;7;7;7;;;;;;;257.1210777000524;None;258.5376337999478;258.8542702998966;260.02100900001824;260.0376657000743;262.47929499996826;None;9;0;1.48079470009543;262.47929499996826;None;;;;;;;;6;;;;;;;264.02898829989135;None;None;None;[];264.02898829989135;None;['9'];264.02898829989135;None;[0.4510119000915438];;;S11335;2022_Mar_30_2123;VideoMask;2021.1.2;119.97010327848136;
