primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.started;slider_resp_response.stopped;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;key_resp.rt;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
1111;m;1111_m_m_h_a.jpg;happy;9;example_30.4ns.avi;neutral;7;incongruent;120.0;170.0;189.5874364012288;;0;0;0;0;;;;;114.21099180029705;1;114.28950540022925;116.28973030019552;116.28973030019552;None;118.30628310004249;None;120.25603240029886;120.58128480007872;121.7894494002685;121.80618770001456;126.04766010027379;None;None;0;126.04766010027379;None;127.82248320011422;None;None;None;[];127.82248320011422;None;5;None;127.82248320011422;None;;;;;;;;;;;;;;;;;S11376;2022_Apr_13_1931;VideoMask;2021.1.2;120.17988516681162;
1113;f;1113_y_f_s_a.jpg;sad;7;example_30.3ns.avi;neutral;7;incongruent;130.0;170.0;229.02432995836998;;0;1;1;1;;;;;;;;;;;130.82231890037656;None;132.9474670002237;133.2639411999844;134.47238059993833;134.4894715002738;136.3973934003152;None;None;0;136.3973934003152;None;137.94714220007882;None;None;None;[];137.94714220007882;None;5;None;137.94714220007882;None;;;;;;;;;;;;;;;;;S11376;2022_Apr_13_1931;VideoMask;2021.1.2;120.17988516681162;
9.0;f;019_m_f_h_a.jpg;happy;9.0;sad_115.1.wmv;sad;7.0;incongruent;120.0;160.0;128.09063432376465;h_s;;;;;0;0;0;0;;;;;;;141.98887290013954;None;143.2720190002583;143.5886043002829;144.73879040032625;144.75546379992738;146.72196729993448;None;None;0;146.72196729993448;None;;;;;;;;5;;;;140.98063200013712;None;148.32199080009013;None;None;None;[];148.32199080009013;None;"['7', '9']";"[0.09863389981910586, 2.106756899971515]";148.32199080009013;None;;;;S11376;2022_Apr_13_1931;VideoMask;2021.1.2;120.17988516681162;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_94.2ns.avi;sad;7.0;congruent;130.0;160.0;182.29120173647655;s_s;;;;;0;1;1;1;;;;;;;151.3219540999271;None;153.05503180017695;153.3717050999403;154.57160759996623;154.58871980011463;157.1967506003566;None;None;0;157.1967506003566;None;;;;;;;;5;;;;;;158.76315090013668;None;None;None;[];158.76315090013668;None;None;;158.76315090013668;None;;;;S11376;2022_Apr_13_1931;VideoMask;2021.1.2;120.17988516681162;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_26.1ns.avi;happy;9.0;congruent;120.0;150.0;155.9437854594882;h_h;;;;;0;2;2;2;;;;;;;161.79663900006562;None;163.29638670012355;163.61309450026602;164.74698500009254;164.76334790000692;166.73805500008166;None;9;0;166.73805500008166;None;;;;;;;;7;;;;;;168.28801220003515;None;None;None;[];168.28801220003515;None;"['9', '9']";"[1.1726882001385093, 1.5885352999903262]";168.28801220003515;None;0.8345846999436617;;;S11376;2022_Apr_13_1931;VideoMask;2021.1.2;120.17988516681162;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_138.1.wmv;sad;7.0;incongruent;120.0;160.0;133.99071306426532;h_s;;;;;0;3;3;3;;;;;;;171.28798090014607;None;172.61267499998212;172.92944040009752;174.05454639997333;174.07119280006737;176.06273240037262;None;7;0;176.06273240037262;None;;;;;;;;4;;;;;;177.6127320001833;None;None;None;[];177.6127320001833;None;['7'];[1.4798463000915945];177.6127320001833;None;1.2698772000148892;;;S11376;2022_Apr_13_1931;VideoMask;2021.1.2;120.17988516681162;
8.0;f;028_y_f_s_a.jpg;sad;7.0;sad_64.2ns.avi;sad;7.0;congruent;130.0;160.0;229.88540597086478;s_s;;;;;0;4;4;4;;;;;;;180.61279160017148;None;182.82089700037614;183.1374909002334;184.37919609993696;184.39586850022897;195.27061730017886;None;7;0;195.27061730017886;None;;;;;;;;3;;;;;;196.8204332999885;None;None;None;[];196.8204332999885;None;"['7', '7']";"[0.7282620999030769, 1.0802294998429716]";196.8204332999885;None;1.0141463000327349;;;S11376;2022_Apr_13_1931;VideoMask;2021.1.2;120.17988516681162;
7.0;m;027_o_m_s_a.jpg;sad;7.0;sad_10.4ns.avi;sad;7.0;congruent;130.0;160.0;185.20129417468752;s_s;;;;;0;5;5;5;;;;;;;199.82033180026338;None;201.5784793002531;201.89515450038016;203.0867300000973;203.10345070017502;206.19517139997333;None;None;0;206.19517139997333;None;;;;;;;;4;;;;;;207.7615951001644;None;None;None;[];207.7615951001644;None;['7'];[10.864241600036621];207.7615951001644;None;;;;S11376;2022_Apr_13_1931;VideoMask;2021.1.2;120.17988516681162;
2.0;f;012_o_f_s_a.jpg;sad;7.0;sad_7.5ns.avi;sad;7.0;congruent;130.0;160.0;220.27842655424388;s_s;;;;;0;6;6;6;;;;;;;210.74499380029738;None;212.7781360000372;213.0948435999453;214.28662270028144;214.30322550004348;217.02001290023327;None;7;0;217.02001290023327;None;;;;;;;;2;;;;;;218.57807830022648;None;None;None;[];218.57807830022648;None;"['7', '7', '7', '7', '7']";"[0.49853420024737716, 0.8025491000153124, 1.2025800999253988, 1.538700600154698, 1.8825898002833128]";218.57807830022648;None;0.9366824999451637;;;S11376;2022_Apr_13_1931;VideoMask;2021.1.2;120.17988516681162;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_27.1ns.avi;happy;9.0;congruent;120.0;150.0;146.44967055810616;h_h;;;;;0;7;7;7;;;;;;;221.5862954002805;None;223.01124550029635;223.32788040023297;224.51995990006253;224.54463460016996;226.9529077000916;None;9;0;226.9529077000916;None;;;;;;;;8;;;;;;228.50278310012072;None;None;None;[];228.50278310012072;None;"['9', '9', '9']";"[0.7896306999027729, 1.1261241999454796, 1.7657241998240352]";228.50278310012072;None;1.091610699892044;;;S11376;2022_Apr_13_1931;VideoMask;2021.1.2;120.17988516681162;
8.0;f;028_y_f_h_a.jpg;happy;9.0;sad_119.1.wmv;sad;7.0;incongruent;120.0;160.0;148.71526953572538;h_s;;;;;0;8;8;8;;;;;;;231.5026742001064;None;232.9524977002293;233.26925639994442;234.41063769999892;234.42763249995187;236.46923670032993;None;7;0;236.46923670032993;None;;;;;;;;3;;;;;;238.01911740005016;None;None;None;[];238.01911740005016;None;"['7', '7', '7']";"[1.1535276998765767, 1.70568129979074, 2.089473099913448]";238.01911740005016;None;1.1994451000355184;;;S11376;2022_Apr_13_1931;VideoMask;2021.1.2;120.17988516681162;
6.0;m;016_y_m_s_a.jpg;sad;7.0;happy_60.4ns.avi;happy;9.0;incongruent;130.0;150.0;126.02367393611817;s_h;;;;;0;9;9;9;;;;;;;241.01904190005735;None;242.31904910039157;242.63567320024595;243.79387450031936;243.81060150032863;249.56054780026898;None;9;0;249.56054780026898;None;;;;;;;;7;;;;;;251.11040200013667;None;None;None;[];251.11040200013667;None;"['9', '9']";"[0.7822918999008834, 1.5901766000315547]";251.11040200013667;None;0.9479935998097062;;;S11376;2022_Apr_13_1931;VideoMask;2021.1.2;120.17988516681162;
9.0;f;019_m_f_s_a.jpg;sad;7.0;sad_8.4ns.avi;sad;7.0;congruent;130.0;160.0;171.6633093155257;s_s;;;;;0;10;10;10;;;;;;;254.1104128002189;None;255.793508999981;256.1101623000577;257.29346770001575;257.31017870036885;265.3767637000419;None;7;0;265.3767637000419;None;;;;;;;;3;;;;;;266.92656429996714;None;None;None;[];266.92656429996714;None;"['7', '7', '7']";"[0.5580764999613166, 0.9179831999354064, 1.3739029997959733]";266.92656429996714;None;1.195868999697268;;;S11376;2022_Apr_13_1931;VideoMask;2021.1.2;120.17988516681162;
4.0;m;004_o_m_h_a.jpg;happy;9.0;happy_1.1ns.avi;happy;9.0;congruent;120.0;150.0;203.50057144619865;h_h;;;;;0;11;11;11;;;;;;;269.93487260024995;None;271.9511815002188;272.26803639996797;273.4763942002319;273.49296830035746;287.8931252001785;None;9;0;287.8931252001785;None;;;;;;;;7;;;;;;290.17582410015166;None;None;None;[];290.17582410015166;None;"['9', '9', '9']";"[0.4848500997759402, 1.0607027998194098, 2.0049353996291757]";290.17582410015166;None;1.6717147999443114;;;S11376;2022_Apr_13_1931;VideoMask;2021.1.2;120.17988516681162;
7.0;m;027_o_m_h_a.jpg;happy;9.0;happy_20.1ns.avi;happy;9.0;congruent;120.0;150.0;152.91127178874285;h_h;;;;;0;12;12;12;;;;;;;293.17584570031613;None;294.6921957000159;295.0089537999593;296.2007173001766;296.21798379998654;299.15891300002113;None;9;0;299.15891300002113;None;;;;;;;;8;;;;;;300.70883070025593;None;None;None;[];300.70883070025593;None;"['9', '9', '9']";"[0.5357927000150084, 0.847564599942416, 1.1756931999698281]";300.70883070025593;None;1.1736119999550283;;;S11376;2022_Apr_13_1931;VideoMask;2021.1.2;120.17988516681162;
0.0;f;040_y_f_s_a.jpg;sad;7.0;sad_94.3ns.avi;sad;7.0;congruent;130.0;160.0;155.27414203894395;s_s;;;;;0;13;13;13;;;;;;;303.7088035000488;None;305.20853990036994;305.5253127999604;306.6753490003757;306.69180650031194;309.28353550005704;None;None;0;309.28353550005704;None;;;;;;;;5;;;;;;310.83331140037626;None;None;None;[];310.83331140037626;None;None;;310.83331140037626;None;;;;S11376;2022_Apr_13_1931;VideoMask;2021.1.2;120.17988516681162;
0.0;f;030_o_f_s_a.jpg;sad;7.0;sad_68.1ns.avi;sad;7.0;congruent;130.0;160.0;158.9411396037211;s_s;;;;;0;14;14;14;;;;;;;313.84994340036064;None;315.42510210024193;315.7415757002309;316.9082575002685;316.9250439000316;324.29978070035577;None;7;0;324.29978070035577;None;;;;;;;;3;;;;;;325.8499817000702;None;None;None;[];325.8499817000702;None;"['7', '7']";"[0.5785705000162125, 0.9865473001264036]";325.8499817000702;None;0.8407829999923706;;;S11376;2022_Apr_13_1931;VideoMask;2021.1.2;120.17988516681162;
0.0;f;030_o_f_h_a.jpg;happy;9.0;sad_127.1.wmv;sad;7.0;incongruent;120.0;160.0;180.59976631384873;h_s;;;;;0;15;15;15;;;;;;;328.849640800152;None;330.5744268000126;330.8911909000017;332.01622080011293;332.03287480026484;334.02444850001484;None;None;0;334.02444850001484;None;;;;;;;;3;;;;;;335.5910243000835;None;None;None;[];335.5910243000835;None;"['7', '7']";"[9.666497100144625, 2.17358689988032]";335.5910243000835;None;;;;S11376;2022_Apr_13_1931;VideoMask;2021.1.2;120.17988516681162;
8.0;m;008_y_m_s_a.jpg;sad;7.0;happy_133.3.wmv;happy;9.0;incongruent;130.0;150.0;152.577966552593;s_h;;;;;0;16;16;16;;;;;;;338.58275560010225;None;340.0658571003005;340.3825564002618;341.5075435000472;341.52414360037073;343.5240797000006;None;9;0;343.5240797000006;None;;;;;;;;7;;;;;;345.2657709000632;None;None;None;[];345.2657709000632;None;"['9', '9']";"[0.9706933996640146, 1.290883899666369]";345.2657709000632;None;1.0566703998483717;;;S11376;2022_Apr_13_1931;VideoMask;2021.1.2;120.17988516681162;
3.0;m;033_o_m_h_a.jpg;happy;9.0;sad_128.1.wmv;sad;7.0;incongruent;120.0;160.0;171.0492454518585;h_s;;;;;0;17;17;17;;;;;;;348.27415399998426;None;349.92382000014186;350.2405822002329;351.373679399956;351.39036420034245;353.3737691999413;None;7;0;353.3737691999413;None;;;;;;;;3;;;;;;354.9237589002587;None;None;None;[];354.9237589002587;None;"['7', '7']";"[0.8090523998253047, 1.0806951997801661]";354.9237589002587;None;1.0867482000030577;;;S11376;2022_Apr_13_1931;VideoMask;2021.1.2;120.17988516681162;
1.0;f;021_o_f_h_a.jpg;happy;9.0;sad_116.1.wmv;sad;7.0;incongruent;120.0;160.0;184.06847610053055;h_s;;;;;0;18;18;18;;;;;;;357.9236675002612;None;359.67349090008065;359.9902352001518;361.12412760034204;361.1485717999749;363.1234838999808;None;7;0;363.1234838999808;None;;;;;;;;2;;;;;;364.6734673003666;None;None;None;[];364.6734673003666;None;"['7', '7', '7', '7']";"[0.41902290005236864, 0.7071134997531772, 1.0749042998068035, 1.4993372997269034]";364.6734673003666;None;0.8411111999303102;;;S11376;2022_Apr_13_1931;VideoMask;2021.1.2;120.17988516681162;
4.0;m;004_o_m_s_a.jpg;sad;7.0;happy_28.1ns.avi;happy;9.0;incongruent;130.0;150.0;157.40741103039684;s_h;;;;;0;19;19;19;;;;;;;367.67343319999054;None;369.20666939998046;369.5232847002335;370.67331159999594;370.6898171999492;375.0481400000863;None;9;0;375.0481400000863;None;;;;;;;;9;;;;;;376.5981022999622;None;None;None;[];376.5981022999622;None;"['9', '9', '9', '9']";"[0.3906745999120176, 0.6065193000249565, 0.8303211000747979, 1.166635800153017]";376.5981022999622;None;0.6204789001494646;;;S11376;2022_Apr_13_1931;VideoMask;2021.1.2;120.17988516681162;
8.0;f;028_y_f_s_a.jpg;sad;7.0;happy_122.3.wmv;happy;9.0;incongruent;130.0;150.0;171.8670540936116;s_h;;;;;0;20;20;20;;;;;;;379.60651160031557;None;381.2561384001747;381.5728460000828;382.7062286003493;382.7229434000328;384.7062870003283;None;9;0;384.7062870003283;None;;;;;;;;8;;;;;;386.2561278999783;None;None;None;[];386.2561278999783;None;"['9', '9', '9', '9']";"[0.3964112000539899, 0.6525098001584411, 1.0124756000004709, 1.3484335001558065]";386.2561278999783;None;0.8262589001096785;;;S11376;2022_Apr_13_1931;VideoMask;2021.1.2;120.17988516681162;
