primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.rt;slider_resp_response.started;slider_resp_response.stopped;key_resp.rt;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
1111;m;1111_m_m_h_a.jpg;happy;9;example_30.4ns.avi;neutral;7;incongruent;120.0;170.0;189.5874364012288;;0;0;0;0;;;;;110.62536869995529;1;110.7030403999961;112.7029901999631;112.7029901999631;None;114.72808359999908;None;116.95321609999519;117.26951379998354;118.4201022000052;118.43680829997174;122.74460209999233;None;None;0;122.74460209999233;None;124.29429099999834;None;None;None;[];124.29429099999834;None;4;['7'];[2.9248813000158407];124.29429099999834;None;;;;;;;;;;;;;;;;;S11388;2022_Apr_21_1839;VideoMask;2021.1.2;120.07728171190232;
1113;f;1113_y_f_s_a.jpg;sad;7;example_30.3ns.avi;neutral;7;incongruent;130.0;170.0;229.02432995836998;;0;1;1;1;;;;;;;;;;;127.2943179999711;None;129.41078249999555;129.72745790000772;130.86909180000657;130.88580190000357;132.86093039996922;None;8;0;132.86093039996922;None;134.76072739996016;None;None;None;[];134.76072739996016;None;5;None;;134.76072739996016;None;0.8062783000059426;;;;;;;;;;;;;;;;S11388;2022_Apr_21_1839;VideoMask;2021.1.2;120.07728171190232;
9.0;f;019_m_f_h_a.jpg;happy;9.0;sad_115.1.wmv;sad;7.0;incongruent;120.0;160.0;128.09063432376465;h_s;;;;;0;0;0;0;;;;;;;138.79395869997097;None;140.06891039997572;140.3854757999652;141.51868549996288;141.53551969997352;143.51899379998213;None;7;0;143.51899379998213;None;;;;;;;;3;;;;;1.1960167000070214;137.7939938000054;None;145.06863639998483;None;None;None;[];145.06863639998483;None;"['7', '7']";"[1.1426316000288352, 1.7589348999899812]";145.06863639998483;None;;;S11388;2022_Apr_21_1839;VideoMask;2021.1.2;120.07728171190232;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_94.2ns.avi;sad;7.0;congruent;130.0;160.0;182.29120173647655;s_s;;;;;0;1;1;1;;;;;;;148.0854823999689;None;149.80185260000871;150.11855660000583;151.27691049996065;151.29337510000914;153.9435140999849;None;7;0;153.9435140999849;None;;;;;;;;3;;;;;0.7557201000163332;;;155.48514899995644;None;None;None;[];155.48514899995644;None;"['7', '7', '7']";"[0.7183080000104383, 1.3020205000066198, 2.149871199973859]";155.48514899995644;None;;;S11388;2022_Apr_21_1839;VideoMask;2021.1.2;120.07728171190232;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_26.1ns.avi;happy;9.0;congruent;120.0;150.0;155.9437854594882;h_h;;;;;0;2;2;2;;;;;;;158.48510960000567;None;159.9681119999732;160.2848607999622;161.4683221000014;161.484878999996;163.40988449996803;None;9;0;163.40988449996803;None;;;;;;;;7;;;;;0.5532026000437327;;;164.95982589997584;None;None;None;[];164.95982589997584;None;"['9', '9']";"[0.6112623999943025, 1.0113821999984793]";164.95982589997584;None;;;S11388;2022_Apr_21_1839;VideoMask;2021.1.2;120.07728171190232;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_138.1.wmv;sad;7.0;incongruent;120.0;160.0;133.99071306426532;h_s;;;;;0;3;3;3;;;;;;;167.95999509998364;None;169.2846177999745;169.60137499996927;170.72641609999118;170.74296579998918;172.73459079995519;None;8;0;172.73459079995519;None;;;;;;;;4;;;;;1.2605496000032872;;;174.2845505999867;None;None;None;[];174.2845505999867;None;"['7', '7']";"[0.718593800032977, 1.2628188999951817]";174.2845505999867;None;;;S11388;2022_Apr_21_1839;VideoMask;2021.1.2;120.07728171190232;
8.0;f;028_y_f_s_a.jpg;sad;7.0;sad_64.2ns.avi;sad;7.0;congruent;130.0;160.0;229.88540597086478;s_s;;;;;0;4;4;4;;;;;;;177.28452499996638;None;179.4427161999629;179.75933049997548;180.9596929999534;180.98501669999678;191.89234339998802;None;7;0;191.89234339998802;None;;;;;;;;2;;;;;0.39894189999904484;;;193.44231630000286;None;None;None;[];193.44231630000286;None;"['7', '7', '7']";"[0.31312360003357753, 0.6089722000178881, 0.9450039999792352]";193.44231630000286;None;;;S11388;2022_Apr_21_1839;VideoMask;2021.1.2;120.07728171190232;
7.0;m;027_o_m_s_a.jpg;sad;7.0;sad_10.4ns.avi;sad;7.0;congruent;130.0;160.0;185.20129417468752;s_s;;;;;0;5;5;5;;;;;;;196.45056769996881;None;198.20036789996084;198.51709419995314;199.6674359999597;199.69202630000655;202.82538840000052;None;7;0;202.82538840000052;None;;;;;;;;3;;;;;0.5059070999850519;;;204.37530359998345;None;None;None;[];204.37530359998345;None;"['7', '7']";"[0.5559794000000693, 0.9719046000391245]";204.37530359998345;None;;;S11388;2022_Apr_21_1839;VideoMask;2021.1.2;120.07728171190232;
2.0;f;012_o_f_s_a.jpg;sad;7.0;sad_7.5ns.avi;sad;7.0;congruent;130.0;160.0;220.27842655424388;s_s;;;;;0;6;6;6;;;;;;;207.3835728999693;None;209.41673699999228;209.733389800007;210.9498792999657;210.96685079997405;213.6588224999723;None;7;0;213.6588224999723;None;;;;;;;;3;;;;;0.3363097999827005;;;215.22495229996275;None;None;None;[];215.22495229996275;None;"['7', '7']";"[0.7463234000024386, 1.1863097999594174]";215.22495229996275;None;;;S11388;2022_Apr_21_1839;VideoMask;2021.1.2;120.07728171190232;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_27.1ns.avi;happy;9.0;congruent;120.0;150.0;146.44967055810616;h_h;;;;;0;7;7;7;;;;;;;218.225264699955;None;219.64141169999493;219.9580883999588;221.15778439998394;221.17574569996214;223.58316869998816;None;9;0;223.58316869998816;None;;;;;;;;7;;;;;0.4042423000209965;;;225.13301369996043;None;None;None;[];225.13301369996043;None;"['9', '9']";"[0.6223473999998532, 0.974283599993214]";225.13301369996043;None;;;S11388;2022_Apr_21_1839;VideoMask;2021.1.2;120.07728171190232;
