primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.rt;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.started;slider_resp_response.stopped;slider_resp_response.rt;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
1111;m;1111_m_m_h_a.jpg;happy;9;example_30.4ns.avi;neutral;7;incongruent;120.0;170.0;189.5874364012288;;0;0;0;0;;;;;83.08669479994569;1;83.16439199994784;85.16426449990831;85.16426449990831;None;87.18072179995943;None;89.41440589993726;89.73056830000132;90.88905749993864;90.90567739994731;95.20560039998963;None;9;0;0.915377700002864;95.20560039998963;None;96.76428459992167;None;None;None;[];96.76428459992167;None;5;None;96.76428459992167;None;;;;;;;;;;;;;;;;;S113899;2022_Apr_22_1142;VideoMask;2021.1.2;120.01718648019545;
1113;f;1113_y_f_s_a.jpg;sad;7;example_30.3ns.avi;neutral;7;incongruent;130.0;170.0;229.02432995836998;;0;1;1;1;;;;;;;;;;;99.7719911999302;None;101.88860139995813;102.2052384999115;103.34712639998179;103.36366219993215;105.3386465999065;None;None;0;;105.3386465999065;None;106.90506479993928;None;None;None;[];106.90506479993928;None;8;"['9', '9', '9']";106.90506479993928;None;"[10.092754099983722, 0.976172799943015, 2.6081267999252304]";;;;;;;;;;;;;;;;S113899;2022_Apr_22_1142;VideoMask;2021.1.2;120.01718648019545;
9.0;f;019_m_f_h_a.jpg;happy;9.0;sad_115.1.wmv;sad;7.0;incongruent;120.0;160.0;128.09063432376465;h_s;;;;;0;0;0;0;;;;;;;110.92188659997191;None;112.20510199991986;112.52170519996434;113.66320809989702;113.68004859995563;115.65500669996254;None;7;0;1.1380532999755815;115.65500669996254;None;;;;;;;;4;;;;;109.89682869997341;None;117.21333279996179;None;None;None;[];117.21333279996179;None;['7'];[2.5477979000424966];117.21333279996179;None;;;S113899;2022_Apr_22_1142;VideoMask;2021.1.2;120.01718648019545;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_94.2ns.avi;sad;7.0;congruent;130.0;160.0;182.29120173647655;s_s;;;;;0;1;1;1;;;;;;;120.21327859989833;None;121.92968729999848;122.24643029994331;123.43815189995803;123.45472659997176;126.07123599993065;None;7;0;1.4497515999246389;126.07123599993065;None;;;;;;;;2;;;;;;;127.62126309995074;None;None;None;[];127.62126309995074;None;"['7', '7', '7']";"[1.0759516999823973, 1.5077785999746993, 2.683973400038667]";127.62126309995074;None;;;S113899;2022_Apr_22_1142;VideoMask;2021.1.2;120.01718648019545;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_26.1ns.avi;happy;9.0;congruent;120.0;150.0;155.9437854594882;h_h;;;;;0;2;2;2;;;;;;;130.62121309991926;None;132.1127119999146;132.4294920999091;133.62109989998862;133.63789559993893;135.55437949998304;None;9;0;1.1347897000377998;135.55437949998304;None;;;;;;;;2;;;;;;;137.23754469992127;None;None;None;[];137.23754469992127;None;"['7', '7', '7', '7']";"[1.2997469000983983, 1.8118356000632048, 2.139801000012085, 2.4514792000409216]";137.23754469992127;None;;;S113899;2022_Apr_22_1142;VideoMask;2021.1.2;120.01718648019545;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_138.1.wmv;sad;7.0;incongruent;120.0;160.0;133.99071306426532;h_s;;;;;0;3;3;3;;;;;;;140.2458975999616;None;141.56232109991834;141.87897939991672;143.0042686999077;143.02091419999488;145.01233599998523;None;None;0;;145.01233599998523;None;;;;;;;;3;;;;;;;146.56226149993017;None;None;None;[];146.56226149993017;None;"['7', '7', '7']";"[0.21494340000208467, 0.7028184999944642, 1.2549683999968693]";146.56226149993017;None;;;S113899;2022_Apr_22_1142;VideoMask;2021.1.2;120.01718648019545;
8.0;f;028_y_f_s_a.jpg;sad;7.0;sad_64.2ns.avi;sad;7.0;congruent;130.0;160.0;229.88540597086478;s_s;;;;;0;4;4;4;;;;;;;149.56246499996632;None;151.72050419996958;152.0371499999892;153.22888309997506;153.24551949999295;164.17021009989548;None;7;0;0.8474029999924824;164.17021009989548;None;;;;;;;;5;;;;;;;165.72023879992776;None;None;None;[];165.72023879992776;None;None;;165.72023879992776;None;;;S113899;2022_Apr_22_1142;VideoMask;2021.1.2;120.01718648019545;
7.0;m;027_o_m_s_a.jpg;sad;7.0;sad_10.4ns.avi;sad;7.0;congruent;130.0;160.0;185.20129417468752;s_s;;;;;0;5;5;5;;;;;;;168.73665439989418;None;170.48663840000518;170.80345579993445;171.94472319993656;171.96175229991786;175.1201022999594;None;7;0;0.8010667000198737;175.1201022999594;None;;;;;;;;1;;;;;;;176.6781420999905;None;None;None;[];176.6781420999905;None;"['7', '7', '7', '7', '7']";"[0.3710332999471575, 0.6193131000036374, 0.8509859000332654, 1.187039399985224, 1.282970599946566]";176.6781420999905;None;;;S113899;2022_Apr_22_1142;VideoMask;2021.1.2;120.01718648019545;
2.0;f;012_o_f_s_a.jpg;sad;7.0;sad_7.5ns.avi;sad;7.0;congruent;130.0;160.0;220.27842655424388;s_s;;;;;0;6;6;6;;;;;;;179.67814929992892;None;181.71114999998827;182.02786929998547;183.21141089999583;183.22794359992258;185.9531782999402;None;7;0;0.8081853999756277;185.9531782999402;None;;;;;;;;3;;;;;;;187.76111669989768;None;None;None;[];187.76111669989768;None;"['7', '7']";"[0.9599890999961644, 1.4719444999936968]";187.76111669989768;None;;;S113899;2022_Apr_22_1142;VideoMask;2021.1.2;120.01718648019545;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_27.1ns.avi;happy;9.0;congruent;120.0;150.0;146.44967055810616;h_h;;;;;0;7;7;7;;;;;;;190.76112139993347;None;192.1775728999637;192.4942388999043;193.71895259991288;193.7357878999319;196.11915909999516;None;9;0;1.3140573999844491;196.11915909999516;None;;;;;;;;2;;;;;;;197.66931189992465;None;None;None;[];197.66931189992465;None;"['7', '7', '7', '7', '7']";"[0.8761999000562355, 1.1639636000618339, 1.4678213000297546, 1.835949500091374, 2.2997372000245377]";197.66931189992465;None;;;S113899;2022_Apr_22_1142;VideoMask;2021.1.2;120.01718648019545;
